Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Starter,Valves per cylinder,Fuel control,Torque,Ignition,Color options,Max RPM,Diameter,Comments,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Modifications compared to previous model,Oil capacity,Wheels
Yamaha RD 400 C,1976,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, two-stroke",43.0 HP (31.4  kW)) @ 7100 RPM,141.0 km/h (87.6 mph),6.2:1,64.0 x 62.0 mm (2.5 x 2.4 inches),,,Air,6-speed,Chain   (final drive),,,,,,3.00-18 ,3.50-18 ,Single disc,Single disc,,177.0 kg (390.2 pounds),,,,,,,,16.50 litres (4.36 US gallons),,,Membrane,,,,,,,,,,,,,,,
Yamaha XS 750,1976,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line three, four-stroke",64.0 HP (46.7  kW)) @ 7500 RPM,189.0 km/h (117.4 mph),8.5:1,68.0 x 68.6 mm (2.7 x 2.7 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Single disc,,256.0 kg (564.4 pounds),,,,,,,,18.00 litres (4.76 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
Yamaha DT 125 E,1976,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 7000 RPM,105.0 km/h (65.2 mph),7.0:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-21 ,3.25-16 ,Expanding brake,Expanding brake,,114.0 kg (251.3 pounds),,,,,,,,7.00 litres (1.85 US gallons),,,Membrane,,,,,,,,,,,,,,,
Honda CB 125 disc,1976,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",12.0 HP (8.8  kW)) @ 10500 RPM,108.0 km/h (67.1 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.50-18 ,2.75-18 ,Single disc,Expanding brake,,133.0 kg (293.2 pounds),,,,,,,,9.00 litres (2.38 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Moto Guzzi V 1000 I-Convert,1976,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,168.0 km/h (104.4 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),,,Air,2-speed automatic,Shaft drive (cardan)   (final drive),,,,,,4.10-18 ,4.10-18 ,Dual disc,Single disc,,259.0 kg (571.0 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Kawasaki KH 250,1976,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"In-line three, two-stroke",26.0 HP (19.0  kW)) @ 7000 RPM,138.0 km/h (85.7 mph),7.5:1,45.0 x 52.3 mm (1.8 x 2.1 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,175.0 kg (385.8 pounds),,,,,,,,14.00 litres (3.70 US gallons),,,Port control,,,,,,,,,,,,,,,
Yamaha RD 250 DX,1976,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 7200 RPM,145.0 km/h (90.1 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,158.0 kg (348.3 pounds),,,,,,,,16.50 litres (4.36 US gallons),,,Membrane,,,,,,,,,,,,,,,
Triumph T 140 V Bonneville,1976,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),,,Air,5-speed,Chain   (final drive),,,,,,4.10-19 ,4.10-18 ,Single disc,Single disc,,197.0 kg (434.3 pounds),,,,,,,,18.50 litres (4.89 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
BMW R 60-7,1976,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"Two cylinder boxer, four-stroke",40.0 HP (29.2  kW)) @ 6400 RPM,167.0 km/h (103.8 mph),9.2:1,73.5 x 70.6 mm (2.9 x 2.8 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,236.0 kg (520.3 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Harley-Davidson XLCH 1000 Sportster,1976,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,185.0 km/h (115.0 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),,,Air,4-speed,Chain   (final drive),,,,,,3.75-19 ,4.25-18 ,Single disc,Expanding brake,,220.0 kg (485.0 pounds),,,,,,,,9.00 litres (2.38 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Bajaj Super,1976,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,145.5 ccm (8.88 cubic inches),"Single cylinder, two-stroke",7.5 HP (5.5  kW)) @ 5500 RPM,80.0 km/h (49.7 mph),,,,,Air,,,,,,Coil Spring,Variable Rate Coil Spring,3.5-8 ,3.5-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,103.0 kg (227.1 pounds),,,1080 mm (42.5 inches),1770 mm (69.7 inches),670 mm (26.4 inches),145 mm (5.7 inches),1230 mm (48.4 inches),6.00 litres (1.59 US gallons),Kick,,,10.8 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 3500 RPM,Contact Breaker,,,,,,,130 mm (5.1 inches),100 mm (3.9 inches),,,,,
Honda CB 400 F,1976,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",408.0 ccm (24.90 cubic inches),"In-line four, four-stroke",37.0 HP (27.0  kW)) @ 8500 RPM,158.0 km/h (98.2 mph),9.4:1,51.0 x 50.0 mm (2.0 x 2.0 inches),,,Air,6-speed,Chain   (final drive),,,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,184.0 kg (405.7 pounds),,,,,,,,14.00 litres (3.70 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Yamaha XS 500,1976,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 8250 RPM,178.0 km/h (110.6 mph),8.5:1,73.0 x 59.6 mm (2.9 x 2.3 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Single disc,,210.0 kg (463.0 pounds),,,,,,,,15.00 litres (3.96 US gallons),,4,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
Harley-Davidson SX 250,1976,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 7000 RPM,115.0 km/h (71.5 mph),10.3:1,72.0 x 59.6 mm (2.8 x 2.3 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,,125.0 kg (275.6 pounds),,,,,,,,10.50 litres (2.77 US gallons),,,Port control,,,,,,,,,,,,,,,
MuZ TS 250-1,1976,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 5500 RPM,127.0 km/h (78.9 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.50-16 ,Expanding brake,Expanding brake,,145.0 kg (319.7 pounds),,,,,,,,17.50 litres (4.62 US gallons),,,Port control,,,,,,,,,,,,,,,
Suzuki GS 750,1976,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 8800 RPM,198.0 km/h (123.0 mph),8.7:1,65.0 x 56.4 mm (2.6 x 2.2 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Single disc,,251.0 kg (553.4 pounds),,,,,,,,18.00 litres (4.76 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
Suzuki GT 500,1976,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Twin, two-stroke",38.0 HP (27.7  kW)) @ 6000 RPM,169.0 km/h (105.0 mph),8.5:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,195.0 kg (429.9 pounds),,,,,,,,17.00 litres (4.49 US gallons),,,Port control,,,,,,,,,,,,,,,
Yamaha RD 125 DX,1976,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 9500 RPM,127.0 km/h (78.9 mph),6.8:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,117.0 kg (257.9 pounds),,,,,,,,11.50 litres (3.04 US gallons),,,Membrane,,,,,,,,,,,,,,,
Moto Guzzi 850 Le Mans,1976,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,203.0 km/h (126.1 mph),10.0:1,83.0 x 78.0 mm (3.3 x 3.1 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-18 ,4.10-18 ,Dual disc,Single disc,,225.0 kg (496.0 pounds),,,,,,,,22.50 litres (5.94 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Honda GL 1000 LTD,1976,Touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",999.0 ccm (60.96 cubic inches),"Four cylinder boxer, four-stroke",82.0 HP (59.9  kW)) @ 7500 RPM,196.0 km/h (121.8 mph),9.2:1,72.0 x 61.4 mm (2.8 x 2.4 inches),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,295.0 kg (650.4 pounds),,,,,,,,19.00 litres (5.02 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Suzuki GT 750,1976,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line three, two-stroke",63.0 HP (46.0  kW)) @ 6500 RPM,192.0 km/h (119.3 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,,Liquid,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,,251.0 kg (553.4 pounds),,,,,,,,17.00 litres (4.49 US gallons),,,Port control,,,,,,,,,,,,,,,
Maico MD 125-6,1976,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),11.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Air,6-speed,Chain   (final drive),,,,,,2.50-16 ,3.00-16 ,Expanding brake,Expanding brake,,95.0 kg (209.4 pounds),,,,,,,,13.50 litres (3.57 US gallons),,,Rotary valves,,,,,,,,,,,,,,,
MV Agusta 800 SS Super Daytona America,1976,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,789.0 ccm (48.14 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 10000 RPM,228.0 km/h (141.7 mph),10.0:1,67.0 x 56.0 mm (2.6 x 2.2 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-18 ,4.00-18 ,Dual disc,Single disc,,265.0 kg (584.2 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
MV Agusta 500 SS,1976,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,495.0 ccm (30.20 cubic inches),"Twin, four-stroke",53.0 HP (38.7  kW)) @ 8900 RPM,170.0 km/h (105.6 mph),9.5:1,75.0 x 56.0 mm (3.0 x 2.2 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.50-18 ,Dual disc,Single disc,,158.0 kg (348.3 pounds),,,,,,,,18.00 litres (4.76 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Dnepr MW 750 M,1976,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,,,,,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,MW 750 and MW 750M where military motorcycle models manufactured by Dnepr in Kiev 1973-1977.,,,,,,,,,
Honda CB 550 F 1,1976,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",544.0 ccm (33.19 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,183.0 km/h (113.7 mph),9.0:1,58.5 x 50.6 mm (2.3 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,3.75-18 ,Single disc,Expanding brake,,206.0 kg (454.2 pounds),,,,,,,,17.00 litres (4.49 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Kawasaki KH 400,1976,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"In-line three, two-stroke",38.0 HP (27.7  kW)) @ 7000 RPM,166.0 km/h (103.1 mph),6.5:1,57.0 x 52.3 mm (2.2 x 2.1 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-18 ,3.50-18 ,Single disc,Expanding brake,,177.0 kg (390.2 pounds),,,,,,,,16.00 litres (4.23 US gallons),,,Port control,,,,,,,,,,,,,,,
Harley-Davidson SX 125,1976,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 7250 RPM,105.0 km/h (65.2 mph),10.8:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,,112.0 kg (246.9 pounds),,,,,,,,10.50 litres (2.77 US gallons),,,Port control,,,,,,,,,,,,,,,
Yamaha RS 125,1976,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,,Injection,,Air,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Triumph T 160 V Trident 750,1976,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",64.0 HP (46.7  kW)) @ 7400 RPM,195.0 km/h (121.2 mph),9.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),,,Air,5-speed,Chain   (final drive),,,,,,4.10-19 ,4.10-19 ,Single disc,Single disc,,243.0 kg (535.7 pounds),,,,,,,,20.50 litres (5.42 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Dnepr MT-10,1976,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,,,,,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,Made by Dnepr in Kiev from 1973 to 1976.,,,,,,,,,
Suzuki TS 250,1976,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 6500 RPM,115.0 km/h (71.5 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,128.0 kg (282.2 pounds),,,,,,,,8.50 litres (2.25 US gallons),,,Port control,,,,,,,,,,,,,,,
Ducati 900 SS,1976,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,213.0 km/h (132.4 mph),9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,120/90-18 ,Dual disc,Single disc,,225.0 kg (496.0 pounds),,,,,,,,18.00 litres (4.76 US gallons),,2,Desmodromic valve control,,,,,,,,,,,,,,,
Dnepr K-750M,1976,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,,,,,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,Military motorcyle manufactured at the Dnepr Kiev factory 1963-1977.,,,,,,,,,
MV Agusta 500 Four,1976,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,433.0 ccm (26.42 cubic inches),"In-line four, four-stroke",96.6 HP (70.5  kW)) @ 14000 RPM,290.0 km/h (180.2 mph),,56.0 x 44.0 mm (2.2 x 1.7 inches),,,Air,,,Dry Multiple,,Doble Cradle,Telescopic,Swingarm ,,,Double disc,Double disc,,,,,,,,,,,,,Double Overhead Cams/Twin Cam (DOHC),,,Red,,,,,,,,,,,,
Yamaha XS 360 C,1976,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",360.0 ccm (21.97 cubic inches),"Twin, four-stroke",,,,,Carburettor. bs34  SU type,,Air,6-speed,Chain   (final drive),wet multi disc,double stainless steel pipes,chromoly,triple clamp forks,dual spring over shocks,,,Single disc,Expanding brake (drum brake),,,,,,,,,,,,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,26.5°,81 mm (3.2 inches),Disc front brake,,
BMW R 100-7,1976,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,192.0 km/h (119.3 mph),9.0:1,94.0 x 70.6 mm (3.7 x 2.8 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,236.0 kg (520.3 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Honda XL 125,1976,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 9400 RPM,114.0 km/h (70.8 mph),9.4:1,56.5 x 49.5 mm (2.2 x 1.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,,110.0 kg (242.5 pounds),,,,,,,,6.00 litres (1.59 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Laverda 750 SF 3,1976,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,185.0 km/h (115.0 mph),8.9:1,80.0 x 74.0 mm (3.1 x 2.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,4.00-18 ,Dual disc,Single disc,,230.0 kg (507.1 pounds),,,,,,,,19.00 litres (5.02 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Hercules W 2000,1976,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",294.0 ccm (17.94 cubic inches),Single disk Wankel,27.0 HP (19.7  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),8.5:1,,,,Air,6-speed,Chain   (final drive),,,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,176.0 kg (388.0 pounds),,,,,,,,16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,
KTM Comet Grand Prix 125 RS,1976,Sport," 2.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,120.0 km/h (74.6 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Air,6-speed,Chain   (final drive),,,,,,2.75-17 ,3.00-17 ,Single disc,Single disc,,111.0 kg (244.7 pounds),,,,,,,,9.50 litres (2.51 US gallons),,,Port control,,,,,,,,,,,,,,,
MV Agusta 900 S Arturo Magni - Cento Valli,1976,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",105.0 HP (76.6  kW)) @ 10000 RPM,230.0 km/h (142.9 mph),10.0:1,70.0 x 58.0 mm (2.8 x 2.3 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-18 ,4.00-18 ,Dual disc,Single disc,,245.0 kg (540.1 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
Suzuki GT 250,1976,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 7500 RPM,149.0 km/h (92.6 mph),7.3:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Air,6-speed,Chain   (final drive),,,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,155.0 kg (341.7 pounds),,,,,,,,15.00 litres (3.96 US gallons),,,Port control,,,,,,,,,,,,,,,
Ducati 350 GTL,1976,Sport touring," 2.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",350.0 ccm (21.36 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 6800 RPM,145.0 km/h (90.1 mph),9.6:1,71.8 x 43.2 mm (2.8 x 1.7 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-19 ,3.50-18 ,Single disc,Expanding brake,,188.0 kg (414.5 pounds),,,,,,,,19.00 litres (5.02 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
CZ 250 MotoCross Type 980.5,1976,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.2 ccm (15.02 cubic inches),"Single cylinder, two-stroke",34.0 HP (24.8  kW)) @ 6800 RPM,,11.5:1,70.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor. JIKOV 2933 SE / JIKOV 2934 CD,,Air,5-speed,Chain   (final drive),,,Tubular,Telescopic oil shock,Hydropneumatic spring unit,,,Expanding brake (drum brake),Expanding brake (drum brake),99.5 kg (219.4 pounds),107.5 kg (237.0 pounds),0.3417 HP/kg,,1090 mm (42.9 inches),2100 mm (82.7 inches),840 mm (33.1 inches),180 mm (7.1 inches),1420 mm (55.9 inches),8.00 litres (2.11 US gallons),Kick,,,,"Magneto flywheel, voltage 6V",,,180 mm (7.1 inches),,,,200 mm (7.9 inches),90 mm (3.5 inches),,,,,
Gilera 150 Strada,1976,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,152.0 ccm (9.28 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 8500 RPM,115.0 km/h (71.5 mph),10.0:1,59.9 x 54.0 mm (2.4 x 2.1 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,,123.0 kg (271.2 pounds),,,,,,,,11.00 litres (2.91 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Puch Maxi LF (LongFrame),1976,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",52.0 ccm (3.17 cubic inches),"Single cylinder, two-stroke",1.6 HP (1.2  kW)),,,,,,Air,Automatic,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 125 S,1976,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 8200 RPM,111.0 km/h (69.0 mph),9.0:1,53.0 x 56.0 mm (2.1 x 2.2 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,108.0 kg (238.1 pounds),,,,,,,,14.00 litres (3.70 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
