Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Color options,Rear brakes,Starter,Alternate seat height,Valves per cylinder,Comments,Ground clearance,Lubrication system,Clutch,Exhaust system,Frame type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Front suspension,Rear suspension,Overall length,Diameter,Max RPM,Front tire,Rear tire,Reserve fuel capacity,Modifications compared to previous model,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Oil capacity,Factory warranty,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Driveline,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Belt teeth,Belt width,Engine details,Overall height,Overall width,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Yamaha XVS Drag Star 125,2000,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 10000 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 7500 RPM,,Air,5-speed,,Single disc,144.0 kg (317.5 pounds),0.0903 HP/kg,"665 mm (26.2 inches) If adjustable, lowest setting.",1520 mm (59.8 inches),,"Black, red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 900,2000,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",855.0 ccm (52.17 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,200.0 km/h (124.3 mph),Liquid,6-speed,,Dual disc,220.0 kg (485.0 pounds),0.4455 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),25.00 litres (6.61 US gallons),"Green, yellow, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 400,2000,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,105.0 kg (231.5 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Blue/Yellow,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Rebel 250 ED - Rebel 250 G,2000,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8250 RPM,18.0 Nm (1.8 kgf-m or 13.3 ft.lbs) @ 5500 RPM,,Air,5-speed,,Dual disc,141.0 kg (310.9 pounds),0.1206 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",,,,Single disc,,,,The technical data for the ED and the G differ in that the ED has 1 HP more and weighs 2 kg less.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500,2000,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",48.0 HP (35.0  kW)) @ 8400 RPM,41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 7500 RPM,165.0 km/h (102.5 mph),Liquid,6-speed,Chain   (final drive),Single disc,181.0 kg (399.0 pounds),0.2652 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),15.00 litres (3.96 US gallons),"Red, gold",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTF Fat Boy,2000,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 5200 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3500 RPM,170.0 km/h (105.6 mph),Air,5-speed,Belt   (final drive),Single disc. Four-piston calipers. ,302.0 kg (665.8 pounds),0.2086 HP/kg,"647 mm (25.5 inches) If adjustable, lowest setting.",1638 mm (64.5 inches),19.00 litres (5.02 US gallons),"Black, yellow, lilac, orange, white, blue, gray, red, green/black, orange/gray, blue/gray, red/black, yellow/black, bronze pearl",Single disc. Four-piston calipers. ,Electric,,4,,130 mm (5.1 inches),"Dry sump. Internally mounted, crank driven gerotor pressure and dual scavenge pump.", Wet 9-plate,,,8.9:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Overhead Valves (OHV),"Single-fire, non-wasted, map-controlled spark ignition",41.3 mm,"Hidden, horizontal-mounted, coil-over shock",2395 mm (94.3 inches),292 mm (11.5 inches),,MT90-B16 ,150/80-B16 ,,,32.0°,147 mm (5.8 inches),130 mm (5.1 inches),109 mm (4.3 inches),324.0 kg (714.3 pounds),3.30 litres (3.49 US quarts),Any corrections or more information on these motorcycles will be kindly appreciated.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F,2000,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 10500 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 9500 RPM,215.0 km/h (133.6 mph),Air,6-speed,Chain   (final drive),Dual disc,208.0 kg (458.6 pounds),0.3846 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),20.00 litres (5.28 US gallons),"Red, blue",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Custom - XL 53 C Sportster Custom,2000,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 4100 RPM,150.0 km/h (93.2 mph),Air,5-speed,Belt   (final drive),Single disc,235.0 kg (518.1 pounds),0.2128 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),16.70 litres (4.41 US gallons),"Black, lilac, yellow, orange, blue, gray, white, red",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW C1,2000,Unspecified category," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9250 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 6500 RPM,,,,,Single disc,185.0 kg (407.9 pounds),0.0811 HP/kg,"701 mm (27.6 inches) If adjustable, lowest setting.",,,,,,,,"This bike has a roof, front window, seat belts and automatic transmission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Nevada Club 750,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6200 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3200 RPM,165.0 km/h (102.5 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,182.0 kg (401.2 pounds),0.2637 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1505 mm (59.3 inches),16.00 litres (4.23 US gallons),"Black/red, black/gray, black/green",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 600 R Thundercat,2000,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 9500 RPM,,,5-speed,,Dual disc,187.0 kg (412.3 pounds),0.5348 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,Single disc,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Honda CG 125 - Millenium Power,2000,Naked bike," 2.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,125.0 km/h (77.7 mph),Air,4-speed,Chain   (final drive),Expanding brake (drum brake),,,,,,Red or Black,Expanding brake (drum brake),Kick,,2,,,,,,,,,Carburettor,Rotary valves,Capacitor Discharge,,,,,9500,,,2.00 litres (0.53 US gallons),,,,,,,,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic Fi,2000,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 2800 RPM,,Liquid,6-speed,,Single disc,292.0 kg (643.7 pounds),0.2192 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",1665 mm (65.6 inches),16.00 litres (4.23 US gallons),,Single disc,,,,,,,,,,,,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 1100 Sport Corsa,2000,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 6000 RPM,230.0 km/h (142.9 mph),Air,5-speed,,Dual disc,221.0 kg (487.2 pounds),0.4072 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),,,Single disc,Electric,,,,,,,,,,,,,,,,,282 mm (11.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Tour 660,2000,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),175.0 km/h (108.7 mph),Liquid,5-speed,Chain   (final drive),,171.0 kg (377.0 pounds),0.2807 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),18.00 litres (4.76 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 GS,2000,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",85.0 HP (62.0  kW)) @ 6800 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 5300 RPM,195.0 km/h (121.2 mph),Oil & air,5-speed,,Dual disc,242.0 kg (533.5 pounds),0.3512 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",1509 mm (59.4 inches),22.00 litres (5.81 US gallons),"Black, silver, yellow",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Nemesis A,2000,Prototype / concept model," 4.0  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",1479.0 ccm (90.25 cubic inches),"V8, four-stroke",280.0 HP (204.4  kW)),,,Liquid,6-speed,Chain   (final drive),Dual disc,202.0 kg (445.3 pounds),1.3861 HP/kg,,,,,Single disc,Electric,,,"It is said that Norton are having financial problems, so if it is unsure whether the Nemesis will ever hit the road.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 520 EXC Racing,2000,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",510.0 ccm (31.12 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,112.0 kg (246.9 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",1481 mm (58.3 inches),9.00 litres (2.38 US gallons),Orange/silver,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 TF Royal Star Venture,2000,Touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",98.0 HP (71.5  kW)) @ 6000 RPM,123.0 Nm (12.5 kgf-m or 90.7 ft.lbs) @ 4750 RPM,160.0 km/h (99.4 mph),Liquid,5-speed,,Dual disc,375.0 kg (826.7 pounds),0.2613 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",1705 mm (67.1 inches),22.50 litres (5.94 US gallons),,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Roadster,2000,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",,,,Air,5-speed,Chain   (final drive),Single disc,135.0 kg (297.6 pounds),,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 A Royal Star,2000,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",74.0 HP (54.0  kW)) @ 4750 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 3500 RPM,180.0 km/h (111.8 mph),Liquid,5-speed,,Dual disc,305.0 kg (672.4 pounds),0.2426 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",1695 mm (66.7 inches),18.00 litres (4.76 US gallons),,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Traveller 660,2000,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),175.0 km/h (108.7 mph),Liquid,5-speed,Chain   (final drive),,186.0 kg (410.1 pounds),0.2581 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),18.00 litres (4.76 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS Drag Star 650,2000,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 3000 RPM,140.0 km/h (87.0 mph),Air,5-speed,,Single disc,214.0 kg (471.8 pounds),0.1869 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",1610 mm (63.4 inches),16.00 litres (4.23 US gallons),"Black, white",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C Shadow,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",34.0 HP (24.8  kW)) @ 6500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 3500 RPM,,Liquid,5-speed,,Dual disc,199.0 kg (438.7 pounds),0.1709 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",1600 mm (63.0 inches),,,Single disc,,,,The engine is also found in the NT 650 V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Union/OMV 125 Dandy,2000,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)),,108.0 km/h (67.1 mph),Air,,Chain   (final drive),Single disc,103.0 kg (227.1 pounds),0.1165 HP/kg,,,6.50 litres (1.72 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Baghira Black Panter,2000,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs),160.0 km/h (99.4 mph),Liquid,5-speed,Chain   (final drive),Single disc,158.0 kg (348.3 pounds),0.3038 HP/kg,"930 mm (36.6 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),18.00 litres (4.76 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CA Rebel 125,2000,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",11.0 HP (8.0  kW)) @ 9500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 6000 RPM,95.0 km/h (59.0 mph),Air,5-speed,Chain   (final drive),Single disc,137.0 kg (302.0 pounds),0.0803 HP/kg,"675 mm (26.6 inches) If adjustable, lowest setting.",1460 mm (57.5 inches),10.00 litres (2.64 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim VT 125 Evolution,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.5 HP (9.9  kW)) @ 10000 RPM,,110.0 km/h (68.4 mph),,,,Single disc,153.0 kg (337.3 pounds),0.0882 HP/kg,,1500 mm (59.1 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota DB4 - DB4 Iniezione,2000,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 7100 RPM,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 5600 RPM,225.0 km/h (139.8 mph),Air,6-speed,,Dual disc,169.0 kg (372.6 pounds),0.4497 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1370 mm (53.9 inches),20.00 litres (5.28 US gallons),Red/white,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Tramp,2000,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,350.0 ccm (21.36 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Air,4-speed,,Single disc,149.0 kg (328.5 pounds),0.1544 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 620 SuperMoto,2000,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",60.0 HP (43.8  kW)) @ 7500 RPM,,160.0 km/h (99.4 mph),Liquid,,Chain   (final drive),Single disc,,,,1510 mm (59.4 inches),12.00 litres (3.17 US gallons),"Silver/black, orange/black",Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,2000,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6000 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,,,5-speed,Chain   (final drive),Single disc,167.0 kg (368.2 pounds),0.2635 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),,,Single disc,,,,,250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TW 125,2000,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 9000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,,Air,5-speed,Chain   (final drive),Single disc,118.0 kg (260.1 pounds),0.1017 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 400 S,2000,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)) @ 8500 RPM,,,Liquid,5-speed,Chain   (final drive),Single disc,132.0 kg (291.0 pounds),0.3030 HP/kg,"935 mm (36.8 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),10.00 litres (2.64 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Mito 125,2000,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",31.0 HP (22.6  kW)),,,,7-speed,Chain   (final drive),Single disc,129.0 kg (284.4 pounds),0.2403 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 125,2000,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 12500 RPM,,120.0 km/h (74.6 mph),Liquid,6-speed,Chain   (final drive),Single disc,117.0 kg (257.9 pounds),0.1282 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1345 mm (53.0 inches),14.00 litres (3.70 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 125,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5500 RPM,,,,5-speed,,,126.0 kg (277.8 pounds),0.0794 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F Ultima Light,2000,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",110.2 HP (80.4  kW)) @ 12500 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 10500 RPM,290.0 km/h (180.2 mph),Liquid,6-speed,Chain   (final drive),Double disc. 4-piston calipers,198.0 kg (436.5 pounds),0.5566 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),18.00 litres (4.76 US gallons),,Single disc. 2piston calipers,Electric,,4,,135 mm (5.3 inches),Wet sump,"Multi-plate wet, cable operated",,"Aluminium, twin spar",13.0:1,67.0 x 42.5 mm (2.6 x 1.7 inches),Carburettor. Mikuni,Membrane & variable discharge openings,electric,43mm fully adjustable cartridge-type fork,Pro-Link featuring fully adjustable gas-charged remote reservoir damper,2065 mm (81.3 inches),120 mm (4.7 inches),,120/70-zr17 ,180/70-17 ,4.00 litres (1.06 US gallons),,24.0°,97 mm (3.8 inches),120 mm (4.7 inches),120 mm (4.7 inches),220.0 kg (485.0 pounds),3.30 litres (3.49 US quarts),,6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,3.00 seconds,#525 O-ring-sealed chain,YTX9-BS battery.,SAE 10W-40,K & N - KN-303,DOT 4,3.00 litres (0.79 US gallons),YTX9-BS,NGK CR9EH-9,1300  +/- 100  RPM,525,108,16/45 (front/rear),36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),43 mm (1.7 inches),,,,,,,,,
Hyosung GA 125 F,2000,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),,,,,Oil & air,5-speed,Chain   (final drive),Single disc,118.0 kg (260.1 pounds),,,1385 mm (54.5 inches),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C3 Shadow,2000,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 4750 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 2500 RPM,,Liquid,5-speed,,Single disc,279.0 kg (615.1 pounds),0.2079 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
