Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Seat height,Engine details,Power,Top speed,Compression,Fuel control,Cooling system,Gearbox,Front tire,Rear tire,Wheels,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Starter,Electrical,Carrying capacity,Comments,Ignition,Lubrication system,Clutch,Diameter,Overall length,Overall height,Overall width,"Weight incl. oil, gas, etc",Color options,Valves per cylinder,Alternate seat height,Fuel consumption,Greenhouse gases,Ground clearance,Max RPM,Exhaust system,Driveline,Rake (fork angle),Torque,0-100 km/h (0-62 mph)
AJS Model 14 250,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",69.9 x 64.9 mm (2.8 x 2.6 inches),Carburettor,Chain   (final drive),Open tubular steel,Telescopic,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,17.0 HP (12.4  kW)) @ 7250 RPM,,7.8:1,Overhead Valves (OHV),Air,,3.25-17 ,3.25-17 ,Spoked,149.0 kg (328.5 pounds),0.1141 HP/kg,1345 mm (53.0 inches),12.50 litres (3.30 US gallons),Kick,,,,,,Wet multiplate,152 mm (6.0 inches),,,,,"Blue, black",,,,,,,,,,,
NSU Maxi 175,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing HD 2/22,Chain   (final drive),,,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),,,,12.3 HP (9.0  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),7.8:1,,Air,4-speed,3.25-18 ,3.25-18 ,,,,,,Kick,,,,,,Dry multiplate,,1997 mm (78.6 inches),1018 mm (40.1 inches),655 mm (25.8 inches),,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,18.0 HP (13.1  kW)) @ 4300 RPM,135.0 km/h (83.9 mph),,,Air,4-speed,,,,170.0 kg (374.8 pounds),0.1059 HP/kg,,17.00 litres (4.49 US gallons),,,,,,,Wet multiplate,,,,,,,,,,,,,,,,,
Greeves 32D Sports Twin,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,322.0 ccm (19.65 cubic inches),"Twin, two-stroke",57.0 x 63.5 mm (2.2 x 2.5 inches),Carburettor. Villiers,Chain   (final drive),,,,,,,,,17.0 HP (12.4  kW)) @ 5250 RPM,113.0 km/h (70.2 mph),8.7:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matchless G3 350,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,Chain   (final drive),,Telescopic,Two schock,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,18.0 HP (13.1  kW)) @ 5750 RPM,,6.5:1,,Air,,,,Spoked,,,,,Kick,,,,,,Wet multiplate,178 mm (7.0 inches),,,,,,,,,,,,,,,,
Aermacchi Chimera 175,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",60.0 x 61.0 mm (2.4 x 2.4 inches),Carburettor. DellÓrto,Chain   (final drive),Single cradle,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,110.0 km/h (68.4 mph),7.0:1,,Air,4-speed,2.50-17 ,2.50-17 ,Spoked,122.0 kg (269.0 pounds),,,,Kick,,,,Bobine,,Wet multiplate,,,,,,,,,,,,,,,,,
AJS Model 16 350MS,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor,Chain   (final drive),Single cradle-steel,Catrigde,Two shock,Expanding brake (drum brake),Expanding brake (drum brake),,,,18.0 HP (13.1  kW)) @ 5750 RPM,,6.5:1,Overhead Valves (OHV),Air,4-speed,3.25-19 ,3.25-19 ,,170.0 kg (374.8 pounds),0.1059 HP/kg,1422 mm (56.0 inches),13.50 litres (3.57 US gallons),Kick,,,,Magneto,Wet sump ,Wet multiplate,,2190 mm (86.2 inches),,710 mm (28.0 inches),,,,,,,,,,,,,
BSA A 50 Royal Star,1963,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Twin, four-stroke",65.5 x 74.0 mm (2.6 x 2.9 inches),Carburettor,Chain   (final drive),Single cradle,Hydralic telescopic forks,Twin shock,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,33.0 HP (24.1  kW)) @ 5800 RPM,,7.5:1,Overhead Valves (OHV),Air,,3.25-18 ,3.25-18 ,,,,1391 mm (54.8 inches),18.00 litres (4.76 US gallons),,,,,,,Wet multiplate,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH Sportster,1963,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",,Carburettor,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,,,50.0 HP (36.5  kW)) @ 6300 RPM,193.1 km/h (120.0 mph),,Overhead Valves (OHV),Air,,,,,,,,,,,,,,,,,,,,205.0 kg (451.9 pounds),,,,,,,,,,,,
NSU Supermax,1963,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",69.0 x 66.0 mm (2.7 x 2.6 inches),Carburettor. Bing HD 2/26,Chain   (final drive),Steel,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,18.0 HP (13.1  kW)) @ 6500 RPM,126.0 km/h (78.3 mph),,,Air,4-speed,3.25-19 ,3.25-19 ,Spoked,,,,14.00 litres (3.70 US gallons),Kick,,,,,,Dry multiplate,,2030 mm (79.9 inches),990 mm (39.0 inches),670 mm (26.4 inches),,,,,,,,,,,,,
Moto Guzzi Lodola 175 Gran Turismo,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",,Carburettor,Chain   (final drive),,Telescopic fork,,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,11.0 HP (8.0  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),,,,4-speed,,,,109.0 kg (240.3 pounds),0.1009 HP/kg,,12.00 litres (3.17 US gallons),,,,,,,Wet multiplate,,,,,,,,,,,,,,,,,
BSA A65 Star,1963,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",,Carburettor. Amal,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,54.0 HP (39.4  kW)) @ 4500 RPM,,,Overhead Valves (OHV),Air,,,,,,,1400 mm (55.1 inches),15.14 litres (4.00 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi Ala D Oro,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto ,Chain   (final drive),,Hydralic telescopic forks,Swingarm,Expanding brake (drum brake). Single,Expanding brake (drum brake). Simplex ,Dual seat,,,24.8 HP (18.1  kW)) @ 8500 RPM,170.0 km/h (105.6 mph),,,Air,4-speed,2.50-18 ,2.75-18 ,Spoked,110.0 kg (242.5 pounds),0.2255 HP/kg,,17.00 litres (4.49 US gallons),Kick,,,,,,Wet multiplate,180 mm (7.1 inches),1940 mm (76.4 inches),860 mm (33.9 inches),520 mm (20.5 inches),,,,,,,,,,,,,
Aermacchi H-D Wisconsin ,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Chain   (final drive),Single cradle,Telescopic,Two shock,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,,,,16.0 HP (11.7  kW)) @ 6500 RPM,130.0 km/h (80.8 mph),8.5:1,,Air,,2.50-17 ,3-17 ,Spoked,115.0 kg (253.5 pounds),0.1391 HP/kg,,14.00 litres (3.70 US gallons),Kick,,,,Bobine,,Wet multiplate,180 mm (7.1 inches),1970 mm (77.6 inches),980 mm (38.6 inches),700 mm (27.6 inches),,,,,,,,,,,,,
Zündapp 250 S Trophy,1963,Allround," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,14.5 HP (10.6  kW)) @ 5500 RPM,,,,Air,4-speed,,,,136.0 kg (299.8 pounds),0.1066 HP/kg,,,,,,,,,Wet multiplate,,,,,,,,,,,,,,,,,
Harley-Davidson KR 750,1963,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",,Carburettor. Single Tilloston,,,Telescopic,Rigid,,,Single spring-mounted,,,46.0 HP (33.6  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),,Sidevalves,Air,4-speed,,,Spoked,163.3 kg (360.0 pounds),0.2817 HP/kg,,,,,,,Magneto Fairbanks-Morse,,,,,,,,,,,,,,,,,,,
Aermacchi Chimera 250,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,13.7 HP (10.0  kW)) @ 6500 RPM,120.0 km/h (74.6 mph),7.0:1,,Air,,2.50-17 ,2.50-17 ,Spoked,125.0 kg (275.6 pounds),0.1096 HP/kg,1360 mm (53.5 inches),,Kick,,,,Bobine,,,,,,,,,,,,,,,,,,,
Triumph Tiger Cub T 20,1963,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Chain   (final drive),,,Swingarm with coil-over shocks,Expanding brake (drum brake),Expanding brake (drum brake),,,Amal monobloc carburettor,10.0 HP (7.3  kW)) @ 6000 RPM,106.0 km/h (65.9 mph),7.1:1,Overhead Valves (OHV),Air,,,,,113.4 kg (250.0 pounds),0.0882 HP/kg,1245 mm (49.0 inches),,,,,,,Dry sumpy,Wet multiplate,,,,,,,,,,,,,,,,,
Ducati Elite,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,204.0 ccm (12.45 cubic inches),"Single cylinder, four-stroke",67.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor. Dellorto UB 24,Chain   (final drive),Single open cradle in steel tubing,Telescopic fork,Swinging arm suspension ,Expanding brake (drum brake),Expanding brake (drum brake),Dual seatt,,,18.0 HP (13.1  kW)) @ 7500 RPM,140.0 km/h (87.0 mph),8.5:1,Overhead Cams (OHC),Air,,2.75-18 ,3.25-18 ,,118.0 kg (260.1 pounds),0.1525 HP/kg,,,,,,,Mageneto flywhel,Forced wet sump,Wet multiplate,,,,,,,,,,,,,,,,,
Husqvarna Racer,1963,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),Chrome-molybdenum steel,,,,,Single seat,,,,,,,Air,,3.00-19 ,3.00-18 ,,94.4 kg (208.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T120C Street Scrambler,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Chain   (final drive),"Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,"775 mm (30.5 inches) If adjustable, lowest setting.",,46.0 HP (33.6  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),8.5:1,Overhead Valves (OHV),Air,4-speed,3.25-18 ,3.50-18 ,Wire spoked,165.0 kg (363.8 pounds),0.2788 HP/kg,1403 mm (55.2 inches),15.14 litres (4.00 US gallons),Kick,"Lucas RM19 alternator, 6-volt electrical system",,Street Scrambler with high exhaust pipes.,Lucas K2F auto-advance Magneto,,"Multi-plate, wet",178 mm (7.0 inches),,,,,Alaskan White,,,,,127 mm (5.0 inches),,,,26.0°,,
Puch 250 SGS 67,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,Chain   (final drive),,Telescopic,Swingarm,,,Dual ,,,16.5 HP (12.0  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),6.5:1,,,4-speed,3-16 ,3.50-16 ,Spoked,150.0 kg (330.7 pounds),0.1100 HP/kg,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM,
Aermacchi H-D 250 Ala Azzurra,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Single cradle,Telescopic ,Swingarm-two shocks,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,Dual ,,,13.7 HP (10.0  kW)) @ 6500 RPM,125.0 km/h (77.7 mph),7.0:1,,Air,,2.50-17 ,3-17 ,Spoked,114.0 kg (251.3 pounds),0.1202 HP/kg,,18.00 litres (4.76 US gallons),Kick,,,,,Bobine,Wet multiplate,160 mm (6.3 inches),1920 mm (75.6 inches),950 mm (37.4 inches),700 mm (27.6 inches),,,,,,,,,,,,,
Zündapp Bella R203,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",64.0 x 62.0 mm (2.5 x 2.4 inches),Carburettor. Bing 22mm,,Tubular,,,,,Dual ,,,10.0 HP (7.3  kW)) @ 5200 RPM,90.0 km/h (55.9 mph),,,Air,4-speed,3.50-12 ,3.50-12 ,Spoked,147.0 kg (324.1 pounds),0.0680 HP/kg,,8.50 litres (2.25 US gallons),Electric,,,,,,,,,,,,,,"730 mm (28.7 inches) If adjustable, highest setting.",,,,,,,,,
Maico Maicoletta 247,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,Chain   (final drive),,Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,14.0 HP (10.2  kW)) @ 5100 RPM,109.0 km/h (67.7 mph),,,,,,,Spoked,,,,,,,,,,,Enclosed ,,,,,,,,,,,,,,,,,
Montesa Impala 175 Sport,1963,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",60.9 x 60.0 mm (2.4 x 2.4 inches),Carburettor. Amal 376/25,Chain   (final drive),,,,Expanding brake (drum brake). vented double lever,Expanding brake (drum brake). closed mono lever,,,,18.0 HP (13.1  kW)) @ 7000 RPM,131.0 km/h (81.4 mph),,Port control,Air,4-speed,2.75-19 ,2.75-19 ,,90.0 kg (198.4 pounds),0.2000 HP/kg,,9.00 litres (2.38 US gallons),Kick,,,,analogic,,wet plate,180 mm (7.1 inches),,,,100.0 kg (220.5 pounds),Red/grey stripe,,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,9000,,,,,
Velocette Viceroy,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",64.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Chain   (final drive),Single tube Keystone,Telescopic,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,,,,,,140.0 kg (308.6 pounds),,,,,,,,Battery,,Duplex,,,,,,,,,,,,,,,,,
BMW R50 2,1963,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 24mm Bing,Shaft drive (cardan)   (final drive),Steel doble cradle,Cartridge,Twin shock-Swingarm,Expanding brake (drum brake). Duplex full hub,Expanding brake (drum brake). Simplex full hub,Dual seat,,,26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),7.5:1,Overhead Valves (OHV),Air,4-speed,3.50-18 ,3.50-18 ,,,,1415 mm (55.7 inches),17.00 litres (4.49 US gallons),Kick,,360kg-with sidecar 600kg,,Magneto,Wet sump ,Dry-single plate-cable operated,200 mm (7.9 inches),2125 mm (83.7 inches),980 mm (38.6 inches),660 mm (26.0 inches),195.0 kg (429.9 pounds),,,,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,
Hercules R 200,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,191.0 ccm (11.65 cubic inches),"Single cylinder, two-stroke",65.0 x 58.0 mm (2.6 x 2.3 inches),Carburettor. Bing 24mm,Chain   (final drive),,,,,,Dual ,,,10.2 HP (7.4  kW)) @ 5250 RPM,98.0 km/h (60.9 mph),,,Air,,,,,144.0 kg (317.5 pounds),0.0708 HP/kg,,,Electric,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1963,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",70.0 x 97.0 mm (2.8 x 3.8 inches),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,Sidevalves,,,5.10-16 ,5.10-16 ,Spoked,,,1549 mm (61.0 inches),12.87 litres (3.40 US gallons),,,,,,,,,2540 mm (100.0 inches),,1219 mm (48.0 inches),,,,,,,,,,,,,
Vespa VBB Sportique,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, two-stroke",,Carburettor,,,,,,,Two single seats,,,,80.0 km/h (49.7 mph),,,,4-speed,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU Quick 50,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,,Leading Link Twin Shocks,Swingarm with twin Shocks,Expanding brake (drum brake),Expanding brake (drum brake),,"787 mm (31.0 inches) If adjustable, lowest setting.",,4.3 HP (3.1  kW)),70.0 km/h (43.5 mph),,,,,,,,80.0 kg (176.4 pounds),0.0536 HP/kg,1245 mm (49.0 inches),11.80 litres (3.12 US gallons),,,,,,,,,1860 mm (73.2 inches),930 mm (36.6 inches),600 mm (23.6 inches),,,,,,,,,,,,,
Harley-Davidson FLH Duo Glide,1963,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Chain   (final drive),Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks. Adjustable.,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat,,Panhead V-twin engine,55.0 HP (40.1  kW)),160.0 km/h (99.4 mph),7.0:1,Overhead Valves (OHV),Air,4-speed,5.00-16 ,5.00-16 ,Wire spoked. Whitewall tyres.,304.0 kg (670.2 pounds),0.1809 HP/kg,1500 mm (59.1 inches),14.19 litres (3.75 US gallons),Kick,6 Volt battery.,Saddlebags. Rear rack.,Windscreen. HD FLH models have higher compression then FL.,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Stornello ,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,Carburettor. DellÓrto,Chain   (final drive),,Telescopic,,Expanding brake (drum brake),Expanding brake (drum brake),,"700 mm (27.6 inches) If adjustable, lowest setting.",,7.0 HP (5.1  kW)) @ 7200 RPM,,9.8:1,,,,2.50-17 ,2.75-17 ,,,,1250 mm (49.2 inches),14.50 litres (3.83 US gallons),,,,,,,Wet multiplate,,1900 mm (74.8 inches),900 mm (35.4 inches),550 mm (21.7 inches),,,,,,,280 mm (11.0 inches),,,,,,
Ducati 250 Diana ,1963,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",74.0 x 57.8 mm (2.9 x 2.3 inches),Carburettor. DellÓrto 29mm carbs,Chain   (final drive),,Hydralic telescopic forks,Dual choks,Expanding brake (drum brake),Expanding brake (drum brake),Dual seat,,,19.0 HP (13.9  kW)) @ 7750 RPM,150.0 km/h (93.2 mph),8.0:1,Desmodromic valve control,Air,,2.75-18 ,3.00-18 ,,135.0 kg (297.6 pounds),0.1407 HP/kg,,13.00 litres (3.43 US gallons),Kick,,,,,,,160 mm (6.3 inches),,,,,,,,,,,,,,,,
Harley-Davidson Bobcat ,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",60.3 x 61.1 mm (2.4 x 2.4 inches),Carburettor,Chain   (final drive),,Hydraulic ,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,,96.6 km/h (60.0 mph),,,,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aermacchi 250 Ala Verde Serie 1,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.2 ccm (15.02 cubic inches),"Single cylinder, four-stroke",66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Chain   (final drive),Single cradle,Telescopic -Geriani,Swingarm-two shocks,Expanding brake (drum brake). Simplex,Expanding brake (drum brake). Simplex,Dual ,,,16.0 HP (11.7  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),8.5:1,,Air,,2.50-17 ,2.50-17 ,Spoked,114.0 kg (251.3 pounds),0.1404 HP/kg,1270 mm (50.0 inches),17.00 litres (4.49 US gallons),Kick,,,,,,,180 mm (7.1 inches),1938 mm (76.3 inches),910 mm (35.8 inches),762 mm (30.0 inches),,,,,,,,,,,,,
Aermacchi Ala Bianca 175,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.2 ccm (10.63 cubic inches),"Single cylinder, four-stroke",,Carburettor,Chain   (final drive),Single cradle,Telescopic ,Swingarm-two shocks,Expanding brake (drum brake),Expanding brake (drum brake). Simplex,Dual ,,,9.4 HP (6.9  kW)) @ 6500 RPM,,,,Air,4-speed,2.50-17 ,2.75-17 ,Spoked,110.0 kg (242.5 pounds),0.0855 HP/kg,,17.00 litres (4.49 US gallons),Kick,,,,,Bobine,Wet multiplate,,,,,,,,,,,,,,,,,
Moto Guzzi Regolarita 250,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor,Chain   (final drive),,Telescopic fork,,Expanding brake (drum brake),Expanding brake (drum brake),Single Seat,,,17.0 HP (12.4  kW)) @ 7500 RPM,132.0 km/h (82.0 mph),,Overhead Valves (OHV),Air,5-speed,,,,,,1314 mm (51.7 inches),12.00 litres (3.17 US gallons),,,,,,,Wet multiplate,,,,,,,,,,,,,,,,,
Harley-Davidson AH Topper-Scooter,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,164.0 ccm (10.01 cubic inches),"Single cylinder, two-stroke",60.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor,,,Leading link,Swingarm with two extension springs,Expanding brake (drum brake),Expanding brake (drum brake),,,,,74.0 km/h (46.0 mph),8.0:1,,,,,,,,,,6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,
Honda Juno C130,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,190.0 ccm (11.59 cubic inches),"Single cylinder, four-stroke",65.0 x 57.0 mm (2.6 x 2.2 inches),Carburettor,Chain   (final drive),,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,6.5 HP (4.7  kW)) @ 4800 RPM,,,Overhead Valves (OHV),,3-speed,,,Spoked,160.0 kg (352.7 pounds),0.0406 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB77,1963,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, four-stroke",60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor. Keihin,Chain   (final drive),Tubular Steel,Telescopic,Twin Shock,Expanding brake (drum brake),Expanding brake (drum brake),,"760 mm (29.9 inches) If adjustable, lowest setting.",,28.5 HP (20.8  kW)) @ 9000 RPM,152.9 km/h (95.0 mph),8.1:1,Overhead Cams (OHC),Air,4-speed,2.75-18 ,3-18 ,,159.0 kg (350.5 pounds),0.1792 HP/kg,1300 mm (51.2 inches),14.00 litres (3.70 US gallons),Electric & kick,,,,Battery and Coil,,Wet Plate,,,,,,Black,2,,,,,,,,,,
Agrati Capri 50 S,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",40.0 x 39.0 mm (1.6 x 1.5 inches),Carburettor. DellÓrto,Chain   (final drive),,,Swingarm ,Expanding brake (drum brake),Expanding brake (drum brake),,,Garelli,4.3 HP (3.1  kW)) @ 6500 RPM,,10.3:1,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heinkel A2,1963,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",60.0 x 61.5 mm (2.4 x 2.4 inches),Carburettor,,,,,Expanding brake (drum brake),Expanding brake (drum brake),Dual ,,,,,,,Air,,,,,148.0 kg (326.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
