Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Fuel system,Torque,1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Starter,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Rear percentage of weight,Alternate seat height,Comments,Modifications compared to previous model,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Chain links,Sprockets,Seat,Instruments,Electrical,Light,Carrying capacity,Wheels,Engine details,Battery,Driveline
Suzuki GR 650 X,1985,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7200 RPM,161.0 km/h (100.0 mph),8.7:1,77.0 x 70.0 mm (3.0 x 2.8 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-19 ,130/90-16 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),12.00 litres (3.17 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger USA,1985,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Single disc,182.0 kg (401.2 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R65 (reduced effect),1985,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,147.0 km/h (91.3 mph),8.4:1,82.0 x 61.5 mm (3.2 x 2.4 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C,1985,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",82.0 HP (59.9  kW)) @ 9500 RPM,187.0 km/h (116.2 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-16 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),14.00 litres (3.70 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 400 WR,1985,Trial," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,110.0 km/h (68.4 mph),12.5:1,82.5 x 74.0 mm (3.2 x 2.9 inches),Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,5.00-18 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Z50R,1985,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",,,,,,Air,,Chain   (final drive),,,,,,,2,Carburettor,,,,,,,,,,,,,,,dual shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive (reduced effect),1985,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,306.0 ccm (18.67 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,125.0 km/h (77.7 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XZ 550,1985,Touring," 2.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,178.0 km/h (110.6 mph),10.5:1,80.0 x 55.0 mm (3.1 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,4.25/85-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),17.00 litres (4.49 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XBR 500 N,1985,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 7000 RPM,171.0 km/h (106.3 mph),8.9:1,92.0 x 75.0 mm (3.6 x 3.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic,1985,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,155.0 km/h (96.3 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MT 90-16 ,MT 90-16 ,Dual disc,Single disc,354.0 kg (780.4 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 350,1985,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,135.0 km/h (83.9 mph),9.0:1,86.0 x 59.6 mm (3.4 x 2.3 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-21 ,110/80-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),12.00 litres (3.17 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 R (reduced effect),1985,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,110.0 km/h (68.4 mph),10.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,131.0 kg (288.8 pounds),9.00 litres (2.38 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 ES,1985,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9500 RPM,210.0 km/h (130.5 mph),9.6:1,67.0 x 53.0 mm (2.6 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-16 ,120/90-17 ,Dual disc,Single disc,238.0 kg (524.7 pounds),19.00 litres (5.02 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 Low Glide Custom,1985,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5200 RPM,165.0 km/h (102.5 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,287.0 kg (632.7 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F 2,1985,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",60.0 HP (43.8  kW)) @ 10000 RPM,190.0 km/h (118.1 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,213.0 kg (469.6 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda V65 VF1100S Sabre,1985,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1098.0 ccm (67.00 cubic inches),"V4, four-stroke",121.0 HP (88.3  kW)) @ 9500 RPM,249.0 km/h (154.7 mph),10.5:1,79.5 x 55.3 mm (3.1 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,Single disc,,,4,Carburettor. 4  CV 36 mm,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 7500 RPM,,9500,Electronic,Wet Sump,Wet,,,4 into 2,Double Cradle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 GT,1985,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9500 RPM,198.0 km/h (123.0 mph),9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,120/90-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),24.50 litres (6.47 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 1000 SS Hailwood-Replica,1985,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",973.0 ccm (59.37 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 6700 RPM,220.0 km/h (136.7 mph),9.3:1,88.0 x 80.0 mm (3.5 x 3.1 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,130/80-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet De Luxe,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 K 2,1985,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,141.0 km/h (87.6 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,3.50-18 ,Dual disc,Single disc,160.0 kg (352.7 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F,1985,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",60.0 HP (43.8  kW)) @ 10000 RPM,191.0 km/h (118.7 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 350 Alazzurra,1985,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 8750 RPM,146.0 km/h (90.7 mph),10.5:1,66.0 x 51.0 mm (2.6 x 2.0 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),90/90-18 ,110/80-18 ,Dual disc,Single disc,205.0 kg (451.9 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 TL,1985,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",581.0 ccm (35.45 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,175.0 km/h (108.7 mph),9.5:1,80.0 x 57.8 mm (3.1 x 2.3 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350,1985,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,190.0 km/h (118.1 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Membrane & power valve,Liquid,6-speed,Chain   (final drive),90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CH 250 Spacy - Elite,1985,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,9.8:1,72.0 x 60.0 mm (2.8 x 2.4 inches),,Liquid,,Belt   (final drive),,,,,,8.00 litres (2.11 US gallons),,Carburettor. Keihin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900,1985,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,217.0 km/h (134.8 mph),9.6:1,68.5 x 60.5 mm (2.7 x 2.4 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 F 1,1985,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,206.0 km/h (128.0 mph),9.3:1,88.0 x 61.5 mm (3.5 x 2.4 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,189.0 kg (416.7 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 125 C,1985,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,91.0 km/h (56.5 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,110/90-16 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG 400 Gamma,1985,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",397.4 ccm (24.25 cubic inches),"V4, two-stroke",59.0 HP (43.1  kW)) @ 9000 RPM,205.0 km/h (127.4 mph),7.0:1,50.0 x 50.6 mm (2.0 x 2.0 inches),Rotary valves,Liquid,6-speed,Chain   (final drive),2.50-16 ,2.75-17 ,Double disc. 4-piston calipers,Single disc. 2-piston caliper,181.0 kg (399.0 pounds),22.00 litres (5.81 US gallons),1,"Carburettor. Mikuni VM28SH (VM28SS), four (Flat Slide)",,11.80 seconds,10000,electronic SUZUKI ´PEI´ 14deg B.T.D.C.below1700rpm 26deg B.T.D.C. (2700 - 6000rpm) 11deg B.T.D.C.above9500rpm; NGK : BR9ES; 12V 14.4KC (4Ah)/10HR; Three-phase AC.; 20A,Suzuki ´CCI´ Oil pump injection (carbs) + Wet sump (transmission/clutch),Wet 8-plate type,9.00 litres/100 km (11.1 km/l or 26.14 mpg),208.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,4 into 4 steel pipes with expansion chambers,"Double downtube, full cradle, box section aluminium perimetre frame",25.5°,110 mm (4.3 inches),"38mm Telescopic pneumatic/coil spring oil damped with posi-damp unit, adjustable anti dive valving. Spring pre-load fully adjustable",130 mm (5.1 inches),"Full-floating suspension sytem, gas/oil damped, spring pre-load fully adjustable",127 mm (5.0 inches),210 mm (8.3 inches),154.0 kg (339.5 pounds),0.3831 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1185 mm (46.7 inches),2100 mm (82.7 inches),695 mm (27.4 inches),120 mm (4.7 inches),1425 mm (56.1 inches),5.00 litres (1.32 US gallons),,"Blue/white, Black/white, Black/red",Kick,4.90 seconds,,49.0,51.0,,"Differences to the 500 model: cylinders; gaskets; cylinder heads; upper engine case is different, would be needed to drill out for a 500 barrel fittment; big end crankshaft needle bearing has one less pin than the 500; 2 different RVs and both different to the 500, different inner-outer covers and rotary valves themselves, only in the center match, same durations; shorter clutch basket; shorter clutch hub; 8 instead of 9 clutch plates; shape of the carb needle, #135 main jet instead of #120 (500); exhaust pipes have thinner stingers and only there, the lower silencers themselves; 400+500 exhaust pipes are interchangeable; final ratio 15/41 instead of 16/40 (500); 525 chain instead of 530 (500); decals, but only on the side panels next to the front seat; 400 has the fuel integrated gauges; tank with fuel gauge output adaption; electrical harness has only a few wires more for fuel gauge; front break rotors are ´no´ floating type.",,,,,,,,,,,,,,,,,,,,,
Honda VT 500 E,1985,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,187.0 km/h (116.2 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),17.00 litres (4.49 US gallons),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 250 S,1985,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,117.0 km/h (72.7 mph),9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,129.0 kg (284.4 pounds),9.50 litres (2.51 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100C Shadow,1985,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",78.0 HP (56.9  kW)) @ 6000 RPM,172.0 km/h (106.9 mph),9.0:1,87.5 x 91.4 mm (3.4 x 3.6 inches),Single Overhead Cams (SOHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),110/90-18 ,140/90-15 ,Single disc. Two-piston calipers. ,Expanding brake (drum brake),265.0 kg (584.2 pounds),13.00 litres (3.43 US gallons),3,Carburettor. 2 x 36mm Keihin ,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,,,CDI,,,,,,,33.0°,154 mm (6.0 inches),41mm Showa telescopic forks,150 mm (5.9 inches),Dual shock,100 mm (3.9 inches),195 mm (7.7 inches),245.0 kg (540.1 pounds),0.3184 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,2325 mm (91.5 inches),,135 mm (5.3 inches),1610 mm (63.4 inches),3.00 litres (0.79 US gallons),3.10 litres (3.28 US quarts),,Electric,,,,,,,,SAE 10W-40,DOT 4,3.00 litres (0.79 US gallons),"NGK DPR7EA-9, NGK DPR7EIX-9",1000  +/- 100  RPM,33 PSI (2.3 Bar or 225 kPa),33 PSI (2.3 Bar or 225 kPa),41 mm (1.6 inches),,,,,,,,,,,,
Suzuki GNX 250 E,1985,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,122.0 km/h (75.8 mph),9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,120/90-16 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),10.00 litres (2.64 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250,1985,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5200 RPM,130.0 km/h (80.8 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600,1985,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9250 RPM,177.0 km/h (110.0 mph),10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Double disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,212.0 kg (467.4 pounds),20.00 litres (5.28 US gallons),2,Carburettor,53.9 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 7000 RPM,,,CDI,,Wet multi-plate,5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Steel, double cradle",,,Telescopic forks,,Monocross rising rate with 5-way preload,,267 mm (10.5 inches),212.0 kg (467.4 pounds),0.2358 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1205 mm (47.4 inches),2169 mm (85.4 inches),770 mm (30.3 inches),,1445 mm (56.9 inches),,2.60 litres (2.75 US quarts),"Red/white, black/grey",Electric,,,,,,Also called Yamaha XJ 600 Diversion.,,SAE 20W-40,DOT 4,,"NGK DR8ES-L, NGK DR8EIX",1150-1250  RPM,26 PSI (1.8 Bar or 180 kPa),29 PSI (2 Bar or 200 kPa),36 mm (1.4 inches),Yamalube 10W-40,106,16/44 (front/rear),,,,,,,,,
KTM 300 GS Enduro Sport,1985,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",273.0 ccm (16.66 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),15.0:1,71.0 x 69.0 mm (2.8 x 2.7 inches),Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,117.0 kg (257.9 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
