Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Front brakes,Torque,Fuel system,Clutch,Front suspension,Rear suspension,Diameter,Wheels,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Starter,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Front wheel travel,Instruments,Electrical,Light,Comments,Overall height,Color options,Reserve fuel capacity,Driveline,Rear wheel travel,Factory warranty,Rake (fork angle),Trail,Oil capacity
Yamaha DT 250,1973,Trial," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,137.0 km/h (85.1 mph),6.8:1,70.0 x 64.0 mm (2.8 x 2.5 inches),Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,129.0 kg (284.4 pounds),9.00 litres (2.38 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 100 G5,1973,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",,106.2 km/h (66.0 mph),7.0:1,49.5 x 51.8 mm (2.0 x 2.0 inches),Rotary valves,Air,5-speed,,2.75-19 ,3.00-18 ,Expanding brake (drum brake),,7.94 litres (2.10 US gallons),,Expanding brake (drum brake),,Carburettor,"Wet, Multi-Disc",Long Travel Ceriani-type Telescopic Forks,5-Way Adjustable Dual Shock Swing Arm,,,86.6 kg (191.0 pounds),,,1943 mm (76.5 inches),851 mm (33.5 inches),241 mm (9.5 inches),1245 mm (49.0 inches),Kick,,,,,Magneto,Super Lube Auto Oil Injection,,,,Tubular Steel Double Cradle,,,,,The Kawasaki spec sheet indicates acceleration to be SS 1/8th Mile: 11.5sec,1054 mm (41.5 inches),Candy Orange or Candy Blue -on Black,,,,,,,
Norton Commando 750 Roadster,1973,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 6200 RPM,185.0 km/h (115.0 mph),8.5:1,73.0 x 89.0 mm (2.9 x 3.5 inches),Overhead Valves (OHV),Oil & air,,Chain   (final drive),,,Expanding brake (drum brake). cable,,25.00 litres (6.61 US gallons),2,Single disc. 1-piston calipers,,Carburettor. twin amal 32 mm,,roadholder telescopic forks,swingarm and shock absorbers,,,,,,,,,1448 mm (57.0 inches),Kick,,,,8000,2-coil,,,,,duplex tubular,152 mm (6.0 inches),,,,,,,,,,,,,
Kawasaki 750 H 2 Mach IV,1973,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line three, two-stroke",71.0 HP (51.8  kW)) @ 6800 RPM,203.0 km/h (126.1 mph),7.0:1,71.0 x 63.0 mm (2.8 x 2.5 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,210.0 kg (463.0 pounds),17.00 litres (4.49 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125,1973,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5750 RPM,100.0 km/h (62.1 mph),8.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado 650 S,1973,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",643.0 ccm (39.24 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,175.0 km/h (108.7 mph),9.6:1,84.0 x 58.0 mm (3.3 x 2.3 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,222.0 kg (489.4 pounds),12.50 litres (3.30 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 V,1973,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 8200 RPM,161.0 km/h (100.0 mph),10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Expanding brake,150.0 kg (330.7 pounds),16.00 litres (4.23 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 100,1973,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 10500 RPM,110.0 km/h (68.4 mph),9.5:1,50.5 x 49.5 mm (2.0 x 1.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,92.0 kg (202.8 pounds),10.00 litres (2.64 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3,1973,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,130.0 km/h (80.8 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Falcone Sport,1973,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",28.0 HP (20.4  kW)) @ 4800 RPM,140.0 km/h (87.0 mph),6.9:1,88.0 x 82.0 mm (3.5 x 3.2 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,215.0 kg (474.0 pounds),18.00 litres (4.76 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 SS,1973,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",15.0 HP (10.9  kW)) @ 10500 RPM,121.0 km/h (75.2 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,134.0 kg (295.4 pounds),10.00 litres (2.64 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250,1973,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 10500 RPM,150.0 km/h (93.2 mph),9.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 3,1973,Speedway," 2.7  See the detailed rating of engine performance, racing track capabilities, maintenance costs, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,120.0 km/h (74.6 mph),8.5:1,61.8 x 58.0 mm (2.4 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,171.0 kg (377.0 pounds),18.00 litres (4.76 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",88.0 HP (64.2  kW)) @ 6000 RPM,207.0 km/h (128.6 mph),9.8:1,75.0 x 66.6 mm (3.0 x 2.6 inches),Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,278.0 kg (612.9 pounds),34.00 litres (8.98 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK 125 LT,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",14.0 HP (10.2  kW)) @ 7500 RPM,122.0 km/h (75.8 mph),10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),Port control,Air,5-speed,Chain   (final drive),2.50-17 ,2.75-17 ,Expanding brake,114.0 kg (251.3 pounds),13.00 litres (3.43 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKW RT 125 E,1973,Allround," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,120.0 km/h (74.6 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Expanding brake,108.0 kg (238.1 pounds),10.50 litres (2.77 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp GS 125,1973,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",18.0 HP (13.1  kW)) @ 7600 RPM,115.0 km/h (71.5 mph),,,,Air,,Chain   (final drive),,,,,10.00 litres (2.64 US gallons),,,,,,,,,,109.0 kg (240.3 pounds),0.1651 HP/kg,,,,,,,,,,,,,,,,,,,,,,,racing-red / black,3.00 litres (0.79 US gallons),,,,,,
Puch 125 GS (6-speed),1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7800 RPM,100.0 km/h (62.1 mph),11.5:1,55.0 x 52.0 mm (2.2 x 2.0 inches),Port control,Air,6-speed,Chain   (final drive),3.00-21 ,3.50-18 ,Expanding brake,124.0 kg (273.4 pounds),9.00 litres (2.38 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 850 California,1973,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6100 RPM,175.0 km/h (108.7 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,263.0 kg (579.8 pounds),22.50 litres (5.94 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 120 V Bonneville 650,1973,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7200 RPM,176.0 km/h (109.4 mph),9.0:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,192.0 kg (423.3 pounds),18.00 litres (4.76 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SL 70,1973,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,70.0 ccm (4.27 cubic inches),"Single cylinder, four-stroke",,80.5 km/h (50.0 mph),,,,Air,4-speed,Chain   (final drive),,,Expanding brake (drum brake),,,2,Expanding brake (drum brake),,Carburettor,,,,,,,,,,,,,Kick,,,,,,,,,,,,Speedo,,Yes street legal,,,,,,,,,,
MBK 350,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"In-line three, two-stroke",38.0 HP (27.7  kW)) @ 7800 RPM,165.0 km/h (102.5 mph),10.0:1,53.0 x 52.8 mm (2.1 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,174.0 kg (383.6 pounds),20.00 litres (5.28 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R90S,1973,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,898.0 ccm (54.80 cubic inches),"Two cylinder boxer, four-stroke",67.1 HP (48.9  kW)) @ 7000 RPM,200.0 km/h (124.3 mph),9.5:1,90.0 x 70.6 mm (3.5 x 2.8 inches),,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake (drum brake),215.0 kg (474.0 pounds),24.00 litres (6.34 US gallons),,Double disc,76.0 Nm (7.7 kgf-m or 56.1 ft.lbs) @ 5500 RPM,Carburettor. Dell´Orto ,Dry Single Plate,"Telescopic fork, hydraulic",Swingarm ,200 mm (7.9 inches),,,,"820 mm (32.3 inches) If adjustable, lowest setting.",2180 mm (85.8 inches),740 mm (29.1 inches),,1465 mm (57.7 inches),,,,,,Kettering,,,,,Double Loop Tubular,,,,,,1210 mm (47.6 inches),Yellow,,,,,,,
Triumph T 150 V Trident 750,1973,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",60.0 HP (43.8  kW)) @ 7250 RPM,194.0 km/h (120.5 mph),8.3:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Expanding brake,228.0 kg (502.7 pounds),19.00 litres (5.02 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 75-6,1973,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6200 RPM,181.0 km/h (112.5 mph),9.0:1,82.0 x 70.6 mm (3.2 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,227.0 kg (500.4 pounds),18.00 litres (4.76 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 500 H 1 Mach III,1973,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"In-line three, two-stroke",58.0 HP (42.3  kW)) @ 7750 RPM,186.0 km/h (115.6 mph),6.8:1,60.0 x 58.8 mm (2.4 x 2.3 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,210.0 kg (463.0 pounds),15.00 litres (3.96 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250 (6-speed),1973,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",30.0 HP (21.9  kW)) @ 7500 RPM,155.0 km/h (96.3 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,162.0 kg (357.1 pounds),16.00 litres (4.23 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-9,1973,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,,,,Expanding brake,,,,,,,,210.0 kg (463.0 pounds),0.1524 HP/kg,,,,,,,,,,,,,,,,,,,,,Manufactured by Dnepr in Kiev from 1971 to 1976.,,,,,,,,,
Ducati 350 Mark 3,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8500 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH 1000 Sportster,1973,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,185.0 km/h (115.0 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Expanding brake,220.0 kg (485.0 pounds),15.00 litres (3.96 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 SS,1973,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8000 RPM,217.0 km/h (134.8 mph),9.5:1,80.0 x 74.4 mm (3.1 x 2.9 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),2,Dual disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TX 500,1973,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",500.0 ccm (30.51 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,177.0 km/h (110.0 mph),10.0:1,,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),,15.14 litres (4.00 US gallons),4,Single disc,,Carburettor. 2 Keihin,Wet Plate,,adjustable,,,192.8 kg (425.0 pounds),0.2594 HP/kg,,,,,,Electric & kick,,,,9000,,Wet sump,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,double stainless steel pipes,Steel,,,,,,,,,,,,,,
Honda CB 550 Four K,1973,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",548.0 ccm (33.44 cubic inches),"In-line four, four-stroke",,,,,Overhead Cams (OHC),Air,5-speed,,,,Expanding brake (drum brake),,,2,Single disc,,Carburettor,,,,,,,,,,,,,Electric & kick,,,,,,,,,,Steel Tube,,,,,,,Black  and  White or Dark Blue and White,,,,,,,
Münch 4-1200 TTS-E,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,200.0 km/h (124.3 mph),8.5:1,75.0 x 66.6 mm (3.0 x 2.6 inches),Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,319.0 kg (703.3 pounds),34.00 litres (8.98 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250 (5-speed),1973,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",30.0 HP (21.9  kW)) @ 7500 RPM,155.0 km/h (96.3 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Membrane,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,162.0 kg (357.1 pounds),16.00 litres (4.23 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 450 WR,1973,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",450.0 ccm (27.46 cubic inches),"Single cylinder, two-stroke",36.0 HP (26.3  kW)),,,,Port control,Air,5-speed,Shaft drive (cardan)   (final drive),,-17 ,Expanding brake (drum brake),,,,Expanding brake (drum brake),,Carburettor. Bing,Wet multiplate,,,,,,,,,,,,Kick,,,,,"Magneto, points",,,,,CrMo steel,178 mm (7.0 inches),,,,,,,,Chain,102 mm (4.0 inches),None,,,
Fantic TX 141 Chopper,1973,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 6870 RPM,103.0 km/h (64.0 mph),9.3:1,55.0 x 52.0 mm (2.2 x 2.0 inches),Port control,Air,5-speed,Chain   (final drive),2.75-16 ,5.00-16 ,Expanding brake,110.0 kg (242.5 pounds),6.00 litres (1.59 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CL350,1973,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",325.0 ccm (19.83 cubic inches),"Twin, four-stroke",,,,,,Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake (drum brake),,9.00 litres (2.38 US gallons),,,,Carburettor,,,,,,157.0 kg (346.1 pounds),,,2020 mm (79.5 inches),830 mm (32.7 inches),,1320 mm (52.0 inches),,,,,,,,,,,,,,,,,1090 mm (42.9 inches),"Blue/Black, Crome Fenders",2.00 litres (0.53 US gallons),,,,27.0°,95 mm (3.7 inches),2.00 litres (2.11 US quarts)
Hercules K 125 Military,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 3 (with sidecar),1973,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,100.0 km/h (62.1 mph),8.5:1,61.8 x 58.0 mm (2.4 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,250.0 kg (551.2 pounds),18.00 litres (4.76 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 250,1973,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",31.0 HP (22.6  kW)) @ 8000 RPM,155.0 km/h (96.3 mph),7.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,165.0 kg (363.8 pounds),15.00 litres (3.96 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Scrambler,1973,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,125.0 km/h (77.7 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500 F,1973,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",48.0 HP (35.0  kW)) @ 9000 RPM,179.0 km/h (111.2 mph),9.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.50-18 ,Expanding brake,202.0 kg (445.3 pounds),14.00 litres (3.70 US gallons),2,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 175,1973,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5600 RPM,110.0 km/h (68.4 mph),8.7:1,58.0 x 65.0 mm (2.3 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3,1973,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,145.0 km/h (90.1 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),2,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
