Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Frame type,Dry weight,Power/weight ratio,Overall height,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,Front suspension,Overall length,Overall width,Ground clearance,Wheelbase,Oil capacity,Modifications compared to previous model,Comments,Rear suspension,Color options,Torque,Diameter,Engine details,Front wheel travel,Wheels,Seat height,Reserve fuel capacity,Electrical,Factory warranty,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Rear wheel travel,Oil filter,Battery,Chain size,Chain links,Pulley teeth,Fork tube size
Ural M-63 (with sidecar),1975,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",20.6 HP (15.0  kW)) @ 5200 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,Air,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,320.0 kg (705.5 pounds),0.0644 HP/kg,,,,,,,,,,,,,,,,,,Motorcycle model made by the Ural Irbits factory from 1963 to 1980.,,,,,,,,,,,,,,,,,,,,,
Benelli 125 2 C,1975,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",13.0 HP (9.5  kW)) @ 7600 RPM,111.0 km/h (69.0 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2. 75-18 ,3.00-18 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 750 Sei,1975,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line six, four-stroke",58.0 HP (42.3  kW)) @ 8500 RPM,180.0 km/h (111.8 mph),9.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Expanding brake,255.0 kg (562.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr K-750 M,1975,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,Military motorcyle manufactured at the Dnepr Kiev factory 1963-1977.,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS,1975,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",88.0 HP (64.2  kW)) @ 6000 RPM,207.0 km/h (128.6 mph),9.8:1,75.0 x 66.6 mm (3.0 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,278.0 kg (612.9 pounds),34.00 litres (8.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki G5 100,1975,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)),,,49.5 x 51.8 mm (1.9 x 2.0 inches),,,Air,,Chain   (final drive),,,,,,7.94 litres (2.10 US gallons),Carburettor,,88.5 kg (195.0 pounds),0.1244 HP/kg,1069 mm (42.1 inches),Kick,magneto,,,,,single exhaust pipe,29.5°,119 mm (4.7 inches),telescopic fork,1981 mm (78.0 inches),859 mm (33.8 inches),241 mm (9.5 inches),1260 mm (49.6 inches),,,,adjustable shocks,"Candy Blue, Candy Orange",,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1975,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",231.0 ccm (14.10 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),10.3:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,134.0 kg (295.4 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 500 Sahara,1975,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",25.0 HP (18.2  kW)) @ 4800 RPM,123.0 km/h (76.4 mph),6.9:1,88.0 x 82.0 mm (3.5 x 3.2 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,219.0 kg (482.8 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 66 (with sidecar),1975,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 4500 RPM,105.0 km/h (65.2 mph),7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,335.0 kg (738.5 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 250,1975,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 5500 RPM,127.0 km/h (78.9 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-16 ,3.50-16 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado 650 S,1975,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,643.0 ccm (39.24 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,175.0 km/h (108.7 mph),9.6:1,84.0 x 58.0 mm (3.3 x 2.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,222.0 kg (489.4 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha MX 175 B,1975,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",,,,,,Membrane,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,Carburettor,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1200 Electra Glide,1975,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,135.0 km/h (83.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Single disc,Single disc,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 900,1975,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",900.0 ccm (54.92 cubic inches),"In-line four, four-stroke",,,,,2,Double Overhead Cams/Twin Cam (DOHC),Air,,,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 3,1975,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,120.0 km/h (74.6 mph),8.5:1,61.8 x 58.0 mm (2.4 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,171.0 kg (377.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KR250,1975,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",55.0 HP (40.1  kW)) @ 12000 RPM,241.4 km/h (150.0 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Liquid,,,3.25-18 ,3.5-17 ,Double disc,Double disc,,,Carburettor. Mikuni 34mm,Steel double cradle frame,104.0 kg (229.3 pounds),0.5288 HP/kg,,,Kokusan generator,,,,,,,,Telescopic fork,,,,1360 mm (53.5 inches),,,,,Green,47.5 Nm (4.8 kgf-m or 35.0 ft.lbs) @ 10000 RPM,210 mm (8.3 inches),,,,,,,,,,,,,,,,,
Yamaha DT 360,1975,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",352.0 ccm (21.48 cubic inches),"Single cylinder, two-stroke",32.0 HP (23.4  kW)) @ 6000 RPM,133.0 km/h (82.6 mph),6.3:1,80.0 x 70.0 mm (3.1 x 2.8 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,134.0 kg (295.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 150 V Trident 750,1975,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",60.0 HP (43.8  kW)) @ 7250 RPM,194.0 km/h (120.5 mph),8.3:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Single disc,Expanding brake,228.0 kg (502.7 pounds),20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250,1975,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",32.0 HP (23.4  kW)) @ 8000 RPM,163.0 km/h (101.3 mph),7.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,158.0 kg (348.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 125 GS,1975,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 8200 RPM,100.0 km/h (62.1 mph),11.5:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,3.50-18 ,Expanding brake,Expanding brake,124.0 kg (273.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 G,1975,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 9500 RPM,141.0 km/h (87.6 mph),9.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,178.0 kg (392.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 650,1975,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 6800 RPM,181.0 km/h (112.5 mph),8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Dual disc,Expanding brake,227.0 kg (500.4 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am TnT 250cc,1975,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",29.0 HP (21.2  kW)) @ 8000 RPM,128.8 km/h (80.0 mph),13.0:1,74.0 x 57.5 mm (2.9 x 2.3 inches),,Rotary valves,Air,,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake (drum brake). Single leading shoe 6´´ x1´´,Expanding brake (drum brake). Single leading shoe 6´´ x1´´,119.8 kg (264.0 pounds),9.50 litres (2.51 US gallons),Carburettor. Bing 32mm Type V-84,Tubular double loop space frame with tapered backbone,110.7 kg (244.0 pounds),0.2620 HP/kg,1143 mm (45.0 inches),Kick,"Bosch electronic CDI,  30.000V ,  55W",Wet sump,Multi-plate 5 disc / oil bath ,8.40 litres/100 km (11.9 km/l or 28.00 mpg),194.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,30.0°,,Betor Teledraulic ,2134 mm (84.0 inches),864 mm (34.0 inches),178 mm (7.0 inches),1397 mm (55.0 inches),2.20 litres (2.32 US quarts),,Battery 12V Yuasa 12N5-4B,S and W Shocks,,,,Rotax,165 mm (6.5 inches),"Chrome, Wire spoke","838 mm (33.0 inches) If adjustable, lowest setting.",0.67 litres (0.18 US gallons),Spark plug number Champion N57G,90 days  ,,,,,,,,,,
Honda CB 350 disc,1975,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",325.0 ccm (19.83 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 10500 RPM,165.0 km/h (102.5 mph),9.5:1,64.0 x 50.6 mm (2.5 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400,1975,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 8500 RPM,149.0 km/h (92.6 mph),9.4:1,64.0 x 62.0 mm (2.5 x 2.4 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 3 (with sidecar),1975,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,100.0 km/h (62.1 mph),8.5:1,61.8 x 58.0 mm (2.4 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,250.0 kg (551.2 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 400,1975,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",397.0 ccm (24.22 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 5600 RPM,136.0 km/h (84.5 mph),6.4:1,85.0 x 70.0 mm (3.3 x 2.8 inches),,Membrane,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,9.00 litres (2.38 US gallons),Carburettor. Mikuni,,123.4 kg (272.0 pounds),0.1702 HP/kg,1140 mm (44.9 inches),Kick,CDI,,,,,,,,,2180 mm (85.8 inches),870 mm (34.3 inches),,1410 mm (55.5 inches),,,,,Yamaha Competition Yellow,37.3 Nm (3.8 kgf-m or 27.5 ft.lbs) @ 5000 RPM,,,,,,,,,7000,,,,,,,,,
MuZ TS 150,1975,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 6300 RPM,105.0 km/h (65.2 mph),10.0:1,56.0 x 58.0 mm (2.2 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,117.0 kg (257.9 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1975,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,213.0 km/h (132.4 mph),9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 66,1975,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 4500 RPM,125.0 km/h (77.7 mph),7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,215.0 kg (474.0 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 S,1975,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,117.0 km/h (72.7 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batavus HS-50,1975,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,48.0 ccm (2.93 cubic inches),"Single cylinder, four-stroke",2.4 HP (1.8  kW)) @ 5000 RPM,56.3 km/h (35.0 mph),7.0:1,40.0 x 38.0 mm (1.6 x 1.5 inches),,,Air,Automatic,,2.00-16 ,2.00-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,5.00 litres (1.32 US gallons),Carburettor. Encarwi S22,,40.8 kg (90.0 pounds),0.0588 HP/kg,,Kick,magneto,,Automatic dry centrifugal ,,,,,,Telescopic forks with internal springs,1626 mm (64.0 inches),965 mm (38.0 inches),,,,,British moped made 1975-1979.,Pivoting fork,Red,,,Laura Engine,,,"711 mm (28.0 inches) If adjustable, lowest setting.",,6V ,,,,,,,,,,,
MV Agusta 500 Four,1975,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,433.0 ccm (26.42 cubic inches),"In-line four, four-stroke",79.1 HP (57.8  kW)) @ 14000 RPM,285.0 km/h (177.1 mph),,56.0 x 44.0 mm (2.2 x 1.7 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,,,,,Double disc,Double disc,,,,Doble Cradle,,,,,,,Dry Multiple,,,,,,Telescopic,,,,,,,,Swingarm ,Red,,,,,,,,,,,,,,,,,,,
Honda CB 360 G,1975,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",357.0 ccm (21.78 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 9000 RPM,165.0 km/h (102.5 mph),9.3:1,67.0 x 50.6 mm (2.6 x 2.0 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,178.0 kg (392.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 860 GT,1975,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,180.0 km/h (111.8 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Expanding brake,235.0 kg (518.1 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 S,1975,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9200 RPM,220.0 km/h (136.7 mph),9.5:1,65.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 200,1975,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,124.0 km/h (77.1 mph),9.0:1,55.5 x 41.0 mm (2.2 x 1.6 inches),2,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc. Cable operated,Expanding brake,142.0 kg (313.1 pounds),9.00 litres (2.38 US gallons),Carburettor,,,,,Electric & kick,,,,,,,,,Telescopic fork,,,,,,,Model id: CB200B.,Dual shocks,,,,,,,"762 mm (30.0 inches) If adjustable, lowest setting.",,,,,13.30 seconds,19.30 seconds,,,,,,,
MV Agusta 125 S,1975,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 8200 RPM,111.0 km/h (69.0 mph),9.0:1,53.0 x 56.0 mm (2.1 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,108.0 kg (238.1 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 500,1975,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"In-line three, two-stroke",52.0 HP (38.0  kW)) @ 7000 RPM,182.0 km/h (113.1 mph),6.4:1,60.0 x 58.8 mm (2.4 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 125,1975,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",9.6 HP (7.0  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),6.7:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,105.0 kg (231.5 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SL 125 S,1975,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9700 RPM,102.0 km/h (63.4 mph),9.5:1,56.5 x 49.5 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,108.0 kg (238.1 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350,1975,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",39.0 HP (28.5  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),6.6:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,162.0 kg (357.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 California,1975,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6100 RPM,175.0 km/h (108.7 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Single disc,Expanding brake,263.0 kg (579.8 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 175,1975,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 6340 RPM,121.0 km/h (75.2 mph),6.8:1,66.0 x 50.0 mm (2.6 x 2.0 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,107.0 kg (235.9 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
