Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Exhaust system,Comments,Modifications compared to previous model,Dry weight,Power/weight ratio,Max RPM,Valves per cylinder,Clutch,Fuel consumption,Greenhouse gases,Color options,Starter,Torque,Overall height,Overall length,Overall width,Ignition,Front suspension,Rear suspension,Diameter,Seat height,Wheelbase,Engine details,Wheels,Seat,Carrying capacity,Frame type,Lubrication system,Rake (fork angle),Trail,Ground clearance,Oil capacity,Electrical
Harley-Davidson XLH 900 Sportster,1970,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",882.0 ccm (53.82 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 6300 RPM,180.0 km/h (111.8 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Expanding brake,Expanding brake,240.0 kg (529.1 pounds),15.00 litres (3.96 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ES 250-2 Trophy (with sidecar),1970,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 5000 RPM,100.0 km/h (62.1 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),3.25-16 ,3.50-16 ,Expanding brake,Expanding brake,223.0 kg (491.6 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha R 3,1970,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",345.0 ccm (21.05 cubic inches),"Twin, two-stroke",36.0 HP (26.3  kW)) @ 7000 RPM,165.0 km/h (102.5 mph),7.5:1,61.0 x 59.0 mm (2.4 x 2.3 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,Expanding brake,154.0 kg (339.5 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 350,1970,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",325.0 ccm (19.83 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 10500 RPM,165.0 km/h (102.5 mph),9.5:1,64.0 x 50.6 mm (2.5 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgestone 350 GTR,1970,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Twin, two-stroke",40.0 HP (29.2  kW)) @ 7500 RPM,152.9 km/h (95.0 mph),9.3:1,61.0 x 59.0 mm (2.4 x 2.3 inches),Rotary valves,Air,,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,15.00 litres (3.96 US gallons),Carburettor. Mikuni ,,,,160.6 kg (354.1 pounds),0.2491 HP/kg,,,Dry multiplate,,,Red,Kick,,,,775 mm (30.5 inches),,Gaitered,Twin Shock Absorber,178 mm (7.0 inches),"825 mm (32.5 inches) If adjustable, lowest setting.",1374 mm (54.1 inches),,Spoked,Dual ,,Steel double cradle ,,,,,,
Norton Commando 750,1970,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 6800 RPM,170.0 km/h (105.6 mph),9.0:1,73.0 x 89.0 mm (2.9 x 3.5 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,195.0 kg (429.9 pounds),10.00 litres (2.64 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki A 80,1970,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",80.0 ccm (4.88 cubic inches),"Single cylinder, two-stroke",7.7 HP (5.6  kW)) @ 7500 RPM,96.0 km/h (59.7 mph),7.0:1,47.0 x 42.0 mm (1.9 x 1.7 inches),Port control,Air,,,,,,,,7.00 litres (1.85 US gallons),Carburettor. Amal VM 15SC,,,,,,,,,,,,Kick,8.1 Nm (0.8 kgf-m or 6.0 ft.lbs) @ 6000 RPM,,,,,,,,,,,,,,,,,,,,
Jawa 350,1970,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",18.0 HP (13.1  kW)) @ 5000 RPM,120.0 km/h (74.6 mph),8.1:1,58.0 x 65.0 mm (2.3 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),3.25-16 ,3.50-16 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3 D,1970,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,135.0 km/h (83.9 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Baja 100SR,1970,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",12.6 HP (9.2  kW)) @ 8000 RPM,110.0 km/h (68.4 mph),9.5:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,,,,3-21 ,3.50-18 ,,,,9.50 litres (2.51 US gallons),,,,,84.0 kg (185.2 pounds),0.1501 HP/kg,,,,,,,Kick,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),,1960 mm (77.2 inches),620 mm (24.4 inches),,Telescopic,"Double-Sided Steel Swingarm, Twin Shock Absorbers",,"865 mm (34.1 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),,,,,,,,,,,
Montesa Impala Sport,1970,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",18.0 HP (13.1  kW)) @ 7000 RPM,,11.0:1,60.0 x 60.0 mm (2.4 x 2.4 inches),Port control,Air,4-speed,Chain   (final drive),,,,,,,Carburettor. Amal 376/25,Single stainless steel pipe,,,,,,,Wet multiplate,,,Red/black,,,,,,Breaker points ,,,,,,,,,,,Wet sump  and  oil mixture in fuel,,,,,
Kawasaki A7 Avenger,1970,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",338.0 ccm (20.62 cubic inches),"Twin, two-stroke",42.0 HP (30.7  kW)) @ 8000 RPM,170.0 km/h (105.6 mph),7.0:1,62.0 x 56.0 mm (2.4 x 2.2 inches),Rotary valves,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,159.0 kg (350.5 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XR 750,1970,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"Twin, four-stroke",81.8 HP (59.7  kW)) @ 7700 RPM,185.1 km/h (115.0 mph),,79.0 x 81.0 mm (3.1 x 3.2 inches),Overhead Valves (OHV),Air,,,4-19 ,4-19 ,,,,9.50 litres (2.51 US gallons),Carburettor. Mikuni 36mm,,,,134.0 kg (295.4 pounds),0.6104 HP/kg,,,,,,Red,,,,,,,Ceriani Telescopic Fork,2xGirling Shocks,,"790 mm (31.1 inches) If adjustable, lowest setting.",1441 mm (56.7 inches),,,,,Twin Loop Full Cradle,,26.0°,87 mm (3.4 inches),,,
Yamaha R 5,1970,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",35.0 HP (25.5  kW)) @ 7800 RPM,160.0 km/h (99.4 mph),6.9:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake,148.0 kg (326.3 pounds),12.00 litres (3.17 US gallons),Carburettor. 2 Mikuni VM28 SC,,,,146.0 kg (321.9 pounds),0.2397 HP/kg,,,"Multi-plate, wet",6.70 litres/100 km (14.9 km/l or 35.11 mpg),155.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,White/purple,Kick,37.9 Nm (3.9 kgf-m or 28.0 ft.lbs),,,,"Battery, dual coils, breaker points",Telescopic fork,Swingarm,,"790 mm (31.1 inches) If adjustable, lowest setting.",1341 mm (52.8 inches),,,,,Duplex cradle frame,Oil injection,,,180 mm (7.1 inches),2.00 litres (2.11 US quarts),Starting battery.
BSA A 65 Lightning,1970,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-19 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Coyote MB1-A,1970,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,134.0 ccm (8.18 cubic inches),"Single cylinder, four-stroke",3.0 HP (2.2  kW)),,,,,Air,Automatic,Chain   (final drive),3.25-18 ,2.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,Straight pipe,,,,,3600,2,,,,Blue and white only,,,,,,points,,,,,,Kawasaki pull start,,,,Steel,Splash,,,,,
Motobi 250 Sprite 5,1970,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",245.0 ccm (14.95 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8200 RPM,145.0 km/h (90.1 mph),8.5:1,74.0 x 57.0 mm (2.9 x 2.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,117.0 kg (257.9 pounds),12.50 litres (3.30 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DS 6,1970,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",28.0 HP (20.4  kW)) @ 7250 RPM,146.0 km/h (90.7 mph),7.3:1,56.0 x 50.0 mm (2.2 x 2.0 inches),Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,145.0 kg (319.7 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YAS 1,1970,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)) @ 8500 RPM,110.0 km/h (68.4 mph),7.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),Port control,Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,105.0 kg (231.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 100,1970,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6800 RPM,100.0 km/h (62.1 mph),10.5:1,48.0 x 54.0 mm (1.9 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),2.50-17 ,2.75-17 ,Expanding brake,Expanding brake,102.0 kg (224.9 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A 65 SS Firebird,1970,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,218.0 kg (480.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 250B,1970,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, four-stroke",19.0 HP (13.9  kW)) @ 7000 RPM,135.0 km/h (83.9 mph),10.0:1,53.0 x 56.0 mm (2.1 x 2.2 inches),Overhead Valves (OHV),Air,,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,13.00 litres (3.43 US gallons),Carburettor. 2x22,,,,142.0 kg (313.1 pounds),0.1338 HP/kg,,,"Wet, multiplate",,,Red,Kick,,,1960 mm (77.2 inches),620 mm (24.4 inches),Dynamo,Telescopic,Swingarm ,150 mm (5.9 inches),,1300 mm (51.2 inches),,,,,Tubular and Pressed Steel Open Loop,,,,,,
Honda CB 250 K 1,1970,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 10500 RPM,150.0 km/h (93.2 mph),9.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3 D,1970,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 7000 RPM,155.0 km/h (96.3 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125,1970,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",15.0 HP (10.9  kW)) @ 10500 RPM,121.0 km/h (75.2 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,134.0 kg (295.4 pounds),10.00 litres (2.64 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 500 H 1 Mach III,1970,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"In-line three, two-stroke",54.0 HP (39.4  kW)) @ 7400 RPM,180.0 km/h (111.8 mph),6.8:1,60.0 x 58.8 mm (2.4 x 2.3 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,184.0 kg (405.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 GT,1970,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",52.0 HP (38.0  kW)) @ 6600 RPM,185.0 km/h (115.0 mph),8.9:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Expanding brake,Expanding brake,231.0 kg (509.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS,1970,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",88.0 HP (64.2  kW)) @ 6000 RPM,207.0 km/h (128.6 mph),9.8:1,75.0 x 66.6 mm (3.0 x 2.6 inches),Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,278.0 kg (612.9 pounds),35.00 litres (9.25 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 90,1970,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",89.0 ccm (5.43 cubic inches),"Single cylinder, two-stroke",9.5 HP (6.9  kW)) @ 6500 RPM,95.0 km/h (59.0 mph),8.5:1,48.0 x 49.0 mm (1.9 x 1.9 inches),Port control,Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,90.0 kg (198.4 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETS 250 Trophy Sport,1970,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 5000 RPM,130.0 km/h (80.8 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.50-16 ,Expanding brake,Expanding brake,149.0 kg (328.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F,1970,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8000 RPM,190.0 km/h (118.1 mph),9.0:1,61.0 x 63.0 mm (2.4 x 2.5 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,235.0 kg (518.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3,1970,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8500 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A 75 Rocket 3,1970,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",58.0 HP (42.3  kW)) @ 7500 RPM,185.0 km/h (115.0 mph),9.5:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.10-19 ,Expanding brake,Expanding brake,226.0 kg (498.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3,1970,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,130.0 km/h (80.8 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ES 150,1970,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5500 RPM,105.0 km/h (65.2 mph),9.0:1,56.0 x 58.0 mm (2.2 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),3.00-18 ,3.00-18 ,Expanding brake,Expanding brake,119.0 kg (262.4 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 50-5,1970,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 6400 RPM,151.0 km/h (93.8 mph),8.6:1,67.0 x 70.6 mm (2.6 x 2.8 inches),Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,222.0 kg (489.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
