Model,Year,Category,Rating,Displacement,Engine type,Torque,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Reserve fuel capacity,Color options,Starter,Comments,Power,Fuel control,Gearbox,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Clutch,Exhaust system,Valves per cylinder,Modifications compared to previous model,Power/weight ratio,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Emission details,Max RPM,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Alternate seat height,Electrical,Coolant,Idle speed,Sprockets,Engine details,Factory warranty,0-100 km/h (0-62 mph),Instruments,Light,Carrying capacity,Chain size,Chain links,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Italjet Millennium 150,2008,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,,,,,CDI Electronic,,Liquid,Belt   (final drive),,Telescopic fork 35mm,100 mm (3.9 inches),"Hydraulic shock absorber, adjustable pre-load (90mm travel),",,120/70-12 ,130/70-12 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),119.0 kg (262.4 pounds),"730 mm (28.7 inches) If adjustable, lowest setting.",,1975 mm (77.8 inches),,11.50 litres (3.04 US gallons),,,Electric,,,,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 85 SX 17-14,2008,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",84.9 ccm (5.18 cubic inches),"Single cylinder, two-stroke",,,12.5:1,47.0 x 49.0 mm (1.9 x 1.9 inches),Carburettor. Keihin PWK 28,Moric digital 2M1,Mixture lubrication 1:40,Liquid,Chain   (final drive),Double grinded central double-cradle-type frame,WP USD Ã˜ 43 mm (1.69,270 mm (10.6 inches),WP monoshock PDS,125 mm (4.9 inches),70/100-17 ,90/100-14 ,Single disc. Bremo,200 mm (7.9 inches),Single disc. Bremo,66.0 kg (145.5 pounds),"845 mm (33.3 inches) If adjustable, lowest setting.",,,,5.00 litres (1.32 US gallons),,,Kick,,,,6-speed,,385 mm (15.2 inches),1290 mm (50.8 inches),"Wet multi-disc clutch, operated hydraulically",Aluminium,,,,,,24.0°,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blata Enduro 125,2008,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 6500 RPM,,,,Carburettor. Walbro,,,Air,,welded steel tubular structure,"hydraulic fork, stems ø 40 mm",,swingarm with shock absorber,,90/90-21 ,130/90-18 ,Single disc. 4 piston radial calliper,220 mm (8.7 inches),Single disc. 2 piston calliper,110.0 kg (242.5 pounds),,1100 mm (43.3 inches),2050 mm (80.7 inches),850 mm (33.5 inches),10.50 litres (2.77 US gallons),,,Electric,,20.1 HP (14.7  kW)) @ 8500 RPM,,5-speed,,,1345 mm (53.0 inches),,,,,0.1828 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR 50 R,2008,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,12.1:1,40.0 x 39.3 mm (1.6 x 1.5 inches),Carburettor. Dell’Orto PHVA 17.5.,CDI - capacitor discharge ignition.,Separate mixing with mechanical oil pump.,Liquid,Belt   (final drive),Split single cradle frame in high tensile strength steel tube.,Hydraulic telescopic fork with 35 mm stanchions.,90 mm (3.5 inches),Engine unit acting as swinging arm. Double hydraulic shock absorber with adjustable preload.,70 mm (2.8 inches),130/60-13 ,130/60-13 ,Single disc,190 mm (7.5 inches),Single disc,,"820 mm (32.3 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1860 mm (73.2 inches),705 mm (27.8 inches),7.00 litres (1.85 US gallons),,,Electric,,,,Automatic,,,1290 mm (50.8 inches),Automatic centrifugal dry clutch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 125cc Enduro,2008,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",,,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni VM 20,CDI,,Air,,Built from Chrome-molybdenum forming a single structure,Hydraulic telescopic fork Paioli 41 Ã˜,,"Olle single shock absorber, adjustable in spring preload",,,,Single disc,,Single disc,107.0 kg (235.9 pounds),,,,,7.80 litres (2.06 US gallons),,,Electric & kick,Also called City and CityCorp 125 4T.,,Single Overhead Cams (SOHC),5-speed,,280 mm (11.0 inches),1960 mm (77.2 inches),Multidisc in oil bath,Inox steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs SpeedJet 50,2008,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,45.0 km/h (28.0 mph),,,Carburettor,,,,Shaft drive (cardan)   (final drive),,,,,,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),87.0 kg (191.8 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),1830 mm (72.0 inches),705 mm (27.8 inches),4.70 litres (1.24 US gallons),,"Blue, red, black, white",Electric & kick,,2.8 HP (2.1  kW)) @ 8000 RPM,,Automatic,,,1290 mm (50.8 inches),,,,,0.0323 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Satelis 125 Black Sat,2008,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,,,,Injection,,,Liquid,,,,,,,120/70-14 ,140/60-13 ,Double disc,210 mm (8.3 inches),Single disc,172.5 kg (380.3 pounds),"784 mm (30.9 inches) If adjustable, lowest setting.",1425 mm (56.1 inches),2152 mm (84.7 inches),765 mm (30.1 inches),13.50 litres (3.57 US gallons),,,Electric,Compressor. Also called Satelis 125K15 Black Sat Premium.,,,Automatic,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Norge 850,2008,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",850.0 ccm (51.87 cubic inches),"V2, four-stroke",,,9.8:1,92.0 x 66.0 mm (3.6 x 2.6 inches),Injection. Weber-Marelli electronic fuel injection with stepper motor control,"Magneti Marelli IAW5A, ¥á-n type; 2 ¨ª 45 mm throttle bodies, Weber IWP 162 injectors, Lambda control, twin spark ignition",Splash,Air,Shaft drive (cardan)   (final drive),"Tubular cradle, high tensile steel","Telescopic hydraulic  fork with ¨ª 45 mm, preload adjustable",110 mm (4.3 inches),"Single arm suspension with progressive linkage, rear shock absorber adjustable in rebound and pre-load (hydraulic)",110 mm (4.3 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,282 mm (11.1 inches),Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2195 mm (86.4 inches),,,,,Electric,,88.5 HP (64.6  kW)) @ 7500 RPM,,6-speed,,185 mm (7.3 inches),1495 mm (58.9 inches),Dry,"Stainless steel, 2 into 1 type with catalytic converter, height-adjustable muffler",,,,,,25.0°,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Speedfight 2 50 LC,2008,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.1 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,Liquid,,,,,,,120/70-12 ,130/70-12 ,Single disc,180 mm (7.1 inches),Single disc,95.0 kg (209.4 pounds),,1150 mm (45.3 inches),1730 mm (68.1 inches),700 mm (27.6 inches),7.20 litres (1.90 US gallons),,,Electric & kick,An Ultimate Edition and an RCup version are available.,3.4 HP (2.5  kW)),,Automatic,,,,,,,,0.0358 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Trigger X 125,2008,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 8000 RPM,,,,Carburettor,,Forced feed lubrication,,Chain   (final drive),,,,,,110/70-17 ,110/70-17 ,,,,120.0 kg (264.6 pounds),,1230 mm (48.4 inches),2100 mm (82.7 inches),890 mm (35.0 inches),10.00 litres (2.64 US gallons),,,Electric & kick,,11.0 HP (8.0  kW)) @ 10000 RPM,,6-speed,,,1410 mm (55.5 inches),Multi-disc oil bath clutch,,,,0.0917 HP/kg,,,,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeon AE-11 Pulsar 100,2008,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,96.0 ccm (5.86 cubic inches),"Single cylinder, four-stroke",,,,,,CDI Electronic,Automatic by oil pump,Air,Belt   (final drive),Steel pipes,Telescopic fork,,Hydraulic monoshock,,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),110.0 kg (242.5 pounds),,1280 mm (50.4 inches),1260 mm (49.6 inches),650 mm (25.6 inches),6.00 litres (1.59 US gallons),,"Red, blue, silver",Electric & kick,Made in Taiwan,,,Automatic,,,,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4CC,2008,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1078.0 ccm (65.78 cubic inches),"In-line four, four-stroke",125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 9000 RPM,315.0 km/h (195.7 mph),13.0:1,79.0 x 55.0 mm (3.1 x 2.2 inches),"Injection. “Weber Marelli” 5SM ignition - injection integrated system; induction discharge electronic ignition, “Multipoint” electronic injection;",,,Liquid,Chain   (final drive),"Type CrMo Steel tubular trellis, TIG welded.",Upside-down telescopic hydraulic fork with rebound-compression damping and spring preload adjustment,129 mm (5.1 inches),"Type Progressive, single shock absorber with rebound and compression (High speed / Low speed) damping and spring preload (hydraulic control)",120 mm (4.7 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc,210 mm (8.3 inches),Single disc,187.0 kg (412.3 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,2007 mm (79.0 inches),810 mm (31.9 inches),21.00 litres (5.55 US gallons),4.00 litres (1.06 US gallons),,,,200.0 HP (146.0  kW)) @ 12200 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1408 mm (55.4 inches),,,4,,1.0695 HP/kg,,,,,,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-max 140L,2008,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,60.0 km/h (37.3 mph),,,,,,Air,,,Oil/gass pressure,,Oil/gass pressure,,130/60-13 ,130/60-13 ,Single disc,,Single disc,100.0 kg (220.5 pounds),,,,,,,,Electric,2.5-4.5 hours charging time. Lithium ion battery. Operating range 130-150 km. German made.,5.4 HP (3.9  kW)),,Automatic,145.0 kg (319.7 pounds),,,,,,,0.0536 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 505 SX-F,2008,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",477.5 ccm (29.14 cubic inches),"Single cylinder, four-stroke",,,12.5:1,100.0 x 60.8 mm (3.9 x 2.4 inches),Carburettor. Keihin MX FCR 41,Kokusan digital DC-CDI,Pressure lubrication,Liquid,Chain   (final drive),Central double-cradle-type 25 CrMo 4,WP USD 48 mm,300 mm (11.8 inches),WP monoshock PDS,335 mm (13.2 inches),80/100-21 ,110/90-19 ,Single disc,220 mm (8.7 inches),Single disc,104.6 kg (230.6 pounds),"960 mm (37.8 inches) If adjustable, lowest setting.",,,,,,,Kick,,,Double Overhead Cams/Twin Cam (DOHC),4-speed,,380 mm (15.0 inches),1475 mm (58.1 inches),"Wet multi-disc clutch, operated hydraulically",,4,,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju MRX Pro 50,2008,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto PHBN 16,,,Liquid,,Highly resistant double cradle steel perimeter.,Marzocchi inverted fork of Ø40mm.,,Gas Mono-shock shock absorber and separate bottle PRS system,,80/90-21 ,100/80-18 ,Single disc,200 mm (7.9 inches),Single disc,94.0 kg (207.2 pounds),"920 mm (36.2 inches) If adjustable, lowest setting.",1170 mm (46.1 inches),2050 mm (80.7 inches),790 mm (31.1 inches),8.40 litres (2.22 US gallons),,"Green, orange, black",Kick,,,,6-speed,,,1332 mm (52.4 inches),,Muffler with aluminium silencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Mojito 50 Custom,2008,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,10.3:1,40.0 x 39.3 mm (1.6 x 1.5 inches),Carburettor,Electronic,Separate mixing.,Air,Belt   (final drive),Steel,"Fork with link type suspension, wheel travel 80 mm.",80 mm (3.1 inches),"Hydraulic monoshock, wheel travel 75 mm",75 mm (3.0 inches),120/70-12 ,130/70-10 ,Single disc,120 mm (4.7 inches),Expanding brake (drum brake),90.0 kg (198.4 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),1900 mm (74.8 inches),720 mm (28.3 inches),7.70 litres (2.03 US gallons),2.00 litres (0.53 US gallons),"Cambridge white, Aprilia black, Matt black",Electric & kick,"Accessories
Windscreen
Luggage rack
Concept topcase
Side stand
Cromed front and rear crash bars
Bodyguard armoured cable lock
(Electronic anti-theft) 
(Parcel-grip) 
(Right mirror",,,Automatic,,,1300 mm (51.2 inches),Automatic centrifugal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing MX 85 Junior,2008,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",85.0 ccm (5.19 cubic inches),"Single cylinder, two-stroke",,,17.2:1,47.9 x 47.0 mm (1.9 x 1.9 inches),Carburettor. Mikuni 28,Kokusan CDI Electronic with variable advance,,Liquid,,Cr-Mo steel Perimetral oval section,Paioli USD 43,,WP,,70/90-x17 ,90/90-x14 ,Single disc,220 mm (8.7 inches),Single disc,,,,,,7.00 litres (1.85 US gallons),,,,Also called TM Racing 85 Jr.,,,6-speed,,,,Multiple-disk in oil bath with hydraulic control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Revival 50,2008,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,45.0 km/h (28.0 mph),,,,,,Air,,,,,,,2.05-17 ,3.25-16 ,Single disc,,Expanding brake (drum brake),65.0 kg (143.3 pounds),,,,,3.00 litres (0.79 US gallons),0.50 litres (0.13 US gallons),Yellow,Electric,Tomos are made in Slovenia.,,,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clipic Custom Guepard 125,2008,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"V2, four-stroke",,,,,Carburettor. 2 x Keihin,,Direct,Air,,,Hydraulic,,Double shock absorber,,110/90-16 ,130/90-15 ,Single disc,,Expanding brake (drum brake),158.0 kg (348.3 pounds),"700 mm (27.6 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),2125 mm (83.7 inches),860 mm (33.9 inches),14.50 litres (3.83 US gallons),,Black,Electric,Spanish bike.,,,5-speed,,,,Multidisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xmotos XB-80,2008,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,9.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,,,,Reversed front hydraulic shock,,Hydraulic shock,,,,Single disc,,Single disc,66.0 kg (145.5 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",,1590 mm (62.6 inches),,,,"Red, Yellow, Blue, Green, Black, White, Orange, Carbon",Kick,Chinese bike from ZHEJIANG XMOTOS CO. Also available with 140 cc engine.,8.7 HP (6.4  kW)) @ 7500 RPM,,,,270 mm (10.6 inches),1110 mm (43.7 inches),,,,,0.1320 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHT Electra Glide Standard,2008,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1573.3 ccm (96.00 cubic inches),"V2, four-stroke",,,9.2:1,95.3 x 111.3 mm (3.8 x 4.4 inches),Injection.  Electronic Sequential Port Fuel Injection (ESPFI),,,Air,Belt   (final drive),,,,,,120/70-ZR19 ,240/40-R18 ,Single disc. Bremo 4-piston calipers,,Single disc. Bremo 4-piston calipers,337.0 kg (743.0 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,2380 mm (93.7 inches),,22.71 litres (6.00 US gallons),,"Vivid Black, Pacific Blue Pearl, Crimson Red Sunglo",Electric,"Bat wing, fork-mounted fairing with integrated instrumentation; silver powder-coated engine with polished covers; GTX-Nylon alloy lockable hard saddlebags; comfort-stitched touring saddle; air-adjustable rear suspension;",,,6-speed,353.8 kg (780.0 pounds),130 mm (5.1 inches),1613 mm (63.5 inches),Multi-plate with diaphragm spring in oil bath,"Chrome, cross-over exhaust w/ dual mufflers  and  taper End Caps",,,,4.35 litres/100 km (23.0 km/l or 54.07 mpg),100.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,26.0°,157 mm (6.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 RR,2008,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,12.2:1,67.0 x 42.5 mm (2.6 x 1.7 inches),"Injection. Dual Stage Fuel Injection (DSFI) with 40mm throttle bodies, Denso 12-hole injectors",Computer-controlled digital transistorized with three-dimensional mapping,,Liquid,Chain   (final drive),,"41mm inverted HMAS cartridge fork with spring preload, rebound and compression damping adjustability",119 mm (4.7 inches),"Unit Pro-Link HMAS single shock with spring preload, rebound and compression damping adjustability",130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,186.0 kg (410.0 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",,,,18.16 litres (4.80 US gallons),,"Red/Black, Pearl Orange/Black, Metallic Silver, Graffiti",Electric,Model ID: CBR600RR,,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1369 mm (53.9 inches),,,4,,,,,23.6°,98 mm (3.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,2008,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.0 ccm (39.72 cubic inches),"Single cylinder, four-stroke",44.3 Nm (4.5 kgf-m or 32.7 ft.lbs) @ 5000 RPM,149.7 km/h (93.0 mph),9.8:1,100.0 x 83.0 mm (3.9 x 3.3 inches),Carburettor. Keihin CVK 40,Digital transistorized, Forced lubrication (wet sump),Liquid,Chain   (final drive),"Semi-double Cradle Made of high-tech, round-section, high-tensile steel",41mm Telescopic,201 mm (7.9 inches),Uni-Trak linkage monoshock,185 mm (7.3 inches),90/91-21 ,130/80-17 ,Single disc. 2-piston sliding caliper,240 mm (9.4 inches),Single disc. 2-piston sliding caliper,175.5 kg (387.0 pounds),"883 mm (34.8 inches) If adjustable, lowest setting.",,2295 mm (90.4 inches),,23.08 litres (6.10 US gallons),,"Red, blue, green",Electric,,36.1 HP (26.4  kW)) @ 6200 RPM,Double Overhead Cams/Twin Cam (DOHC),5-speed,194.1 kg (428.0 pounds),206 mm (8.1 inches),1481 mm (58.3 inches)," Wet multi-disc, cable operation",,4,,0.2057 HP/kg,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,28.0°,112 mm (4.4 inches),,7800,Sealed Chain,2.50 litres (2.64 US quarts),SAE 10W-40,K & N KN-123,DOT 4,YB14L-A2,"NGK DPR8EA-9, NGK DPR8EIX-9",,,,38 mm (1.5 inches),,,1.00 litres (0.26 US gallons),1300  +/- 100  RPM,15/43 (front/rear),,,5.88 seconds,,,,520,106,22 PSI (1.5 Bar or 150 kPa),29 PSI (2 Bar or 200 kPa),,14.40 seconds,,
Italjet Millennium 100,2008,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",101.0 ccm (6.16 cubic inches),"Single cylinder, two-stroke",,,,52.0 x 47.6 mm (2.0 x 1.9 inches),,CDI Electronic,,Liquid,Belt   (final drive),,Telescopic fork 35mm,,"Hydraulic shock absorber, adjustable pre-load (72mm travel),",,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),105.0 kg (231.5 pounds),"730 mm (28.7 inches) If adjustable, lowest setting.",,1975 mm (77.8 inches),715 mm (28.1 inches),11.50 litres (3.04 US gallons),,"Gold Olympic, Vinci Grey",Electric,,,,Automatic,,,,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orion AGB-35A,2008,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,140.0 ccm (8.54 cubic inches),"Single cylinder, four-stroke",,,9.2:1,56.0 x 57.0 mm (2.2 x 2.2 inches),Carburettor,CDI,,,,,Normly upside down front  shock,,Adjustable Rear suspension,,,,Single disc,,Single disc,67.0 kg (147.7 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",910 mm (35.8 inches),1650 mm (65.0 inches),750 mm (29.5 inches),12.11 litres (3.20 US gallons),,"Green, Yellow, Pink, Carbon Look, Orange, White",Kick,Also available with 125 and 150 cc engine.,,,4-speed,82.0 kg (180.8 pounds),,1170 mm (46.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Urban Classic 150,2008,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,109.4 km/h (68.0 mph),,,,CDI,,Air,,,Twin,,Monoshock,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),79.8 kg (176.0 pounds),"686 mm (27.0 inches) If adjustable, lowest setting.",1054 mm (41.5 inches),1880 mm (74.0 inches),930 mm (36.6 inches),3.78 litres (1.00 US gallons),,"Black, pink, silver, white",Electric & kick,,8.8 HP (6.5  kW)),,Automatic,,99 mm (3.9 inches),1214 mm (47.8 inches),,Single,,,0.1107 HP/kg,3.92 litres/100 km (25.5 km/l or 60.01 mpg),90.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Geopolis 250 Premium,2008,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.3 ccm (14.91 cubic inches),"Single cylinder, four-stroke",,,,,Injection,,,Liquid,,,,,,,120/70-14 ,140/60-14 ,Single disc,226 mm (8.9 inches),Single disc,159.0 kg (350.5 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",,2170 mm (85.4 inches),,13.20 litres (3.49 US gallons),,,Electric,Geopilis 250 Executive is a similar model with ABS brakes.,22.0 HP (16.1  kW)),,Automatic,,,,,,4,,0.1384 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 50,2008,Sport," 2.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",4.3 Nm (0.4 kgf-m or 3.2 ft.lbs) @ 7000 RPM,,,,Carburettor. VM14,CDI,Wet sump,Air,Chain   (final drive),Backbone,,,,,70/90-14 ,80/90-14 ,Expanding brake (drum brake),,Expanding brake (drum brake),69.0 kg (152.1 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",930 mm (36.6 inches),1730 mm (68.1 inches),685 mm (27.0 inches),8.00 litres (2.11 US gallons),,,Kick,,5.0 HP (3.6  kW)) @ 8500 RPM,Single Overhead Cams (SOHC),4-speed,,220 mm (8.7 inches),1185 mm (46.7 inches),Wet multiplate,,2,,0.0719 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1400,2008,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1401.0 ccm (85.49 cubic inches),"In-line four, four-stroke",126.0 Nm (12.8 kgf-m or 92.9 ft.lbs) @ 5000 RPM,,9.5:1,,Injection,Full transistor system,Wet sump,Oil & air,Chain   (final drive),Double cradle,,,,,120/70-ZR17 ,190/50-ZR17 ,Double disc,,Single disc,226.0 kg (498.2 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",,2160 mm (85.0 inches),,22.00 litres (5.81 US gallons),,,Electric,,99.2 HP (72.4  kW)) @ 6500 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1520 mm (59.8 inches),Wet multiplate,,4,,0.4391 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM V2C-650S,2008,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",,,,81.5 x 62.0 mm (3.2 x 2.4 inches),"Carburettor. 2 x Mikuni, 38 mm",CDI,,Liquid,,,41mm inverted telescopic forks,,Swingarm,,120/70-ZR18 ,180/55-ZR17 ,Double disc,,Single disc,,"698 mm (27.5 inches) If adjustable, lowest setting.",,,,15.97 litres (4.22 US gallons),,"Black, burgundy, silver",Electric,,,Double Overhead Cams/Twin Cam (DOHC),5-speed,225.9 kg (498.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
