Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,1/4 mile (0.4 km),Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Color options,Starter,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Lubrication system,Clutch,Exhaust system,Frame type,Comments,Modifications compared to previous model,Max RPM,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Diameter,Seat height,Overall length,Overall width,Wheelbase,Oil capacity,Reserve fuel capacity,Ground clearance
BMW R 65,1981,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,,175.0 km/h (108.7 mph),,9.2:1,82.0 x 61.5 mm (3.2 x 2.4 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-18 ,4.00-18 ,Single disc,Expanding brake,,,,,204.0 kg (449.7 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 L,1981,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,,217.0 km/h (134.8 mph),,9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,100/90-19 ,130/90-16 ,Dual disc,Single disc,,,,,259.0 kg (571.0 pounds),15.00 litres (3.96 US gallons),4,,,,,,,,,,,,,,,,,,,
Suzuki RV 125,1981,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 6000 RPM,,92.0 km/h (57.2 mph),,6.3:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,5.40-14 ,6.70-10 ,Expanding brake,Expanding brake,,,,,110.0 kg (242.5 pounds),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 E Silver Suzi,1981,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 9200 RPM,,201.0 km/h (124.9 mph),,9.4:1,67.0 x 53.0 mm (2.6 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,254.0 kg (560.0 pounds),19.00 litres (5.02 US gallons),4,,,,,,,,,,,,,,,,,,,
Cagiva SX 350,1981,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,,132.0 km/h (82.0 mph),,9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,,,,139.0 kg (306.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,
Honda XL 500 S,1981,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,,135.0 km/h (83.9 mph),,8.6:1,89.0 x 80.0 mm (3.5 x 3.1 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-23 ,4.60-18 ,Expanding brake,Expanding brake,,,,,142.0 kg (313.1 pounds),10.50 litres (2.77 US gallons),4,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 LTD,1981,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,,178.0 km/h (110.6 mph),,9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,130/90-16 ,Dual disc,Expanding brake,,,,,211.0 kg (465.2 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,
Benelli 354 Sport,1981,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",38.0 HP (27.7  kW)) @ 10200 RPM,,144.0 km/h (89.5 mph),,10.4:1,50.0 x 44.0 mm (2.0 x 1.7 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-18 ,3.25-18 ,Dual disc,Single disc,,,,,206.0 kg (454.2 pounds),15.50 litres (4.10 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Morini 500 S,1981,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,,170.0 km/h (105.6 mph),,11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,100/90-18 ,4.00-18 ,Dual disc,Single disc,,,,,184.0 kg (405.7 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GT 250 X 7 E (spoked wheels),1981,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,149.0 km/h (92.6 mph),,6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,,,,,145.0 kg (319.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Yamaha XV 920 RH,1981,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",920.0 ccm (56.14 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)),,175.0 km/h (108.7 mph),,8.3:1,93.0 x 69.2 mm (3.7 x 2.7 inches),,,,Air,5-speed,Chain   (final drive),,,,,,120/90-18 ,Dual disc,Expanding brake,224.0 kg (493.8 pounds),0.2902 HP/kg,,,,19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 550 E,1981,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",549.0 ccm (33.50 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9400 RPM,,184.0 km/h (114.3 mph),,8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Single disc,,,,,218.0 kg (480.6 pounds),16.50 litres (4.36 US gallons),2,,,,,,,,,,,,,,,,,,,
Ducati 900 SS Hailwood-Replica,1981,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,,215.0 km/h (133.6 mph),,9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,,,3.50-18 ,4.25/85-18 ,Dual disc,Single disc,,,,,229.0 kg (504.9 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GP 125,1981,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",9.6 HP (7.0  kW)) @ 8000 RPM,,117.0 km/h (72.7 mph),,6.9:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Rotary valves,,Air,6-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,,,,103.0 kg (227.1 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CM 400 T,1981,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 8500 RPM,,156.0 km/h (96.9 mph),,9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.50-18 ,4.60-16 ,Single disc,Expanding brake,,,,,184.0 kg (405.7 pounds),9.50 litres (2.51 US gallons),3,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 E (reduced effect),1981,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",492.0 ccm (30.02 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,148.0 km/h (92.0 mph),,8.5:1,53.0 x 55.8 mm (2.1 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Single disc,,,,,225.0 kg (496.0 pounds),17.00 litres (4.49 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GT 200 X 5 E (cast wheels),1981,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",196.0 ccm (11.96 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,,128.0 km/h (79.5 mph),,6.9:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,,,,131.0 kg (288.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 G (cast wheels),1981,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,,135.0 km/h (83.9 mph),,9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,4.00-18 ,Single disc,Expanding brake,,,,,174.0 kg (383.6 pounds),12.00 litres (3.17 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XJ 550,1981,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",528.0 ccm (32.22 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,,176.0 km/h (109.4 mph),,9.5:1,57.0 x 51.8 mm (2.2 x 2.0 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.00-19 ,110/90-18 ,Dual disc,Expanding brake,,,,,204.0 kg (449.7 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 LTD,1981,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,,116.0 km/h (72.1 mph),,8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,4.60-16 ,Expanding brake,Expanding brake,,,,,143.0 kg (315.3 pounds),8.00 litres (2.11 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 50 III,1981,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",490.0 ccm (29.90 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 7600 RPM,,162.0 km/h (100.7 mph),,10.4:1,74.0 x 57.0 mm (2.9 x 2.2 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,90/90-18 ,100/90-18 ,Dual disc,Single disc,,,,,182.0 kg (401.2 pounds),16.00 litres (4.23 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha RS 100,1981,Allround," 4.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7800 RPM,,105.0 km/h (65.2 mph),,7.0:1,52.0 x 45.6 mm (2.0 x 1.8 inches),,Membrane,,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,,,,106.0 kg (233.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,
Suzuki GSX 250 E Black Hawk,1981,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,,148.0 km/h (92.0 mph),,10.5:1,60.0 x 44.2 mm (2.4 x 1.7 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.50-18 ,3.75-18 ,Single disc,Expanding brake,,,,,175.0 kg (385.8 pounds),14.00 litres (3.70 US gallons),4,,,,,,,,,,,,,,,,,,,
Honda XL 185 S (reduced effect),1981,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",180.0 ccm (10.98 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6500 RPM,,93.0 km/h (57.8 mph),,9.2:1,63.0 x 57.8 mm (2.5 x 2.3 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,,,,,118.0 kg (260.1 pounds),7.00 litres (1.85 US gallons),2,,,,,,,,,,,,,,,,,,,
BMW R 45,1981,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",35.0 HP (25.5  kW)) @ 7250 RPM,,160.0 km/h (99.4 mph),,9.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-18 ,4.00-18 ,Single disc,Expanding brake,,,,,206.0 kg (454.2 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 S,1981,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,151.0 km/h (93.8 mph),,9.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,,,,,194.0 kg (427.7 pounds),15.00 litres (3.96 US gallons),4,,,,,,,,,,,,,,,,,,,
Honda CX 500 C,1981,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,,159.0 km/h (98.8 mph),,10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),,Overhead Valves (OHV),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,130/90-16 ,Dual disc,Expanding brake,,,,,216.0 kg (476.2 pounds),11.00 litres (2.91 US gallons),4,,,,,,,,,,,,,,,,,,,
BMW R 100 CS,1981,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,194.0 km/h (120.5 mph),,9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,,,,,232.0 kg (511.5 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 250 N,1981,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,,142.0 km/h (88.2 mph),,9.4:1,62.0 x 41.4 mm (2.4 x 1.6 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.60-19 ,4.10-18 ,Single disc,Expanding brake,,,,,184.0 kg (405.7 pounds),14.00 litres (3.70 US gallons),3,,,,,,,,,,,,,,,,,,,
Münch TTS 1300,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1289.0 ccm (78.65 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 6600 RPM,,220.0 km/h (136.7 mph),,9.1:1,78.5 x 66.6 mm (3.1 x 2.6 inches),,Overhead Cams (OHC),,Air,4-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,282.0 kg (621.7 pounds),20.00 litres (5.28 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha IT465,1981,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",465.0 ccm (28.37 cubic inches),"Single cylinder, two-stroke",46.0 HP (33.6  kW)) @ 7000 RPM,,,,,,Carburettor,,,Air,5-speed,Chain   (final drive),,,,,-21 ,,Expanding brake (drum brake),Expanding brake (drum brake),119.7 kg (264.0 pounds),0.3842 HP/kg,"black seat, all white plastics",,,,,,wet plate,,steel,"first moto bike to US that was all white, i had more attention at the moto than bob hannahs trailer",triangular monoshock,,,,,,,,,,,,,
Harley-Davidson XLS 1000 Roadster,1981,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5800 RPM,,170.0 km/h (105.6 mph),,9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,,,,,245.0 kg (540.1 pounds),13.50 litres (3.57 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GSX 250 E,1981,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,,148.0 km/h (92.0 mph),,10.5:1,60.0 x 44.2 mm (2.4 x 1.7 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.50-18 ,3.75-18 ,Single disc,Expanding brake,,,,,175.0 kg (385.8 pounds),14.00 litres (3.70 US gallons),4,,,,,,,,,,,,,,,,,,,
Triumph T 140 E Bonneville,1981,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,,176.0 km/h (109.4 mph),,9.0:1,76.0 x 82.0 mm (3.0 x 3.2 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,4.10-19 ,4.10-18 ,Single disc,Single disc,,,,,206.0 kg (454.2 pounds),18.50 litres (4.89 US gallons),2,,,,,,,,,,,,,,,,,,,
Triumph T140 ES Bonneville Royal Limited Edition,1981,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"Twin, four-stroke",,,180.0 km/h (111.8 mph),13.70 seconds,7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Carburettor. Twin Bing 32mm CV Type 94,Overhead Valves (OHV),Lucas Electronic,Air,5-speed,Chain   (final drive),Telescopic slider type,170 mm (6.7 inches),Twin Mazzochi Air-Assisted Shocks,89 mm (3.5 inches),4.10H-19 ,410H-18 ,Single disc. Dual piston caliper. Hard chromed cast iron disk,Single disc. Dual piston caliper. Hard chromed cast iron disk,179.2 kg (395.0 pounds),,Chromed Fuel Tank with air-brushed metalic blue styling strips and Side Covers,Electric,199.6 kg (440.0 pounds),18.00 litres (4.76 US gallons),2,Dry Sump,Wet multi-plate,"Twin downswept with balance pipe, Dual silencers.",Twin Downtube Cradle. Oil in frame.,King/Queen seat with grey vinyl seat inserts.,Differs from standard Bonneville in that the Fuel Tank is chromed and many extra alloy parts were polished. Custom paint airbrushed. The King/Queen seat set it apart from the standard Bonneville as well.,7200,5.22 litres/100 km (19.2 km/l or 45.06 mpg),121.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,27.0°,113 mm (4.4 inches),254 mm (10.0 inches),"787 mm (31.0 inches) If adjustable, lowest setting.",2223 mm (87.5 inches),838 mm (33.0 inches),1422 mm (56.0 inches),2.20 litres (2.32 US quarts),,
Kawasaki KLX 250,1981,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,,118.0 km/h (73.3 mph),,8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,,,,115.0 kg (253.5 pounds),9.50 litres (2.51 US gallons),2,,,,,,,,,,,,,,,,,,,
Laverda 1000 Jota,1981,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 7600 RPM,,210.0 km/h (130.5 mph),,9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,100/90-18 ,120/90-18 ,Dual disc,Single disc,,,,,258.0 kg (568.8 pounds),20.50 litres (5.42 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 L,1981,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,,199.0 km/h (123.7 mph),,9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,252.0 kg (555.6 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXS 1340 Low Rider,1981,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,165.0 km/h (102.5 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,,,,,289.0 kg (637.1 pounds),15.50 litres (4.10 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 E,1981,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,154.0 km/h (95.7 mph),,9.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,,,,,189.0 kg (416.7 pounds),15.00 litres (3.96 US gallons),4,,,,,,,,,,,,,,,,,,,
Suzuki GS 450 L (reduced effect),1981,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,145.0 km/h (90.1 mph),,9.0:1,71.0 x 56.6 mm (2.8 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.60-19 ,4.60-16 ,Single disc,Expanding brake,,,,,189.0 kg (416.7 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 1100 R (reduced effect),1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1062.0 ccm (64.80 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,,234.0 km/h (145.4 mph),,10.0:1,70.0 x 69.0 mm (2.8 x 2.7 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,130/90-18 ,Dual disc,Single disc,,,,,259.0 kg (571.0 pounds),26.00 litres (6.87 US gallons),4,,,,,,,,,,,,,,,,,,,
Horex 1400 TI,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1338.0 ccm (81.64 cubic inches),"In-line four, four-stroke",140.0 HP (102.2  kW)) @ 7200 RPM,,250.0 km/h (155.3 mph),,6.0:1,80.0 x 66.6 mm (3.1 x 2.6 inches),Turbo,Overhead Cams (OHC),,Air,4-speed,Chain   (final drive),,,,,120/90-18 ,130/80-18 ,Dual disc,Single disc,,,,,296.0 kg (652.6 pounds),36.00 litres (9.51 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 Le Mans III,1981,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 7700 RPM,,214.0 km/h (133.0 mph),,10.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,,,,,247.0 kg (544.5 pounds),25.00 litres (6.61 US gallons),2,,,,,,,,,,,,,,,,,,,
