Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Wheelbase,Fuel capacity,Color options,Starter,Comments,Valves per cylinder,Overall height,Overall length,Overall width,Lubrication system,Front wheel travel,Rear wheel travel,Ground clearance,Oil capacity,0-100 km/h (0-62 mph),"Weight incl. oil, gas, etc",Reserve fuel capacity,Max RPM,Alternate seat height,Modifications compared to previous model,Electrical,Driveline,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Fork tube size,Battery,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Wheels,Seat,Factory warranty,Instruments,Engine details
Hyosung FC-1,2009,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Electric,,,70.0 km/h (43.5 mph),,,,,,Air,,,,,,,,,,,,,,,,,69.0 kg (152.1 pounds),,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,4.50 litres (1.19 US gallons),,Electric,Electric engine and methanol combustion engine. Lithium polymer battery. Model also called Hyosung FC One.,,,1575 mm (62.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda X-treme 50 SM,2009,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,11.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor. 17.5 mm,Single Overhead Cams (SOHC),,Liquid,6-speed,,,,,,,,,40 mms. hydraulic fork.,Monoshock  with progressive link system.,80/90-21 ,110/80-18 ,Single disc,180 mm (7.1 inches),Single disc,97.0 kg (213.8 pounds),,,,"900 mm (35.4 inches) If adjustable, lowest setting.",1355 mm (53.3 inches),7.00 litres (1.85 US gallons),"Blue, red",Kick,Spanish made bike.,,,2222 mm (87.5 inches),805 mm (31.7 inches),Mechanical oil  pump,190 mm (7.5 inches),182 mm (7.2 inches),,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Concours 14 ABS,2009,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1352.0 ccm (82.50 cubic inches),"In-line four, four-stroke",,136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 6200 RPM,,10.7:1,84.0 x 61.0 mm (3.3 x 2.4 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCBI with Digital Advance,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,26.1°,112 mm (4.4 inches),"43mm inverted, telescopic fork with adjustable rebound damping and spring preload / 4.4 in.",Tetra-Lever with stepless rebound damping adjustment and remote spring preload adjuster / 5.4 in.,120/70-ZR17 ,190/50-ZR17 ,Double disc. ABS,270 mm (10.6 inches),Single disc. ABS,306.2 kg (675.0 pounds),,,,"815 mm (32.1 inches) If adjustable, lowest setting.",1519 mm (59.8 inches),21.95 litres (5.80 US gallons),"Metallic Diablo Black/Flat Super Black, Candy Diamond Red/Flat Super Black",Electric,,4,,2271 mm (89.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Ovetto 4,2009,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.1 HP (2.2  kW)),3.2 Nm (0.3 kgf-m or 2.3 ft.lbs),,12.0:1,38.0 x 43.6 mm (1.5 x 1.7 inches),Injection,,T.C.I.,Liquid,Automatic,Belt   (final drive),Centrifugal Automatic,,,,,,,Telescopic fork,Unit swing,120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Single disc,88.0 kg (194.0 pounds),0.0350 HP/kg,,,"790 mm (31.1 inches) If adjustable, lowest setting.",1275 mm (50.2 inches),7.00 litres (1.85 US gallons),"Topaz, black, silver",Electric & kick,,,1118 mm (44.0 inches),1840 mm (72.4 inches),663 mm (26.1 inches),Wet Sump,80 mm (3.1 inches),60 mm (2.4 inches),154 mm (6.1 inches),1.30 litres (1.37 US quarts),,95.0 kg (209.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ6R,2009,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",,,,12.2:1,65.5 x 44.5 mm (2.6 x 1.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Digital TCI,Liquid,6-speed,Chain   (final drive),,,,,,26.0°,104 mm (4.1 inches),"Telescopic fork, 5.1-in.travel","Single shock, 5.1-in travel",120/70-ZR17 ,160/60-ZR17 ,Single disc,245 mm (9.6 inches),Single disc,,,,,"785 mm (30.9 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),17.41 litres (4.60 US gallons),"Team Yamaha Blue/White, Cadmium Yellow, Pearl White, Raven",Electric,,4,1186 mm (46.7 inches),2121 mm (83.5 inches),770 mm (30.3 inches),,,,,,,211.8 kg (467.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamo Lightning 110,2009,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,107.0 ccm (6.53 cubic inches),"Single cylinder, four-stroke",5.5 HP (4.0  kW)) @ 8000 RPM,,,,,Carburettor,,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,,,,,Monoshock,Dual shock,19/7-8 ,18/10-8 ,Expanding brake (drum brake),,Expanding brake (drum brake),117.0 kg (258.0 pounds),0.0470 HP/kg,,,"671 mm (26.4 inches) If adjustable, lowest setting.",1041 mm (41.0 inches),7.57 litres (2.00 US gallons),"Blue, red, green pink",Electric,Gearbox with reverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda DRD Evo 50 SM,2009,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,11.5:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor. 17.5 mm,,Electronic CDI,Liquid,6-speed,,,,,,Steel perimetral double beam,,,Upside down fork.,Monoshock,100/80-17 ,130/70-17 ,Single disc. Wavw,220 mm (8.7 inches),Single disc. Wave,96.0 kg (211.6 pounds),,,,"835 mm (32.9 inches) If adjustable, lowest setting.",1370 mm (53.9 inches),7.00 litres (1.85 US gallons),Black,Kick,Derbi is a Spanish brand.,,,2020 mm (79.5 inches),805 mm (31.7 inches),Mechanical oil pump,150 mm (5.9 inches),150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta Pato 125,2009,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",7.6 HP (5.6  kW)) @ 7500 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 5500 RPM,85.0 km/h (52.8 mph),9.2:1,,Carburettor,,,Air,,,,,,,,,,,,120/70-12 ,120/70-12 ,Single disc,,Single disc,110.0 kg (242.5 pounds),0.0695 HP/kg,,,,1300 mm (51.2 inches),,,,,,,1905 mm (75.0 inches),,,,,,0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C50,2009,Custom / cruiser," 4.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",,,,9.4:1,83.0 x 74.4 mm (3.3 x 2.9 inches),Injection,Overhead Cams (OHC),Electronic ignition (Transistorized),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,Double-cradle steel,,,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",130/90-M16 ,170/80-M15 ,Single disc,,Expanding brake (drum brake),,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",1655 mm (65.2 inches),15.50 litres (4.10 US gallons),"Black, Red",Electric,,,1110 mm (43.7 inches),2500 mm (98.4 inches),955 mm (37.6 inches),Wet sump,,,140 mm (5.5 inches),3.40 litres (3.59 US quarts),,277.0 kg (610.7 pounds),,,,"Updated design of the front and rear fenders as well as the comfortable rider seat. New lightweight and low maintenance LED tail light. New Speedometer Design.
",,,,,,,,,,,,,,,,,,,,,,,
Yamaha Black X-Max 250,2009,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.8 ccm (15.24 cubic inches),"Single cylinder, four-stroke",20.9 HP (15.3  kW)) @ 7500 RPM,21.3 Nm (2.2 kgf-m or 15.7 ft.lbs) @ 6500 RPM,,10.0:1,69.0 x 66.8 mm (2.7 x 2.6 inches),Injection,,TCI,Liquid,Automatic,Belt   (final drive),,,,,,,,Telescopic fork,Unit swing,120/70-15 ,140/70-14 ,Single disc,240 mm (9.4 inches),Single disc,,,,,"755 mm (29.7 inches) If adjustable, lowest setting.",1545 mm (60.8 inches),12.50 litres (3.30 US gallons),,,,,1380 mm (54.3 inches),2210 mm (87.0 inches),,Wet sump,110 mm (4.3 inches),95 mm (3.7 inches),113 mm (4.4 inches),,,176.0 kg (388.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Silver Wing ABS,2009,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",582.0 ccm (35.51 cubic inches),"Twin, four-stroke",,,,10.2:1,72.0 x 71.5 mm (2.8 x 2.8 inches),"Injection. PGM-FI with automatic enricher circuit, four-hole injectors",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled fully transistorized with electronic advance,Liquid,Automatic,Belt   (final drive),,,,,,,,41mm hydraulic fork,Swingarm with dual hydraulic shocks with five-position spring-preload adjustability,120/80-14 ,150/70-13 ,Single disc. ABS,240 mm (9.4 inches),Single disc. ABS,,,,,"754 mm (29.7 inches) If adjustable, lowest setting.",1595 mm (62.8 inches),15.89 litres (4.20 US gallons),Dark Red,Electric,Model ID: FSC600A,4,,,,,119 mm (4.7 inches),114 mm (4.5 inches),,,,249.9 kg (551.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 EXC,2009,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",293.2 ccm (17.89 cubic inches),"Single cylinder, two-stroke",,,,,72.0 x 72.0 mm (2.8 x 2.8 inches),Carburettor. Keihin PWK 36 S AG,,Kokusan,Liquid,5-speed,,"Wet multi-disc clutch, operated hydraulically",,,,Central double-cradle-type 25CrMo4 steel,26.5°,,WP USD,WP PDS shock absorber,90/90-21 ,140/80-18 ,Single disc,,Single disc,103.1 kg (227.3 pounds),,,,"985 mm (38.8 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,Electric & kick,,,,,,Mixture oil lubrication 1:60,300 mm (11.8 inches),335 mm (13.2 inches),385 mm (15.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goes G 125 L City,2009,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.9  kW)) @ 8000 RPM,8.5 Nm (0.9 kgf-m or 6.2 ft.lbs) @ 5500 RPM,,,,Carburettor,,CDI,Air,,Belt   (final drive),,,,,,,,,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),103.0 kg (227.1 pounds),0.0781 HP/kg,,,,,,Black,Electric & kick,,,1175 mm (46.3 inches),1810 mm (71.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1300 R,2009,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1293.0 ccm (78.90 cubic inches),"In-line four, four-stroke",173.0 HP (126.3  kW)) @ 9250 RPM,140.0 Nm (14.3 kgf-m or 103.3 ft.lbs) @ 8250 RPM,200.0 km/h (124.3 mph),13.0:1,80.0 x 64.3 mm (3.1 x 2.5 inches),Injection. Electronic intake pipe injection/digital engine management including knock sensor (BMS-K),Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Shaft drive (cardan)   (final drive),,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-loop 3-way catalytic converter, emission standard EU-3","Bridge-type, cast aluminium, load bearing engine",29.6°,104 mm (4.1 inches),BMW Motorrad Duolever; central spring strut,Cast aluminium single-sided swing arm with BMW Motorrad Paralever,120/70-ZR17 ,180/55-ZR17 ,Double disc. Optional ABS,265 mm (10.4 inches),Single disc. Optional ABS,214.0 kg (471.8 pounds),0.8084 HP/kg,,,"790 mm (31.1 inches) If adjustable, lowest setting.",1585 mm (62.4 inches),19.00 litres (5.02 US gallons),"Orange, gray, silk",Electric,,4,1095 mm (43.1 inches),2228 mm (87.7 inches),856 mm (33.7 inches),,115 mm (4.5 inches),135 mm (5.3 inches),,,,243.0 kg (535.7 pounds),4.00 litres (1.06 US gallons),,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini Corsaro 1200,2009,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1187.0 ccm (72.43 cubic inches),"V2, four-stroke",138.1 HP (100.8  kW)) @ 8500 RPM,123.0 Nm (12.5 kgf-m or 90.7 ft.lbs) @ 6700 RPM,,,107.0 x 66.0 mm (4.2 x 2.6 inches),Injection. Magneti Marelli,Double Overhead Cams/Twin Cam (DOHC),,Liquid,,Chain   (final drive),Multiple-plate clutch in oil bath with antiskipping system and radial master-cylinder,,,"Sport Termignoni with double silencer, 3-way catalytic converter and oxygen sensor. Euro 3.",High-strength steel tube trellis frame,24.5°,103 mm (4.1 inches),Marzocchi upside down with 50 mm/ 1.96 Ø,Sachs shock absorber,120/70-R17 ,180/55-R17 ,Double disc. Bremo,220 mm (8.7 inches),Single disc. Bremo,196.0 kg (432.1 pounds),0.7047 HP/kg,,,"830 mm (32.7 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),18.00 litres (4.76 US gallons),"Black/grey, red/gray, white/black",Electric,,4,,2070 mm (81.5 inches),810 mm (31.9 inches),,129 mm (5.1 inches),130 mm (5.1 inches),,,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 400,2009,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,,,10.6:1,81.0 x 77.6 mm (3.2 x 3.1 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Liquid,Automatic,Belt   (final drive),,,,,,,,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/80-M14 ,150/70-M13 ,Double disc,,Single disc,,,,,"710 mm (28.0 inches) If adjustable, lowest setting.",1585 mm (62.4 inches),13.50 litres (3.57 US gallons),"Gray, White",Electric,,,,2270 mm (89.4 inches),760 mm (29.9 inches),Wet Sump,,,125 mm (4.9 inches),,,215.0 kg (474.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR Macchia Nera,2009,Prototype / concept model," 3.2  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",1000.0 ccm (61.02 cubic inches),"V2, four-stroke",185.0 HP (135.0  kW)),,,,,Injection,,,,6-speed,Chain   (final drive),,,,,Carbon fibre and titan,,,Ohlins,Ohlins,120/70-17 ,190/55-17 ,Double disc,305 mm (12.0 inches),Single disc,135.0 kg (297.6 pounds),1.3704 HP/kg,,,,,,Black/white/gold,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vento Phantom R3,2009,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",9.4 HP (6.9  kW)) @ 7600 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5100 RPM,,,57.4 x 57.8 mm (2.3 x 2.3 inches),Carburettor,,CDI,Air,Automatic,Belt   (final drive),,,,Silvertone bullet exhaust pipe,,,,Telescopic hydraulic fork,Twin shocks,130/60-13 ,130/60-13 ,Single disc,,Single disc,103.9 kg (229.0 pounds),0.0905 HP/kg,,,"975 mm (38.4 inches) If adjustable, lowest setting.",,5.29 litres (1.40 US gallons),"Red
",Electric,,,1290 mm (50.8 inches),1890 mm (74.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Dorsoduro 750,2009,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",749.9 ccm (45.76 cubic inches),"V2, four-stroke",92.0 HP (67.2  kW)) @ 8750 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 4500 RPM,,11.0:1,92.0 x 56.4 mm (3.6 x 2.2 inches),Injection. Integrated engine management system. Electronic fuel injection with ride-by-wire electronic throttle control.,Double Overhead Cams/Twin Cam (DOHC),,Liquid,,Chain   (final drive),Hydraulically operated multi-plate wet clutch.,,,Two in one system in 100% stainless steel with three-way catalytic converter and Lambda probe.,Modular steel trellis secured to aluminium side plates by high strength bolts. Detachable rear frame.,25.0°,108 mm (4.3 inches),43 mm upside-down fork. 160 mm wheel travel.,Aluminium alloy swingarm.,120/70-17. ,180/55-17. ,Double disc,240 mm (9.4 inches),Single disc,186.0 kg (410.1 pounds),0.4946 HP/kg,,,"870 mm (34.3 inches) If adjustable, lowest setting.",1505 mm (59.3 inches),12.00 litres (3.17 US gallons),"Aprilia Black, Shine Red, Silver Crowd 
",Electric,,4,1185 mm (46.7 inches),2216 mm (87.2 inches),905 mm (35.6 inches),Wet sump.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco SM 125-F,2009,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",,,,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni DM 20,Single Overhead Cams (SOHC),CDI,,5-speed,,Multidisc in oil bath,,,Inox steel,Built from Chrome-molybdenum forming a single structure,,,Hydraulic telescopic fork Paioli,"Olle single shock absorber, adjustable in spring preload",1.60-21 ,2.15-18 ,Single disc,180 mm (7.1 inches),Single disc,99.0 kg (218.3 pounds),,,,"910 mm (35.8 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),,,Electric & kick,Yamaha-Minarelli engine,,,,,,,,330 mm (13.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SportClassic Sport 1000 S,2009,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",90.8 HP (66.3  kW)) @ 8000 RPM,91.3 Nm (9.3 kgf-m or 67.3 ft.lbs) @ 9300 RPM,,10.0:1,94.0 x 71.5 mm (3.7 x 2.8 inches),"Injection. Marelli electronic fuel injection, 45 mm throttle body ",Desmodromic valve control,,Air,6-speed,Chain   (final drive),Wet multiplate with hydraulic control ,,,Black exhaust system with two mufflers r.h. ,Tubular steel trellis,,,43 mm upside-down fork ,Twin fully adjustable shock absorber ,120/70-R17 ,180/55-R17 ,Double disc,245 mm (9.6 inches),Single disc,181.0 kg (399.0 pounds),0.5015 HP/kg,,,"825 mm (32.5 inches) If adjustable, lowest setting.",1425 mm (56.1 inches),15.00 litres (3.96 US gallons),"Red with white stripe (Black/Black), Black with white stripe (Black/Black)",,,2,,,,,120 mm (4.7 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genuine Scooter Italy 50,2009,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,48.3 km/h (30.0 mph),,,Carburettor,,,Air,Automatic,Shaft drive (cardan)   (final drive),Automatic,2.35 litres/100 km (42.6 km/l or 100.09 mpg),54.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic,Monoshock,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),,,,,,,,Blue,,Part of Genuine´s International serie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YBR250,2009,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",21.1 HP (15.4  kW)),20.7 Nm (2.1 kgf-m or 15.3 ft.lbs) @ 2100 RPM,,9.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),Injection,,TCI (digital),Air,5-speed,Chain   (final drive),"Wet, multiple-disc coil spring",,,,Steel double cradle,,105 mm (4.1 inches),Telescopic forks,Bottom link swingarm,100/80-M17 ,130/70-M17 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,,,,"805 mm (31.7 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),19.00 litres (5.02 US gallons),,Electric,,,1065 mm (41.9 inches),2025 mm (79.7 inches),745 mm (29.3 inches),Wet sump,115 mm (4.5 inches),120 mm (4.7 inches),190 mm (7.5 inches),1.50 litres (1.59 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyteam ST125-11,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",6.7 HP (4.9  kW)) @ 5500 RPM,7.3 Nm (0.7 kgf-m or 5.4 ft.lbs) @ 6500 RPM,82.0 km/h (51.0 mph),9.0:1,52.4 x 57.0 mm (2.1 x 2.2 inches),Carburettor. MIKUNI,Single Overhead Cams (SOHC),C.D.I.,Air,4-speed,Chain   (final drive),"Wet, multiple disc",,,,"Steel, Single-tube",,,Spring  and  Oil,Spring  and  Oil / Double Shock,7.0-10 ,7.0-10 ,,155 mm (6.1 inches),Expanding brake (drum brake),88.0 kg (194.0 pounds),0.0761 HP/kg,,,"760 mm (29.9 inches) If adjustable, lowest setting.",1200 mm (47.2 inches),4.50 litres (1.19 US gallons),GREEN/YELLOW/CHOCOLATE,Electric & kick,a great fun in the beach,2,1020 mm (40.2 inches),1725 mm (67.9 inches),825 mm (32.5 inches),Pressure and splash lubrication,115 mm (4.5 inches),50 mm (2.0 inches),205 mm (8.1 inches),0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki QuadSport Z400,2009,ATV," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,,,11.3:1,90.0 x 62.6 mm (3.5 x 2.5 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,5-speed,Chain   (final drive),,,,,,,,"Independent, double wishbone, coil spring, oil damped","Swingarm type, coil spring, oil damped",22/7-10 ,20/10-9 ,Double disc,,Single disc,,,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1245 mm (49.0 inches),9.50 litres (2.51 US gallons),"Yellow, White",Electric,,,1145 mm (45.1 inches),1830 mm (72.0 inches),1190 mm (46.9 inches),Dry sump,,,265 mm (10.4 inches),,,193.0 kg (425.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1300 GT,2009,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1293.0 ccm (78.90 cubic inches),"In-line four, four-stroke",160.0 HP (116.8  kW)) @ 9000 RPM,135.0 Nm (13.8 kgf-m or 99.6 ft.lbs) @ 8000 RPM,200.0 km/h (124.3 mph),13.0:1,80.0 x 64.3 mm (3.1 x 2.5 inches),Injection. Electronic intake pipe injection/digital engine management including knock sensor (BMS-K),Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Shaft drive (cardan)   (final drive),,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-loop 3-way catalytic converter, emission standard EU-3",,29.4°,112 mm (4.4 inches),BMW Motorrad Duolever,"Cast aluminium single-sided swing arm with BMW Motorrad Paralever. central spring strut with lever system, spring pre-load hydraulically adjustable (continuously variable) at handwheel, adjustable rebound damping.",120/70-ZR17 ,190/55-ZR17 ,Double disc. 4-piston fixed calipers. ABS,294 mm (11.6 inches),Single disc. Double-piston floating caliper. ABS.,255.0 kg (562.2 pounds),0.6275 HP/kg,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1572 mm (61.9 inches),24.00 litres (6.34 US gallons),"Beige, blue, red",Electric,,4,1438 mm (56.6 inches),2318 mm (91.3 inches),965 mm (38.0 inches),,115 mm (4.5 inches),135 mm (5.3 inches),,,,288.0 kg (634.9 pounds),4.00 litres (1.06 US gallons),,"840 mm (33.1 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,
CCM 404 DS Trail,2009,Trial," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)),,,12.2:1,90.0 x 62.6 mm (3.5 x 2.5 inches),Carburettor. Keihin FCR39,Double Overhead Cams/Twin Cam (DOHC),CDI,Liquid,,,,,,, Tubular steel with oil,,,WP 43mm upside down,WP PDS,,,Single disc. Bremo,260 mm (10.2 inches),Single disc. Bremo,128.0 kg (282.2 pounds),0.3125 HP/kg,,,"800 mm (31.5 inches) If adjustable, lowest setting.",,12.00 litres (3.17 US gallons),Blue/red/white,Electric,,,,,,Dry Sump,,,,,,,,,"830 mm (32.7 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF230M,2009,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",,,,9.0:1,65.5 x 66.2 mm (2.6 x 2.6 inches),Carburettor. Carburetor 30mm CV,Single Overhead Cams (SOHC),CD,Air,6-speed,Chain   (final drive),,,,,,23.9°,98 mm (3.8 inches),37mm leading-axle Showa fork,Pro-Link Showa single shock with spring preload adjustability,110/70-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,,,,,"805 mm (31.7 inches) If adjustable, lowest setting.",1336 mm (52.6 inches),8.70 litres (2.30 US gallons),Black,,Model ID: CRF230M,,,,,,229 mm (9.0 inches),168 mm (6.6 inches),236 mm (9.3 inches),,,125.2 kg (276.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
