Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Dry weight,Power/weight ratio,Comments,Fuel system,Clutch,Frame type,Front suspension,Rear suspension,Diameter,Wheels,Seat,Seat height,Overall width,Wheelbase,Color options,Starter,Torque,Ground clearance,Overall length,Exhaust system,Ignition,Lubrication system,Overall height,Reserve fuel capacity,Oil capacity,Modifications compared to previous model,1/4 mile (0.4 km),Max RPM,Rake (fork angle),Trail,Front wheel travel,Fuel consumption,Greenhouse gases
Ducati 250 Mark 3 D,1971,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,135.0 km/h (83.9 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha R 5,1971,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",35.0 HP (25.5  kW)) @ 7800 RPM,160.0 km/h (99.4 mph),6.9:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,Expanding brake,148.0 kg (326.3 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 350,1971,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",325.0 ccm (19.83 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 10500 RPM,165.0 km/h (102.5 mph),9.5:1,64.0 x 50.6 mm (2.5 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr K-750 M,1971,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,Military model made at the Dnepr Kiev factory. 1963-1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 750 Sport,1971,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 7250 RPM,206.0 km/h (128.0 mph),9.8:1,82.5 x 70.0 mm (3.2 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-9,1971,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,210.0 kg (463.0 pounds),0.1524 HP/kg,"Made in Kiev, USSR, 1971-1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DS 7,1971,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,140.0 km/h (87.0 mph),7.1:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,146.0 kg (321.9 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Baja 100SR,1971,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 8000 RPM,110.0 km/h (68.4 mph),9.5:1,50.0 x 50.0 mm (2.0 x 2.0 inches),,,Air,,,3-21 ,3.50-18 ,,,,9.50 litres (2.51 US gallons),84.0 kg (185.2 pounds),0.1485 HP/kg,,Carburettor. Dell´Orto MB ,,,Telescopic,"Double-Sided Steel Swingarm, Twin Shock Absorbers",,,,"865 mm (34.1 inches) If adjustable, lowest setting.",620 mm (24.4 inches),1300 mm (51.2 inches),,Kick,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),,1960 mm (77.2 inches),,,,,,,,,,,,,,
Motobi Sport Special 125,1971,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,110.0 km/h (68.4 mph),8.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,102.0 kg (224.9 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 90,1971,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",89.0 ccm (5.43 cubic inches),"Single cylinder, two-stroke",9.5 HP (6.9  kW)) @ 6500 RPM,95.0 km/h (59.0 mph),8.5:1,48.0 x 49.0 mm (1.9 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,90.0 kg (198.4 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SF,1971,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,190.0 km/h (118.1 mph),9.5:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Expanding brake,Expanding brake,231.0 kg (509.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YAS1,1971,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",,,,,,,Air,,Chain   (final drive),2.25-17 ,2.50-17 ,,Expanding brake (drum brake),,,,,,Carburettor,,,,,,,,,,,,,,,,Double stainless steel pipes,,,,,,,,,,,,,
Ducati 450 TS,1971,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 5000 RPM,125.0 km/h (77.7 mph),8.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha AG 175,1971,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,,,,,,Air,,,,,,,,,,,old work horse,,,,,,,,,,,,yellow and cream,,,,,,,,,,,,,,,,,,
BMW R 60-5,1971,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"Two cylinder boxer, four-stroke",40.0 HP (29.2  kW)) @ 6400 RPM,165.0 km/h (102.5 mph),9.2:1,73.5 x 70.6 mm (2.9 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,227.0 kg (500.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SL 250,1971,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,,2,,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,Carburettor,,,,,,,,,,,,Kick,,,,,,,,,,,,,,,,,
Suzuki T 500,1971,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Twin, two-stroke",47.0 HP (34.3  kW)) @ 7000 RPM,170.0 km/h (105.6 mph),6.6:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,187.0 kg (412.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SL 175,1971,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Twin, four-stroke",,,9.0:1,,2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,9.08 litres (2.40 US gallons),113.0 kg (249.2 pounds),,,Carburettor. Keihin,Wet plate,Steel,,Dual shocks,,,,,780 mm (30.7 inches),1326 mm (52.2 inches),"Light Ruby Red, Candy Sapphire Blue, and Poppy Yellow Metallic. The gas tank stripes on the yellow bike were black; but on the other two colors they were white. The ´SL175´ side cover emblem was chrome and white.",Kick,,,2024 mm (79.7 inches),Dual steel pipes into single muffler,Points and Condensor,Wet sump,1090 mm (42.9 inches),1.89 litres (0.50 US gallons),1.50 litres (1.59 US quarts),The 1971 muffler heat shield was chrome with holes instead of slots. The size and style of the gas tank and the seat changed from the previous year.,,,,,,,
Münch 4-1200 TTS,1971,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",88.0 HP (64.2  kW)) @ 6000 RPM,207.0 km/h (128.6 mph),9.8:1,75.0 x 66.6 mm (3.0 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.26-19 ,4.00-18 ,Expanding brake,Expanding brake,278.0 kg (612.9 pounds),35.00 litres (9.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki T 350 R,1971,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",315.0 ccm (19.22 cubic inches),"Twin, two-stroke",40.0 HP (29.2  kW)) @ 7500 RPM,168.0 km/h (104.4 mph),6.9:1,61.0 x 54.0 mm (2.4 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,15.00 litres (3.96 US gallons),154.0 kg (339.5 pounds),0.2597 HP/kg,,Carburettor. two Mikuni VM32SH,Wet multi-disc,,telescopic fork with hydraulic damper,Swinging arm with adjustable hydraulic shocks,,,,,870 mm (34.3 inches),1300 mm (51.2 inches),,Kick,39.2 Nm (4.0 kgf-m or 28.9 ft.lbs) @ 6500 RPM,160 mm (6.3 inches),2030 mm (79.9 inches),Double chrome steel pipes,Points,Suziki C.C.I oil injection,1130 mm (44.5 inches),2.00 litres (0.53 US gallons),,,13.80 seconds,8000,40.0°,95 mm (3.7 inches),76 mm (3.0 inches),,
BSA A 65 Lightning,1971,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-19 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A 65 Thunderbolt,1971,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 7000 RPM,168.0 km/h (104.4 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-19 ,Expanding brake,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 125 Sport,1971,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7500 RPM,120.0 km/h (74.6 mph),11.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi Tornado 650,1971,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",643.0 ccm (39.24 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,175.0 km/h (108.7 mph),9.6:1,84.0 x 58.0 mm (3.3 x 2.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,222.0 kg (489.4 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ES 250-2 Trophy (with sidecar),1971,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 5000 RPM,100.0 km/h (62.1 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-16 ,3.50-16 ,Expanding brake,Expanding brake,223.0 kg (491.6 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA B50SS,1971,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",33.5 HP (24.5  kW)) @ 6200 RPM,136.8 km/h (85.0 mph),10.0:1,84.0 x 90.0 mm (3.3 x 3.5 inches),,Overhead Valves (OHV),Air,,Chain   (final drive),3.25-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,140.6 kg (310.0 pounds),0.2385 HP/kg,,Carburettor,"Wet, multiplate","Welded, with larger diameter Top Tube",Telescopic,"Swingarm , Dual Shocks",,,,"813 mm (32.0 inches) If adjustable, lowest setting.",737 mm (29.0 inches),1372 mm (54.0 inches),Red,Kick,37.9 Nm (3.9 kgf-m or 28.0 ft.lbs) @ 5000 RPM,191 mm (7.5 inches),2159 mm (85.0 inches),,Lucas RM21,,1105 mm (43.5 inches),,,,,,,,,,
Zündapp KS 100,1971,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6800 RPM,100.0 km/h (62.1 mph),10.5:1,48.0 x 54.0 mm (1.9 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),2.50-17 ,2.75-17 ,Expanding brake,Expanding brake,102.0 kg (224.9 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bultaco Metralla 250,1971,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, two-stroke",27.5 HP (20.1  kW)) @ 7500 RPM,150.0 km/h (93.2 mph),9.0:1,72.0 x 60.0 mm (2.8 x 2.4 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,112.0 kg (246.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSA A 75 Rocket 3,1971,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",58.0 HP (42.3  kW)) @ 7500 RPM,185.0 km/h (115.0 mph),9.5:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.00-19 ,4.00-19 ,Expanding brake,Expanding brake,226.0 kg (498.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha JT1MX Mini Enduro,1971,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",60.0 ccm (3.66 cubic inches),"Single cylinder, two-stroke",,,,,,,Air,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 750 J,1971,Sport touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line three, two-stroke",52.0 HP (38.0  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Liquid,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,226.0 kg (498.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha AS 3,1971,Naked bike," 2.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",16.0 HP (11.7  kW)) @ 9800 RPM,127.0 km/h (78.9 mph),7.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,105.0 kg (231.5 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 50 Super Sport type 517-20,1971,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",6.0 HP (4.4  kW)) @ 8400 RPM,90.0 km/h (55.9 mph),,39.0 x 41.8 mm (1.5 x 1.6 inches),,Port control,Air,5-speed,Chain   (final drive),17-2.75 ,17-2.75 ,Expanding brake (drum brake),Expanding brake (drum brake),97.0 kg (213.8 pounds),9.70 litres (2.56 US gallons),84.0 kg (185.2 pounds),0.0714 HP/kg,,Carburettor. Bing 19mm (1/19/36),Wet plate,High pressure cast aluminium with steel tube,,,150 mm (5.9 inches),,,,,1230 mm (48.4 inches),Black with red buddyseat,Kick,,,,High ´Cross´ exhaust system,,by fuel,,,,"Lower, small fueltank; high exhaust system",,9000,,,,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) 
Ducati 450 Mark 3,1971,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,145.0 km/h (90.1 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 175,1971,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",172.0 ccm (10.50 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5600 RPM,110.0 km/h (68.4 mph),8.7:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3,1971,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,130.0 km/h (80.8 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,136.0 kg (299.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125,1971,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",15.0 HP (10.9  kW)) @ 10500 RPM,121.0 km/h (75.2 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,134.0 kg (295.4 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-8,1971,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,Made in Kiev 1967-1971.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 350 S 2 Mach II,1971,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"In-line three, two-stroke",44.0 HP (32.1  kW)) @ 8000 RPM,155.0 km/h (96.3 mph),7.3:1,53.0 x 52.3 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,Expanding brake,160.0 kg (352.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125,1971,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5750 RPM,100.0 km/h (62.1 mph),8.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,120.0 kg (264.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1200 Super Glide,1971,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,135.0 km/h (83.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Expanding brake,Expanding brake,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F,1971,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8000 RPM,190.0 km/h (118.1 mph),9.0:1,61.0 x 63.0 mm (2.4 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,235.0 kg (518.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 125 Super Sport,1971,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),11.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.50-16 ,3.00-16 ,Expanding brake,Expanding brake,104.0 kg (229.3 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 250B,1971,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, four-stroke",25.5 HP (18.6  kW)) @ 7500 RPM,135.0 km/h (83.9 mph),10.0:1,53.0 x 56.0 mm (2.1 x 2.2 inches),,Overhead Valves (OHV),Air,,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,13.00 litres (3.43 US gallons),140.0 kg (308.6 pounds),0.1820 HP/kg,,Carburettor. Dell´Orto UB22,"Wet, multiplate",Tubular and Pressed Steel Open Loop,Telescopic,Swingarm ,200 mm (7.9 inches),,,,620 mm (24.4 inches),,Red,Kick,,,1960 mm (77.2 inches),,,,,,,,,,,,,,
MuZ ETS 250 Trophy Sport,1971,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 5000 RPM,130.0 km/h (80.8 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.50-16 ,Expanding brake,Expanding brake,149.0 kg (328.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
