Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Fuel capacity,Reserve fuel capacity,Starter,Top speed,Max RPM,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Clutch,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel control,Exhaust system,Color options,0-100 km/h (0-62 mph),Comments,1/4 mile (0.4 km),Fuel consumption,Greenhouse gases,Ignition,Rake (fork angle),Trail,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Battery,Ground clearance,Modifications compared to previous model,Alternate seat height
BMW R 100 RT,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3500 RPM,2,5-speed,Dual disc,Expanding brake,214.0 kg (471.8 pounds),,0.2804 HP/kg,"807 mm (31.8 inches) If adjustable, lowest setting.",22.00 litres (5.81 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZ-R 600,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,62.8 Nm (6.4 kgf-m or 46.3 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,195.0 kg (429.9 pounds),,0.5128 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",18.00 litres (4.76 US gallons),4.20 litres (1.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 400 Bandit,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",54.0 HP (39.4  kW)) @ 10600 RPM,38.3 Nm (3.9 kgf-m or 28.2 ft.lbs) @ 6500 RPM,4,6-speed,Single disc,Single disc,169.0 kg (372.6 pounds),,0.3195 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",16.00 litres (4.23 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",52.0 HP (38.0  kW)) @ 6500 RPM,49.0 Nm (5.0 kgf-m or 36.2 ft.lbs) @ 3750 RPM,2,5-speed,Single disc,Expanding brake,190.0 kg (418.9 pounds),,0.2737 HP/kg,"807 mm (31.8 inches) If adjustable, lowest setting.",22.00 litres (5.81 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100 WR,1994,Unspecified category," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",155.0 HP (113.1  kW)) @ 10000 RPM,114.7 Nm (11.7 kgf-m or 84.6 ft.lbs) @ 9000 RPM,4,5-speed,Dual disc,Single disc,231.0 kg (509.3 pounds),,0.6710 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",21.00 litres (5.55 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Tourist,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",26.5 HP (19.3  kW)) @ 5800 RPM,44.1 Nm (4.5 kgf-m or 32.6 ft.lbs) @ 5100 RPM,2,4-speed,Expanding brake,Expanding brake,210.0 kg (463.0 pounds),,0.1262 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",19.00 litres (5.02 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1000 F,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",988.0 ccm (60.29 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,87.3 Nm (8.9 kgf-m or 64.4 ft.lbs) @ 6000 RPM,4,5-speed,Dual disc,Single disc,235.0 kg (518.1 pounds),,0.4170 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Sport 1100,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,96.1 Nm (9.8 kgf-m or 70.9 ft.lbs) @ 6000 RPM,2,5-speed,Dual disc,Single disc,200.0 kg (440.9 pounds),,0.4500 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",20.00 litres (5.28 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 FR,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,73.6 Nm (7.5 kgf-m or 54.3 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,195.0 kg (429.9 pounds),,0.5436 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",20.00 litres (5.28 US gallons),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Heritage Softail Custom,1994,Unspecified category," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,322.0 kg (709.9 pounds),,0.1491 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",15.90 litres (4.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Quota 1000,1994,Unspecified category," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",950.0 ccm (57.97 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 6600 RPM,84.3 Nm (8.6 kgf-m or 62.2 ft.lbs) @ 5400 RPM,2,5-speed,Dual disc,Single disc,248.0 kg (546.7 pounds),,0.2823 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",20.00 litres (5.28 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 Florida,1994,Unspecified category," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 7000 RPM,49.0 Nm (5.0 kgf-m or 36.2 ft.lbs) @ 3400 RPM,2,5-speed,Dual disc,Single disc,170.0 kg (374.8 pounds),,0.2824 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Low Rider Custom,1994,Unspecified category," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,261.0 kg (575.4 pounds),,0.1839 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",15.90 litres (4.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 F,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)) @ 9500 RPM,104.9 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 8500 RPM,4,6-speed,Dual disc,Single disc,235.0 kg (518.1 pounds),,0.5745 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",21.00 litres (5.55 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,1994,Unspecified category," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",60.0 HP (43.8  kW)) @ 9800 RPM,45.1 Nm (4.6 kgf-m or 33.3 ft.lbs) @ 8500 RPM,4,6-speed,Dual disc,Single disc,179.0 kg (394.6 pounds),,0.3352 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",18.00 litres (4.76 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 450 SR,1994,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",447.0 ccm (27.28 cubic inches),"In-line four, two-stroke",46.0 HP (33.6  kW)) @ 8500 RPM,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 7000 RPM,,6-speed,Double disc,Single disc,178.0 kg (392.4 pounds),,0.2584 HP/kg,,14.00 litres (3.70 US gallons),,Electric,181.0 km/h (112.5 mph),,,,Carburettor,Liquid,Chain   (final drive),,,,,,,,,,,,,Double Overhead Cams/Twin Cam (DOHC),,,6.00 seconds,"Essa foi uma das motos mais desejadas no Brasil até o começo dos anos 90.
This was one of the desired motions more in Brazil in the start of years 90.",,,,,,,,,,,,,,,,,,,,,
Honda CB 500,1994,Unspecified category," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 9500 RPM,47.1 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 8000 RPM,4,6-speed,Single disc,Expanding brake,170.0 kg (374.8 pounds),,0.3412 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",18.00 litres (4.76 US gallons),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",23.5 HP (17.2  kW)) @ 6000 RPM,36.3 Nm (3.7 kgf-m or 26.8 ft.lbs) @ 3500 RPM,2,5-speed,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),,0.1382 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",14.00 litres (3.70 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100,1994,Unspecified category," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5000 RPM,95.1 Nm (9.7 kgf-m or 70.2 ft.lbs) @ 2750 RPM,4,5-speed,Single disc,Expanding brake,245.0 kg (540.1 pounds),,0.2449 HP/kg,"705 mm (27.8 inches) If adjustable, lowest setting.",13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 FR,1994,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1127.0 ccm (68.77 cubic inches),"In-line four, four-stroke",136.0 HP (99.3  kW)) @ 9500 RPM,111.8 Nm (11.4 kgf-m or 82.5 ft.lbs) @ 7000 RPM,4,5-speed,Double disc,Single disc,251.0 kg (553.4 pounds),,0.5418 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",21.00 litres (5.55 US gallons),,Electric,,,,,,Oil & air,Chain   (final drive),,,,,,,,275 mm (10.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 RS,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,104.9 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5500 RPM,4,5-speed,Dual disc,Single disc,248.0 kg (546.7 pounds),,0.4032 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 250,1994,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",48.0 HP (35.0  kW)) @ 11000 RPM,70.5 Nm (7.2 kgf-m or 52.0 ft.lbs) @ 11000 RPM,4,6-speed,Single disc,Single disc,,,,,,,Electric,180.0 km/h (111.8 mph),14000,,,Carburettor,Liquid,Chain   (final drive),,,,,,,,,,,,,,,,13.20 seconds,,13.80 seconds,,,,,,,,,,,,,,,,,,,,
Suzuki RF 900 R,1994,Unspecified category," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",937.0 ccm (57.18 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 10000 RPM,95.1 Nm (9.7 kgf-m or 70.2 ft.lbs) @ 9000 RPM,4,5-speed,Dual disc,Single disc,203.0 kg (447.5 pounds),,0.6158 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",21.00 litres (5.55 US gallons),5.50 litres (1.45 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-9 R Ninja,1994,Unspecified category," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",139.0 HP (101.5  kW)) @ 10500 RPM,94.2 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 9000 RPM,4,6-speed,Dual disc,Single disc,215.0 kg (474.0 pounds),,0.6465 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",20.00 litres (5.28 US gallons),4.20 litres (1.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 1000 Strada,1994,Unspecified category," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",950.0 ccm (57.97 cubic inches),"V2, four-stroke",71.0 HP (51.8  kW)) @ 6800 RPM,77.5 Nm (7.9 kgf-m or 57.1 ft.lbs) @ 5600 RPM,2,5-speed,Dual disc,Single disc,210.0 kg (463.0 pounds),,0.3381 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",22.50 litres (5.94 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch Imola GX 50,1994,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)),,,2-speed,Expanding brake (drum brake),Expanding brake (drum brake),74.0 kg (163.1 pounds),,0.0541 HP/kg,,3.00 litres (0.79 US gallons),,Kick,60.0 km/h (37.3 mph),,,,,Air,Chain   (final drive),,,,,,,,,,,,,,,,,,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,
Yamaha XTZ 750 Super Tenere,1994,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 7500 RPM,,5,,Double disc,Single disc,,240.0 kg (529.1 pounds),,,25.00 litres (6.61 US gallons),,Electric,170.0 km/h (105.6 mph),,,,,Liquid,Chain   (final drive),,,,,,,,,,,,,,single stainless steel pipe,,,,,6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,electronic,,,,,,,,,,,,,,,,,
Suzuki VS 1400 Intruder,1994,Unspecified category," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",71.0 HP (51.8  kW)) @ 4800 RPM,112.8 Nm (11.5 kgf-m or 83.2 ft.lbs) @ 3200 RPM,3,5-speed,Single disc,Single disc,243.0 kg (535.7 pounds),,0.2922 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",13.00 litres (3.43 US gallons),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 600 R,1994,Unspecified category," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,65.7 Nm (6.7 kgf-m or 48.5 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,184.0 kg (405.7 pounds),,0.5435 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",19.00 litres (5.02 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 900 Elefant,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 6500 RPM,77.5 Nm (7.9 kgf-m or 57.1 ft.lbs) @ 5500 RPM,2,6-speed,Single disc,Single disc,185.0 kg (407.9 pounds),,0.3676 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",24.00 litres (6.34 US gallons),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 R Roadster,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,59.8 Nm (6.1 kgf-m or 44.1 ft.lbs) @ 3750 RPM,2,5-speed,Single disc,Expanding brake,196.0 kg (432.1 pounds),,0.2551 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",24.00 litres (6.34 US gallons),4.70 litres (1.24 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 888 SP 0 Strada,1994,Unspecified category," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",851.0 ccm (51.93 cubic inches),"V2, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,,4,6-speed,Dual disc,Single disc,210.0 kg (463.0 pounds),,0.5238 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",19.00 litres (5.02 US gallons),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GN 250,1994,Unspecified category," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 8500 RPM,19.6 Nm (2.0 kgf-m or 14.5 ft.lbs) @ 5500 RPM,4,5-speed,Single disc,Expanding brake,129.0 kg (284.4 pounds),,0.1705 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",10.30 litres (2.72 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Classic,1994,Unspecified category," 2.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",26.5 HP (19.3  kW)) @ 5800 RPM,44.1 Nm (4.5 kgf-m or 32.6 ft.lbs) @ 5100 RPM,2,4-speed,Expanding brake,Expanding brake,210.0 kg (463.0 pounds),,0.1262 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",19.00 litres (5.02 US gallons),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VX 800,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 6500 RPM,73.6 Nm (7.5 kgf-m or 54.3 ft.lbs) @ 5500 RPM,4,5-speed,Single disc,Single disc,213.0 kg (469.6 pounds),,0.2958 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",19.00 litres (5.02 US gallons),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 Virago,1994,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",46.7 HP (34.1  kW)) @ 7500 RPM,47.1 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 6000 RPM,2,5-speed,Single disc,Expanding brake,182.0 kg (401.2 pounds),,0.2566 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",13.50 litres (3.57 US gallons),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 S Virago,1994,Unspecified category," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",46.7 HP (34.1  kW)) @ 7500 RPM,47.1 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 6000 RPM,2,5-speed,Single disc,Expanding brake,182.0 kg (401.2 pounds),,0.2566 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",13.50 litres (3.57 US gallons),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S Diversion,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 8500 RPM,54.9 Nm (5.6 kgf-m or 40.5 ft.lbs) @ 7000 RPM,2,6-speed,Single disc,Single disc,187.0 kg (412.3 pounds),,0.3262 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Electra Glide Classic,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5000 RPM,94.2 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 3600 RPM,2,5-speed,Dual disc,Single disc,336.0 kg (740.8 pounds),,0.1786 HP/kg,"711 mm (28.0 inches) If adjustable, lowest setting.",18.90 litres (4.99 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Low Rider Convertible,1994,Unspecified category," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Dual disc,Single disc,282.0 kg (621.7 pounds),,0.1702 HP/kg,"699 mm (27.5 inches) If adjustable, lowest setting.",15.90 litres (4.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 750,1994,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",738.0 ccm (45.03 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9500 RPM,56.9 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 7300 RPM,2,5-speed,Double disc,Single disc,201.0 kg (443.1 pounds),,0.3582 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",17.00 litres (4.49 US gallons),3.00 litres (0.79 US gallons),Electric,,,,,Carburettor. KeihiK,Air,Chain   (final drive),,,,,,,,230 mm (9.1 inches),,,,,Double Overhead Cams/Twin Cam (DOHC),,,,"Area code EU,UK,FR,AR,FG,GR,NR,SP,ST:  
frame range ZR750C 040001 - ZR750C 999999  
engine range KZ750EE 150001 - KZ750EE 999999",,,,,,,,,,,,,,,,,,,,,
BMW R 100 R Roadster,1994,Unspecified category," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",980.0 ccm (59.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3750 RPM,2,5-speed,Single disc,Expanding brake,197.0 kg (434.3 pounds),,0.3046 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",24.00 litres (6.34 US gallons),4.70 litres (1.24 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 750 R,1994,Unspecified category," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 12000 RPM,80.4 Nm (8.2 kgf-m or 59.3 ft.lbs) @ 9500 RPM,5,6-speed,Dual disc,Single disc,194.0 kg (427.7 pounds),,0.6443 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",19.00 litres (5.02 US gallons),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
