Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,"Weight incl. oil, gas, etc",Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Oil capacity,Color options,Comments,Engine oil,Oil filter,Chain size,Chain links,Sprockets,Clutch,Exhaust system,Ground clearance,Reserve fuel capacity,Modifications compared to previous model,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,Max RPM,Rake (fork angle),Trail,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Coolant,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear"
Moto Guzzi Quota 1000,1996,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",950.0 ccm (57.97 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 6600 RPM,84.3 Nm (8.6 kgf-m or 62.2 ft.lbs) @ 5400 RPM,2,Air,5-speed,,Dual disc,Single disc,248.0 kg (546.7 pounds),0.2823 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 R Classic,1996,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,980.0 ccm (59.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3750 RPM,2,,5-speed,,Dual disc,Single disc,,,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,218.0 kg (480.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 225 Serow,1996,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",,,,Air,6-speed,Chain   (final drive),Single disc,Expanding brake (drum brake),,,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric & kick,121.0 kg (266.8 pounds),135.0 km/h (83.9 mph),9.5:1,70.0 x 58.0 mm (2.8 x 2.3 inches),Carburettor. 35mm MIKUNI,Single Overhead Cams (SOHC),CDI,,,,,Telescopic Fork,226 mm (8.9 inches),Swingarm (link suspension),145 mm (5.7 inches),2.75-21 ,120/80-18 ,110 mm (4.3 inches),1160 mm (45.7 inches),2070 mm (81.5 inches),805 mm (31.7 inches),,10.80 litres (2.85 US gallons),1.30 litres (1.37 US quarts),"White/Green, White/Red, White/Blue",,,,,,,,,285 mm (11.2 inches),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,
Moto Guzzi Sport 1100,1996,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 6000 RPM,2,Air,5-speed,,Dual disc,Single disc,200.0 kg (440.9 pounds),0.4500 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 A Royal Star,1996,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",74.0 HP (54.0  kW)) @ 4750 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 3500 RPM,4,,5-speed,,Dual disc,Single disc,305.0 kg (672.4 pounds),0.2426 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 GS,1996,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",80.0 HP (58.4  kW)) @ 6750 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5250 RPM,4,,5-speed,,Dual disc,Single disc,,,"840 mm (33.1 inches) If adjustable, lowest setting.",Electric,243.0 kg (535.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM GS 620 Duke,1996,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.7 HP (37.0  kW)) @ 7250 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5900 RPM,4,,5-speed,Chain   (final drive),Single disc,Single disc,143.0 kg (315.3 pounds),0.3545 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 900 C,1996,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,83.4 Nm (8.5 kgf-m or 61.5 ft.lbs) @ 6400 RPM,2,,6-speed,Chain   (final drive),Dual disc,Single disc,186.0 kg (410.1 pounds),0.4301 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 S Bandit,1996,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,90.7 Nm (9.2 kgf-m or 66.9 ft.lbs) @ 4500 RPM,4,,5-speed,,Dual disc,Single disc,214.0 kg (471.8 pounds),0.4673 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 F,1996,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",91.8 HP (67.0  kW)) @ 10400 RPM,68.9 Nm (7.0 kgf-m or 50.8 ft.lbs) @ 9500 RPM,4,,6-speed,Chain   (final drive),Dual disc,Single disc,231.0 kg (509.3 pounds),0.3974 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 Savage,1996,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",38.4 HP (28.0  kW)) @ 5400 RPM,45.5 Nm (4.6 kgf-m or 33.6 ft.lbs) @ 3400 RPM,4,Air,5-speed,Belt   (final drive),Single disc,Expanding brake,160.0 kg (352.7 pounds),0.2400 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 639 Chopper 350,1996,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",23.6 HP (17.2  kW)) @ 5250 RPM,38.2 Nm (3.9 kgf-m or 28.2 ft.lbs) @ 4500 RPM,,Air,4-speed,Chain   (final drive),Single disc,Expanding brake,147.0 kg (324.1 pounds),0.1605 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Custom,1996,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,276.0 kg (608.5 pounds),0.2065 HP/kg,"737 mm (29.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Nevada 750,1996,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6200 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3200 RPM,2,Air,5-speed,,Dual disc,Single disc,177.0 kg (390.2 pounds),0.2712 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-9R Ninja,1996,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",141.0 HP (102.9  kW)) @ 10500 RPM,94.1 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 9000 RPM,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,215.0 kg (474.0 pounds),0.6558 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1200,1996,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,81.0 Nm (8.3 kgf-m or 59.7 ft.lbs) @ 6000 RPM,4,,5-speed,,Dual disc,Single disc,232.0 kg (511.5 pounds),0.4224 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 1100,1996,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 10500 RPM,107.9 Nm (11.0 kgf-m or 79.6 ft.lbs) @ 8500 RPM,4,,6-speed,Chain   (final drive),Dual disc,Single disc,233.0 kg (513.7 pounds),0.6438 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RS,1996,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,4,,5-speed,,Dual disc,Single disc,,,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,239.0 kg (526.9 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 883 Hugger,1996,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 2500 RPM,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,220.0 kg (485.0 pounds),0.2273 HP/kg,"687 mm (27.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200,1996,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",108.0 HP (78.8  kW)) @ 9000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5000 RPM,4,Liquid,6-speed,,Dual disc,Single disc,235.0 kg (518.1 pounds),0.4596 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Classic,1996,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",61.2 HP (44.7  kW)) @ 5000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3000 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,,,"779 mm (30.7 inches) If adjustable, lowest setting.",Electric,340.0 kg (749.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Classic,1996,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,62.8 Nm (6.4 kgf-m or 46.3 ft.lbs) @ 3300 RPM,4,,5-speed,Chain   (final drive),Single disc,Expanding brake,225.0 kg (496.0 pounds),0.2444 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha GTS 1000,1996,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1003.0 ccm (61.20 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,105.9 Nm (10.8 kgf-m or 78.1 ft.lbs) @ 6500 RPM,5,,5-speed,,Single disc,Single disc,248.0 kg (546.7 pounds),0.4032 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Pegaso 650,1996,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,,5,,5-speed,Chain   (final drive),Single disc,Single disc,157.0 kg (346.1 pounds),0.3185 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 1100 i,1996,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 6400 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5000 RPM,2,Air,5-speed,,Dual disc,Single disc,240.0 kg (529.1 pounds),0.3125 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road King,1996,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",61.2 HP (44.7  kW)) @ 5000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3000 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,,,"749 mm (29.5 inches) If adjustable, lowest setting.",Electric,325.0 kg (716.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500,1996,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 9500 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 8000 RPM,4,,6-speed,Chain   (final drive),Single disc,Expanding brake,172.0 kg (379.2 pounds),0.3372 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Moto 6.5,1996,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),,5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,150.0 kg (330.7 pounds),0.3333 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 F,1996,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)) @ 9500 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 8500 RPM,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,235.0 kg (518.1 pounds),0.5745 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C Shadow,1996,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)) @ 6500 RPM,48.1 Nm (4.9 kgf-m or 35.5 ft.lbs) @ 3500 RPM,,,5-speed,Chain   (final drive),Single disc,Expanding brake,200.0 kg (440.9 pounds),0.1950 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Sport 650,1996,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8900 RPM,,4,,6-speed,Chain   (final drive),Dual disc,Single disc,190.0 kg (418.9 pounds),0.3684 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Lux,1996,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",23.5 HP (17.2  kW)) @ 5800 RPM,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs) @ 5100 RPM,2,Air,4-speed,,Expanding brake,Expanding brake,310.0 kg (683.4 pounds),0.0758 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,Comes with mounted sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SZR 660,1996,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 5000 RPM,5,,5-speed,Chain   (final drive),Single disc,Single disc,159.0 kg (350.5 pounds),0.3019 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 600 GLF Intruder,1996,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",598.0 ccm (36.49 cubic inches),"V2, four-stroke",41.1 HP (30.0  kW)) @ 7400 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6000 RPM,4,,5-speed,,Single disc,Expanding brake,200.0 kg (440.9 pounds),0.2055 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Heritage Softail Special,1996,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,287.0 kg (632.7 pounds),0.1986 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650,1996,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,55.9 Nm (5.7 kgf-m or 41.2 ft.lbs) @ 5200 RPM,4,,5-speed,Chain   (final drive),Single disc,Single disc,,,"810 mm (31.9 inches) If adjustable, lowest setting.",,189.0 kg (416.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Magna VF750C,1996,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"V4, four-stroke",80.0 HP (58.4  kW)) @ 9600 RPM,,,,,,,,229.1 kg (505.0 pounds),0.3493 HP/kg,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,14.38 litres (3.80 US gallons),,,http://nebular10.tripod.com,,,,,,,,,3.02 litres (0.80 US gallons),,,,,,,,,,9800,,,,,,,,
Honda ST 1100 Pan-European CBS-ABS,1996,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,110.8 Nm (11.3 kgf-m or 81.7 ft.lbs) @ 6000 RPM,4,,5-speed,,Dual disc,Single disc,298.0 kg (657.0 pounds),0.3356 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 900,1996,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,4,Liquid,6-speed,,Dual disc,Single disc,220.0 kg (485.0 pounds),0.4455 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 R Mystic,1996,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",980.0 ccm (59.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,72.6 Nm (7.4 kgf-m or 53.5 ft.lbs) @ 3500 RPM,2,,5-speed,,Dual disc,Single disc,,,"807 mm (31.8 inches) If adjustable, lowest setting.",Electric,234.0 kg (515.9 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Saxon Tour 500,1996,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)),35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 6500 RPM,4,Air,5-speed,Chain   (final drive),Single disc,Expanding brake,143.0 kg (315.3 pounds),0.2378 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VX 800,1996,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",54.8 HP (40.0  kW)) @ 6800 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 5400 RPM,4,,5-speed,,Single disc,Single disc,213.0 kg (469.6 pounds),0.2573 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Coach 250,1996,Trial," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 5500 RPM,28.4 Nm (2.9 kgf-m or 20.9 ft.lbs) @ 3000 RPM,2,Air,6-speed,Chain   (final drive),Single disc,Single disc,86.0 kg (189.6 pounds),0.1860 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RT,1996,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,4,,5-speed,,Dual disc,Single disc,,,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,282.0 kg (621.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RF 900 RS2,1996,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",937.0 ccm (57.18 cubic inches),"In-line four, four-stroke",126.0 HP (92.0  kW)) @ 10000 RPM,100.2 Nm (10.2 kgf-m or 73.9 ft.lbs) @ 9000 RPM,4,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,203.0 kg (447.5 pounds),0.6207 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
