Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Comments,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Front suspension,Rear suspension,Diameter,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Seat height,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Front percentage of weight,Rear percentage of weight,Alternate seat height,Engine details,Wheels,Oil capacity,Electrical,Modifications compared to previous model,Seat,Instruments,Light,Engine oil,Brake fluid,Spark plugs,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Driveline,Chain size
MuZ TS 150,1974,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 6300 RPM,105.0 km/h (65.2 mph),10.0:1,56.0 x 58.0 mm (2.2 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,117.0 kg (257.9 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr K-750 M,1974,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,Military motorcyle manufactured at the Dnepr Kiev factory 1963-1977.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voskhod 2,1974,Naked bike," 2.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.7  kW)) @ 5500 RPM,95.0 km/h (59.0 mph),7.5:1,62.0 x 58.0 mm (2.4 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-16 ,3.25-16 ,Expanding brake,Expanding brake,121.0 kg (266.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 750 S,1974,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",743.0 ccm (45.34 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9200 RPM,220.0 km/h (136.7 mph),9.5:1,65.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Mark 3,1974,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8500 RPM,145.0 km/h (90.1 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS-E,1974,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,200.0 km/h (124.3 mph),8.5:1,75.0 x 66.6 mm (3.0 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,319.0 kg (703.3 pounds),34.00 litres (8.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 250 Mark 3,1974,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 7500 RPM,130.0 km/h (80.8 mph),9.7:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,136.0 kg (299.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400,1974,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 8500 RPM,149.0 km/h (92.6 mph),9.4:1,64.0 x 62.0 mm (2.5 x 2.4 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-10,1974,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,This model was made bye Dnepr in Kiev 1973-76.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 250 TS,1974,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",231.0 ccm (14.10 cubic inches),"Twin, two-stroke",30.0 HP (21.9  kW)) @ 7400 RPM,150.0 km/h (93.2 mph),10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-9,1974,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5000 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,Manufactured by Dnepr in Kiev from 1971 to 1976.,,,,,,,,,,,,,210.0 kg (463.0 pounds),0.1524 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS,1974,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1176.0 ccm (71.76 cubic inches),"In-line four, four-stroke",88.0 HP (64.2  kW)) @ 6000 RPM,207.0 km/h (128.6 mph),9.8:1,75.0 x 66.6 mm (3.0 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,278.0 kg (612.9 pounds),34.00 litres (8.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJS Stormer Y4 250 Mk 2,1974,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",25.0 HP (18.2  kW)) @ 7000 RPM,,11.0:1,68.0 x 68.0 mm (2.7 x 2.7 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,7.57 litres (2.00 US gallons),,8000,Carburettor. AMAL 32mm concentric,flywheel magneto,Pre-mix.  Castrol R at 20:1,Wet plate Diaphram,,,"loud, expansion chamber","Double downtube, full cradle",Telescopic forks,,127 mm (5.0 inches),104.3 kg (230.0 pounds),0.2396 HP/kg,,,,254 mm (10.0 inches),1410 mm (55.5 inches),,"Orange tank, grey frame, black side panels",Kick,"762 mm (30.0 inches) If adjustable, lowest setting.",,,,,,,178 mm (7.0 inches),,46.5,53.5,,,,,,,,,,,,,,,,,,
Kawasaki 500 H 1 Mach III,1974,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"In-line three, two-stroke",58.0 HP (42.3  kW)) @ 7750 RPM,186.0 km/h (115.6 mph),6.8:1,60.0 x 58.8 mm (2.4 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK 125 LT,1974,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",14.0 HP (10.2  kW)) @ 7500 RPM,122.0 km/h (75.8 mph),10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.50-17 ,2.75-17 ,Expanding brake,Expanding brake,114.0 kg (251.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 66,1974,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 4500 RPM,125.0 km/h (77.7 mph),7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,215.0 kg (474.0 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 360 disc,1974,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",357.0 ccm (21.78 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 9000 RPM,165.0 km/h (102.5 mph),9.3:1,67.0 x 50.6 mm (2.6 x 2.0 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,178.0 kg (392.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 2 C,1974,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",13.0 HP (9.5  kW)) @ 7600 RPM,111.0 km/h (69.0 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.i5-18 ,3.00-18 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60-6,1974,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"Two cylinder boxer, four-stroke",40.0 HP (29.2  kW)) @ 6400 RPM,165.0 km/h (102.5 mph),9.2:1,73.5 x 70.6 mm (2.9 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,227.0 kg (500.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 150 V Trident 750,1974,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",60.0 HP (43.8  kW)) @ 7250 RPM,194.0 km/h (120.5 mph),8.3:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Single disc,Expanding brake,228.0 kg (502.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 125-6,1974,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),11.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.50-16 ,3.00-16 ,Expanding brake,Expanding brake,95.0 kg (209.4 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pannonia T 5,1974,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5250 RPM,120.0 km/h (74.6 mph),7.2:1,68.0 x 68.0 mm (2.7 x 2.7 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.25-19 ,Expanding brake,Expanding brake,168.0 kg (370.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3,1974,"Minibike, cross"," 3.1  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",435.0 ccm (26.54 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,145.0 km/h (90.1 mph),9.3:1,86.0 x 75.0 mm (3.4 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 Scrambler,1974,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",32.0 HP (23.4  kW)) @ 7600 RPM,155.0 km/h (96.3 mph),9.5:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 500 Four,1974,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"In-line four, four-stroke",91.2 HP (66.6  kW)) @ 14000 RPM,285.0 km/h (177.1 mph),,58.0 x 47.0 mm (2.3 x 1.9 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,,,,,Double disc,Double disc,,,,,Carburettor. Dell´Orto ,,,Dry Multiple,,,,Doble Cradle,Telescopic,Swingarm ,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250,1974,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 7700 RPM,120.0 km/h (74.6 mph),9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.15-21 ,4.00-18 ,Expanding brake,Expanding brake,148.0 kg (326.3 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 250,1974,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",31.0 HP (22.6  kW)) @ 8000 RPM,155.0 km/h (96.3 mph),7.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,165.0 kg (363.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 125,1974,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",9.6 HP (7.0  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),6.7:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,105.0 kg (231.5 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TX 750,1974,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 7240 RPM,186.0 km/h (115.6 mph),8.8:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE 1200 Super Glide,1974,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,177.0 km/h (110.0 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Single disc,Single disc,275.0 kg (606.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 3,1974,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,120.0 km/h (74.6 mph),8.5:1,61.8 x 58.0 mm (2.4 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,171.0 kg (377.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 GT,1974,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 7000 RPM,174.0 km/h (108.1 mph),8.5:1,80.0 x 74.4 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,197.0 kg (434.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350,1974,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5000 RPM,132.0 km/h (82.0 mph),9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,168.0 kg (370.4 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Planeta 3,1974,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, two-stroke",18.0 HP (13.1  kW)) @ 4800 RPM,110.0 km/h (68.4 mph),7.5:1,72.0 x 85.0 mm (2.8 x 3.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,168.0 kg (370.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 400 MX Type 981,1974,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, two-stroke",42.0 HP (30.7  kW)) @ 6800 RPM,80.5 km/h (50.0 mph),10.5:1,82.0 x 72.0 mm (3.2 x 2.8 inches),2,,Air,4-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake (drum brake). Internal expanding,Expanding brake (drum brake). Drum brake,,8.00 litres (2.11 US gallons),,,Carburettor. Jikov 2932 2760,by flywheel 6v,,,,,Single expansion chamber,Tubular steel,Oil filled 170mm gravelly ,Mp 22x90,178 mm (7.0 inches),106.0 kg (233.7 pounds),0.3962 HP/kg,1130 mm (44.5 inches),2050 mm (80.7 inches),860 mm (33.9 inches),236 mm (9.3 inches),1390 mm (54.7 inches),,Blue and white,Kick,"836 mm (32.9 inches) If adjustable, lowest setting.",,,,,,,170 mm (6.7 inches),90 mm (3.5 inches),,,,400 cc,Spoked,,6v,,Vinyl,None,None,,,,,,,,,
Norton Commando 850 Interstate,1974,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",828.0 ccm (50.52 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 6250 RPM,191.0 km/h (118.7 mph),8.5:1,77.0 x 89.0 mm (3.0 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),,,Single disc,Expanding brake,220.0 kg (485.0 pounds),11.00 litres (2.91 US gallons),,,Carburettor. 2 x  30mm Amal concentric,"12V, alternator",,,,,,,Telescopic forks,"Dual shocks, 5-way adjustable",178 mm (7.0 inches),203.0 kg (447.5 pounds),0.2512 HP/kg,,,,,,,,Electric & kick,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,2.80 litres (2.96 US quarts),,,,,,20W-50,DOT 4,"NGK BP7ES, NGK BPR7EIX",99,26/57 (front/rear),25 PSI (1.7 Bar or 170 kPa),26 PSI (1.8 Bar or 180 kPa),,
Laverda 750 SF,1974,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",61.0 HP (44.5  kW)) @ 7500 RPM,195.0 km/h (121.2 mph),8.9:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,231.0 kg (509.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 3 (with sidecar),1974,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,100.0 km/h (62.1 mph),8.5:1,61.8 x 58.0 mm (2.4 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,250.0 kg (551.2 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 (5-speed),1974,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",39.0 HP (28.5  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),6.6:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,162.0 kg (357.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 S,1974,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,117.0 km/h (72.7 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 Scrambler,1974,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8500 RPM,130.0 km/h (80.8 mph),9.5:1,76.0 x 75.0 mm (3.0 x 3.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 100,1974,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 10500 RPM,110.0 km/h (68.4 mph),9.5:1,50.5 x 49.5 mm (2.0 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,92.0 kg (202.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
