Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel control,Cooling system,Transmission type,Front brakes,Rear brakes,Wheels,Seat,Dry weight,Power/weight ratio,Top speed,Fuel system,Gearbox,Front suspension,Rear suspension,Front tire,Rear tire,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Clutch,Diameter,Frame type,Starter,Compression,Ignition,Lubrication system,Wheelbase,Engine details,Exhaust system,"Weight incl. oil, gas, etc",Ground clearance,Oil capacity,Electrical,Fuel consumption,Greenhouse gases,Color options,Comments,Carrying capacity,Valves per cylinder,Light,Driveline,Modifications compared to previous model
Hercules MF 2,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",2.3 HP (1.6  kW)) @ 3500 RPM,48.0 x 52.0 mm (1.9 x 2.0 inches),,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Single ,65.0 kg (143.3 pounds),0.0346 HP/kg,50.0 km/h (31.1 mph),Carburettor. Bing 12mm,,,Rigid,2.25-26 ,2.25-26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel VH 500 Red Hunter,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,81.0 x 95.0 mm (3.2 x 3.7 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Red/chrome rims. Dunlop tyres.,,,,,Carburettor. Amal monoblock,4-speed,Grider forks,Rigid,3.00-20 ,3.25-19 ,,,2180 mm (85.8 inches),640 mm (25.2 inches),13.25 litres (3.50 US gallons),Dry,178 mm (7.0 inches),Semi double cradle,Kick,6.0:1,,Dry sump with dual plunger pumps,1422 mm (56.0 inches),,,170.1 kg (375.0 pounds),140 mm (5.5 inches),3.40 litres (3.59 US quarts),,,,Red/chrome/gold,,,,,Burman,
AJS Model 20 500,1950,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",20.0 HP (14.6  kW)) @ 6800 RPM,66.0 x 72.8 mm (2.6 x 2.9 inches),,Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,Dual ,178.0 kg (392.4 pounds),0.1124 HP/kg,137.0 km/h (85.1 mph),Carburettor,4-speed,Telescopic,Twin shock,3.25-19 ,3.25-19 ,,1050 mm (41.3 inches),2190 mm (86.2 inches),710 mm (28.0 inches),13.50 litres (3.57 US gallons),Wet multiplate,,Single cradle,Kick,7.0:1,Magneto,,,,,,,,,,,,,,,,,
Norton International Model 30,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",29.5 HP (21.5  kW)) @ 5500 RPM,79.0 x 100.0 mm (3.1 x 3.9 inches),Overhead Cams (OHC),Air,Chain   (final drive),,,Spoked,Single spring-mounted,176.0 kg (388.0 pounds),0.1676 HP/kg,150.0 km/h (93.2 mph),Carburettor. Amal,,Telescopic,Plungers,3-21 ,3.50-20 ,,,,,,,,Cradle,Kick,7.2:1,,,1391 mm (54.8 inches),,,,,,,,,,,,,,,
Indian Chief,1950,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1300.0 ccm (79.33 cubic inches),"V2, four-stroke",,83.0 x 122.0 mm (3.3 x 4.8 inches),,,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,258.6 kg (570.0 pounds),,,Carburettor. Linkert,,Telescopic,Plungertype with coil springs,,,,,,,,,,,,,,,1540 mm (60.6 inches),,,,,,,,,,,,,,,
Horex Regina 400,1950,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",16.2 HP (11.8  kW)) @ 5750 RPM,,Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,,150.0 kg (330.7 pounds),0.1080 HP/kg,,Carburettor,,Hydralic telescopic forks,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,Kick,,,,,,,,,,,,,,,,,,,
Vincent HRD Series B Rapide,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 5500 RPM,84.0 x 90.0 mm (3.3 x 3.5 inches),Overhead Valves (OHV),,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),,Dual seat,,,177.0 km/h (110.0 mph),Carburettor. Amal ,,Gilder fork with coil over shock,Triangulated swingarm with coil over shocks,,,,,,,,,,,,6.8:1,,,1410 mm (55.5 inches),50degree V-twin,,206.4 kg (455.0 pounds),,,,,,,,,,,,
Simplex Automatic,1950,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 4000 RPM,50.8 x 64.3 mm (2.0 x 2.5 inches),Overhead Valves (OHV),,Belt   (final drive),,,,Solo seat with springs,61.2 kg (135.0 pounds),0.0653 HP/kg,,Carburettor,,Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,,,9.46 litres (2.50 US gallons),,,Duplex loop,,6.5:1,Magneto,,1194 mm (47.0 inches),,,,,,,,,,,,,,,This year has direct drive with clutch.
Norton Manx Daytona Racer,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,495.0 ccm (30.20 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 5750 RPM,,Double Overhead Cams/Twin Cam (DOHC),Air,,,,,Single seat,150.0 kg (330.7 pounds),0.3000 HP/kg,173.8 km/h (108.0 mph),,,,,,,,,,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,
Velocette KTT Mk VIII,1950,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",35.0 HP (25.5  kW)) @ 5800 RPM,74.0 x 81.0 mm (2.9 x 3.2 inches),Overhead Valves (OHV),Air,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),Spoked,,,,,Carburettor,,,,,,,,,,,Wet multiplate,,Single cradle,,7.8:1,,Dry sump,,,,,,,,,,,,,,,,
Velocette KTT,1950,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,Overhead Cams (OHC),,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,Carburettor,,,,,,,,,,,Four speed ,,,,,,,,,,,,,,,,,,,,,,
