Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Color options,Starter,Modifications compared to previous model,Top speed,Bore x stroke,Valves per cylinder,Fuel capacity,Max RPM,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Torque,1/4 mile (0.4 km),Diameter,Dry weight,Power/weight ratio,Fuel consumption,Greenhouse gases,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Rear wheel travel,Comments,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight
Honda VFR 750 F,1987,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,10.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,110/90-16 ,130/80-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),,,,,70.0 x 48.6 mm (2.8 x 1.9 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 250,1987,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",47.0 HP (34.3  kW)) @ 8000 RPM,14.0:1,,Rotary valves,,,Liquid,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.50-18 ,Single disc,Expanding brake,100.0 kg (220.5 pounds),,,,120.0 km/h (74.6 mph),72.0 x 61.0 mm (2.8 x 2.4 inches),,8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GP 250 E (reduced effect),1987,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 5500 RPM,15.5:1,,Membrane,,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.10-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),,,,100.0 km/h (62.1 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300 DFI (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",100.0 HP (73.0  kW)) @ 7750 RPM,9.3:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-17 ,Dual disc,Single disc,324.0 kg (714.3 pounds),,,,208.0 km/h (129.2 mph),62.0 x 71.0 mm (2.4 x 2.8 inches),2,27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750,1987,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,9.8:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,110/80-18 ,140/70-18 ,Dual disc,Single disc,201.0 kg (443.1 pounds),,,,,70.0 x 48.7 mm (2.8 x 1.9 inches),4,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 12 T,1987,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1197.0 ccm (73.04 cubic inches),"V4, four-stroke",97.0 HP (70.8  kW)) @ 7000 RPM,10.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,120/80-18 ,140/90-16 ,Dual disc,Single disc,325.0 kg (716.5 pounds),,,,192.0 km/h (119.3 mph),76.0 x 66.0 mm (3.0 x 2.6 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuareg 6.35 Wind,1987,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,9.6:1,,Overhead Cams (OHC),,,Air,6-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-17 ,Single disc,Single disc,191.0 kg (421.1 pounds),,,,129.0 km/h (80.2 mph),79.5 x 70.4 mm (3.1 x 2.8 inches),4,30.00 litres (7.93 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda MTX 200 R,1987,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,7.5:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.10-18 ,Single disc,Expanding brake,114.0 kg (251.3 pounds),,,,118.0 km/h (73.3 mph),67.0 x 55.0 mm (2.6 x 2.2 inches),,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 X2 E Kanguro,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,11.0:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.00-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),,,,140.0 km/h (87.0 mph),62.0 x 57.0 mm (2.4 x 2.2 inches),2,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera NGR 250 (reduced effect),1987,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 6150 RPM,12.5:1,,Rotary valves,,,Liquid,5-speed,Chain   (final drive),,,,,,100/90-16 ,110/90-18 ,Dual disc,Single disc,160.0 kg (352.7 pounds),,,,138.0 km/h (85.7 mph),71.5 x 62.0 mm (2.8 x 2.4 inches),,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic 125 Sport HP 1,1987,Speedway,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 9000 RPM,12.0:1,,Port control,,,Liquid,6-speed,Chain   (final drive),,,,,,3.25-16 ,3.25-18 ,Dual disc,Expanding brake,110.0 kg (242.5 pounds),,,,140.0 km/h (87.0 mph),55.2 x 52.0 mm (2.2 x 2.0 inches),,12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 500,1987,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, two-stroke",65.0 HP (47.4  kW)),8.5:1,Carburettor. Keihin flat-slide,Membrane & variable discharge openings,CDI,pre-mix,Liquid,5-speed,Chain   (final drive),wet plate,expansion chamber,"steel tubing, aluminum rear subframe",showa forks,monoshock,-21 ,130/90-19 ,Single disc. hydraulic single piston,Single disc. hydraulic single piston,,"racing green, blue seat",Kick,"new head, better cooling. last year of thrust washers in gearbox (lasts indefinitely).",,,,15.14 litres (4.00 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 mm (11.8 inches),330 mm (13.0 inches),"insanely fast, lots of excess power.",,,
Puch 600 HWE Safari,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,9.8:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.50-21 ,4.50-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),,,,140.0 km/h (87.0 mph),94.0 x 81.0 mm (3.7 x 3.2 inches),4,28.00 litres (7.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 F,1987,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,10.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,110/80-17 ,140/80-17 ,Dual disc,Single disc,262.0 kg (577.6 pounds),,,,237.0 km/h (147.3 mph),77.0 x 53.6 mm (3.0 x 2.1 inches),4,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 Savage,1987,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5200 RPM,8.5:1,,Overhead Cams (OHC),,,Air,4-speed,Belt   (final drive),,,,,,100/90-19 ,140/80-15 ,Single disc,Expanding brake,171.0 kg (377.0 pounds),,,,127.0 km/h (78.9 mph),94.0 x 94.0 mm (3.7 x 3.7 inches),4,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 600 R (reduced effect),1987,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,110/90-16 ,130/90-16 ,Dual disc,Single disc,217.0 kg (478.4 pounds),,,,178.0 km/h (110.6 mph),60.0 x 52.4 mm (2.4 x 2.1 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville,1987,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,7.9:1,,Overhead Valves (OHV),,,Air,5-speed,Chain   (final drive),,,,,,100/90-19 ,110/90-18 ,Dual disc,Single disc,192.0 kg (423.3 pounds),,,,161.0 km/h (100.0 mph),76.0 x 82.0 mm (3.0 x 3.2 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 C,1987,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,120/90-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),,,,200.0 km/h (124.3 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),2,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1987,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,9.0:1,,Port control,,,Air,5-speed,Chain   (final drive),,,,,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,130.0 kg (286.6 pounds),,,,100.0 km/h (62.1 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 Excalibur,1987,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,11.0:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,130/90-18 ,Single disc,Single disc,181.0 kg (399.0 pounds),,,,145.0 km/h (90.1 mph),62.0 x 57.0 mm (2.4 x 2.2 inches),2,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTC 1340 Softail Custom,1987,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MH 90-21 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),,,,167.0 km/h (103.8 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuareg Rally 250,1987,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",42.0 HP (30.7  kW)) @ 7750 RPM,14.0:1,,Rotary valves,,,Liquid,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.25-18 ,Single disc,Expanding brake,129.0 kg (284.4 pounds),,,,150.0 km/h (93.2 mph),76.0 x 61.0 mm (3.0 x 2.4 inches),,2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XBR 500,1987,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 7000 RPM,8.9:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,100/90-18 ,110/90-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),,,,171.0 km/h (106.3 mph),92.0 x 75.0 mm (3.6 x 3.0 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 65,1987,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",48.0 HP (35.0  kW)) @ 7250 RPM,8.7:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,90/90-18 ,120/90-18 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),,,,178.0 km/h (110.6 mph),82.0 x 61.5 mm (3.2 x 2.4 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250,1987,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),,,,143.0 km/h (88.9 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 S,1987,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,10.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),,,,151.0 km/h (93.8 mph),67.0 x 56.6 mm (2.6 x 2.2 inches),4,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang 750 J-1 (with sidecar),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,7.0:1,,Overhead Valves (OHV),,,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),,,,,,3.75-19 ,3.75-19 ,Single disc,Expanding brake,370.0 kg (815.7 pounds),,,,110.0 km/h (68.4 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),2,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GP 400 E,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,354.0 ccm (21.60 cubic inches),"Single cylinder, two-stroke",55.0 HP (40.1  kW)) @ 8000 RPM,13.5:1,,Membrane,,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.10-18 ,Single disc,Single disc,106.0 kg (233.7 pounds),,,,,77.0 x 76.0 mm (3.0 x 3.0 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GP 250 E,1987,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",49.0 HP (35.8  kW)) @ 8000 RPM,15.5:1,,Membrane,,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.10-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),,,,,67.0 x 70.0 mm (2.6 x 2.8 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 C,1987,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,10.5:1,,Overhead Cams (OHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-18 ,130/90-16 ,Single disc,Expanding brake,201.0 kg (443.1 pounds),,,,160.0 km/h (99.4 mph),71.0 x 62.0 mm (2.8 x 2.4 inches),3,11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic 125 Sport HP 1 (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,12.0:1,,Port control,,,Liquid,6-speed,Chain   (final drive),,,,,,3.25-16 ,3.25-18 ,Dual disc,Expanding brake,110.0 kg (242.5 pounds),,,,125.0 km/h (77.7 mph),55.2 x 52.0 mm (2.2 x 2.0 inches),,12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 900 R (reduced effect),1987,Sport touring," 4.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,120/80-16 ,130/80-18 ,Dual disc,Expanding brake,257.0 kg (566.6 pounds),,,,240.0 km/h (149.1 mph),72.5 x 55.0 mm (2.9 x 2.2 inches),4,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZR 250,1987,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,5.9:1,,Membrane & power valve,,,Liquid,6-speed,Chain   (final drive),,,,,,100/80-17 ,120/80-17 ,Single disc,Single disc,150.0 kg (330.7 pounds),,,,190.0 km/h (118.1 mph),56.4 x 50.0 mm (2.2 x 2.0 inches),,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 F,1987,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",116.0 HP (84.7  kW)) @ 10000 RPM,10.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),,,,,,100/90-18 ,140/80-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),,,,,71.0 x 53.6 mm (2.8 x 2.1 inches),4,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 R,1987,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",589.0 ccm (35.94 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,8.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,5.10-17 ,Single disc,Expanding brake,146.0 kg (321.9 pounds),,,,151.0 km/h (93.8 mph),100.0 x 75.0 mm (3.9 x 3.0 inches),4,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 350 HWE,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,9.2:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.50-21 ,4.50-18 ,Single disc,Expanding brake,132.0 kg (291.0 pounds),,,,130.0 km/h (80.8 mph),79.5 x 70.0 mm (3.1 x 2.8 inches),4,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 501 K 2 AMEX,1987,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",507.0 ccm (30.94 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 8500 RPM,11.5:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,110/90-18 ,Dual disc,Single disc,172.0 kg (379.2 pounds),,,,180.0 km/h (111.8 mph),71.0 x 64.0 mm (2.8 x 2.5 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100,1987,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),,,,,72.5 x 66.0 mm (2.9 x 2.6 inches),2,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 600 R Dakar,1987,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",590.0 ccm (36.00 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,8.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,100/80-21 ,130/80-17 ,Single disc,Expanding brake,166.0 kg (366.0 pounds),,,,150.0 km/h (93.2 mph),94.0 x 85.0 mm (3.7 x 3.3 inches),4,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 F (reduced effect),1987,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 9200 RPM,6.0:1,,Membrane & power valve,,,Liquid,6-speed,Chain   (final drive),,,,,,90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),,,,184.0 km/h (114.3 mph),64.0 x 54.0 mm (2.5 x 2.1 inches),,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,10.0:1,,Port control,,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),,,,125.0 km/h (77.7 mph),56.0 x 47.0 mm (2.2 x 1.9 inches),,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Virago XV 535,1987,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)),9.0:1,Carburettor. Mikuni BDS34,Overhead Cams (OHC),TCI,Wet sump,Air,5-speed,Shaft drive (cardan)   (final drive),Wet multi-plate,Double stainless steel pipes with expansion chamber,Pressed steel backbone,Telescopic fork,Dual shock,3.00S-19 ,140/90-15 ,Single disc,Expanding brake (drum brake),,"Deep Scarlet
Greenish Black",Electric,First model year,160.0 km/h (99.4 mph),76.0 x 59.0 mm (3.0 x 2.3 inches),2,8.60 litres (2.27 US gallons),7000,31.0°,122 mm (4.8 inches),"700 mm (27.6 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2210 mm (87.0 inches),815 mm (32.1 inches),145 mm (5.7 inches),1511 mm (59.5 inches),2.00 litres (0.53 US gallons),34.0 Nm (3.5 kgf-m or 25.1 ft.lbs),,,185.0 kg (407.9 pounds),0.2270 HP/kg,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,2.80 litres (2.96 US quarts),,,,,,,,,,,,,150 mm (5.9 inches),85 mm (3.3 inches),,7.00 seconds,,
Moto Morini 501 Camel,1987,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",507.0 ccm (30.94 cubic inches),"V2, four-stroke",43.0 HP (31.4  kW)) @ 8500 RPM,11.5:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.00-18 ,Single disc,Single disc,154.0 kg (339.5 pounds),,,,150.0 km/h (93.2 mph),71.0 x 64.0 mm (2.8 x 2.5 inches),2,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
