Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Bore x stroke,Valves per cylinder,Fuel system,Gearbox,Transmission type,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Cooling system,Starter,"Weight incl. oil, gas, etc",Compression,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Trail,Front suspension,Rear suspension,Alternate seat height,Overall height,Reserve fuel capacity,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Overall width,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Fuel control,Rake (fork angle),Ground clearance,Color options,Chain size,Max RPM,Exhaust system,Comments,Driveline,Battery,Rear percentage of weight,Engine details,Modifications compared to previous model
Voxan Café Racer,2001,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 6500 RPM,240.0 km/h (149.1 mph),98.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,185.0 kg (407.9 pounds),0.5405 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1455 mm (57.3 inches),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 Brutale Serie Oro,2001,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",127.0 HP (92.7  kW)) @ 12000 RPM,74.0 Nm (7.5 kgf-m or 54.6 ft.lbs) @ 10500 RPM,250.0 km/h (155.3 mph),73.8 x 43.8 mm (2.9 x 1.7 inches),4,Injection,6-speed,Chain   (final drive),118 mm (4.6 inches),120 mm (4.7 inches),120/65-ZR17 ,190/50-ZR17 ,Dual disc,210 mm (8.3 inches),Single disc,179.0 kg (394.6 pounds),0.7095 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1398 mm (55.0 inches),20.00 litres (5.28 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-9R Ninja,2001,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",143.0 HP (104.4  kW)) @ 11000 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 9200 RPM,270.0 km/h (167.8 mph),75.0 x 50.9 mm (3.0 x 2.0 inches),4,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,185.0 kg (407.9 pounds),0.7730 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),19.00 litres (5.02 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT 600 R,2001,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",43.0 HP (31.4  kW)) @ 6500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5000 RPM,155.0 km/h (96.3 mph),95.0 x 84.0 mm (3.7 x 3.3 inches),4,Carburettor,5-speed,Chain   (final drive),280 mm (11.0 inches),280 mm (11.0 inches),90/90-R21 ,130/90-R18 ,Single disc,220 mm (8.7 inches),Single disc,131.0 kg (288.8 pounds),0.3282 HP/kg,"945 mm (37.2 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),10.00 litres (2.64 US gallons),Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW C1 200,2001,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",176.0 ccm (10.74 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 9000 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 6500 RPM,115.0 km/h (71.5 mph),62.0 x 58.4 mm (2.4 x 2.3 inches),4,Injection,,Belt   (final drive),75 mm (3.0 inches),85 mm (3.3 inches),120/70-13 ,140/70-12 ,Single disc,220 mm (8.7 inches),Single disc,,,"700 mm (27.6 inches) If adjustable, lowest setting.",1488 mm (58.6 inches),9.70 litres (2.56 US gallons),Liquid,Electric,202.0 kg (445.3 pounds),11.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.70 seconds,,43.2,,,,,,,,,,,,,
Kawasaki ZX-7R Ninja,2001,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 11800 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 9300 RPM,264.0 km/h (164.0 mph),73.0 x 44.7 mm (2.9 x 1.8 inches),4,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,230 mm (9.1 inches),Single disc,203.0 kg (447.5 pounds),0.6010 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),18.00 litres (4.76 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint RS,2001,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",108.0 HP (78.8  kW)) @ 9200 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 6200 RPM,230.0 km/h (142.9 mph),79.0 x 65.0 mm (3.1 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,255 mm (10.0 inches),Single disc,199.0 kg (438.7 pounds),0.5427 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 GS Dakar,2001,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5000 RPM,163.0 km/h (101.3 mph),100.0 x 83.0 mm (3.9 x 3.3 inches),4,Injection,5-speed,Chain   (final drive),210 mm (8.3 inches),210 mm (8.3 inches),90/90-S21 ,130/80-S17 ,Single disc,240 mm (9.4 inches),Single disc,,,"910 mm (35.8 inches) If adjustable, lowest setting.",1489 mm (58.6 inches),17.30 litres (4.57 US gallons),,,199.0 kg (438.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda F 6 C Valkyrie,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",98.0 HP (71.5  kW)) @ 6000 RPM,130.0 Nm (13.3 kgf-m or 95.9 ft.lbs) @ 5000 RPM,205.0 km/h (127.4 mph),71.0 x 64.0 mm (2.8 x 2.5 inches),2,Carburettor,5-speed,Shaft drive (cardan)   (final drive),110 mm (4.3 inches),120 mm (4.7 inches),150/80-ZR17 ,180/70-ZR16 ,Dual disc,316 mm (12.4 inches),Single disc,309.0 kg (681.2 pounds),0.3172 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",1690 mm (66.5 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 1000 R Thunderace,2001,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10000 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,240.0 km/h (149.1 mph),75.5 x 56.0 mm (3.0 x 2.2 inches),5,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,198.0 kg (436.5 pounds),0.5051 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Raptor 650,2001,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 7400 RPM,200.0 km/h (124.3 mph),81.0 x 62.6 mm (3.2 x 2.5 inches),4,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,180.0 kg (396.8 pounds),0.3889 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOR 503 Supermoto SM,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",503.0 ccm (30.69 cubic inches),"Single cylinder, four-stroke",56.0 HP (40.9  kW)) @ 8000 RPM,,,95.0 x 71.0 mm (3.7 x 2.8 inches),4,Carburettor,5-speed,Chain   (final drive),305 mm (12.0 inches),315 mm (12.4 inches),,,Single disc,220 mm (8.7 inches),Single disc,109.0 kg (240.3 pounds),0.5138 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 N,2001,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 8500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 7500 RPM,180.0 km/h (111.8 mph),58.5 x 55.7 mm (2.3 x 2.2 inches),2,Carburettor,6-speed,Chain   (final drive),140 mm (5.5 inches),110 mm (4.3 inches),110/80-H17 ,130/70-H18 ,Dual disc,245 mm (9.6 inches),Single disc,195.0 kg (429.9 pounds),0.3128 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1445 mm (56.9 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 GLP Intruder,2001,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 2800 RPM,170.0 km/h (105.6 mph),94.0 x 98.0 mm (3.7 x 3.9 inches),3,Carburettor,5-speed,Shaft drive (cardan)   (final drive),160 mm (6.3 inches),105 mm (4.1 inches),110/90-19 ,170/80-15 ,Single disc,275 mm (10.8 inches),Single disc,243.0 kg (535.7 pounds),0.2510 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",1620 mm (63.8 inches),13.00 litres (3.43 US gallons),Oil & air,Electric,,,,,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Telescopic fork,Dual shocks,,1220 mm (48.0 inches),,,,,,,,,,,,,,,2330 mm (91.7 inches),770 mm (30.3 inches),,,,Single Overhead Cams (SOHC),,150 mm (5.9 inches),"Black, blue, red",,,,,Constant mesh,,,,
Cagiva V-Raptor 1000,2001,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",106.0 HP (77.4  kW)) @ 8500 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 7000 RPM,,98.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,197.0 kg (434.3 pounds),0.5381 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 750 C2 Shadow,2001,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 5500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 3000 RPM,145.0 km/h (90.1 mph),79.0 x 76.0 mm (3.1 x 3.0 inches),3,Carburettor,5-speed,Chain   (final drive),116 mm (4.6 inches),90 mm (3.5 inches),120/90-17 ,170/80-15 ,Single disc,180 mm (7.1 inches),Expanding brake,229.0 kg (504.9 pounds),0.1965 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",1615 mm (63.6 inches),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 10 Centauro GT,2001,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 8200 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 5800 RPM,217.0 km/h (134.8 mph),90.0 x 78.0 mm (3.5 x 3.1 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),130 mm (5.1 inches),120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,Dual disc,282 mm (11.1 inches),Single disc,224.0 kg (493.8 pounds),0.4241 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),18.00 litres (4.76 US gallons),Air,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki XF 650 Freewind,2001,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 7000 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 5500 RPM,160.0 km/h (99.4 mph),100.0 x 82.0 mm (3.9 x 3.2 inches),4,Carburettor,5-speed,Chain   (final drive),170 mm (6.7 inches),167 mm (6.6 inches),100/90-19 ,130/80-R17 ,Single disc,240 mm (9.4 inches),Single disc,168.0 kg (370.4 pounds),0.2857 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,"850 mm (33.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 R,2001,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",85.0 HP (62.0  kW)) @ 6750 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 5250 RPM,197.0 km/h (122.4 mph),101.0 x 70.5 mm (4.0 x 2.8 inches),4,Injection,6-speed,Shaft drive (cardan)   (final drive),120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,276 mm (10.9 inches),Single disc,,,"770 mm (30.3 inches) If adjustable, lowest setting.",1487 mm (58.5 inches),20.40 litres (5.39 US gallons),Air,Electric,238.0 kg (524.7 pounds),,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco Trial 2.9,2001,Trial," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",272.0 ccm (16.60 cubic inches),"Single cylinder, two-stroke",,,,76.0 x 60.0 mm (3.0 x 2.4 inches),,Carburettor,5-speed,Chain   (final drive),170 mm (6.7 inches),150 mm (5.9 inches),,,Single disc,145 mm (5.7 inches),Single disc,68.5 kg (151.0 pounds),,"615 mm (24.2 inches) If adjustable, lowest setting.",1327 mm (52.2 inches),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R1,2001,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 10000 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,270.0 km/h (167.8 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),5,Carburettor,6-speed,Chain   (final drive),135 mm (5.3 inches),130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. Four-piston calipers. ,245 mm (9.6 inches),Single disc. Two-piston calipers. ,175.0 kg (385.8 pounds),0.8571 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),18.00 litres (4.76 US gallons),Liquid,Electric,192.0 kg (423.3 pounds),11.8:1,Digital TCI ,Wet sump,"Wet, multiple discs, cable operated",5.81 litres/100 km (17.2 km/l or 40.49 mpg),134.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Aluminium, twin spar",91 mm (3.6 inches),41mm inverted telescopic forks,Truss-type Aluminium swinging arm Monocross system,,,,2.90 litres (3.06 US quarts),,SAE 10W-40,EMGO 10-82220,DOT 4,3.00 litres (0.79 US gallons),"NGK, CR9E",1100  +/- 50  RPM,114,16/43 (front/rear),36 PSI (2.5 Bar or 250 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),2035 mm (80.1 inches),,,,,Double Overhead Cams/Twin Cam (DOHC),24.0°,140 mm (5.5 inches),"Blue/white, red/white, yellow/white",530,,,,,YT12B-BS,,,
Honda X-Eleven,2001,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",136.0 HP (99.3  kW)) @ 9000 RPM,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 7000 RPM,242.0 km/h (150.4 mph),79.0 x 58.0 mm (3.1 x 2.3 inches),4,Injection,5-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,256 mm (10.1 inches),Single disc,222.0 kg (489.4 pounds),0.6126 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),22.00 litres (5.81 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200 S,2001,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 8500 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 7000 RPM,230.0 km/h (142.9 mph),79.0 x 59.4 mm (3.1 x 2.3 inches),4,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),123 mm (4.8 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,250 mm (9.8 inches),Single disc,227.0 kg (500.4 pounds),0.5374 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota DB 4 i.e.,2001,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",83.0 HP (60.6  kW)) @ 7000 RPM,81.0 Nm (8.3 kgf-m or 59.7 ft.lbs) @ 5800 RPM,,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Injection,6-speed,Chain   (final drive),,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,230 mm (9.1 inches),Single disc,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1380 mm (54.3 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Planet 125,2001,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 10400 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 8500 RPM,114.0 km/h (70.8 mph),56.0 x 50.6 mm (2.2 x 2.0 inches),,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),140 mm (5.5 inches),110/70-ZR17 ,150/60-ZR17 ,Single disc,230 mm (9.1 inches),Single disc,125.0 kg (275.6 pounds),0.1200 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 125 Drag Star,2001,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",13.0 HP (9.5  kW)) @ 10000 RPM,9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 8000 RPM,107.0 km/h (66.5 mph),41.0 x 47.0 mm (1.6 x 1.9 inches),2,Carburettor,5-speed,Chain   (final drive),140 mm (5.5 inches),100 mm (3.9 inches),80/100-18 ,130/90-15 ,Single disc,130 mm (5.1 inches),Expanding brake,144.0 kg (317.5 pounds),0.0903 HP/kg,"670 mm (26.4 inches) If adjustable, lowest setting.",1530 mm (60.2 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 Sevenfifty,2001,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 8500 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 7500 RPM,202.0 km/h (125.5 mph),67.0 x 53.0 mm (2.6 x 2.1 inches),4,Carburettor,5-speed,Chain   (final drive),130 mm (5.1 inches),110 mm (4.3 inches),120/70-ZR17 ,150/70-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,215.0 kg (474.0 pounds),0.3349 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",1495 mm (58.9 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM LC4-E 640 Supermoto,2001,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7500 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 5500 RPM,168.0 km/h (104.4 mph),101.0 x 78.0 mm (4.0 x 3.1 inches),4,Carburettor,5-speed,Chain   (final drive),270 mm (10.6 inches),300 mm (11.8 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,136.0 kg (299.8 pounds),0.3603 HP/kg,"955 mm (37.6 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TT 600,2001,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",108.0 HP (78.8  kW)) @ 12750 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 11000 RPM,240.0 km/h (149.1 mph),68.0 x 41.3 mm (2.7 x 1.6 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,170.0 kg (374.8 pounds),0.6353 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Lightning 500,2001,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5400 RPM,34.0 Nm (3.5 kgf-m or 25.1 ft.lbs) @ 3000 RPM,,,,,4-speed,,,,,,Expanding brake,,Expanding brake,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 996,2001,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",113.0 HP (82.5  kW)) @ 9250 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 7000 RPM,260.0 km/h (161.6 mph),98.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),127 mm (5.0 inches),130 mm (5.1 inches),120/60-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,198.0 kg (436.5 pounds),0.5707 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
