Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Ignition,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Dry weight,Power/weight ratio,Color options,Starter,Rake (fork angle),Trail,Front suspension,Rear suspension,Overall height,Overall length,Overall width,Modifications compared to previous model,Lubrication system,Seat height,Alternate seat height,Ground clearance,Wheelbase,Torque,1/4 mile (0.4 km),Diameter,Wheels,Carrying capacity,Rear wheel travel,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Reserve fuel capacity,Driveline,Comments,Engine details,Coolant
Yamaha XZ 550,1982,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 9500 RPM,180.0 km/h (111.8 mph),10.5:1,80.0 x 55.0 mm (3.1 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,4.25/85-18 ,Dual disc,Expanding brake,228.0 kg (502.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 200 T (reduced effect),1982,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,100.0 km/h (62.1 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 N,1982,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 8500 RPM,161.0 km/h (100.0 mph),9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 654 T,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8700 RPM,172.0 km/h (106.9 mph),9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,203.0 kg (447.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35 II,1982,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,151.0 km/h (93.8 mph),10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,100/90-18 ,Dual disc,Single disc,185.0 kg (407.9 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki CSR 1000,1982,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,,9.0:1,,2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/0-19 ,,,,,,9500,Carburettor. mikuni 38mm,,wet plate,,,4 in 2,steel,,,,,,,,koni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SD Darmah,1982,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 7000 RPM,200.0 km/h (124.3 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,4.25/85-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 500 Silver Wing (reduced effect),1982,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,125.0 km/h (77.7 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,235.0 kg (518.1 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 440 Twin,1982,Naked bike," 2.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",444.0 ccm (27.09 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,140.0 km/h (87.0 mph),9.2:1,67.5 x 62.0 mm (2.7 x 2.4 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Single disc,Expanding brake,180.0 kg (396.8 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 354 Sport,1982,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9500 RPM,153.0 km/h (95.1 mph),10.2:1,50.0 x 44.0 mm (2.0 x 1.7 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Dual disc,Single disc,206.0 kg (454.2 pounds),15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 250 C,1982,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,106.0 km/h (65.9 mph),9.4:1,53.0 x 53.0 mm (2.1 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,110/90-16 ,Expanding brake,Expanding brake,144.0 kg (317.5 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS1100GK,1982,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 8000 RPM,212.4 km/h (132.0 mph),8.8:1,,2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-19 ,130/90-16 ,Double disc,Single disc,290.0 kg (639.3 pounds),22.00 litres (5.81 US gallons),,Carburettor. 4 Mikuni BS34SS ,Transistorized electric,,,,4 into 2,,,,,Electric,,,Telescopic gas/coil spring oil damped,"Swing arm, gas/coil spring oil-damper 4 way adjustable",,,,,,,,,,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 6400 RPM,12.70 seconds,274 mm (10.8 inches),5 double spoke alloy,"2 hard bags, 20# each plus trunk",,,,,,,,,,,,,,,,,,,,,
BMW R 100,1982,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",67.0 HP (48.9  kW)) @ 7000 RPM,191.0 km/h (118.7 mph),8.2:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 4,1982,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,178.0 km/h (110.6 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,255.0 kg (562.2 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SST 125,1982,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,104.0 km/h (64.6 mph),10.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Single disc,Expanding brake,116.0 kg (255.7 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 E,1982,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,222.0 km/h (137.9 mph),9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),,,Double disc,Single disc,256.0 kg (564.4 pounds),20.00 litres (5.28 US gallons),,Carburettor. 34 mm Mikuni,"Transistorised, pointless","Wet, 18 discs, cable operated",5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Double cradle,243.0 kg (535.7 pounds),0.4115 HP/kg,"Red, silver",Electric,28.0°,103 mm (4.1 inches),"37 mm Kayaba telescopic air forks, four spring pre-load and four rebound damping adjustments","Kayaba dual shocks, four rebound settings and five preload settings",,2255 mm (88.8 inches),,,Wet sump,"806 mm (31.7 inches) If adjustable, lowest setting.",,,1549 mm (61.0 inches),85.3 Nm (8.7 kgf-m or 62.9 ft.lbs) @ 7500 RPM,,275 mm (10.8 inches),,,107 mm (4.2 inches),3.60 litres (3.8 US quarts),"12V, 14Ah battery.",SAE 10W-40,Fram - CH6000,DOT 3-4,SYB14L-A2,"NGK DR8ES-L, NGK DR8EIX",950-1150  RPM,630,96,15/42 (front/rear),25 PSI (1.8 Bar or 175 kPa),29 PSI (2 Bar or 200 kPa),37 mm (1.5 inches),,,,,,
Yamaha XS 1100,1982,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1101.0 ccm (67.18 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 8500 RPM,215.0 km/h (133.6 mph),9.2:1,71.5 x 68.6 mm (2.8 x 2.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,286.0 kg (630.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TR 7 T Tiger Trail,1982,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 6500 RPM,155.0 km/h (96.3 mph),7.4:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,185.0 kg (407.9 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 250 2 C,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),10.0:1,56.0 x 47.0 mm (2.2 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 E,1982,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,154.0 km/h (95.7 mph),9.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1982,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,173.0 km/h (107.5 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 750 T,1982,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",,,9.4:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50 H 19-4 PR ,4.50 H 17-4 PR ,Single disc. Slotted Disc,Expanding brake (drum brake),,16.00 litres (4.23 US gallons),,Carburettor. Mikuni BS32SS,Transistored,,,,,,226.0 kg (498.2 pounds),,"Two tone, red/burgundy
Two tone, silver/black",Electric,,,"Air, oil damped","Oil damped, 4 damping adjustments, 5 load settings",1195 mm (47.0 inches),2265 mm (89.2 inches),855 mm (33.7 inches),,Wet Sump,"790 mm (31.1 inches) If adjustable, lowest setting.",,160 mm (6.3 inches),1510 mm (59.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 G,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,135.0 km/h (83.9 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 50 Monza,1982,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",490.0 ccm (29.90 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 7600 RPM,174.0 km/h (108.1 mph),10.4:1,74.0 x 57.0 mm (2.9 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,181.0 kg (399.0 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 650 G Katana,1982,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",674.0 ccm (41.13 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 9500 RPM,197.0 km/h (122.4 mph),9.4:1,62.0 x 55.8 mm (2.4 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.25-17 ,Dual disc,Single disc,239.0 kg (526.9 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100,1982,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,,9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.25-18 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 12 (with sidecar),1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,100.0 km/h (62.1 mph),7.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,370.0 kg (815.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini AMEX 250 J,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"V2, four-stroke",23.0 HP (16.8  kW)) @ 8800 RPM,141.0 km/h (87.6 mph),11.7:1,59.0 x 43.8 mm (2.3 x 1.7 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 LTD,1982,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",74.0 HP (54.0  kW)) @ 9000 RPM,179.0 km/h (111.2 mph),9.0:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,130/90-16 ,Double disc,Single disc,226.0 kg (498.2 pounds),13.00 litres (3.43 US gallons),,Carburettor. 4 x 34mm Keihin,Magnetically triggered battery ,,6.25 litres/100 km (16.0 km/l or 37.64 mpg),145.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,225.0 kg (496.0 pounds),0.3289 HP/kg,,Electric,,,Air assisted coil spring forks,"Dual shocks, ",,,,,,,,,,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 8500 RPM,,226 mm (8.9 inches),,,80 mm (3.1 inches),,,,,,,,,,,,,,,160 mm (6.3 inches),,,,,
Kawasaki Z 650 F,1982,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 9000 RPM,195.0 km/h (121.2 mph),9.0:1,62.0 x 54.0 mm (2.4 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,226.0 kg (498.2 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 RGS,1982,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 7900 RPM,225.0 km/h (139.8 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,269.0 kg (593.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250,1982,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5200 RPM,130.0 km/h (80.8 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 A,1982,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,145.0 km/h (90.1 mph),9.5:1,55.0 x 52.4 mm (2.2 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,167.0 kg (368.2 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 50 III,1982,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 7600 RPM,161.0 km/h (100.0 mph),10.4:1,74.0 x 57.0 mm (2.9 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,100/90-18 ,Dual disc,Single disc,182.0 kg (401.2 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 550,1982,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",528.0 ccm (32.22 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,176.0 km/h (109.4 mph),9.5:1,57.0 x 51.8 mm (2.2 x 2.0 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-19 ,110/90-18 ,Dual disc,Expanding brake,204.0 kg (449.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 500 R,1982,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,134.0 km/h (83.3 mph),8.6:1,89.0 x 80.0 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake (drum brake),Expanding brake (drum brake),152.0 kg (335.1 pounds),10.50 litres (2.77 US gallons),,Carburettor. Keihin,,,,,,,,,,Electric,,,Leading axle fork,Pro-link,,,,,,,,,,,,130 mm (5.1 inches),,,,,12 V 3 Ah battery,,,,,,,,,,,,,,,,,,
Triumph TR 7 RV Tiger,1982,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,172.0 km/h (106.9 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-18 ,Single disc,Single disc,197.0 kg (434.3 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 DOHC (reduced effect),1982,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,143.0 km/h (88.9 mph),9.7:1,69.0 x 53.4 mm (2.7 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 S Katana,1982,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,228.0 km/h (141.7 mph),9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 LC,1982,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",49.0 HP (35.8  kW)) @ 8700 RPM,178.0 km/h (110.6 mph),6.9:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Dual disc,Expanding brake,161.0 kg (354.9 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
