Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Ignition,Lubrication system,Clutch,Exhaust system,Reserve fuel capacity,Starter,Torque,Front suspension,Rear suspension,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Color options,Frame type,Diameter,Max RPM,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Comments,Modifications compared to previous model,0-100 km/h (0-62 mph),Fuel consumption,Greenhouse gases,Oil capacity,Front percentage of weight,Rear percentage of weight,Seat height,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Driveline,Electrical,Idle speed,Wheels,Factory warranty
Honda CM 185 T Chopper,1978,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",181.0 ccm (11.04 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9500 RPM,120.0 km/h (74.6 mph),9.2:1,53.0 x 41.0 mm (2.1 x 1.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,137.0 kg (302.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 400 C,1978,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",402.0 ccm (24.53 cubic inches),"Single cylinder, two-stroke",43.0 HP (31.4  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),6.7:1,80.0 x 80.0 mm (3.1 x 3.1 inches),,,Air,5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake). full floating rear brake design,,8.50 litres (2.25 US gallons),Carburettor. Mikuni VM36SS,Suzuki PEI,,Wet Multiplate Type,Expansion Chamber with silencer,,Kick,4.8 Nm (0.5 kgf-m or 3.6 ft.lbs) @ 6000 RPM,Telescopic coil spring air oil infinately adjustable damping,Suzuki Tru-Trac Twin shocks gas/oil damping aluminium swinging arm,105.0 kg (231.5 pounds),0.4095 HP/kg,1225 mm (48.2 inches),2140 mm (84.3 inches),885 mm (34.8 inches),290 mm (11.4 inches),1450 mm (57.1 inches),Yellow,High Tension Steel Pipe Single Downtube Semi Double Cradle,,6700,249 mm (9.8 inches),244 mm (9.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 500,1978,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",496.0 ccm (30.27 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 8200 RPM,167.0 km/h (103.8 mph),9.2:1,72.0 x 61.0 mm (2.8 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,189.0 kg (416.7 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 SS,1978,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Twin, four-stroke",35.0 HP (25.5  kW)) @ 8000 RPM,165.0 km/h (102.5 mph),10.0:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Dual disc,Single disc,157.0 kg (346.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 185,1978,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",185.0 ccm (11.29 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)) @ 7500 RPM,126.0 km/h (78.3 mph),7.0:1,49.0 x 49.0 mm (1.9 x 1.9 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,131.0 kg (288.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 250 T,1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6800 RPM,135.0 km/h (83.9 mph),9.5:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,138.0 kg (304.2 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 125 Trail,1978,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5750 RPM,90.0 km/h (55.9 mph),8.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1200,1978,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1115.0 ccm (68.04 cubic inches),"In-line three, four-stroke",86.0 HP (62.8  kW)) @ 7350 RPM,204.0 km/h (126.8 mph),8.0:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),4.10-18 ,4.25-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1978,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,193.0 km/h (119.9 mph),9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 S,1978,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,117.0 km/h (72.7 mph),11.8:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),2.75-17 ,3.00-17 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 1000 Corona,1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,954.0 ccm (58.21 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10000 RPM,230.0 km/h (142.9 mph),10.5:1,70.0 x 62.0 mm (2.8 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,255.0 kg (562.2 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1978,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,146.0 km/h (90.7 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSSA 500 Yankee,1978,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",488.0 ccm (29.78 cubic inches),"Twin, two-stroke",58.0 HP (42.3  kW)) @ 7500 RPM,185.0 km/h (115.0 mph),8.1:1,72.0 x 60.0 mm (2.8 x 2.4 inches),,Port control,Air,6-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,168.0 kg (370.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400,1978,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,140.0 km/h (87.0 mph),9.2:1,69.0 x 52.4 mm (2.7 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z400,1978,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Twin, two-stroke",,,,,2,,Air,,Chain   (final drive),,,,,,,Carburettor,Electronic,,,,,,,,,,,,,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 A,1978,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,139.0 km/h (86.4 mph),9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,Overhead Cams (OHC),Air,2-speed automatic,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 200,1978,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",195.0 ccm (11.90 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 7700 RPM,122.0 km/h (75.8 mph),7.1:1,52.0 x 46.0 mm (2.0 x 1.8 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,132.0 kg (291.0 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 3 California,1978,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,150.0 km/h (93.2 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),4.10-18 ,4.10-18 ,Dual disc,Single disc,245.0 kg (540.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 250 MX,1978,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5400 RPM,109.0 km/h (67.7 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 400,1978,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"In-line three, two-stroke",38.0 HP (27.7  kW)) @ 7000 RPM,166.0 km/h (103.1 mph),6.5:1,57.0 x 52.3 mm (2.2 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,177.0 kg (390.2 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 SP,1978,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,181.0 km/h (112.5 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,252.0 kg (555.6 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650,1978,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,182.0 km/h (113.1 mph),9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 S,1978,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7250 RPM,189.0 km/h (117.4 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,237.0 kg (522.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva TR 350,1978,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, two-stroke",,,,,,,,5-speed,Chain   (final drive),2.75-21inch ,4.00-18inch ,Expanding brake (drum brake),Expanding brake (drum brake),,,,"Dansi or Kokusan stator,coil and electronic module",,,single pipe,,Kick,,,twin shock,,,,,,,,Red/Silver multicolored,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 650 LTD,1978,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 8500 RPM,178.0 km/h (110.6 mph),9.5:1,62.0 x 54.0 mm (2.4 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,236.0 kg (520.3 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 800 SS Super America,1978,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,789.0 ccm (48.14 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 9000 RPM,220.0 km/h (136.7 mph),10.0:1,67.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 250 Twin,1978,Classic," 2.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 5250 RPM,120.0 km/h (74.6 mph),9.3:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,151.0 kg (332.9 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 A Hondamatic,1978,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",,128.7 km/h (80.0 mph),8.6:1,61.0 x 63.0 mm (2.4 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,2-speed,Chain   (final drive),3.5H19-4PR ,4.5H17-4PR ,Single disc,Expanding brake (drum brake),,19.50 litres (5.15 US gallons),Carburettor,,,No clutch,four chromed steel pipes,4.00 litres (1.06 US gallons),,,,,245.0 kg (540.1 pounds),,1190 mm (46.9 inches),2250 mm (88.6 inches),865 mm (34.1 inches),,1480 mm (58.3 inches),,painted steel,,,,,27.5°,115 mm (4.5 inches),limited two years production.  Automatic transmission.,Only automatic honda ever made,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F 2,1978,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 9000 RPM,197.0 km/h (122.4 mph),9.0:1,61.0 x 63.0 mm (2.4 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CJ 250 T,1978,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,125.0 km/h (77.7 mph),9.4:1,62.0 x 41.4 mm (2.4 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,175.0 kg (385.8 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS 100,1978,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7800 RPM,105.0 km/h (65.2 mph),7.0:1,52.0 x 45.6 mm (2.0 x 1.8 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,106.0 kg (233.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 750,1978,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",750.0 ccm (45.77 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,165.0 km/h (102.5 mph),8.5:1,,4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,220.0 kg (485.0 pounds),14.00 litres (3.70 US gallons),Carburettor. Mikuni,,Wet sump,Wet plates,2- exhaust pipes,3.00 litres (0.79 US gallons),Electric & kick,60.5 Nm (6.2 kgf-m or 44.6 ft.lbs) @ 3000 RPM,Telescopic fork,Swingarm,215.0 kg (474.0 pounds),0.2558 HP/kg,,2135 mm (84.1 inches),,,,"Red, green, blue",Steel,230 mm (9.1 inches),7500,145 mm (5.7 inches),95 mm (3.7 inches),,,,,9.00 seconds,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,2.00 litres (2.11 US quarts),,,,,,,,,,,,,,,,,,,
Kawasaki KZ200A,1978,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 8000 RPM,,,,,,Air,,Chain   (final drive),,,Single disc,,,,Carburettor,,,,,,,,,,,,,,,,,"Fuel Tank: Cerulean Blue, Garnet Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1200 Electra Glide,1978,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,135.0 km/h (83.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Single disc,Single disc,345.0 kg (760.6 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 E,1978,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6800 RPM,110.0 km/h (68.4 mph),7.1:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,119.0 kg (262.4 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 550,1978,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",543.0 ccm (33.13 cubic inches),"In-line three, two-stroke",48.0 HP (35.0  kW)) @ 7500 RPM,178.0 km/h (110.6 mph),6.8:1,61.0 x 62.0 mm (2.4 x 2.4 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 175,1978,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",163.0 ccm (9.95 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,126.0 km/h (78.3 mph),7.8:1,62.0 x 54.0 mm (2.4 x 2.1 inches),,Port control,Liquid,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,121.0 kg (266.8 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 50,1978,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",490.0 ccm (29.90 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)) @ 7400 RPM,168.0 km/h (104.4 mph),10.8:1,74.0 x 57.0 mm (2.9 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-18 ,3.50-18 ,Dual disc,Single disc,183.0 kg (403.4 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 500,1978,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Twin, two-stroke",38.0 HP (27.7  kW)) @ 6000 RPM,169.0 km/h (105.0 mph),8.5:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,195.0 kg (429.9 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 V Bonneville,1978,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-18 ,Single disc,Single disc,197.0 kg (434.3 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 T,1978,Allround," 2.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",65.0 HP (47.4  kW)) @ 6600 RPM,187.0 km/h (116.2 mph),9.0:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1000 K 2 Gold Wing,1978,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",999.0 ccm (60.96 cubic inches),"Four cylinder boxer, four-stroke",78.0 HP (56.9  kW)) @ 7000 RPM,181.0 km/h (112.5 mph),9.3:1,72.0 x 61.4 mm (2.8 x 2.4 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,321.0 kg (707.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 200,1978,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Two cylinder boxer, four-stroke",17.0 HP (12.4  kW)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
