Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Reserve fuel capacity,Starter,Power,Torque,Top speed,Valves per cylinder,Transmission type,Front suspension,Rear suspension,Power/weight ratio,Seat height,Fuel control,Ground clearance,Ignition,Driveline,"Weight incl. oil, gas, etc",Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Oil filter,Battery,Sprockets,Belt teeth,Belt width,Pulley teeth,Comments,Alternate seat height,Front percentage of weight,Rear percentage of weight,Frame type,Exhaust system,Color options,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Modifications compared to previous model,Chain size,Chain links,Carrying capacity,Engine details,Seat
Gilera SuperSport 600,2002,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,Injection,Liquid,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,162.0 kg (357.1 pounds),,,,1392 mm (54.8 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,"830 mm (32.7 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,51.0,,,,,,,,,,,,
Kawasaki KX 65,2002,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",64.0 ccm (3.91 cubic inches),"Single cylinder, two-stroke",,,,,6-speed,,,,,Single disc,,Single disc,57.0 kg (125.7 pounds),,,,,,,,16.7 HP (12.2  kW)),,,,Chain   (final drive),,,0.2930 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 125,2002,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",8.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni,Liquid,,272 mm (10.7 inches),318 mm (12.5 inches),80/100-21 51M ,100/90-19 57M ,Single disc,,Single disc,87.5 kg (192.9 pounds),1278 mm (50.3 inches),2151 mm (84.7 inches),823 mm (32.4 inches),1458 mm (57.4 inches),7.70 litres (2.03 US gallons),,Kick,,,120.0 km/h (74.6 mph),,Chain   (final drive),Inverted forks,Pro Link,,"947 mm (37.3 inches) If adjustable, lowest setting.",Port control,345 mm (13.6 inches),CDI,,,,,,,,,,,,Pre mix,"Wet, multi plate. constant mesh",,,25.0°,101 mm (4.0 inches),,,,,,,,,,,Aluminum Frame,,,,,,,,,,,
Gilera H@K 50,2002,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,Liquid,6-speed,,,80/90-21 ,110/80-18 ,Single disc,185 mm (7.3 inches),Single disc,96.0 kg (211.6 pounds),,,,,6.00 litres (1.59 US gallons),,,,,,,,,,,"845 mm (33.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Lightning 535,2002,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"Single cylinder, four-stroke",,,Carburettor. micarb vm 28,Air,4-speed,,,,,,,,,,,,1372 mm (54.0 inches),14.25 litres (3.76 US gallons),1.25 litres (0.33 US gallons),Kick,26.0 HP (19.0  kW)) @ 5400 RPM,38.4 Nm (3.9 kgf-m or 28.3 ft.lbs) @ 3000 RPM,125.0 km/h (77.7 mph),2,Chain   (final drive),,,,,,160 mm (6.3 inches),cb point,,180.0 kg (396.8 pounds),,,,,,,,,,wet sump,wet plater,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,Fun to ride. Good low end torque.,,,,cast iron,single pipe,"Black/red, black grey",,,,,,,,,
Yamaha TDM 900,2002,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",897.0 ccm (54.73 cubic inches),"Twin, four-stroke",10.4:1,92.0 x 67.5 mm (3.6 x 2.7 inches),,Liquid,,150 mm (5.9 inches),133 mm (5.2 inches),120/70-ZR18 M/C 59W ,160/60-ZR17 M/C 69W ,Dual disc,245 mm (9.6 inches),Single disc,190.0 kg (418.9 pounds),825 mm (32.5 inches),2180 mm (85.8 inches),800 mm (31.5 inches),1485 mm (58.5 inches),,,,86.2 HP (62.9  kW)) @ 7500 RPM,88.8 Nm (9.1 kgf-m or 65.5 ft.lbs) @ 6000 RPM,,,,,,0.4537 HP/kg,"655 mm (25.8 inches) If adjustable, lowest setting.",,160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda @ 125,2002,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.0:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,,Automatic,,,110/90-13M/C 56L ,130/70-13M/C 57L ,Single disc,130 mm (5.1 inches),Expanding brake,120.0 kg (264.6 pounds),1170 mm (46.1 inches),1940 mm (76.4 inches),700 mm (27.6 inches),1330 mm (52.4 inches),9.00 litres (2.38 US gallons),2.50 litres (0.66 US gallons),,13.8 HP (10.1  kW)) @ 9000 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 7250 RPM,,,,,,0.1150 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 53C Sportster Custom 53,2002,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),Carburettor,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,245.0 kg (540.1 pounds),,2245 mm (88.4 inches),,1510 mm (59.4 inches),12.50 litres (3.30 US gallons),1.90 litres (0.50 US gallons),,,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 4400 RPM,,,Belt   (final drive),,,,"700 mm (27.6 inches) If adjustable, lowest setting.",,159 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FX 650 E,2002,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",10.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),90/90-21 ,130/80-18 ,Single disc,220 mm (8.7 inches),Single disc,110.4 kg (243.4 pounds),,,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,4,,,,,"930 mm (36.6 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200,2002,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",10.6:1,76.0 x 65.0 mm (3.0 x 2.6 inches),Carburettor,Liquid,6-speed,,,,,Dual disc,255 mm (10.0 inches),Single disc,235.0 kg (518.1 pounds),1430 mm (56.3 inches),2152 mm (84.7 inches),790 mm (31.1 inches),1490 mm (58.7 inches),25.00 litres (6.61 US gallons),,,107.0 HP (78.1  kW)) @ 9000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5000 RPM,,,,,,0.4553 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Moto 6.5,2002,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",9.0:1,100.0 x 82.7 mm (3.9 x 3.3 inches),Carburettor,Liquid,5-speed,135 mm (5.3 inches),120 mm (4.7 inches),100/90-18 ,130/90-17 ,Single disc,220 mm (8.7 inches),Single disc,150.0 kg (330.7 pounds),1060 mm (41.7 inches),2133 mm (84.0 inches),800 mm (31.5 inches),1475 mm (58.1 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,"810 mm (31.9 inches) If adjustable, lowest setting.",,204 mm (8.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 610 E,2002,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.3 ccm (35.17 cubic inches),"Single cylinder, four-stroke",,98.0 x 76.4 mm (3.9 x 3.0 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,149.6 kg (329.8 pounds),,,,1485 mm (58.5 inches),9.10 litres (2.40 US gallons),,Electric,,,,4,Chain   (final drive),,,,"900 mm (35.4 inches) If adjustable, lowest setting.",,285 mm (11.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT 600 R,2002,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),,Air,,280 mm (11.0 inches),280 mm (11.0 inches),90/90-21 54R ,130/90-18 69R ,Single disc,220 mm (8.7 inches),Single disc,131.0 kg (288.8 pounds),1225 mm (48.2 inches),2225 mm (87.6 inches),845 mm (33.3 inches),1500 mm (59.1 inches),,,,42.0 HP (30.7  kW)) @ 6500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5000 RPM,,4,,,,0.3206 HP/kg,"945 mm (37.2 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),310 mm (12.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 750 CD Shadow A.C.E. Deluxe,2002,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",9.0:1,79.0 x 76.0 mm (3.1 x 3.0 inches),,Liquid,5-speed,130 mm (5.1 inches),89 mm (3.5 inches),120/90-17 ,170/80-15 ,Single disc,296 mm (11.7 inches),Expanding brake,229.0 kg (504.9 pounds),,,,1615 mm (63.6 inches),16.80 litres (4.44 US gallons),4.10 litres (1.08 US gallons),,,,,3,Chain   (final drive),,,,"701 mm (27.6 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V11 Le Mans,2002,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",9.5:1,92.0 x 80.0 mm (3.6 x 3.1 inches),,Air,6-speed,,,120/70-17 ,180/55-17 ,Dual disc,282 mm (11.1 inches),Single disc,226.0 kg (498.2 pounds),1210 mm (47.6 inches),2150 mm (84.6 inches),785 mm (30.9 inches),1490 mm (58.7 inches),22.00 litres (5.81 US gallons),,Electric,92.0 HP (67.2  kW)) @ 7800 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 6000 RPM,,2,Shaft drive (cardan)   (final drive),,,0.4071 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 1.25,2002,Trial," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor,Liquid,5-speed,170 mm (6.7 inches),170 mm (6.7 inches),,,Single disc,145 mm (5.7 inches),Single disc,69.5 kg (153.2 pounds),,,,1327 mm (52.2 inches),3.00 litres (0.79 US gallons),,Kick,,,,,,,,,"640 mm (25.2 inches) If adjustable, lowest setting.",,325 mm (12.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda F 6 C Valkyrie - GL 1500 CD,2002,Custom / cruiser," 4.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",9.8:1,71.0 x 64.0 mm (2.8 x 2.5 inches),,Liquid,5-speed,129 mm (5.1 inches),119 mm (4.7 inches),150/80-R17 ,180/70-R16 ,Dual disc,,Single disc,309.0 kg (681.2 pounds),,,,1689 mm (66.5 inches),24.10 litres (6.37 US gallons),5.00 litres (1.32 US gallons),,,,,2,Shaft drive (cardan)   (final drive),,,,"734 mm (28.9 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Nevada 750,2002,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",9.6:1,80.0 x 74.0 mm (3.1 x 2.9 inches),,Air,5-speed,,,100/90-V18/H18 ,130/90-V16/H16 ,Dual disc,260 mm (10.2 inches),Single disc,182.0 kg (401.2 pounds),1180 mm (46.5 inches),2205 mm (86.8 inches),875 mm (34.4 inches),1482 mm (58.3 inches),16.00 litres (4.23 US gallons),,Electric,48.0 HP (35.0  kW)) @ 6200 RPM,59.4 Nm (6.1 kgf-m or 43.8 ft.lbs) @ 3200 RPM,,2,Shaft drive (cardan)   (final drive),,,0.2637 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 C Independent,2002,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",,101.0 x 73.0 mm (4.0 x 2.9 inches),Injection,Oil & air,,144 mm (5.7 inches),100 mm (3.9 inches),100/90-ZR18 ,170/80-ZR17 ,Double disc,,Single disc,245.0 kg (540.1 pounds),,,,,17.00 litres (4.49 US gallons),4.00 litres (1.06 US gallons),Electric,61.0 HP (44.5  kW)) @ 5000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,168.0 km/h (104.4 mph),4,Shaft drive (cardan)   (final drive),Telelever,Central suspension strut,0.2490 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory V92C,2002,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1507.0 ccm (91.96 cubic inches),"V2, four-stroke",9.2:1,97.0 x 102.0 mm (3.8 x 4.0 inches),Injection. 44mm throttle bodies,Oil & air,5-speed,130 mm (5.1 inches),102 mm (4.0 inches),mt90-16 ,160/80-16 ,Single disc. Brembo 4 piston caliper floating disk,300 mm (11.8 inches),Single disc. Brembo twin caliper. Floating disk,310.7 kg (685.0 pounds),,,,1608 mm (63.3 inches),19.30 litres (5.10 US gallons),,Electric,67.0 HP (48.9  kW)) @ 5500 RPM,116.6 Nm (11.9 kgf-m or 86.0 ft.lbs) @ 3000 RPM,169.0 km/h (105.0 mph),4,Belt   (final drive),45mm,Fox mono,0.2156 HP/kg,,Single Overhead Cams (SOHC),121 mm (4.8 inches),digital,,322.5 kg (711.0 pounds),,,,,,,,,,Hydraulic valves,,5.73 litres/100 km (17.5 km/l or 41.05 mpg),132.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,30.0°,,,,,,,,,"711 mm (28.0 inches) If adjustable, highest setting.",,,,2 into 1 into 2,Two tone,4.80 seconds,13.30 seconds,6000,"All new motor, improved transmission",,,,,
Moto Guzzi V11 Le Mans Tenni,2002,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",9.5:1,92.0 x 80.0 mm (3.6 x 3.1 inches),,Air,6-speed,,,120/70-17 ,180/55-17 ,Dual disc,282 mm (11.1 inches),Single disc,226.0 kg (498.2 pounds),1210 mm (47.6 inches),2150 mm (84.6 inches),785 mm (30.9 inches),1490 mm (58.7 inches),22.00 litres (5.81 US gallons),,Electric,92.0 HP (67.2  kW)) @ 7800 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 6000 RPM,,2,Shaft drive (cardan)   (final drive),,,0.4071 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 600,2002,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",12.2:1,67.0 x 42.5 mm (2.6 x 1.7 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Dual disc,,Single disc,163.0 kg (359.4 pounds),1135 mm (44.7 inches),2040 mm (80.3 inches),715 mm (28.1 inches),1400 mm (55.1 inches),18.00 litres (4.76 US gallons),,,,,,4,Chain   (final drive),,,,"830 mm (32.7 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 50 Rookie,2002,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,40.0 x 39.3 mm (1.6 x 1.5 inches),Carburettor,Liquid,6-speed,160 mm (6.3 inches),250 mm (9.8 inches),-21 ,-18 ,Single disc,220 mm (8.7 inches),Single disc,,,,,1340 mm (52.8 inches),8.00 litres (2.11 US gallons),,,,,,,Chain   (final drive),,,,"900 mm (35.4 inches) If adjustable, lowest setting.",,370 mm (14.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FC 550-6,2002,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",550.0 ccm (33.56 cubic inches),"Single cylinder, four-stroke",12.6:1,100.0 x 70.0 mm (3.9 x 2.8 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),80/100-21 ,110/100-19 ,Single disc,220 mm (8.7 inches),Single disc,103.9 kg (229.1 pounds),,,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,4,,,,,"930 mm (36.6 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VL 1500 Intruder LC,2002,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1462.0 ccm (89.21 cubic inches),"V2, four-stroke",8.5:1,96.0 x 101.0 mm (3.8 x 4.0 inches),Carburettor,Oil & air,5-speed,,,150/80-16 ,180/70-15 M/C ,Dual disc,,Single disc,296.0 kg (652.6 pounds),1165 mm (45.9 inches),2525 mm (99.4 inches),965 mm (38.0 inches),1700 mm (66.9 inches),15.00 litres (3.96 US gallons),,,,,,3,Shaft drive (cardan)   (final drive),,,,"700 mm (27.6 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 100 R,2002,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",9.4:1,53.0 x 45.0 mm (2.1 x 1.8 inches),,Air,5-speed,150 mm (5.9 inches),140 mm (5.5 inches),,,Expanding brake,,Expanding brake,74.8 kg (164.9 pounds),,,,1265 mm (49.8 inches),6.80 litres (1.80 US gallons),1.40 litres (0.37 US gallons),,,,,2,Chain   (final drive),,,,"775 mm (30.5 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),254 mm (10.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1300 R Hayabusa,2002,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1299.0 ccm (79.26 cubic inches),"In-line four, four-stroke",11.0:1,81.0 x 63.0 mm (3.2 x 2.5 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,190/50-ZR17 ,Dual disc,,Single disc,217.0 kg (478.4 pounds),1155 mm (45.5 inches),2140 mm (84.3 inches),740 mm (29.1 inches),1485 mm (58.5 inches),21.00 litres (5.55 US gallons),,,,,,4,Chain   (final drive),,,,"805 mm (31.7 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Mito 125,2002,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor,Liquid,6-speed,,,110/70-17 ,150/60-17 ,Single disc,230 mm (9.1 inches),Single disc,129.0 kg (284.4 pounds),,,,1375 mm (54.1 inches),14.00 litres (3.70 US gallons),,Electric,,,,,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS SM 125,2002,Super motard," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),120/60-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,,,,,1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,,36.8 HP (26.9  kW)) @ 10500 RPM,25.2 Nm (2.6 kgf-m or 18.6 ft.lbs) @ 10000 RPM,,,Chain   (final drive),,,,"900 mm (35.4 inches) If adjustable, lowest setting.",,290 mm (11.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 250,2002,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),,,Single disc,220 mm (8.7 inches),Single disc,,,,,1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,,49.8 HP (36.4  kW)) @ 8600 RPM,45.6 Nm (4.6 kgf-m or 33.6 ft.lbs) @ 7628 RPM,,,Chain   (final drive),,,,"940 mm (37.0 inches) If adjustable, lowest setting.",,340 mm (13.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDWG Dyna Wide Glide,2002,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,300.0 kg (661.4 pounds),,2381 mm (93.7 inches),,1665 mm (65.6 inches),19.70 litres (5.20 US gallons),4.20 litres (1.11 US gallons),,,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,,,Belt   (final drive),,,,"680 mm (26.8 inches) If adjustable, lowest setting.",,137 mm (5.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Djebel 200,2002,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",9.4:1,66.0 x 58.2 mm (2.6 x 2.3 inches),Carburettor,Air,5-speed,,,70/100-21 44P ,100/90-18 56P ,Single disc,,Expanding brake,108.0 kg (238.1 pounds),1150 mm (45.3 inches),2150 mm (84.6 inches),805 mm (31.7 inches),1405 mm (55.3 inches),13.00 litres (3.43 US gallons),,,20.0 HP (14.6  kW)) @ 8500 RPM,18.0 Nm (1.8 kgf-m or 13.3 ft.lbs) @ 7000 RPM,,2,,,,0.1852 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),260 mm (10.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 955i,2002,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",12.0:1,79.0 x 65.0 mm (3.1 x 2.6 inches),Injection,Liquid,6-speed,,,,,Dual disc,220 mm (8.7 inches),Single disc,188.0 kg (414.5 pounds),1165 mm (45.9 inches),2072 mm (81.6 inches),725 mm (28.5 inches),1417 mm (55.8 inches),21.00 litres (5.55 US gallons),,,149.0 HP (108.8  kW)) @ 10700 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 8200 RPM,,,Chain   (final drive),,,0.7926 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 125,2002,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",8.9:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor,Liquid,6-speed,,,80/100-21 51M ,110/90-19 57M ,Single disc,,Single disc,87.0 kg (191.8 pounds),1275 mm (50.2 inches),2145 mm (84.4 inches),840 mm (33.1 inches),1450 mm (57.1 inches),8.00 litres (2.11 US gallons),,,,,,,Chain   (final drive),,,,"965 mm (38.0 inches) If adjustable, lowest setting.",,350 mm (13.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
