Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Exhaust system,Dry weight,Power/weight ratio,Color options,Starter,Comments,Max RPM,Front suspension,Rear suspension,Ignition,Clutch,Frame type,Reserve fuel capacity,Torque,Front wheel travel,Rear wheel travel,Diameter,Seat height,Oil capacity,Electrical,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Lubrication system,Overall height,Overall length,Overall width,Wheelbase,Fuel consumption,Greenhouse gases,Alternate seat height,Ground clearance,1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight,Rake (fork angle),Trail,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,0-100 km/h (0-62 mph)
Harley-Davidson FXRT 1340 Sport Glide,1983,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5200 RPM,160.0 km/h (99.4 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MJ 90-19 ,MT 90-19 ,Single disc,Single disc,310.0 kg (683.4 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 E Bonneville,1983,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,176.0 km/h (109.4 mph),9.0:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-18 ,Single disc,Single disc,206.0 kg (454.2 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1100 C - V65 Magna,1983,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1097.0 ccm (66.94 cubic inches),"V4, four-stroke",116.0 HP (84.7  kW)),265.5 km/h (165.0 mph),10.5:1,79.5 x 55.3 mm (3.1 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),110/90-18 ,140/90-16 ,Dual disc,Single disc,268.0 kg (590.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 E (reduced effect),1983,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,137.0 km/h (85.1 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),3,Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 LTD,1983,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,116.0 km/h (72.1 mph),8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,120/90-16 ,Expanding brake,Expanding brake,143.0 kg (315.3 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 250 WK,1983,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,151.0 km/h (93.8 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,Rotary valves,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Single disc,132.0 kg (291.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki H T 125,1983,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)),,12.0:1,54.0 x 0.0 mm (2.1 x  inches),,Rotary valves,Air,5-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,,Carburettor. Rotary crank valve,,,,,,,9000,Telescopic fork,Dual shocks,,,,,,,,,,,,,,,,,,,,,Wire spoked,,,,,,,,,,,,,,,,,
Cagiva STX 350 Ala Rossa,1983,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,133.0 km/h (82.6 mph),9.4:1,82.5 x 65.0 mm (3.2 x 2.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,163.0 kg (359.4 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 CS ob one 6 N,1983,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 10800 RPM,136.0 km/h (84.5 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,6-speed,Chain   (final drive),80/90-18 ,80/90-18 ,Dual disc,Single disc,107.0 kg (235.9 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 RT,1983,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,163.0 km/h (101.3 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F,1983,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",60.0 HP (43.8  kW)) @ 10000 RPM,191.0 km/h (118.7 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,213.0 km/h (132.4 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100,1983,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,,9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 Le Mans III,1983,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 7700 RPM,214.0 km/h (133.0 mph),10.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 ES,1983,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,221.0 km/h (137.3 mph),9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,253.0 kg (557.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 TL Pantah,1983,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",581.0 ccm (35.45 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 8500 RPM,195.0 km/h (121.2 mph),9.5:1,80.0 x 57.8 mm (3.1 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,195.0 kg (429.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 Jota,1983,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 7600 RPM,210.0 km/h (130.5 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,258.0 kg (568.8 pounds),20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 185 S,1983,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",180.0 ccm (10.98 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),9.2:1,63.0 x 57.8 mm (2.5 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,118.0 kg (260.1 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SX 350,1983,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,132.0 km/h (82.0 mph),9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 Kanguro,1983,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,123.0 km/h (76.4 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,150.0 kg (330.7 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 250F ,1983,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 11000 RPM,,11.0:1,60.0 x 44.0 mm (2.4 x 1.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,110/80-18 ,Single disc,Expanding brake (drum brake),,12.00 litres (3.17 US gallons),Carburettor,,152.0 kg (335.1 pounds),0.2303 HP/kg,,Electric,,14000,,,,,Aluminium Frame,,21.5 Nm (2.2 kgf-m or 15.9 ft.lbs) @ 10000 RPM,,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,Wet sump,1190 mm (46.9 inches),2000 mm (78.7 inches),750 mm (29.5 inches),1385 mm (54.5 inches),,,,,,,,,,,,
Moto Morini 500 Sei-V,1983,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,155.0 km/h (96.3 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Dual disc,Single disc,180.0 kg (396.8 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 Jota-120,1983,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",86.0 HP (62.8  kW)) @ 7900 RPM,211.0 km/h (131.1 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,265.0 kg (584.2 pounds),20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 F Katana,1983,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",42.0 HP (30.7  kW)) @ 10500 RPM,170.0 km/h (105.6 mph),10.5:1,53.0 x 45.2 mm (2.1 x 1.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,110/90-18 ,Dual disc,Single disc,197.0 kg (434.3 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 J,1983,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,211.0 km/h (131.1 mph),9.2:1,69.4 x 66.0 mm (2.7 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.25-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 TD-C,1983,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",15.0 HP (10.9  kW)) @ 11000 RPM,113.0 km/h (70.2 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),,,"Single disc. Disk, hydraulic (two pot)",Expanding brake (drum brake). Expanding brake (Drum brake),,14.00 litres (3.70 US gallons),Carburettor. Keihin,Double stainless steel pipes,124.0 kg (273.4 pounds),0.1210 HP/kg,Pretty much any colour,Electric,,13000,Oil damped telescopic,"Pivoted fork, ´Pro-Link´ rising rate suspension system",CDI (Capacitor Discharge Ignition),"Wet ,multiplate","Open diamond, engine used as stressed member",1.50 litres (0.40 US gallons),10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8500 RPM,140 mm (5.5 inches),95 mm (3.7 inches),,"775 mm (30.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,"Wet sump, force fed",1070 mm (42.1 inches),2060 mm (81.1 inches),730 mm (28.7 inches),1350 mm (53.1 inches),2.35 litres/100 km (42.6 km/l or 100.09 mpg),54.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,"775 mm (30.5 inches) If adjustable, highest setting.",180 mm (7.1 inches),,,,,,,,
Honda VF 750 C,1983,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",82.0 HP (59.9  kW)) @ 9500 RPM,187.0 km/h (116.2 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-16 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1983,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305,1983,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,152.0 km/h (94.4 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 750 L3,1983,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",78.9 HP (57.6  kW)) @ 9000 RPM,,9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,,,,,,,,,Carburettor. Mikuni BS34,,,,"Candy Cobalt Blue, Candy Persimmon Red, Ebony",,,,,,,,,,65.8 Nm (6.7 kgf-m or 48.5 ft.lbs) @ 7500 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 N,1983,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 8500 RPM,161.0 km/h (100.0 mph),9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler Mustang 125,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7250 RPM,110.0 km/h (68.4 mph),10.0:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Liquid,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,1983,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,222.0 km/h (137.9 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,260.0 kg (573.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1340 Electra Glide Belt Drive,1983,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MT 90-16 ,MT90-16 ,Single disc,Single disc,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 RGS,1983,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 7900 RPM,225.0 km/h (139.8 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,269.0 kg (593.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 750,1983,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",87.0 HP (63.5  kW)) @ 9500 RPM,216.0 km/h (134.2 mph),9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/80-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 C (reduced effect),1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,216.0 kg (476.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TSS,1983,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",57.0 HP (41.6  kW)) @ 6500 RPM,167.0 km/h (103.8 mph),9.5:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 LC YPVS (reduced effect),1983,Sport," 2.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 9200 RPM,180.0 km/h (111.8 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 Sport,1983,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 9500 RPM,204.0 km/h (126.8 mph),9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-19 ,120/90-18 ,Dual disc,Single disc,234.0 kg (515.9 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
