Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Comments,Valves per cylinder,Torque,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Oil capacity,Electrical,1/4 mile (0.4 km),Modifications compared to previous model,Wheels,Alternate seat height,Carrying capacity
MuZ TS 250-1,1977,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,125.0 km/h (77.7 mph),8.5:1,69.0 x 65.0 mm (2.7 x 2.6 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-16 ,Expanding brake,Expanding brake,146.0 kg (321.9 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 S,1977,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,150.0 km/h (93.2 mph),9.0:1,63.0 x 56.0 mm (2.5 x 2.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Dual disc,Single disc,157.0 kg (346.1 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 254,1977,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,140.0 km/h (87.0 mph),11.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),11.50 litres (3.04 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400,1977,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,147.0 km/h (91.3 mph),9.4:1,64.0 x 62.0 mm (2.5 x 2.4 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350,1977,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5000 RPM,132.0 km/h (82.0 mph),9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,168.0 kg (370.4 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000,1977,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",85.0 HP (62.0  kW)) @ 8000 RPM,210.0 km/h (130.5 mph),8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,256.0 kg (564.4 pounds),16.50 litres (4.36 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SD Darmah,1977,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,200.0 km/h (124.3 mph),9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,4.25-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),16.00 litres (4.23 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson SS 175,1977,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6750 RPM,115.0 km/h (71.5 mph),10.7:1,61.0 x 59.6 mm (2.4 x 2.3 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F 1,1977,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8500 RPM,194.0 km/h (120.5 mph),9.2:1,61.0 x 63.0 mm (2.4 x 2.5 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,247.0 kg (544.5 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCH 1000 Sportster,1977,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,185.0 km/h (115.0 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),9.00 litres (2.38 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 125,1977,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",14.2 HP (10.4  kW)) @ 9500 RPM,127.0 km/h (78.9 mph),6.8:1,43.0 x 43.0 mm (1.7 x 1.7 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,122.0 kg (269.0 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 SE,1977,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",14.0 HP (10.2  kW)) @ 7800 RPM,,10.0:1,42.5 x 44.0 mm (1.7 x 1.7 inches),Port control,Air,5-speed,Chain   (final drive),275-18 ,300-v8 ,Single disc,Expanding brake,129.0 kg (284.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 Sport,1977,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)) @ 8500 RPM,170.0 km/h (105.6 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KR250,1977,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, two-stroke",,249.5 km/h (155.0 mph),,54.0 x 54.4 mm (2.1 x 2.1 inches),,Liquid,,Chain   (final drive),3.25-18 ,3.5-17 ,Double disc,Double disc,,,,247,47.5 Nm (4.8 kgf-m or 35.0 ft.lbs) @ 10000 RPM,,Carburettor. 34mm Mikuni,,,,,,,Steel double cradle frame,,,Telescopic fork,104.0 kg (229.3 pounds),,,,,,,1360 mm (53.5 inches),,Green,,,Uni-Trak ,,210 mm (8.3 inches),,,,,,,
Moto Guzzi V 1000 I-Convert,1977,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 8800 RPM,168.0 km/h (104.4 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),Overhead Valves (OHV),Air,2-speed automatic,Shaft drive (cardan)   (final drive),4.10-18 ,4.10-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 160 V Trident 750,1977,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",64.0 HP (46.7  kW)) @ 7400 RPM,195.0 km/h (121.2 mph),9.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Single disc,Single disc,243.0 kg (535.7 pounds),20.50 litres (5.42 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha IT 175 D,1977,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",171.5 ccm (10.46 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)),,6.8:1,,,Air,6-speed,Chain   (final drive),,,,,,,,,,8000,Carburettor. mikuni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunturi Super Sport,1977,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",1.5 HP (1.1  kW)) @ 5000 RPM,,8.5:1,,,,,Chain   (final drive),2.25-19 ,2.75-17 ,,,,6.50 litres (1.72 US gallons),,,,,Carburettor. Bing,Magneto,,"Wet, multiplate",,,,,,,,,,,,1850 mm (72.8 inches),,210 mm (8.3 inches),1230 mm (48.4 inches),,,,,,,,,,,,,,
Honda CB 750 F 2,1977,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 9000 RPM,197.0 km/h (122.4 mph),9.0:1,61.0 x 63.0 mm (2.4 x 2.5 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1200 Electra Glide,1977,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,135.0 km/h (83.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Single disc,Single disc,345.0 kg (760.6 pounds),25.00 litres (6.61 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 125 Trail,1977,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5750 RPM,90.0 km/h (55.9 mph),8.6:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MB-750M,1977,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,Military motorcylce model manufactured by Dnepr in Kiev 1973-1977.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 650,1977,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 6800 RPM,181.0 km/h (112.5 mph),8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,227.0 kg (500.4 pounds),15.00 litres (3.96 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 175,1977,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",163.0 ccm (9.95 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,126.0 km/h (78.3 mph),7.8:1,62.0 x 54.0 mm (2.4 x 2.1 inches),Port control,Liquid,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,121.0 kg (266.8 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 800 S America,1977,Super motard," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",789.0 ccm (48.14 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,216.0 km/h (134.2 mph),9.5:1,67.0 x 56.0 mm (2.6 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk 700S Mk2,1977,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,653.0 ccm (39.85 cubic inches),"Twin, two-stroke",54.0 HP (39.4  kW)) @ 6000 RPM,177.0 km/h (110.0 mph),,,,Liquid,4-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Single disc,Expanding brake (drum brake),,,Silk Engineering was British company. Bike also called Silk Sabre.,,,,Carburettor,Electronic,50:1 petroil mix,,,,"Exhaust pipes,Ossa silencer",,,,Cerriani style forks,140.0 kg (308.6 pounds),0.3857 HP/kg,,,,,,,,Black,Kick,,Twin shocks,,180 mm (7.1 inches),,,,,Six-spoke Campagnolo cast wheel,,
Moto Morini 250 T,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6800 RPM,135.0 km/h (83.9 mph),9.5:1,69.0 x 64.0 mm (2.7 x 2.5 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,138.0 kg (304.2 pounds),12.00 litres (3.17 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FX 1200,1977,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,180.0 km/h (111.8 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Single disc,Single disc,265.0 kg (584.2 pounds),19.00 litres (5.02 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 S Desmo,1977,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Twin, four-stroke",26.0 HP (19.0  kW)) @ 8000 RPM,148.0 km/h (92.0 mph),10.0:1,71.8 x 43.2 mm (2.8 x 1.7 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,193.0 kg (425.5 pounds),19.00 litres (5.02 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1977,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)) @ 5800 RPM,110.0 km/h (68.4 mph),7.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 SF 3 S,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",61.0 HP (44.5  kW)) @ 7500 RPM,195.0 km/h (121.2 mph),8.9:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),4.00-18 ,4.00-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),19.00 litres (5.02 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 3,1977,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,180.0 km/h (111.8 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.10-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 500 S,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,495.0 ccm (30.20 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 8200 RPM,162.0 km/h (100.7 mph),9.0:1,75.0 x 56.0 mm (3.0 x 2.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Dual disc,Single disc,158.0 kg (348.3 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 Le Mans,1977,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,203.0 km/h (126.1 mph),10.0:1,83.0 x 78.0 mm (3.3 x 3.1 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.10-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),22.50 litres (5.94 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KE 175 B,1977,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)),114.3 km/h (71.0 mph),,,,Air,5-speed,Chain   (final drive),,,,,107.0 kg (236.0 pounds),6.81 litres (1.80 US gallons),,,,8000,,,,,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch Maxi Sport,1977,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",48.8 ccm (2.98 cubic inches),"Single cylinder, two-stroke",1.5 HP (1.1  kW)) @ 4500 RPM,40.2 km/h (25.0 mph),9.2:1,38.0 x 43.0 mm (1.5 x 1.7 inches),,Air,,,2.00-17 ,2.00-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,2.1 Nm (0.2 kgf-m or 1.5 ft.lbs) @ 3000 RPM,,,,,,,,,,,,,39.0 kg (86.0 pounds),0.0385 HP/kg,"483 mm (19.0 inches) If adjustable, lowest setting.",1000 mm (39.4 inches),1700 mm (66.9 inches),690 mm (27.2 inches),100 mm (3.9 inches),1120 mm (44.1 inches),,,,,,,,,,,,,"533 mm (21.0 inches) If adjustable, highest setting.",
Suzuki RV 125,1977,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 6000 RPM,92.0 km/h (57.2 mph),6.3:1,56.0 x 50.0 mm (2.2 x 2.0 inches),Port control,Air,5-speed,Chain   (final drive),5.40-14 ,6.70-10 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250,1977,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 7700 RPM,120.0 km/h (74.6 mph),9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,148.0 kg (326.3 pounds),9.50 litres (2.51 US gallons),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 V Bonneville,1977,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-18 ,Single disc,Single disc,197.0 kg (434.3 pounds),18.50 litres (4.89 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 400 Hustler,1977,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,396.0 ccm (24.16 cubic inches),"Single cylinder, two-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,,6.8:1,81.0 x 75.0 mm (3.2 x 3.0 inches),,Air,,Chain   (final drive),3-21 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,8.30 litres (2.19 US gallons),,,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 5500 RPM,,Injection. Mikuni 58SS,PEI,,"Wet, multiplate",,,,,,,Telescopic,124.0 kg (273.4 pounds),0.2742 HP/kg,,1130 mm (44.5 inches),2240 mm (88.2 inches),889 mm (35.0 inches),191 mm (7.5 inches),1425 mm (56.1 inches),,Black/Green,Kick,,"Swingarm , Dual Shocks",,,,,,,,,
Moto Guzzi 850 T 3 California,1977,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,150.0 km/h (93.2 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.10-18 ,Dual disc,Single disc,245.0 kg (540.1 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 850 SS Monza,1977,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,837.0 ccm (51.07 cubic inches),"In-line four, four-stroke",81.8 HP (59.7  kW)) @ 9000 RPM,235.0 km/h (146.0 mph),10.3:1,69.0 x 56.0 mm (2.7 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,,Shaft drive (cardan)   (final drive),3.5-18 ,4-18 ,Double disc,Expanding brake (drum brake),,24.00 litres (6.34 US gallons),,,,,Carburettor. Dell´Orto 4x27 VHB,,,,,,,Steel ,,,"Telescopic, Forcelle",260.0 kg (573.2 pounds),0.3146 HP/kg,,,,,,1420 mm (55.9 inches),,Red,,,Dual Koni Shocks Preload Adjustable,,,,,,,,,
Yamaha DT 125 E,1977,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6800 RPM,110.0 km/h (68.4 mph),7.1:1,56.0 x 50.0 mm (2.2 x 2.0 inches),Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,119.0 kg (262.4 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MW 750 M,1977,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,MW750 and MW750M where military motorcycle models manufactured by Dnepr in Kiev 1973-1977.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 650,1977,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",652.0 ccm (39.79 cubic inches),"In-line four, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,190.0 km/h (118.1 mph),9.5:1,62.0 x 54.0 mm (2.4 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),16.50 litres (4.36 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 GTV,1977,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,140.0 km/h (87.0 mph),9.6:1,71.8 x 43.2 mm (2.8 x 1.7 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,195.0 kg (429.9 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
