Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Compression,Valves per cylinder,Fuel control,Fuel consumption,Greenhouse gases,Trail,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Factory warranty,Comments,Top speed,Wheels,Power/weight ratio,Electrical,Exhaust system,Carrying capacity,Seat,Instruments,Emission details,Reserve fuel capacity,Light,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front percentage of weight,Alternate seat height,Max RPM,1/4 mile (0.4 km),Oil filter,Battery
Yamaha V Star 250,2012,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",245.8 ccm (15.00 cubic inches),"V2, four-stroke",49.0 x 66.0 mm (1.9 x 2.6 inches),Carburettor. Mikuni  26mm,,,Air,5-speed,Chain   (final drive),,,Steel tube,32.0°,33mm fork,140 mm (5.5 inches),Dual shocks,99 mm (3.9 inches),100/18-19 ,130/90-15 ,Single disc. Hydraulic,130 mm (5.1 inches),Expanding brake (drum brake),,"686 mm (27.0 inches) If adjustable, lowest setting.",,1491 mm (58.7 inches),9.08 litres (2.40 US gallons),Raven,Electric,60° V twin.,,,10.0:1,2,Single Overhead Cams (SOHC),3.02 litres/100 km (33.1 km/l or 77.89 mpg),70.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,102 mm (4.0 inches),146.5 kg (323.0 pounds),1059 mm (41.7 inches),2189 mm (86.2 inches),711 mm (28.0 inches),1 Year (Limited Factory Warranty),,,Laced Spokes,,Maintenance-free 12V 10AH battery,Dual chrome exhaust pipes,.,,,,,,,,,,,,,,,,,,,,,,,
MBK Booster 13-inch Naked,2012,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",40.0 x 70.0 mm (1.6 x 2.8 inches),Carburettor,CDI,Separate lubrication,Air,Automatic,Belt   (final drive),Automatic centrifugal,,,,Telescopic fork,70 mm (2.8 inches),Unit swing,70 mm (2.8 inches),120/70-13 ,130/70-13 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),75.0 kg (165.3 pounds),"768 mm (30.2 inches) If adjustable, lowest setting.",124 mm (4.9 inches),1172 mm (46.1 inches),5.30 litres (1.40 US gallons),Engine type,Electric & kick,Reed valve intake system,3.2 HP (2.4  kW)) @ 6500 RPM,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6000 RPM,7.2:1,,,,,,82.0 kg (180.8 pounds),,1685 mm (66.3 inches),675 mm (26.6 inches),,,,Alloy rims,0.0429 HP/kg,,,,,Digital dash display,,,,1.20 litres (1.27 US quarts),,,,,,,,,,,,,,,,,
Ultra Apache Lowko 300,2012,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1851.9 ccm (113.00 cubic inches),"V2, four-stroke",,Carburettor. S and  Super G,Dakota digital,,Air,6-speed,Belt   (final drive),,"Wet primary chain drive, rear belt drive. Right side drive polished transmission.",,40.0°,,,,,120-21 ,300-18 ,Single disc. Performance Machines Calliper,,Single disc. Performance Machines Calliper,,"635 mm (25.0 inches) If adjustable, lowest setting.",,,,,Electric,Polished S and S engine,,,,,,,,,,,2616 mm (103.0 inches),,,Single downtube. 5 inch backbone. 2 inch downtube stretch.,,Billet Mag wheels,,,2-into-2 pipes,,,,,,,,,,,,,,,,,,,,,,,,
Mondial 50 Revival,2012,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.6 ccm (3.03 cubic inches),"Single cylinder, four-stroke",39.0 x 41.5 mm (1.5 x 1.6 inches),Carburettor,CDI,Oil Pump,Air,Automatic,,,,,,Telescopic fork,,Swing arm,,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),81.0 kg (178.6 pounds),,,1270 mm (50.0 inches),6.00 litres (1.59 US gallons),White/black,Electric & kick,,3.0 HP (2.2  kW)) @ 8500 RPM,2.9 Nm (0.3 kgf-m or 2.1 ft.lbs) @ 7000 RPM,10.5:1,,,,,,,1095 mm (43.1 inches),1690 mm (66.5 inches),695 mm (27.4 inches),,,45.0 km/h (28.0 mph),,0.0364 HP/kg,12V 5.0 A battery.,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Serow 250,2012,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",74.0 x 58.0 mm (2.9 x 2.3 inches),Injection,TCI,Wet sump,Air,6-speed,Chain   (final drive),"Wet, multiplate",,Semi-double craddle,,Telescopic forks,,Monocross,,2.75-21 ,120/80-18 ,Single disc,,Single disc,130.0 kg (286.6 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",285 mm (11.2 inches),1360 mm (53.5 inches),9.60 litres (2.54 US gallons),"White/maroon, black/white",Electric,,18.0 HP (13.1  kW)) @ 7500 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 6500 RPM,9.5:1,2,Single Overhead Cams (SOHC),2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,2070 mm (81.5 inches),805 mm (31.7 inches),,,,,0.1385 HP/kg,,,,,Digital speedometer,,,,1.40 litres (1.48 US quarts),,,,,,,,,,,,,,,,,
Kawasaki VN 900 Custom,2012,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",88.0 x 74.2 mm (3.5 x 2.9 inches),Injection,Digital,,Liquid,5-speed,Belt   (final drive),"Wet, multiplate",,"Double-cradle, steel ",33.0°,41 mm telescopic fork,,Uni-Trak,,80/90-M21 ,180/70-M15 ,Single disc,270 mm (10.6 inches),Single disc,,"685 mm (27.0 inches) If adjustable, lowest setting.",,1645 mm (64.8 inches),20.00 litres (5.28 US gallons),Orange,Electric,,49.6 HP (36.2  kW)) @ 5700 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 3700 RPM,9.5:1,4,Single Overhead Cams (SOHC),,,182 mm (7.2 inches),278.0 kg (612.9 pounds),,2405 mm (94.7 inches),895 mm (35.2 inches),,,,,,,Slash-cut stacked silencers,,,,Euro III,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 Racer,2012,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",80.0 x 74.0 mm (3.1 x 2.9 inches),Injection,,By lobes with pressure pump,Air,5-speed,Shaft drive (cardan)   (final drive),Dry single plate with flexible couplings,"Helicoidal gears, ratio 16/21=1:1.3125. Final drive: Shaft drive, ratio 4.825.",ALS steel tubular dismountable twin cradle,27.5°,Marzocchi forks,130 mm (5.1 inches),Oscillating light alloy swingarm with 2 pre-load adjustable shock absorbers.,118 mm (4.6 inches),110/90-18 ,130/80-17 ,Single disc. Bremo stainless steel disc 4 opposed calipers of differing diameters,260 mm (10.2 inches),Single disc. Bremo,182.0 kg (401.2 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",182 mm (7.2 inches),,17.00 litres (4.49 US gallons),Silver/red/black,Electric,V 90 twin,47.6 HP (34.8  kW)) @ 6800 RPM,54.7 Nm (5.6 kgf-m or 40.3 ft.lbs) @ 3600 RPM,9.6:1,2,Overhead Cams (OHC),,,109 mm (4.3 inches),198.0 kg (436.5 pounds),1115 mm (43.9 inches),2185 mm (86.0 inches),805 mm (31.7 inches),,,,,0.2616 HP/kg,,,,,,3-way catalytic converter and oxygen sensor.,2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,
Sym Symba,2012,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,101.4 ccm (6.19 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,Air,4-speed,,,"CVT, 4-speed semi-automatic.",Steel,,Telescopic Fork,,Unit Swing Arm,,2.50-17 ,2.50-17 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),170.0 kg (374.8 pounds),,,1225 mm (48.2 inches),4.10 litres (1.08 US gallons),"Red/white, blue/white, black/white",Electric & kick,,,,,,,,,,,1055 mm (41.5 inches),1910 mm (75.2 inches),690 mm (27.2 inches),,Cub made in Taiwan. ,,,,,,Front basket,2-person seat,,,,35/35W headlights,,,,,,,,,,,,,,,,,,
Vespa GTS 300 Super,2012,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",75.0 x 63.0 mm (3.0 x 2.5 inches),Injection,Electronic by capacitive discharge (CDI),"Wet sump, chain-driven lobe pump",Liquid,Automatic,Belt   (final drive),"Dry, centrifugal type",,Load-bearing sheet steel chassis,,Single-sided trailing arm with dual chamber hydraulic shock absorber with coaxial spring.,,Two dual effect shock absorbers with adjustable preload.,,120/70-12 ,130/70-12 ,Single disc,200 mm (7.9 inches),Single disc,148.0 kg (326.3 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,1369 mm (53.9 inches),9.20 litres (2.43 US gallons),"Black, Gray, White, Dragon Red ",Electric,,21.2 HP (15.5  kW)) @ 7500 RPM,22.3 Nm (2.3 kgf-m or 16.4 ft.lbs) @ 5000 RPM,,4,Single Overhead Cams (SOHC),3.48 litres/100 km (28.7 km/l or 67.59 mpg),80.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,2230 mm (87.8 inches),755 mm (29.7 inches),,,128.8 km/h (80.0 mph),,0.1432 HP/kg,,,,,,"Euro 3, EPA and CARB",,,,,,,,,,,,,,,,,,,,
Lifan LF125-3 Cross,2012,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",56.5 x 56.5 mm (2.2 x 2.2 inches),Carburettor,,,Air,5-speed,Chain   (final drive),,,,,Telescopic hydraulic,,Dual shocks,,2.75-18 ,3.00-18 ,Single disc. Optional drum,,Expanding brake (drum brake),105.0 kg (231.5 pounds),"730 mm (28.7 inches) If adjustable, lowest setting.",,1285 mm (50.6 inches),10.50 litres (2.77 US gallons),Red,Electric & kick,,11.0 HP (8.0  kW)) @ 9000 RPM,8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 7500 RPM,9.0:1,,,,,,,800 mm (31.5 inches),1690 mm (66.5 inches),770 mm (30.3 inches),,Made in China.,,,0.1048 HP/kg,,,,,,,1.00 litres (0.26 US gallons),,,,,,,,,,,,,,,,,,,
Nipponia Status,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,C.D.I.,,Air,4-speed,,,"4 gear, circulatory",Steel,,Telescopic fork,,Twin shocks,,110/70-16 ,130/70-16 ,Single disc,280 mm (11.0 inches),Single disc,138.0 kg (304.2 pounds),,,,9.00 litres (2.38 US gallons),Blizzard White,Electric & kick,,9.1 HP (6.7  kW)),,,,,1.60 litres/100 km (62.5 km/l or 147.01 mpg),37.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,1330 mm (52.4 inches),2115 mm (83.3 inches),730 mm (28.7 inches),,,85.0 km/h (52.8 mph),,0.0661 HP/kg,,,,,,Euro 3,,Twin head lamps,,,,,,,,,,,,,,,,,,
Yamaha Vox Deluxe,2012,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",38.0 x 43.5 mm (1.5 x 1.7 inches),Injection,TCI,Wet sump,Air,Automatic,Belt   (final drive),"Dry, centrifugal shoe",,Backbone,26.0°,Telescopic ,,Swing unit,,120/90-10 ,120/90-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),88.0 kg (194.0 pounds),"735 mm (28.9 inches) If adjustable, lowest setting.",115 mm (4.5 inches),1280 mm (50.4 inches),4.50 litres (1.19 US gallons),"Bronze, white, black",Electric,,4.2 HP (3.0  kW)) @ 8000 RPM,3.9 Nm (0.4 kgf-m or 2.9 ft.lbs) @ 6500 RPM,,2,Single Overhead Cams (SOHC),1.54 litres/100 km (64.9 km/l or 152.74 mpg),35.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,84 mm (3.3 inches),,1045 mm (41.1 inches),1855 mm (73.0 inches),725 mm (28.5 inches),,Made in Taiwan. Sold in Japan. Model id XF50D.,,,0.0473 HP/kg,"12V, 4AH battery.",,34 liters of storage space,,,,,"Halogen bulb, 12V, 35/35W headlights",0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,
Honda CRF100F,2012,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, four-stroke",53.0 x 45.0 mm (2.1 x 1.8 inches),Carburettor. 22mm piston-valve carburator,CD,,Air,5-speed,Chain   (final drive),,#428 chain; 14T/50T,,28.5°,27.0mm leading-axle Showa fork,132 mm (5.2 inches),Pro-Link Showa single shock,147 mm (5.8 inches),2.50-19 ,3.00-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),,"785 mm (30.9 inches) If adjustable, lowest setting.",254 mm (10.0 inches),1250 mm (49.2 inches),4.92 litres (1.30 US gallons),"Red, red/white",Electric & kick,,,,9.4:1,,Single Overhead Cams (SOHC),,,99 mm (3.9 inches),78.9 kg (174.0 pounds),,,,6 months,Model ID: CRF100F,,,,,,,,,Meets current CARB and EPA standards.,1.14 litres (0.30 US gallons),,,,,,,,,,,,,,,,,,,
NCR Millona One Shot,2012,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1100.0 ccm (67.12 cubic inches),"V2, four-stroke",,Injection,Automatic Remapping System (ARS) by on-board CPU.,,,6-speed,Chain   (final drive),NCR CORSE by Aptc anti hopping clutch system,,Tubular trellis in chromium molybdenum projected and developed by NCR.,,"Ohlins 43 mm upside-down fork with TiN surface treatment , adjustable off-set, for radial calipers with NCR CORSE alluminum bottom bracket from billet, seted up by NCR CORSE.",,Handmade swingarm in alluminum projected and developed by NCR (weight: 3.8kg). Progressive linkage with fully adjustable Ohlins monoshock with lenght adjustment. seted up by NCR CORSE.,,120/70-R17 ,190/55-R17 ,"Double disc. WAVE discs, 4-piston 2-pad Brembo SBK radial caliper from billet.",200 mm (7.9 inches),"Single disc. WAVE disc, 2-piston Brembo caliper from billet.",125.0 kg (275.6 pounds),,,1400 mm (55.1 inches),15.00 litres (3.96 US gallons),,Kick,Ducati 1100 engine,116.0 HP (84.7  kW)) @ 8450 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 6700 RPM,,,,,,,,,,,,"Fuel tank, subframe, fearing kit, belly pan, front mud-guard, seat tail and airbox kit in carbon fiber. Titanium bolts. Electric starter not included.",,BST for NCR carbon fiber wheels. ,0.9280 HP/kg,,Exhaust system developed by NCR and produced in Titanium by Zard.,,Leather seat produced by Schedoni.,MyChron3 Visor with via Can to EFI Euro 1 cpu connection and USB PC connection.,,,,,,,,,,,,,,,,,,,,,
Leonhardt Gunbus 410,2012,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,6728.0 ccm (410.54 cubic inches),"V2, four-stroke",176.0 x 156.0 mm (6.9 x 6.1 inches),Injection. 2 single throttle valves; 70 mm diameter. Sequential fuel injection; lambda-controlled ,Dual ignition,Dry sump lubrication ,,3-speed,Chain   (final drive),"3-disk, sintered metal dry clutch","Primary driving gear: duplex roller chain, 1´x 11/16´. Secondary driving gear: single roller chain, 1´x 11/16´.",Steel tube frame; 25CrMo4; TIG welding ,,Steel tube trapezoidal fork; 25CrMo4,,,,,,Double disc,310 mm (12.2 inches),Single disc,"650.0 kg (1,433.0 pounds)","800 mm (31.5 inches) If adjustable, lowest setting.",,2410 mm (94.9 inches),,,Electric,45° cylinder angle,,710.0 Nm (72.4 kgf-m or 523.7 ft.lbs) @ 1900 RPM,8.7:1,,,,,,,1480 mm (58.3 inches),3450 mm (135.8 inches),,,German brand.,,"Front: 38” diameter; 11” width. Manufacturer: RIGDON, Germany",,,,,,,Lambda-controlled. Regulated catalytic converter.,,,,,,,,,,,,,,,,,,,,
Enfield Classic Chrome,2012,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Digital Electronic Ignition,Electronic Ignition,Wet sump,Air,5-speed,Chain   (final drive),Mulitiplate in oil,,"Single downtube, using engine as stressed member",,"Telescopic, hydraulic damping",130 mm (5.1 inches),Swing arm with adjustable Gas filled shock absorber,80 mm (3.1 inches),90/90-18 ,110/80-18 ,Single disc,153 mm (6.0 inches),Expanding brake (drum brake),,"800 mm (31.5 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1370 mm (53.9 inches),14.50 litres (3.83 US gallons),"Red/chrome, black/chrome",Electric & kick,Twin spark,27.2 HP (19.9  kW)) @ 5250 RPM,41.3 Nm (4.2 kgf-m or 30.5 ft.lbs) @ 4000 RPM,8.5:1,,Overhead Valves (OHV),,,,187.0 kg (412.3 pounds),1050 mm (41.3 inches),2160 mm (85.0 inches),800 mm (31.5 inches),,Royal Enfield motorcycles are made in India.,,,,,,,Solo seat,,,,60 W / 55 W,,,,,,,,,,,,,,,,,,
Aprilia Scarabeo 50 Street,2012,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",41.0 x 37.4 mm (1.6 x 1.5 inches),Carburettor. Dell’Orto,CDI with variable advance,Separate oil petrol pump mixer,Air,Automatic,Belt   (final drive),Automatic dry centifuge with damper buffers,,Mono cradle tubular steel high yield point,,Telescopic hydraulic fork,,Single hydraulic shock absorber pivoting on engine-transmission assembly,,80/80-16 ,90/80-16 ,Single disc,140 mm (5.5 inches),Expanding brake (drum brake),,"780 mm (30.7 inches) If adjustable, lowest setting.",,1250 mm (49.2 inches),7.50 litres (1.98 US gallons),"Black, white, red, pink, green",Electric & kick,,,,10.5:1,,Overhead Cams (OHC),,,,,,1905 mm (75.0 inches),710 mm (28.0 inches),,,,,,,Catalytic converter,,,,Euro II,1.00 litres (0.26 US gallons),,,,,,,,,,,,,,,,,,,
Evolve Neon,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,Air,,,,,,,Telecsopic,,Hydraulic coil-over,,130/60-13 ,120/70-12 ,Single disc,,Single disc,122.5 kg (270.0 pounds),,,1499 mm (59.0 inches),,Silver,Electric,,4.0 HP (2.9  kW)),,,,,,,,,1219 mm (48.0 inches),2032 mm (80.0 inches),635 mm (25.0 inches),,60ah LiFe PO4 battery. 2.5 hour recharge time. Range 50 miles.,80.5 km/h (50.0 mph),,0.0328 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ1 Fazer,2012,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",77.0 x 53.6 mm (3.0 x 2.1 inches),Injection,,,Liquid,6-speed,Chain   (final drive),"Wet, multiple-disc coil spring",Constant Mesh,"Aluminium die-cast, diamond shaped",25.0°,Telescopic forks,130 mm (5.1 inches),Swingarm (link suspension),130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,198.0 kg (436.5 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1460 mm (57.5 inches),18.00 litres (4.76 US gallons),,Electric,,147.9 HP (108.0  kW)) @ 11000 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 8000 RPM,11.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,109 mm (4.3 inches),220.0 kg (485.0 pounds),1205 mm (47.4 inches),2140 mm (84.3 inches),770 mm (30.3 inches),,,,,0.7470 HP/kg,,,,,,,,,3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,
Aeon My 125i,2012,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",56.5 x 49.5 mm (2.2 x 1.9 inches),Injection. EFI,TCI,"Wet sump, Oil pump pressurized",Air,5-speed,Chain   (final drive),Wet,,Steel tube,,Telescopic fork,80 mm (3.1 inches),Single shock,60 mm (2.4 inches),120/80-14 ,120/80-14 ,Single disc,190 mm (7.5 inches),Expanding brake (drum brake),108.0 kg (238.1 pounds),"735 mm (28.9 inches) If adjustable, lowest setting.",230 mm (9.1 inches),1210 mm (47.6 inches),6.00 litres (1.59 US gallons),"Black, red, green",Electric & kick,,10.7 HP (7.8  kW)) @ 8500 RPM,8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 7500 RPM,9.0:1,4,,,,,,1150 mm (45.3 inches),1770 mm (69.7 inches),770 mm (30.3 inches),,,,,0.0994 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota DB7 Oronero,2012,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1098.0 ccm (67.00 cubic inches),"V2, four-stroke",104.0 x 64.5 mm (4.1 x 2.5 inches),"Injection. Walbro electronic injection, 60 mm throttle body",,Wet sump,Liquid,6-speed,Chain   (final drive),"Dry, multi-disc",,,25.0°,"Marzocchi Corse RAC 43mm fork with DLC Fully adjustable for compression, rebound and pre-load",120 mm (4.7 inches),"Extreme Tech 2T4V shock Fully adjustable for compression, rebound, pre-load plus low and high speed damping adjustment",120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. Radial caliper Brembo 4-Pistons, 4-Pads",230 mm (9.1 inches),Single disc. 2-pistons callipers,174.0 kg (383.6 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1430 mm (56.3 inches),18.00 litres (4.76 US gallons),Black,Electric,Ducati 1098 Testastretta Evoluzione engine. 90° ´L´ twin.,160.0 HP (116.8  kW)) @ 9750 RPM,123.0 Nm (12.5 kgf-m or 90.7 ft.lbs) @ 8000 RPM,12.5:1,4,Desmodromic valve control,,,100 mm (3.9 inches),,1115 mm (43.9 inches),2040 mm (80.3 inches),730 mm (28.7 inches),,,,Front: 3.5´x17´ Forged Bimota Al Alloy Rear: 6.0´x17´ Forged Bimota Al Alloy,0.9195 HP/kg,,"2 in 1 in 1, Titanium silencer.",,,,,5.00 litres (1.32 US gallons),,3.00 litres (3.17 US quarts),,,,,,,,,,,,,,10700,,,
Motorhispania Duna 125 Off Road,2012,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni VM 20,C.D.I.,,Air,,Chain   (final drive),"Wet, multidisk",,Delta box double steel beam,,"Paioli advanced axle, 37 mm",,Paioli mono shock absorber,,90/90-21 ,120/80-18 ,Single disc. Tecme,200 mm (7.9 inches),Single disc. Tecme,105.0 kg (231.5 pounds),"910 mm (35.8 inches) If adjustable, lowest setting.",,1350 mm (53.1 inches),7.80 litres (2.06 US gallons),Blue,Electric & kick,124 4T E3,12.0 HP (8.8  kW)) @ 8600 RPM,,10.0:1,4,Single Overhead Cams (SOHC),,,,114.0 kg (251.3 pounds),,2010 mm (79.1 inches),,24 months and unlimited mileage,"Motorhispania, also called MH Motorcycles, is a Spanish brand.",,,0.1143 HP/kg,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Dinli DL 902,2012,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,448.0 ccm (27.34 cubic inches),"Single cylinder, four-stroke",,Carburettor. BSR42,CDI,Oil Pump,,5-speed,Belt   (final drive),"Manual Release, Multi-Plate",,,,Dual A-arm,168 mm (6.6 inches),Swing Arm,197 mm (7.8 inches),22/8-10 ,22/11-9 ,Double disc,,Single disc,220.0 kg (485.0 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",310 mm (12.2 inches),1260 mm (49.6 inches),12.80 litres (3.38 US gallons),Metallic Blue/Metallic Orange/Metallic Black/Metallic Red,Electric,Hemispherical Combustion Chamber,45.1 HP (32.9  kW)) @ 8250 RPM,41.2 Nm (4.2 kgf-m or 30.4 ft.lbs) @ 7500 RPM,10.8:1,,Double Overhead Cams/Twin Cam (DOHC),,,,,1110 mm (43.7 inches),1942 mm (76.5 inches),1110 mm (43.7 inches),,Made in Taiwan.,105.0 km/h (65.2 mph),,0.2048 HP/kg,,,,,,,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,
Sym Wolf SB250Ni,2012,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.4 ccm (15.22 cubic inches),"Single cylinder, four-stroke",,Injection. E.F.I.,,,Liquid,6-speed,Chain   (final drive),,,,,Telescopic fork,,Unit swing arm,,110/70-17 ,140/70-17 ,Single disc,222 mm (8.7 inches),Single disc,173.0 kg (381.4 pounds),,,1320 mm (52.0 inches),14.00 litres (3.70 US gallons),"Grey, blue, black, white, red, yellow",Electric,Balance shaft for vibration reduction.,24.7 HP (18.0  kW)),,,4,,,,,,1150 mm (45.3 inches),2005 mm (78.9 inches),790 mm (31.1 inches),,,,,0.1426 HP/kg,,,,,,Euro 3,,12V 60/55W headlights,,,,,,,,,,,,,,,,,,
E-Ton Yukon ST EXL-150,2012,ATV," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",149.5 ccm (9.12 cubic inches),"Single cylinder, four-stroke",57.4 x 57.8 mm (2.3 x 2.3 inches),Carburettor,C.D.I.,,Air,,Belt   (final drive),,CVT,,,A-Arm  and  Adjustable shocks,50 mm (2.0 inches),Swing Arm  and  Adjustable shocks,85 mm (3.3 inches),21/7-10 ,22/10-10 ,Double disc. Hydraulic,130 mm (5.1 inches),Expanding brake (drum brake),176.0 kg (388.0 pounds),"730 mm (28.7 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1150 mm (45.3 inches),6.50 litres (1.72 US gallons),"Green , Red , Blue , Silver",Electric & kick,,,,9.7:1,,,,,,,1065 mm (41.9 inches),1750 mm (68.9 inches),1010 mm (39.8 inches),,,70.0 km/h (43.5 mph),BATTERY,,,,,,,,,,,,,,,,,,,,,,,,,,,
