Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,0-100 km/h (0-62 mph),Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Overall length,Wheelbase,Fuel capacity,Starter,Frame type,Rake (fork angle),Trail,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Ground clearance,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Color options,Max RPM,Reserve fuel capacity,Overall height,Overall width,Comments,Lubrication system,Clutch,Front wheel travel,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,Wheels,Seat,Instruments,Light,Carrying capacity,Factory warranty
Honda CB 900 F Bol d`Or,1980,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",901.0 ccm (54.98 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 9000 RPM,,213.0 km/h (132.4 mph),,8.8:1,64.5 x 69.0 mm (2.5 x 2.7 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),,,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX 250,1980,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,,118.0 km/h (73.3 mph),,8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,115.0 kg (253.5 pounds),,,9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 E Bonneville,1980,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,,176.0 km/h (109.4 mph),,9.0:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,4.10-19 ,4.10-18 ,Single disc,Single disc,206.0 kg (454.2 pounds),,,18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SP400,1980,Trial," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",396.0 ccm (24.16 cubic inches),"Single cylinder, four-stroke",,,,,,88.0 x 65.2 mm (3.5 x 2.6 inches),2,Carburettor,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),30-48-10.5  225cc,"PART CODE 20340006, SPEC 340-A",2.75-21 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Kick,single downtube frame,,,,,127.0 kg (280.0 pounds),,,,1.90 litres (2.01 US quarts),,,,,,,,,,,Red or Blue or Silver,,,,,,,,,,,,,,,,,,
Suzuki TS 250 ER,1980,Trial," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.5 HP (12.0  kW)) @ 6000 RPM,,107.0 km/h (66.5 mph),,7.0:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,,Membrane,,Air,5-speed,Chain   (final drive),,,3.00-21 ,4.60-18 ,Expanding brake,Expanding brake,133.0 kg (293.2 pounds),,,7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 SP,1980,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,,181.0 km/h (112.5 mph),,9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,100/90-18 ,110/90-18 ,Dual disc,Single disc,252.0 kg (555.6 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 Le Mans II,1980,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",82.0 HP (59.9  kW)) @ 7500 RPM,,220.0 km/h (136.7 mph),,9.6:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,100/90-18 ,110/90-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),,,22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1340 Electra Glide,1980,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6000 RPM,,150.0 km/h (93.2 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,5.10-16 ,5.10-16 ,Single disc,Single disc,345.0 kg (760.6 pounds),,,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 50 II,1980,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)) @ 7400 RPM,,168.0 km/h (104.4 mph),,10.8:1,74.0 x 57.0 mm (2.9 x 2.2 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,90/90-18 ,100/90-18 ,Dual disc,Single disc,183.0 kg (403.4 pounds),,,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 N (reduced effect),1980,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,137.0 km/h (85.1 mph),,9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.60-19 ,4.10-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 S (spoked wheels),1980,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,,135.0 km/h (83.9 mph),,9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,4.00-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 LTD,1980,Allround," 4.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",74.0 HP (54.0  kW)) @ 9000 RPM,,179.0 km/h (111.2 mph),,9.0:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,130/90-16 ,Dual disc,Single disc,226.0 kg (498.2 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35 Imola,1980,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,150.0 km/h (93.2 mph),,10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,90/90-18 ,100/90-18 ,Dual disc,Single disc,181.0 kg (399.0 pounds),,,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 G 5,1980,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,,157.0 km/h (97.6 mph),,9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,100/90-18 ,110/90-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet De Luxe,1980,Allround," 4.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,,110.0 km/h (68.4 mph),,6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SR 370,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,370.0 ccm (22.58 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5950 RPM,,108.0 km/h (67.1 mph),,8.9:1,85.0 x 65.2 mm (3.3 x 2.6 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),,,8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 T,1980,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,,165.0 km/h (102.5 mph),,11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,100/90-18 ,4.00-18 ,Dual disc,Single disc,184.0 kg (405.7 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 G,1980,Touring," 4.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8500 RPM,,206.0 km/h (128.0 mph),,9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,Carburettor. Mikuni BS 34 SS - 4,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.50-19 ,4.50-17 ,Double disc. 1-piston calipers,Single disc. 2-piston calipers,,,,22.00 litres (5.81 US gallons),Electric,,40.0°,,,295 mm (11.6 inches),255.0 kg (562.2 pounds),0.3529 HP/kg,,,,,,,,,,,,,,"BLACK, RED METALIZED, GREY METALIZED",9000,4.20 litres (1.11 US gallons),,,,,,,,,,,,,,,,
Harley-Davidson FXE 1340 Super Glide,1980,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,165.0 km/h (102.5 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,3.75-19 ,5.10-16 ,Dual disc,Single disc,282.0 kg (621.7 pounds),,,13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 500,1980,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",496.0 ccm (30.27 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 8200 RPM,,167.0 km/h (103.8 mph),,9.2:1,72.0 x 61.0 mm (2.8 x 2.4 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,100/90-18 ,110/90-18 ,Dual disc,Single disc,189.0 kg (416.7 pounds),,,13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 440 LTD,1980,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",444.0 ccm (27.09 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,,154.0 km/h (95.7 mph),,9.2:1,67.5 x 62.0 mm (2.7 x 2.4 inches),2,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.25-19 ,130/90-16 ,Single disc,Expanding brake,184.0 kg (405.7 pounds),,,12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 400 S,1980,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",396.0 ccm (24.16 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,128.0 km/h (79.5 mph),,9.3:1,88.0 x 65.2 mm (3.5 x 2.6 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.00-21 ,4.60-18 ,Expanding brake,Expanding brake,141.0 kg (310.9 pounds),,,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 V,1980,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,,153.0 km/h (95.1 mph),,10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,,Overhead Valves (OHV),,Air,6-speed,Chain   (final drive),,,3.25-18 ,4.10-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV 125,1980,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 6000 RPM,,92.0 km/h (57.2 mph),,6.3:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,5.40-14 ,6.70-10 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),,,5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650,1980,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",71.0 HP (51.8  kW)) @ 9400 RPM,,197.0 km/h (122.4 mph),,9.2:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-19 ,120/90-18 ,Dual disc,Expanding brake,231.0 kg (509.3 pounds),,,20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 250 T,1980,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",,,,,,,,Carburettor,,,Air,,Chain   (final drive),,,,,Single disc,,,2075 mm (81.7 inches),1370 mm (53.9 inches),,Electric,,,,,,158.0 kg (348.3 pounds),,,140 mm (5.5 inches),,,,,,,,,,,,,,,1155 mm (45.5 inches),885 mm (34.8 inches),,,,,,,,,,,,,,
Harley-Davidson FXB 1340 Sturgis,1980,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,170.0 km/h (105.6 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,,Overhead Valves (OHV),,Air,4-speed,Belt   (final drive),,,3.75-19 ,5.10-16 ,Dual disc,Single disc,278.0 kg (612.9 pounds),,,15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 3,1980,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,,180.0 km/h (111.8 mph),,9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,100/90-18 ,110/90-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KDX 175,1980,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,,114.0 km/h (70.8 mph),,7.6:1,66.0 x 50.6 mm (2.6 x 2.0 inches),,,Membrane,,Air,6-speed,Chain   (final drive),,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,109.0 kg (240.3 pounds),,,10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT 250,1980,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,,,White/Black accents,,,,,Front number plate doubled as a quart canteen.,,,,,,,,,,,,,
MuZ TS 125,1980,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,,100.0 km/h (62.1 mph),,10.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,,Port control,,Air,4-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Expanding brake,Expanding brake,127.0 kg (280.0 pounds),,,12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 1100,1980,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1101.0 ccm (67.18 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 8500 RPM,,215.0 km/h (133.6 mph),,9.2:1,71.5 x 68.6 mm (2.8 x 2.7 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.50-19 ,4.50-17 ,Dual disc,Single disc,286.0 kg (630.5 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 C Sport,1980,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 9300 RPM,,120.0 km/h (74.6 mph),,10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Dual disc,Single disc,115.0 kg (253.5 pounds),,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 CS,1980,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,194.0 km/h (120.5 mph),,9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,232.0 kg (511.5 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 K,1980,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",77.0 HP (56.2  kW)) @ 9000 RPM,,200.0 km/h (124.3 mph),,9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,256.0 kg (564.4 pounds),,,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 45 (reduced effect),1980,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,141.0 km/h (87.6 mph),,8.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-18 ,4.00-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha AG 200,1980,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,,,,39.0 x 0.0 mm (1.5 x  inches),,,,cdi,Air,5-speed,Chain   (final drive),,monoshock,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,,,,,,white/red,,,,,,wet sump,,,,,,,,,,,,
Kawasaki Z 1000 ST,1980,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",97.0 HP (70.8  kW)) @ 8000 RPM,,214.0 km/h (133.0 mph),,8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.50-19 ,4.50-17 ,Dual disc,Single disc,276.0 kg (608.5 pounds),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SST 125,1980,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,,104.0 km/h (64.6 mph),,10.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,3.00-19 ,3.50-18 ,Single disc,Expanding brake,116.0 kg (255.7 pounds),,,10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic TX 150 Caballero,1980,Cross / motocross," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,,105.0 km/h (65.2 mph),,12.4:1,55.2 x 52.0 mm (2.2 x 2.0 inches),,,Port control,,Air,6-speed,Chain   (final drive),,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,115.0 kg (253.5 pounds),,,8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bultaco Streaker 125,1980,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",119.0 ccm (7.26 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,,116.0 km/h (72.1 mph),,12.0:1,54.2 x 51.5 mm (2.1 x 2.0 inches),,,Port control,,Air,6-speed,Chain   (final drive),,,2.50-18 ,2.75-18 ,Single disc,Single disc,94.0 kg (207.2 pounds),,,10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TR 7 RV Tiger,1980,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,,172.0 km/h (106.9 mph),,7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,4.10-19 ,4.10-18 ,Single disc,Single disc,197.0 kg (434.3 pounds),,,18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 654,1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,605.0 ccm (36.92 cubic inches),"In-line four, four-stroke",62.0 HP (45.3  kW)) @ 8650 RPM,,190.0 km/h (118.1 mph),,9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.25-18 ,3.50-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 4,1980,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,,178.0 km/h (110.6 mph),,9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,100/90-18 ,110/90-18 ,Dual disc,Single disc,255.0 kg (562.2 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
