Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Torque,Exhaust system,Diameter,Comments,Driveline,Electrical,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Wheels,Seat,Modifications compared to previous model,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Fork tube size
Suzuki GS 750 E,1979,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 8800 RPM,198.0 km/h (123.0 mph),8.7:1,65.0 x 56.4 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,253.0 kg (557.8 pounds),18.00 litres (4.76 US gallons),,Carburettor,Electric,,,,,,,,,Kayba telescopic fork,,Dual shocks,,223.0 kg (491.6 pounds),0.2825 HP/kg,,1170 mm (46.1 inches),2225 mm (87.6 inches),870 mm (34.3 inches),,1490 mm (58.7 inches),,,"Blue, red, black",60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 8250 RPM,,292 mm (11.5 inches),,96-link O-ring chain.,,,,,,,,,,,,,,,
Yamaha XS 650,1979,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 6800 RPM,181.0 km/h (112.5 mph),8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,227.0 kg (500.4 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T140D,1979,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"Twin, four-stroke",,,,,,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 500,1979,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 8250 RPM,178.0 km/h (110.6 mph),8.5:1,73.0 x 59.6 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,210.0 kg (463.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 (reduced effect),1979,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,175.0 km/h (108.7 mph),9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250,1979,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 7200 RPM,145.0 km/h (90.1 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,158.0 kg (348.3 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 500 S,1979,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,135.0 km/h (83.9 mph),8.6:1,89.0 x 80.0 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-23 ,4.60-18 ,Expanding brake,Expanding brake,142.0 kg (313.1 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GP 125,1979,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8000 RPM,117.0 km/h (72.7 mph),6.9:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Rotary valves,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,103.0 kg (227.1 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 G 5,1979,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,157.0 km/h (97.6 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1979,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,213.0 km/h (132.4 mph),9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,4.25-18 ,Dual disc,Expanding brake,225.0 kg (496.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 (reduced effect),1979,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic TX 150 Caballero,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,105.0 km/h (65.2 mph),12.4:1,55.2 x 52.0 mm (2.2 x 2.0 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,115.0 kg (253.5 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KM 100,1979,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 6500 RPM,86.0 km/h (53.4 mph),7.3:1,49.5 x 51.8 mm (1.9 x 2.0 inches),,Rotary valves,Air,5-speed,Chain   (final drive),2.50-16 ,3.00-14 ,Expanding brake,Expanding brake,89.0 kg (196.2 pounds),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Alpino 500,1979,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",44.0 HP (32.1  kW)) @ 8000 RPM,,,72.0 x 61.0 mm (2.8 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,,Chain   (final drive),90/90-17 ,110/90-18 ,Double disc,Single disc,,14.00 litres (3.70 US gallons),,,,CDI,,,,,,,,Telescopic,,Marzocchi 5-Way Adjustable Shocks,,175.0 kg (385.8 pounds),0.2514 HP/kg,,,,,,,,,Orange,,,260 mm (10.2 inches),,,,,,,,,,,,,,,,,
Moto Morini 125 T,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 9000 RPM,110.0 km/h (68.4 mph),11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,115.0 kg (253.5 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 350 RS,1979,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9200 RPM,148.0 km/h (92.0 mph),10.0:1,50.0 x 44.0 mm (2.0 x 1.7 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-18 ,100/90-18 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLS 1000 Roadster,1979,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,170.0 km/h (105.6 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Dual disc,Single disc,245.0 kg (540.1 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda MT 50,1979,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",7.0 HP (5.1  kW)) @ 9000 RPM,,7.6:1,39.0 x 41.1 mm (1.5 x 1.6 inches),,,Air,,Chain   (final drive),2.50-19 ,3-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,6.80 litres (1.80 US gallons),,Carburettor. Keihin 13mm PF05B,Kick,CDI,,,,,,,,Hydraulic fork 27mm,,Dual dampers preload adjustable,,,,,,,,,,,,Red,5.4 Nm (0.6 kgf-m or 4.0 ft.lbs) @ 6000 RPM,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLT 1340 Tour Glide,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5800 RPM,165.0 km/h (102.5 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Dual disc,Single disc,355.0 kg (782.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 200,1979,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,121.0 km/h (75.2 mph),9.0:1,66.0 x 58.0 mm (2.6 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-17 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 SE,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 8000 RPM,104.0 km/h (64.6 mph),10.0:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,129.0 kg (284.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 S,1979,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,111.0 km/h (69.0 mph),9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-23 ,4.60-18 ,Expanding brake,Expanding brake,132.0 kg (291.0 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanglas 400 F,1979,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",422.0 ccm (25.75 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 5800 RPM,136.0 km/h (84.5 mph),7.5:1,82.5 x 79.0 mm (3.2 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Expanding brake,186.0 kg (410.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 S,1979,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 10000 RPM,116.0 km/h (72.1 mph),9.4:1,56.5 x 49.5 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-17 ,Single disc,Expanding brake,105.0 kg (231.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 500R,1979,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",32.0 HP (23.4  kW)) @ 6500 RPM,,8.6:1,88.9 x 78.7 mm (3.5 x 3.1 inches),,Single Overhead Cams (SOHC),Air,,Chain   (final drive),3-21 ,4.10-17 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,Carburettor,,,,,,,,,,"Telescopic, Showa",,Pro-link Showa Damper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXS 1200 Low Rider,1979,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,170.0 km/h (105.6 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,5.10-16 ,Dual disc,Single disc,280.0 kg (617.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 S,1979,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7250 RPM,189.0 km/h (117.4 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,237.0 kg (522.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 45 (reduced effect),1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,141.0 km/h (87.6 mph),8.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 500,1979,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,180.0 km/h (111.8 mph),9.5:1,55.0 x 52.4 mm (2.2 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 1100 Grand Prix,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1066.0 ccm (65.05 cubic inches),"In-line four, four-stroke",119.0 HP (86.9  kW)) @ 10200 RPM,237.0 km/h (147.3 mph),10.5:1,74.0 x 62.0 mm (2.9 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 400 LTD,1979,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 8500 RPM,151.3 km/h (94.0 mph),9.5:1,64.0 x 62.0 mm (2.5 x 2.4 inches),2,Single Overhead Cams (SOHC),Air,6-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake (drum brake),,12.00 litres (3.17 US gallons),9000,Carburettor. Keihin VB32SS x2,Electric & kick,,Wet sump,Wet multi disk,,,,27.0°,104 mm (4.1 inches),Telescopic fork,,Swingarm,,170.0 kg (374.8 pounds),0.2118 HP/kg,,,2080 mm (81.9 inches),,125 mm (4.9 inches),1371 mm (54.0 inches),1.89 litres (0.50 US gallons),2.90 litres (3.06 US quarts),,31.2 Nm (3.2 kgf-m or 23.0 ft.lbs) @ 7000 RPM,2 in to 2,180 mm (7.1 inches),,,,,,,,,,,,,,,,,
Suzuki TS 125 ER,1979,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6400 RPM,110.0 km/h (68.4 mph),6.7:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Air,6-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,106.0 kg (233.7 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 850 G,1979,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",843.0 ccm (51.44 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9000 RPM,198.0 km/h (123.0 mph),8.8:1,69.0 x 56.4 mm (2.7 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,273.0 kg (601.9 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-10 36,1979,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This model was made by Dnepr 1975-1984 in Kiev.,,,,,,,,,,,,,,,,
Kawasaki KE 175,1979,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,113.0 km/h (70.2 mph),6.0:1,62.5 x 57.0 mm (2.5 x 2.2 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,116.0 kg (255.7 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 400,1979,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, two-stroke",43.0 HP (31.4  kW)) @ 7500 RPM,175.0 km/h (108.7 mph),6.0:1,64.0 x 62.0 mm (2.5 x 2.4 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,175.0 kg (385.8 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 100,1979,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, four-stroke",,,,,2,,Air,5-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,,,Carburettor,Kick,,,,,,steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 K,1979,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",77.0 HP (56.2  kW)) @ 9000 RPM,200.0 km/h (124.3 mph),9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,256.0 kg (564.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 125,1979,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,100.0 km/h (62.1 mph),6.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,106.0 kg (233.7 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NR500,1979,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.5 ccm (30.48 cubic inches),"Twin, four-stroke",100.0 HP (73.0  kW)),281.6 km/h (175.0 mph),,,,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,,,Single disc,Single disc,,,,Carburettor. Quadruple double-choke ,,,,,,,Monocoque,,,Telescopic fork,,,,130.0 kg (286.6 pounds),0.7692 HP/kg,,,,,,,,,Red/White,,,,,,,,,,,,,,,,,,,,
Suzuki GS 550 E,1979,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",549.0 ccm (33.50 cubic inches),"In-line four, four-stroke",49.0 HP (35.8  kW)) @ 9000 RPM,184.0 km/h (114.3 mph),8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Single disc,218.0 kg (480.6 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 400 MX,1979,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",397.0 ccm (24.22 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 5600 RPM,136.0 km/h (84.5 mph),6.4:1,85.0 x 70.0 mm (3.3 x 2.8 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,141.0 kg (310.9 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 125 Military,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,94.0 km/h (58.4 mph),9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
