Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Alternate seat height,Starter,Max RPM,Fuel consumption,Greenhouse gases,Fuel capacity,Compression,Fuel control,0-100 km/h (0-62 mph),Bore x stroke,Fuel system,Front tire,Rear tire,Wheelbase,Reserve fuel capacity,Color options,Comments,Ignition,Driveline,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Wheels,"Weight incl. oil, gas, etc",Oil filter,Battery,Spark plugs,Belt teeth,Belt width,Lubrication system,Clutch,Frame type,1/4 mile (0.4 km),Ground clearance,Exhaust system,Oil capacity,Engine oil,Brake fluid,Coolant,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Electrical,Overall height,Overall width,Carrying capacity
BMW R 1100 RT,1998,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,200.0 km/h (124.3 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,196.0 kg (432.1 pounds),0.4592 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.","820 mm (32.3 inches) If adjustable, highest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell S3 Thunderbolt,1998,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 6000 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5400 RPM,210.0 km/h (130.5 mph),2,Air,5-speed,Belt   (final drive),Single disc,Single disc,204.0 kg (449.7 pounds),0.4216 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ 660 Skorpion Replica,1998,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),184.0 km/h (114.3 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,185.0 kg (407.9 pounds),0.2595 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ 660 Skorpion Sport,1998,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),180.0 km/h (111.8 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,171.0 kg (377.0 pounds),0.2807 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Diesel,1998,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",325.0 ccm (19.83 cubic inches),Diesel,7.0 HP (5.1  kW)) @ 2500 RPM,15.0 Nm (1.5 kgf-m or 11.1 ft.lbs),,,,4-speed,Chain   (final drive),,,175.0 kg (385.8 pounds),0.0400 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Style,1998,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,350.0 ccm (21.36 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,Air,4-speed,Chain   (final drive),Single disc,Single disc,149.0 kg (328.5 pounds),0.1544 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZX 750 Fazer,1998,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",88.0 HP (64.2  kW)) @ 9500 RPM,76.0 Nm (7.7 kgf-m or 56.1 ft.lbs) @ 8000 RPM,,,Liquid,6-speed,,Dual disc,Single disc,204.0 kg (449.7 pounds),0.4314 HP/kg,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell S3T Thunderbolt,1998,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",101.0 HP (73.7  kW)) @ 6000 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5400 RPM,200.0 km/h (124.3 mph),2,Air,5-speed,Belt   (final drive),Single disc. Six-piston calipers. ,Single disc. Two-piston calipers. ,211.0 kg (465.2 pounds),0.4787 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",,Electric,,,,20.40 litres (5.39 US gallons),10.0:1,,,88.8 x 96.8 mm (3.5 x 3.8 inches),"Injection. Fuel injection,  43 mm throttle bodies",120/70-ZR17 ,170/60-ZR17 ,1397 mm (55.0 inches),,"Silver, red, black",,Electronic,Kevlar belt,24.5°,97 mm (3.8 inches),"40 mm Showa fork, adjustable for compression and rebound damping",120 mm (4.7 inches),"Single Showa shock, spring preload, compression and preload damping",116 mm (4.6 inches),230 mm (9.1 inches),Hollow 3-spoke cast wheels,233.0 kg (513.7 pounds),K & N   - KN-170,YTX14-BS,DCPR7E,128,1 1/8 in,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 S Virago,1998,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,Expanding brake,139.0 kg (306.4 pounds),0.1223 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 650 Super Bullet,1998,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",624.0 ccm (38.08 cubic inches),"Single cylinder, four-stroke",30.0 HP (21.9  kW)) @ 5500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 3000 RPM,,,,4-speed,Chain   (final drive),Expanding brake,Expanding brake,175.0 kg (385.8 pounds),0.1714 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Springer,1998,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,,284.0 kg (626.1 pounds),0.1972 HP/kg,"663 mm (26.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs ZZ 125,1998,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7750 RPM,14.0 Nm (1.4 kgf-m or 10.3 ft.lbs),,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,108.0 kg (238.1 pounds),0.1389 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 800 S,1998,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",779.0 ccm (47.53 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),59.0 Nm (6.0 kgf-m or 43.5 ft.lbs),,,,5-speed,Chain   (final drive),Single disc,Single disc,201.0 kg (443.1 pounds),0.2488 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim VS 125,1998,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,,,,Air,5-speed,Chain   (final drive),Single disc,,130.0 kg (286.6 pounds),0.0846 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SLR 650,1998,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),150.0 km/h (93.2 mph),4,Air,5-speed,Chain   (final drive),Single disc,Single disc,161.0 kg (354.9 pounds),0.2733 HP/kg,"845 mm (33.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 3300 RPM,175.0 km/h (108.7 mph),4,Liquid,4-speed,Shaft drive (cardan)   (final drive),Single disc,Single disc,292.0 kg (643.7 pounds),0.2192 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Caballero,1998,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7000 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 5800 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,103.0 kg (227.1 pounds),0.1456 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200,1998,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",108.0 HP (78.8  kW)) @ 9000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 5000 RPM,220.0 km/h (136.7 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,235.0 kg (518.1 pounds),0.4596 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C2 Shadow ACE,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 4500 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 2500 RPM,,3,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,Single disc,261.0 kg (575.4 pounds),0.1916 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Tramp,1998,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,Air,4-speed,Chain   (final drive),Single disc,Single disc,149.0 kg (328.5 pounds),0.1544 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRM 250 AR,1998,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",40.0 HP (29.2  kW)),,,,Liquid,6-speed,Chain   (final drive),,,,,,,,,,,,,Membrane & power valve,,,"Carburettor. Carb., Active Radical Combustion",,,,,,,,,,,,,,,,,,,,,,,Seperate,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 Drag Star Classic,1998,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 3000 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,,230.0 kg (507.1 pounds),0.1739 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Canyon 600,1998,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",601.0 ccm (36.67 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,44.0 Nm (4.5 kgf-m or 32.5 ft.lbs) @ 4500 RPM,,,,5-speed,Chain   (final drive),Single disc,Single disc,165.0 kg (363.8 pounds),0.2061 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic Touring,1998,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 3300 RPM,170.0 km/h (105.6 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,299.0 kg (659.2 pounds),0.2140 HP/kg,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 Biposto,1998,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",109.0 HP (79.6  kW)) @ 9000 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 7000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,198.0 kg (436.5 pounds),0.5505 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs XTC-N 125,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 7750 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,115.0 kg (253.5 pounds),0.1304 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750,1998,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)) @ 9500 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 8500 RPM,200.0 km/h (124.3 mph),4,Oil & air,6-speed,Chain   (final drive),Dual disc,Single disc,201.0 kg (443.1 pounds),0.4279 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 750,1998,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",738.0 ccm (45.03 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9500 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 7300 RPM,200.0 km/h (124.3 mph),2,Air,5-speed,Chain   (final drive),Dual disc,Single disc,201.0 kg (443.1 pounds),0.3582 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 600 E,1998,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",55.0 HP (40.1  kW)),,,,,6-speed,Chain   (final drive),Single disc,Single disc,110.0 kg (242.5 pounds),0.5000 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horex Imperator 125,1998,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 9500 RPM,,,,Air,5-speed,Chain   (final drive),Single disc,,111.0 kg (244.7 pounds),0.0811 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju RR 125 Fun Bike,1998,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",9.5 HP (6.9  kW)) @ 7200 RPM,,80.0 km/h (49.7 mph),,Liquid,6-speed,Chain   (final drive),Single disc. AJP,Single disc. AJP 2 piston,95.0 kg (209.4 pounds),0.1000 HP/kg,,,Kick,,,,5.50 litres (1.45 US gallons),9.0:1,Membrane,,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor. Dell´Ortho PHBL 26,80/69-j56 ,110/62-61j ,,,Black,Cooling has no fan! Gasgas trials engine. Very rear due to engine over heating. Quick off the mark!,electric,,,,Inverted forks 32mm Showa®,,Monoshock  Gas,,185 mm (7.3 inches),,,,,,,,,Wet Plate,Tubeular,,,,,,,,,,,,,,,,,,,
MuZ 660 Skorpion Tour,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),180.0 km/h (111.8 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,171.0 kg (377.0 pounds),0.2807 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST2,1998,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",944.0 ccm (57.60 cubic inches),"V2, four-stroke",83.0 HP (60.6  kW)),,225.0 km/h (139.8 mph),2,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,212.0 kg (467.4 pounds),0.3915 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 883 Sportster Standard,1998,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 4100 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),Single disc,,222.0 kg (489.4 pounds),0.2252 HP/kg,"711 mm (28.0 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 Monster Dark,1998,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",51.0 HP (37.2  kW)) @ 8000 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 6000 RPM,180.0 km/h (111.8 mph),2,Air,5-speed,Chain   (final drive),Single disc,Single disc,174.0 kg (383.6 pounds),0.2931 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,1998,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 5000 RPM,,,,5-speed,Chain   (final drive),Single disc,Single disc,168.0 kg (370.4 pounds),0.2500 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 620 LSE,1998,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,,155.0 km/h (96.3 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,140.0 kg (308.6 pounds),0.3571 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Roadster 125,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"V2, four-stroke",15.0 HP (10.9  kW)),,,,Air,5-speed,Chain   (final drive),Single disc,,135.0 kg (297.6 pounds),0.1111 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VL 1500 Intruder Legendary Classic,1998,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1462.0 ccm (89.21 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 4800 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 2300 RPM,160.0 km/h (99.4 mph),3,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,,292.0 kg (643.7 pounds),0.2295 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 LT High Line,1998,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5500 RPM,210.0 km/h (130.5 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,265.0 kg (584.2 pounds),0.3774 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1500 Gold Wing SE,1998,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5200 RPM,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 4000 RPM,190.0 km/h (118.1 mph),2,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,372.0 kg (820.1 pounds),0.2688 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Heritage Classic,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,,317.0 kg (698.9 pounds),0.1767 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 620 Duke,1998,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 5500 RPM,165.0 km/h (102.5 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,149.0 kg (328.5 pounds),0.3356 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,1998,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)),60.0 Nm (6.1 kgf-m or 44.3 ft.lbs),180.0 km/h (111.8 mph),3,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,207.0 kg (456.4 pounds),0.2899 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
