Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Instruments,Comments,Driveline,Carrying capacity,Wheels,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,"Weight incl. oil, gas, etc",Oil capacity,Light,Top speed,Emission details,Factory warranty,Reserve fuel capacity,Seat,Electrical,0-100 km/h (0-62 mph),Alternate seat height,Max RPM,Modifications compared to previous model,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Engine oil,Chain size,1/4 mile (0.4 km),Chain links,Sprockets
Yamaha TMAX Bronze Max ABS,2014,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",45.9 HP (33.5  kW)) @ 6750 RPM,52.3 Nm (5.3 kgf-m or 38.6 ft.lbs) @ 5250 RPM,10.9:1,66.0 x 73.0 mm (2.6 x 2.9 inches),4,Injection. Electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Digital TCI: Transistor Controlled Ignition,Dry sump,Liquid,Automatic,Belt   (final drive),"Wet, multiple-disc automatic centrifugal",Aluminium,43mm telescopic forks,,Swingarm,,120/70-H15 ,160/60-H15 ,Double disc. ABS,282 mm (11.1 inches),Single disc. ABS,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1445 mm (56.9 inches),2195 mm (86.4 inches),775 mm (30.5 inches),,1580 mm (62.2 inches),15.14 litres (4.00 US gallons),Bronze,Electric,Automotive-style dashboard,2-step adjustable windscreen.,V-belt,Underseat and glovebox storage.,,Forward inclined parallel cylinders,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,227.0 kg (500.4 pounds),,,,,,,Dual,,,,,,,,,,,,,,,,,,,,,,
Daelim B-Bone 125,2014,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 7000 RPM,,10.8:1,56.0 x 50.7 mm (2.2 x 2.0 inches),4,Injection,,Electric/ECU,,Oil & air,Automatic,Chain   (final drive),,Steel Skeleton,Telescopic,,Swing Arm,,120/70-13 ,130/60-13 ,Single disc,,Single disc,130.0 kg (286.6 pounds),0.0885 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,2025 mm (79.7 inches),778 mm (30.6 inches),150 mm (5.9 inches),1350 mm (53.1 inches),7.10 litres (1.88 US gallons),"White, black, red",Electric,Analogue and digital ,,V-matic,,,,,,,,,,,,,Euro III,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung Prima,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)),3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 6500 RPM,7.2:1,41.0 x 37.4 mm (1.6 x 1.5 inches),,Carburettor,,,,Air,Automatic,Belt   (final drive),Centrifugal automatic clutch,,Telescopic fork,, Mono Shock Absorber (Preload adjustable),,110/70-12 ,120/70-12 ,Single disc,162 mm (6.4 inches),Expanding brake (drum brake),88.0 kg (194.0 pounds),0.0568 HP/kg,"737 mm (29.0 inches) If adjustable, lowest setting.",,,,140 mm (5.5 inches),1285 mm (50.6 inches),4.73 litres (1.25 US gallons),"Blue, red",Electric,,Also called SF50B Prima. Made in South Korea.,CVT,Underseat storage,Alloy wheels,,,,,,,,,,,, 2 Year,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST1300 ABS,2014,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1261.0 ccm (76.95 cubic inches),"V4, four-stroke",,,10.8:1,78.0 x 66.0 mm (3.1 x 2.6 inches),4,"Injection. PGM-FI with automatic enricher circuit, four-36mm throttle bodies, 8 holes per injector",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital with 3-D mapping and electronic advance,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,45mm HMAS cartridge fork,117 mm (4.6 inches),HMAS gas-charged single shock with five-position spring-preload adjustability,122 mm (4.8 inches),120/70-ZR18 ,170/60-ZR17 ,Double disc. ABS. Floating discs. ,316 mm (12.4 inches),Single disc. ABS. ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,1491 mm (58.7 inches),29.14 litres (7.70 US gallons),Black,Electric,,Model ID: ST1300A,,,,,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,26.0°,98 mm (3.9 inches),331.0 kg (729.7 pounds),,,,,Three Years. Unlimited milage. Transferable.,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Street Bob Special Edition,2014,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1689.6 ccm (103.10 cubic inches),"V2, four-stroke",,124.8 Nm (12.7 kgf-m or 92.0 ft.lbs) @ 3000 RPM,9.6:1,95.3 x 111.3 mm (3.8 x 4.4 inches),,Injection. ESPFI,,,Dry sump,Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,,,,,100/90-19 ,160/70-17 ,Single disc. 4-piston fixed,,Single disc. 2-piston torque-free floating,289.9 kg (639.0 pounds),,"648 mm (25.5 inches) If adjustable, lowest setting.",,2357 mm (92.8 inches),,125 mm (4.9 inches),1631 mm (64.2 inches),17.79 litres (4.70 US gallons),Black,Electric,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/Gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",A flat Drag-style handlebar replaces the stock mini-ape bar and lowers the bike’s profile.,"Chain, 34/46 ratio primary drive",,Split Five Spoke cast aluminium wheels,"Air-cooled, Twin Cam 103B",5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered, straight-cut shorty exhaust with dual mufflers",29.0°,119 mm (4.7 inches),304.8 kg (672.0 pounds),2.80 litres (2.96 US quarts),"High beam, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system(optional), 6-speed, low fuel warnings",,,,,Badlander® two-up saddle,,,,,,,,,,,,,,,,,,,,,,
Brammo Empulse,2014,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,53.6 HP (39.2  kW)),90.0 Nm (9.2 kgf-m or 66.4 ft.lbs),,,,,,,,Liquid,6-speed,Chain   (final drive),"IET 6 speed gearbox with multi-plate, hydraulic activated wet clutch",Lightweight extruded and welded aluminum - serves a battery tray (patent pending),"OE Spec 43mm inverted forks, adjustable preload, compression  and  rebound",,OE Spec Works Performance Shock with adjustable rebound and preload,,120/70-17 ,180/55-17 ,"Double disc. Nissin 4 piston, fixed caliper",,"Single disc. Brembo Single piston, floating caliper",190.5 kg (420.0 pounds),0.2816 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1067 mm (42.0 inches),2057 mm (81.0 inches),,,,,"Red, black, yellow, silver",Electric,LCD dash,"Brammo Power™ BPM15/90 Lithium-Ion ( NCM Chemistry), 103.6 Volt.  Recharge time approximately 8 hours. Range: 125 km. Under deceleration, energy is returned to the battery system to both extend driving range and provide familiar rider feedback. ",,Optional Brammo hard saddle bags and top trunk.,Cast Aluminum,Sealed Permanent AC Synchronous motor,,,,,,,,,160.9 km/h (100.0 mph),No direct emmisions,"2 Years (Limited Factory Warranty) 1 year Fender-to-Fender Limited Warranty, 2 year Limited Powertrain Warranty (Batteries and Motor) ",,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V Star 950 Tourer,2014,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",942.3 ccm (57.50 cubic inches),"V2, four-stroke",,,9.0:1,85.0 x 83.0 mm (3.3 x 3.3 inches),,Injection,Single Overhead Cams (SOHC),TCI: Transistor Controlled Ignition,Wet sump,Air,5-speed,Belt   (final drive),,Steel double-cradle frame,"Telescopic fork, 5.3-in travel",,"Single shock, 4.3-in travel",,130/70-M18 ,170/70-M16 ,Single disc. Hydraulic. ,298 mm (11.7 inches),Single disc. Hydraulic. ,,,"676 mm (26.6 inches) If adjustable, lowest setting.",1341 mm (52.8 inches),2436 mm (95.9 inches),1001 mm (39.4 inches),,1684 mm (66.3 inches),17.03 litres (4.50 US gallons),Raven,Electric,Tank-mounted speedometer,Windshield,,Saddle bags,8-spoke cast,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,32.0°,145 mm (5.7 inches),298.0 kg (657.0 pounds),,,,,1 Year (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Vity,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",8.6 HP (6.3  kW)) @ 7500 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 6000 RPM,9.5:1,51.5 x 60.0 mm (2.0 x 2.4 inches),2,Injection. EFI,Single Overhead Cams (SOHC),TCI,Wet sump,Air,Automatic,Belt   (final drive),,Steel,Telescopic fork,80 mm (3.1 inches),Unit swing,65 mm (2.6 inches),100/90-10 ,100/90-10 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),104.0 kg (229.3 pounds),0.0825 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",,1860 mm (73.2 inches),670 mm (26.4 inches),95 mm (3.7 inches),1250 mm (49.2 inches),5.50 litres (1.45 US gallons),"Gun smoke, Gun metallic",Electric,"Analogue speedometer,  fuel gauge, and indicator lights",,V-Belt Automatic,Underseat storage. Storage compartment in the steering column. Luggage rack.,,Forward-inclined single cylinder,,,,,,110.0 kg (242.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z1000 Special Edition,2014,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1043.0 ccm (63.64 cubic inches),"In-line four, four-stroke",140.1 HP (102.3  kW)) @ 10000 RPM,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 7300 RPM,11.8:1,77.0 x 56.0 mm (3.0 x 2.2 inches),4,"Injection. DFI  with four 38mm Keihin throttle bodies, oval sub-throttles",Double Overhead Cams/Twin Cam (DOHC),TCBI with Digital Advance,,Liquid,6-speed,Chain   (final drive),,Aluminium twin-tube,"41 mm inverted cartridge fork with stepless compression and rebound damping, adjustable spring preload / 4.7 in.",122 mm (4.8 inches),"Horizontal Back-link, gas-charged, with stepless rebound damping and preload adjustability",120 mm (4.7 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. Optional ABS. Petal-type rotors with radial-mount four-piston calipers.                            ,250 mm (9.8 inches),Single disc. Optional ABS. Petal-type rotor with single-piston caliper.                                     ,,,"815 mm (32.1 inches) If adjustable, lowest setting.",1055 mm (41.5 inches),2046 mm (80.5 inches),790 mm (31.1 inches),,1440 mm (56.7 inches),17.00 litres (4.49 US gallons),Black/white,Electric,Fully digital instrument panel with an orange lens,,,,,,,,,24.5°,104 mm (4.1 inches),220.0 kg (485.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing Airbag,2014,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1832.0 ccm (111.79 cubic inches),"Six cylinder boxer, four-stroke",,,9.8:1,74.0 x 71.0 mm (2.9 x 2.8 inches),2,Injection. Programmed Fuel Injection (PGM-FI),Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,,Liquid,5-speed,Shaft drive (cardan)   (final drive),Multi-plate with diaphragm spring in oil bath,,"45mm cartridge fork with anti-dive system, 4.8 inches travel",,Pro Arm® single-side swingarm with Pro-Link® single shock with computer-controlled spring preload adjustment with two memory presets; 4.1 inches travel,,130/70-R18 ,180/60-R16 ,Double disc. Floating discs. ABS.,316 mm (12.4 inches),Single disc. ABS.,,,"739 mm (29.1 inches) If adjustable, lowest setting.",,,,,1689 mm (66.5 inches),24.98 litres (6.60 US gallons),"Candy Red, Pearl Blue, Black",Electric,,Model ID: GL1800,,"Saddle bags, top box, glovebox",,,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,29.2°,109 mm (4.3 inches),423.2 kg (933.0 pounds),,,,Meets current California Air Resources Board (CARB) and EPA standards.,Three Years. Unlimited milage. Transferable.,,Urethane. Waterproof cover.,,,,,,,,,,,,,,,,,,,,,,
Ural Ranger Tundra,2014,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",38.9 HP (28.4  kW)) @ 5600 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 4000 RPM,,78.0 x 78.0 mm (3.1 x 3.1 inches),,Carburettor,,Electronic,,Air,4-speed,Shaft drive (cardan)   (final drive),Dry double disc,Double loop steel tube,Leading link forks with hydraulic spring shock,,Double sided swinging arm with hydraulic spring shock absorbers - ,,,,Single disc,,Expanding brake (drum brake),350.0 kg (771.6 pounds),0.1111 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2580 mm (101.6 inches),1700 mm (66.9 inches),,,19.00 litres (5.02 US gallons),Dark green,Electric & kick,,"Jerry can, spare wheel, luggage rack, spotlight, shovel",,,3 cross-spoked wheels plus 1 reserve wheel,,7.50 litres/100 km (13.3 km/l or 31.36 mpg),174.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Sym HD 2 125,2014,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",12.7 HP (9.3  kW)) @ 8500 RPM,11.8 Nm (1.2 kgf-m or 8.7 ft.lbs) @ 6500 RPM,,,,,,,,Air,Automatic,Belt   (final drive),,Pipe under bone,Telescopic Fork,,Unit Swing Arm,,100/80-16 ,120/80-16 ,Single disc,220 mm (8.7 inches),Single disc,145.0 kg (319.7 pounds),0.0879 HP/kg,,1240 mm (48.8 inches),2070 mm (81.5 inches),760 mm (29.9 inches),,1320 mm (52.0 inches),5.20 litres (1.37 US gallons),"Grey, Black, Silver, White",Electric,,Made in Taiwan.,CVT,,,,2.33 litres/100 km (42.9 km/l or 100.95 mpg),54.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,100.0 km/h (62.1 mph),,,,,12 V 8Ah (MF) battery.,,,,,,,,,,,,,,,,,,,,,
Znen Miro 125,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",7.6 HP (5.6  kW)) @ 7000 RPM,7.6 Nm (0.8 kgf-m or 5.6 ft.lbs) @ 6500 RPM,9.2:1,,,Carburettor,,,,Liquid,Automatic,Belt   (final drive),,Steel,,,,,70/90-14 ,70/90-14 ,Single disc,,Single disc,95.0 kg (209.4 pounds),0.0804 HP/kg,,1060 mm (41.7 inches),1825 mm (71.9 inches),660 mm (26.0 inches),110 mm (4.3 inches),1243 mm (48.9 inches),18.93 litres (5.00 US gallons),Black,Electric,,Model id:  ZN125T-23. Brand sometimes called ZN-Motor. Made in China. ,,,,,,,,,,,,,85.0 km/h (52.8 mph),,,,,12V9A battery.,,,,,,,,,,,,,,,,,,,,,
Hartford HD200S,2014,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",14.3 HP (10.4  kW)) @ 7500 RPM,10.9 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 6000 RPM,,63.5 x 62.2 mm (2.5 x 2.4 inches),,Carburettor,Overhead Valves (OHV),,,Air,5-speed,Chain   (final drive),,,,,,,90/90-18 ,130/90-18 ,Single disc,200 mm (7.9 inches),Single disc,130.0 kg (286.6 pounds),0.1100 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,1320 mm (52.0 inches),9.00 litres (2.38 US gallons),Black,,,Made in Taiwan.,,Optional top case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Orbit II 50 Naked,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",,,11.8:1,39.0 x 41.5 mm (1.5 x 1.6 inches),,"Carburettor. CV type, 18 mm",Single Overhead Cams (SOHC),,,Air,Automatic,Belt   (final drive),,Pipe under bone,Telescopic Fork,,Unit Swing Arm,,120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),110.0 kg (242.5 pounds),,,1125 mm (44.3 inches),1905 mm (75.0 inches),690 mm (27.2 inches),,1325 mm (52.2 inches),5.20 litres (1.37 US gallons),Black,Electric & kick,,Made in Taiwan.,,,,,,,,,,,,35/35W headlights,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Modena 198,2014,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.6 ccm (27.43 cubic inches),"Single cylinder, four-stroke",,,,98.0 x 59.6 mm (3.9 x 2.3 inches),4,Injection. Indirect injection. Dell’Orto Ø 50mm throttle body.,Double Overhead Cams/Twin Cam (DOHC),Magneti Marelli,Separate lubrication system with one pressure pump and two scavenge pumps,Liquid,6-speed,Chain   (final drive),"Surflex anti-hop clutch, with ergal cover; wet, multiple hydraulically operated plates.",Aluminium alloy Alsi 9 double bean main frame with a twin under mount.,"Ohlins upside-down front suspension fork with 46 mm diameter rods and adjustable compression, rebound and pre-stressing",,Rear swinging fork and Ohlins DPS 46 mm single shock absorber fitted with inert gas cartridge and separator piston.,,120/70-ZR17 ,160/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,120.0 kg (264.6 pounds),,"890 mm (35.0 inches) If adjustable, lowest setting.",1185 mm (46.7 inches),2150 mm (84.6 inches),830 mm (32.7 inches),260 mm (10.2 inches),1048 mm (41.3 inches),8.50 litres (2.25 US gallons),White,Electric & kick,Programmable digital display,Italian made bike.,Primary distribution fitted with sprocket gears,,"Marchesini, in cast aluminium. Dunlop Sportmax tyres.",Titanium valves. Sand casted aluminium engine block.,,,,26.0°,,,,,,"Euro III,  catalytic converter.",,1.00 litres (0.26 US gallons),,12 V - 9Ah battery,,,9000,,,,,,,,,,,,,,,,,,
Triumph Bonneville,2014,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",865.0 ccm (52.78 cubic inches),"Twin, four-stroke",68.0 HP (49.6  kW)) @ 7500 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 5800 RPM,9.2:1,90.0 x 68.0 mm (3.5 x 2.7 inches),,Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,,Air,5-speed,Chain   (final drive),Wet. multi-plate,Tubular steel cradle,"KYB 41mm forks, 120mm travel",,"KYB chromed spring twin shocks with adjustable preload, 100mm rear wheel travel",,100/70-R17 ,130/80-R17 ,Single disc. Nissin 2-piston floating caliper,255 mm (10.0 inches),Single disc. Nissin 2-piston floating caliper,,,"740 mm (29.1 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2115 mm (83.3 inches),790 mm (31.1 inches),,1490 mm (58.7 inches),16.00 litres (4.23 US gallons),"Lunar Silver, Phantom Black, Crystal White/Sapphire Blue
",Electric,"Analogue speedometer with odometer, clock and trip information ",,X ring chain,,"Cast aluminium alloy, 7-spoke",360 degree firing interval,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Stainless steel headers. twin chromed upswept silencers,27.0°,,225.0 kg (496.0 pounds),4.50 litres (4.76 US quarts),,,,,,Traditional King and Queen seat,,,,,,,,,,,,,,,,,,,,,,
Can-Am Outlander 650,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.6 ccm (39.64 cubic inches),"V2, four-stroke",,,,82.0 x 62.0 mm (3.2 x 2.4 inches),4,"Injection. 46 mm Throttle Body, 2 Siemens VDO injectors",Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,Surrounding Spar Technology (SST) G2,Double A-arm,229 mm (9.0 inches),Torsional Trailing arm Independent (TTI),220 mm (8.7 inches),26/8-12 ,26/10-12 ,Double disc. Hydraulic. Two-piston calipers. ,214 mm (8.4 inches),Single disc. Hydraulic. Two-piston calipers. ,329.3 kg (726.0 pounds),,"876 mm (34.5 inches) If adjustable, lowest setting.",1257 mm (49.5 inches),2184 mm (86.0 inches),1168 mm (46.0 inches),279 mm (11.0 inches),1295 mm (51.0 inches),20.44 litres (5.40 US gallons),Red,Electric,Multifunction digital LCD gauge,Digitally Encoded Security System (D.E.S.S.™),Selectable 2WD / 4WD shaft driven with Visco-Lok auto-locking front differential*,,Carlisle Badland tires,Rotax engine,,,,,,,,230-W from twin 60-W projectors and dual 55-W reflectors with tail light / brake light,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TRX400X,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,397.0 ccm (24.22 cubic inches),"Single cylinder, four-stroke",,,12.0:1,85.0 x 70.0 mm (3.3 x 2.8 inches),,,,CD with electronic advance,Dry sump,Air,5-speed,Chain   (final drive),Manual,,"Independent double-wishbone with Showa® shocks, five-position spring preload adjustability; 8.2 inches travel",208 mm (8.2 inches),Pro-Link® fully adjustable single Showa shock; 9.1 inches travel,231 mm (9.1 inches),22/7-10 ,20/10-9 ,Double disc. Hydraulic. ,220 mm (8.7 inches),Single disc,,,"836 mm (32.9 inches) If adjustable, lowest setting.",1118 mm (44.0 inches),1821 mm (71.7 inches),1156 mm (45.5 inches),104 mm (4.1 inches),1217 mm (47.9 inches),9.84 litres (2.60 US gallons),Red,Electric,,Model ID: TRX400X,O-ring-sealed chain,,,,,,,,,185.1 kg (408.0 pounds),,,,Meets current California Air Resources Board (CARB) off-road emissions standards.,One year,,,,,,,,,,,,,,,,,,,,,,,,
Evolve Lithium,2014,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,53.6 HP (39.2  kW)),,,,,,,,,Air,,Chain   (final drive),,,Telecsopic,,Swing arm. Monoshock.,,,,Double disc,,Single disc,104.0 kg (229.3 pounds),0.5158 HP/kg,,1143 mm (45.0 inches),1880 mm (74.0 inches),635 mm (25.0 inches),,1473 mm (58.0 inches),,Black/blue/silver,Electric,,"96v – 110ah LiFe PO4 battery. 3.5 hour recharge time, 110v-240v. Range 100 miles.",,,,,,,,,,,,4 headlights,160.9 km/h (100.0 mph),No direct emission,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Brutale 800 Dragster,2014,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",125.0 HP (91.2  kW)) @ 11600 RPM,81.0 Nm (8.3 kgf-m or 59.7 ft.lbs) @ 8600 RPM,13.3:1,79.0 x 54.3 mm (3.1 x 2.1 inches),4,Injection. Mikuni,Double Overhead Cams/Twin Cam (DOHC),"Integrated ignition - injection system MVICS (Motor  and  Vehicle Integrated Control System) with three injectors Engine control unit Eldor EM2.0, throttle body full drive by wire Mikuni, pencil-coil with ion-sensing technology, control of detonation and ",,Oil & air,6-speed,Chain   (final drive),"Wet, multi-disc with mechanical drive",Mixed steel trellis and aluminium plates for high torsional rigidity,Marzocchi “UPSIDE DOWN” telescopic hydraulic fork with rebound-compression damping and spring preload external and separate adjustment,125 mm (4.9 inches),"Progressive Sachs, single shock absorber with rebound and compression damping and spring preload adjustment",120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. Floating disc, 4-piston",210 mm (8.3 inches),Single disc. 4-piston,167.0 kg (368.2 pounds),0.7485 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,2085 mm (82.1 inches),725 mm (28.5 inches),160 mm (6.3 inches),1380 mm (54.3 inches),16.60 litres (4.39 US gallons),"Matt Metallic Grey, White
",Electric,,,,,Aluminium alloy,,,,,,95 mm (3.7 inches),,,,245.0 km/h (152.2 mph),,,,,,,,13000,,,,,,,,,,,,,,,,,,
Yamaha YZ85,2014,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",85.0 ccm (5.19 cubic inches),"Single cylinder, two-stroke",,,8.2:1,47.5 x 47.8 mm (1.9 x 1.9 inches),,Carburettor. Keihin  PWK 28,,Digital CDI,,Liquid,6-speed,Chain   (final drive),Multiplate,,Inverted fork,274 mm (10.8 inches),Single shock,282 mm (11.1 inches),70/100-17 ,90/100-14 ,Single disc. Hydraulic disc. ,190 mm (7.5 inches),Single disc. Hydraulic disc. ,,,"864 mm (34.0 inches) If adjustable, lowest setting.",1161 mm (45.7 inches),1821 mm (71.7 inches),757 mm (29.8 inches),351 mm (13.8 inches),1257 mm (49.5 inches),4.92 litres (1.30 US gallons),Team Yamaha Blue/White,Electric,,,,,,Reed-valve-inducted,,,Lightweight exhaust,28.0°,,71.2 kg (157.0 pounds),,,,,30 Day (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat TBX 700,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,695.0 ccm (42.41 cubic inches),"Single cylinder, four-stroke",,,,102.0 x 85.0 mm (4.0 x 3.3 inches),,Injection. EFI,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,,Double A-Arm,,Double A-Arm,,25/8-12 ,25/10-12 ,Single disc. Hydraulic. ,,Single disc. Hydraulic. ,357.4 kg (788.0 pounds),,,1219 mm (48.0 inches),2489 mm (98.0 inches),1207 mm (47.5 inches),279 mm (11.0 inches),1473 mm (58.0 inches),21.95 litres (5.80 US gallons),Red,Electric,Digital/Analog Gauge,"Powder-Coated Steel Wheels, Park, Rear 2-Inch Receiver, Front  and  Rear SpeedRacks, Duro 2 Star Kaden Tires.","2/4 WD + Electric Front Differential Lock. Automatic CVT with EBS, Hi/Lo Range, Reverse  and  Park",,Engine Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
