Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Bore x stroke,Front tire,Dry weight,Seat height,Ground clearance,Color options,Seat,Power/weight ratio,"Weight incl. oil, gas, etc",Comments,Valves per cylinder,Torque,Exhaust system,Rake (fork angle),Trail,Oil capacity,Electrical,Alternate seat height,Engine details,1/4 mile (0.4 km),Max RPM,Front wheel travel,Rear wheel travel,Instruments,0-100 km/h (0-62 mph),Modifications compared to previous model,Light,Carrying capacity
Kawasaki W1 SS,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,624.0 ccm (38.08 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,180.0 km/h (111.8 mph),8.7:1,Carburettor. Two,Pushrods,Battery,,Air,4-speed,Chain   (final drive),,,,,Telescopic,Swingarm ,3.50-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1415 mm (55.7 inches),,,74.0 x 72.6 mm (2.9 x 2.9 inches),3.25-19 ,,,,,Dual ,,,,,,,,,,,,,,,,,,,,,
BSA Rocket 3,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",58.0 HP (42.3  kW)) @ 7500 RPM,185.0 km/h (115.0 mph),9.5:1,Carburettor. Amal,Overhead Valves (OHV),Twin coil,Dry sump,Air,4-speed,Chain   (final drive),Dry single plate,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double loop cradle,Telescopic,Swingarm with coil-over shocks,4.10-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Wirespoked,,,,1430 mm (56.3 inches),19.00 litres (5.02 US gallons),Kick,67.0 x 70.0 mm (2.6 x 2.8 inches),4.10-19 ,206.0 kg (454.2 pounds),,178 mm (7.0 inches),Ruby red/silver,Dual seat,0.2816 HP/kg,226.0 kg (498.2 pounds),Also called BSA A75 Rocket III.,,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 6900 RPM,"3-into-2, stainless steel",,,2.80 litres (2.96 US quarts),,,,,,,,,5.50 seconds,,,
Ducati 250 Mark 3D,1968,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,160.0 km/h (99.4 mph),9.7:1,Carburettor,Desmodromic valve control,,Wet sump forced lubrication with gear pump,Air,5-speed,Chain   (final drive),,,,Simplex open cradle tubular steel ,Hydraulic telescopic forks,Swinging arm rear suspension with adjustable hydraulic shocks,3.00-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,2000 mm (78.7 inches),590 mm (23.2 inches),,12.90 litres (3.41 US gallons),,,2.75-18 ,131.0 kg (288.8 pounds),"735 mm (28.9 inches) If adjustable, lowest setting.",,,Dual seat,0.1527 HP/kg,,Price as new 2895DM,2,,,,,,,,,,,120 mm (4.7 inches),70 mm (2.8 inches),,,,,
Hercules K 103 S,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",8.2 HP (6.0  kW)) @ 6000 RPM,95.0 km/h (59.0 mph),,Carburettor. Bing 22mm,,,,Air,,Chain   (final drive),,,,Single cradle,,Swingarm ,2.75-21 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,Kick,48.0 x 54.0 mm (1.9 x 2.1 inches),2.75-21 ,99.0 kg (218.3 pounds),,,,Dual ,0.0828 HP/kg,,,,,,,,,,,,,,,,,,,,
Hodaka Ace 100,1968,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,,,,,,Chain   (final drive),Wet Multi-Disc,,,,Telescopic,Swingarm ,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,55.9 x 53.3 mm (2.2 x 2.1 inches),,49.0 kg (108.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,
BMW R50US,1968,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),7.5:1,Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Steel doble cradle,Cartridge,Twin shock-Swingarm,4.02-18.00 ,Expanding brake (drum brake). Duplex full hub,200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,,980 mm (38.6 inches),2137 mm (84.1 inches),660 mm (26.0 inches),1427 mm (56.2 inches),17.00 litres (4.49 US gallons),Kick,68.0 x 68.0 mm (2.7 x 2.7 inches),3.50-18.00 ,,,,,Dual seat,,195.0 kg (429.9 pounds),,,,,,,,,,,,,,,,,,,
Penton 125,1968,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",152.0 ccm (9.28 cubic inches),"Single cylinder, two-stroke",,,,Carburettor. Bing ,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,9.46 litres (2.50 US gallons),,60.0 x 54.0 mm (2.4 x 2.1 inches),,,,,,,,,,,,Chrome pipe,,,,,,Sachs,,,,,,,,,
Bultaco Lobito,1968,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 8000 RPM,,,Carburettor,,,,Air,,Chain   (final drive),,,,Single cradle,,,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,Kick,,,,,,,Single Seat,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster XLCH,1968,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 6300 RPM,,9.1:1,Carburettor. NA,Overhead Valves (OHV),,,Air,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,76.0 x 98.0 mm (3.0 x 3.9 inches),,,,,,,,218.0 kg (480.6 pounds),,,,,,,,,,45-degree V-twin,,,,,,,,,
Bridgestone 350 GTO,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Twin, two-stroke",40.0 HP (29.2  kW)) @ 7500 RPM,,9.3:1,Carburettor. Amal,Rotary valves,,,,,Chain   (final drive),Dry multiplate,,,,Telescopic ,Swingarm ,3.25-19 ,,,,Spoked,,,,1372 mm (54.0 inches),14.38 litres (3.80 US gallons),,61.0 x 59.0 mm (2.4 x 2.3 inches),3.25-19 ,,,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Moto Morini 150,1968,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,128.7 km/h (80.0 mph),,Carburettor,Standing valves,single coil and point set,Wet sump,Air,4-speed,Chain   (final drive),Dry plate,3.61 litres/100 km (27.7 km/l or 65.16 mpg),83.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Single downtube cradle,,2 shocks/springs,,Expanding brake (drum brake). Cable actuated,,Expanding brake (drum brake). Rod actuated,,,,,,7.57 litres (2.00 US gallons),Kick,,,99.8 kg (220.0 pounds),,,Red with white accents,,,,"Avery quick, strong bike for a 150cc four-stroke.  Imported and sold by Camrod Motorcycles in New York City.  Believe I paid  Dollars 400 new.",2,,Sinle,,,,,,,,,,,,,They also offered a 250 cc sport that was shown in my owners manual which I no longer have.,,
Harley-Davidson Drag Bike,1968,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1474.0 ccm (89.94 cubic inches),"V2, four-stroke",,,,Carburettor,Overhead Valves (OHV),Magneto,,,,Chain   (final drive),,,,,,,,Expanding brake (drum brake),,,,,,,,,,,,,,,,Single seat,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster,1968,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",,,,Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,,Telescopic,Swingarm with coil-over shocks,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,Electric,,,,,,Black/white,Dual seat,,,,,,,,,,,,,,,,,,,,Aluminum headlight,
Zündapp Roller Super,1968,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,Carburettor. Bing,,,,Air,,,,,,,,,2.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,39.0 x 42.0 mm (1.5 x 1.7 inches),2.50-10 ,83.5 kg (184.1 pounds),,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),,Carburettor,Sidevalves,,,,,,,,,,,,5.10-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),12.87 litres (3.40 US gallons),Electric,70.0 x 97.0 mm (2.8 x 3.8 inches),5.10-16 ,,,,,Single spring-mounted,,,,,,,,,,,,,,,,,,,,,
BMW R50 2,1968,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 5800 RPM,140.0 km/h (87.0 mph),7.5:1,Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,,,Steel doble cradle,Cartridge,Twin shock-Swingarm,3.50-18 ,Expanding brake (drum brake),200 mm (7.9 inches),Expanding brake (drum brake),,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),1415 mm (55.7 inches),,Kick,68.0 x 68.0 mm (2.7 x 2.7 inches),3.50-18 ,,,,,Dual seat,,195.0 kg (429.9 pounds),,,,,,,,,,,,,,,,,,,
Honda CB250 Super Sport,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.8 ccm (15.12 cubic inches),"Twin, four-stroke",22.0 HP (16.1  kW)) @ 8200 RPM,130.0 km/h (80.8 mph),9.5:1,Carburettor,Overhead Cams (OHC),,,,,,,,,,,,2.75-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,950 mm (37.4 inches),2025 mm (79.7 inches),615 mm (24.2 inches),1295 mm (51.0 inches),14.00 litres (3.70 US gallons),,,2.75-18 ,153.0 kg (337.3 pounds),,,,,0.1438 HP/kg,,,,,,,,,,,,,,,,,,,,
Ducati Sebring,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,340.0 ccm (20.75 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 6500 RPM,,8.5:1,Carburettor,,Battery,,Air,,Chain   (final drive),,,,,,,3.00-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,76.0 x 75.0 mm (3.0 x 3.0 inches),2.75-18 ,136.0 kg (299.8 pounds),,,,,0.1471 HP/kg,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 6C GP,1968,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"In-line six, four-stroke",69.1 HP (50.4  kW)) @ 16000 RPM,250.0 km/h (155.3 mph),11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,,,,"Wet, multiplate",,,Double Cradle,Telescopic,Swingarm ,,Single disc,,Single disc,,,,,,,,45.0 x 35.0 mm (1.8 x 1.4 inches),,,,,Red,,,,,,,,,,,,,,,,,,,,,,
Enfield Interceptor ,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Twin, two-stroke",,,,,Overhead Valves (OHV),,,Air,,,,,,,,,,,,,Spoked,,,,,,,,,,,,,Dual ,,190.0 kg (418.9 pounds),,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH Electra Glide,1968,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5200 RPM,160.0 km/h (99.4 mph),8.0:1,Carburettor. Tillotson pumber carb,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks. 3-step adjustable.,5.10-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Wire spoked. Whitewall tyres.,,,,1500 mm (59.1 inches),16.00 litres (4.23 US gallons),Electric & kick,87.3 x 101.0 mm (3.4 x 4.0 inches),5.10-16 ,355.2 kg (783.0 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,"Black, blue, burgundy",,0.1689 HP/kg,,Windscreen. ,2,94.9 Nm (9.7 kgf-m or 70.0 ft.lbs) @ 4000 RPM,,,,,12 Volt battery.,,Shovelhead V-twin,,,,,,,,,Hard saddlebags.
Bridgestone 350 GTR,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Twin, two-stroke",49.6 HP (36.2  kW)) @ 7500 RPM,152.9 km/h (95.0 mph),,Carburettor. Mikuni ,Rotary valves,,,Air,,Chain   (final drive),Dry multiplate,,,Steel double cradle ,Gaitered,Twin Shock Absorber,3-19 ,Expanding brake (drum brake),178 mm (7.0 inches),Expanding brake (drum brake),Spoked,,,,1374 mm (54.1 inches),15.00 litres (3.96 US gallons),Kick,61.0 x 59.0 mm (2.4 x 2.3 inches),3-19 ,160.6 kg (354.1 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",,Red,Dual ,0.3090 HP/kg,,,,,,,,,,,,,,,,,,,,
Lambretta SX 200,1968,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5500 RPM,96.6 km/h (60.0 mph),8.0:1,Carburettor. DellÓrto,,,,Air,,,,,,,,,3.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,Kick,66.0 x 58.0 mm (2.6 x 2.3 inches),3.50-10 ,109.8 kg (242.0 pounds),,,,Dual ,0.1002 HP/kg,,,,,,,,,,,,,,,,,,,,
Zündapp C 50 Sport,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,40.0 km/h (24.9 mph),,,,,,,,,,,,,,,"2,75-21 ",Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,11.00 litres (2.91 US gallons),,39.0 x 41.0 mm (1.5 x 1.6 inches),"2,75-21 ",80.0 kg (176.4 pounds),,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T120C Street Scrambler,1968,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),9.0:1,"Carburettor. Amal concentric carburettor, 30 mm.",Overhead Valves (OHV),Lucas,,Air,4-speed,Chain   (final drive),"Multi-plate, wet",,,"Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",4.00-18 ,Expanding brake (drum brake). Twin Leading Shoe,178 mm (7.0 inches),Expanding brake (drum brake),"Wire spoked, grey and black",,,,1403 mm (55.2 inches),9.46 litres (2.50 US gallons),Kick,71.0 x 82.0 mm (2.8 x 3.2 inches),3.25-19 ,165.0 kg (363.8 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Red,Dual seat,0.2788 HP/kg,,Street Scrambler with high exhaust pipes.,,,,26.0°,,,12-volt electrics,,,,,,,,,,,
Norton Commando ,1968,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 6700 RPM,180.0 km/h (111.8 mph),8.7:1,Carburettor,Overhead Valves (OHV),,,,,Chain   (final drive),,,,,Telescopic,Swingarm,4.00-18 ,,,,Spoked,,,,,10.00 litres (2.64 US gallons),,89.0 x 73.0 mm (3.5 x 2.9 inches),3.25-19 ,190.0 kg (418.9 pounds),,,,Dual ,0.2895 HP/kg,,,,,,,,,,,,,,,,,,,,
Matchless G2 CSR,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,10.5:1,Carburettor,,,Dry sump,Air,,Chain   (final drive),Wet multiplate,,,Single cradle,Telescopic,Swinging arm-shocks-coil springs,3.50-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,70.0 x 65.0 mm (2.8 x 2.6 inches),3-19 ,,,,,Dual ,,,,,,,,,,,,,,,,,,,,,
Yamaha AS1,1968,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)) @ 8500 RPM,120.7 km/h (75.0 mph),7.0:1,Carburettor,Port control,Points,Autolube,Air,5-speed,Chain   (final drive),,,,Steel tube,Telescopic,"Swinging arm, coil spring oil damper",,Expanding brake (drum brake). single leading shoe,,Expanding brake (drum brake),,1011 mm (39.8 inches),1854 mm (73.0 inches),671 mm (26.4 inches),1072 mm (42.2 inches),9.46 litres (2.50 US gallons),,43.0 x 43.0 mm (1.7 x 1.7 inches),-2.50-18 ,98.0 kg (216.0 pounds),,150 mm (5.9 inches),Blue or red,,0.1531 HP/kg,,Great classic,,12.7 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 8000 RPM,Twin chrome,,,,,,,,8500,,,,,,,
Norton Atlas,1968,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 6800 RPM,,8.9:1,Carburettor,,Electric,,Air,,Chain   (final drive),,,,,Telescopic,Dual chocks,,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,,,73.0 x 89.0 mm (2.9 x 3.5 inches),,,,,,Dual ,,185.0 kg (407.9 pounds),,2,,,,,,,,,,,,,,,,,
BSA Kirby,1968,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"Twin, two-stroke",,,,Carburettor,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,Single ,,,,,,,,,,,,,,,,,,,,,
BMW R69US,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),9.5:1,Carburettor. Bing,Overhead Valves (OHV),Magneto,Forced feed,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-doble cradle,Cartridge,Twin shock-swingarm,3.50-18 ,Expanding brake (drum brake). Duplex full hub,200 mm (7.9 inches),Expanding brake (drum brake). Simplex full hub,,995 mm (39.2 inches),2137 mm (84.1 inches),722 mm (28.4 inches),1427 mm (56.2 inches),17.00 litres (4.49 US gallons),Kick,72.0 x 73.0 mm (2.8 x 2.9 inches),3.50-18 ,,,,,Dual seat,,199.0 kg (438.7 pounds),Weight 600 kg with sidecar.,,,,,,,,,,,,,,,,,,360
Zündapp 518 KS 100,1968,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",8.2 HP (6.0  kW)),100.0 km/h (62.1 mph),,Carburettor. Bing 22mm,,,,Air,,Chain   (final drive),,,,Doble cradle,Telescopic,Swingarm ,2.75-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,,,,,13.50 litres (3.57 US gallons),,50.0 x 50.0 mm (2.0 x 2.0 inches),2.50-17 ,75.0 kg (165.3 pounds),,,,Dual ,0.1093 HP/kg,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville T120R Roadster,1968,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,185.0 km/h (115.0 mph),9.0:1,Carburettor. Amal Concentric carburettor,Overhead Valves (OHV),Lucas,,Air,4-speed,Chain   (final drive),"Multi-plate, wet",,,"Brazed lug, full-cradle, single downtube","Telescopic fork, hydraulic damping.","Swing arm, 2 Girling dampers",4.00-18 ,Expanding brake (drum brake). Twin Leading Shoe,178 mm (7.0 inches),Expanding brake (drum brake),Wire spoked. Dunlop tyres.,,,,1403 mm (55.2 inches),9.46 litres (2.50 US gallons),Kick,71.0 x 82.0 mm (2.8 x 3.2 inches),3.25-19 ,165.0 kg (363.8 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",127 mm (5.0 inches),Red,"Dual seat, black and gray",0.2788 HP/kg,,,,,,26.0°,,,12-volt electrical system,,,,,,,Smiths Magnetic gauges,,,,
Triumph Tiger Cub T 20,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,106.0 km/h (65.9 mph),7.1:1,Carburettor,Overhead Valves (OHV),,Dry sumpy,Air,,Chain   (final drive),Wet multiplate,,,,,Swingarm with coil-over shocks,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,1245 mm (49.0 inches),,,63.0 x 64.0 mm (2.5 x 2.5 inches),,113.4 kg (250.0 pounds),,,,,0.0882 HP/kg,,,,,,,,,,,Amal monobloc carburettor,,,,,,,,,
BMW R60US,1968,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",30.1 HP (21.9  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),,Carburettor. 24mm Bing,Overhead Valves (OHV),Magneto,Wet sump ,Air,4-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-double cradle,Cartridge,Twin shock-Swingarm,3.50-18.00 ,Expanding brake (drum brake). Single,200 mm (7.9 inches),Expanding brake (drum brake),Spoked,980 mm (38.6 inches),2137 mm (84.1 inches),860 mm (33.9 inches),1427 mm (56.2 inches),17.00 litres (4.49 US gallons),Kick,72.0 x 73.0 mm (2.8 x 2.9 inches),3.50-18.00 ,,,,,Dual seat,,195.0 kg (429.9 pounds),,,,,,,,,,,,,,,,,,,360kg
Triumph Daytona 500,1968,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",490.0 ccm (29.90 cubic inches),"Twin, four-stroke",39.0 HP (28.5  kW)) @ 7400 RPM,,9.0:1,Carburettor,,,,Air,,Chain   (final drive),Duplex,,,,Telescopic fork,Two schock,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,69.0 x 65.5 mm (2.7 x 2.6 inches),,153.0 kg (337.3 pounds),,,,Dual ,0.2549 HP/kg,,,,,,,,,,,,,,,,,,,,
Suzuki TC250,1968,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, two-stroke",29.0 HP (21.2  kW)) @ 7500 RPM,145.0 km/h (90.1 mph),,Carburettor,,,,Air,6-speed,,,,,Doble cradle,Telescopic,Two schock,,Expanding brake (drum brake),,Expanding brake (drum brake),,1030 mm (40.6 inches),1950 mm (76.8 inches),,1280 mm (50.4 inches),14.00 litres (3.70 US gallons),,,,131.0 kg (288.8 pounds),,,,,0.2214 HP/kg,,,,,,,,,,,,,,,,,,,,
Ducati 450 Mark 3D,1968,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",436.0 ccm (26.60 cubic inches),"Single cylinder, four-stroke",31.0 HP (22.6  kW)) @ 7000 RPM,168.0 km/h (104.4 mph),9.7:1,Carburettor,Desmodromic valve control,,Wet sump forced lubrication with gear pump,Air,5-speed,Chain   (final drive),,,,Simplex open cradle tubular steel ,Hydraulic telescopic forks,Swinging arm rear suspension with adjustable hydraulic shocks,3.00-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,2000 mm (78.7 inches),590 mm (23.2 inches),1360 mm (53.5 inches),12.90 litres (3.41 US gallons),,,2.75-18 ,135.0 kg (297.6 pounds),"735 mm (28.9 inches) If adjustable, lowest setting.",,,Dual seat,0.2296 HP/kg,,Price as new 23550DM,2,,,,,,,,,,,120 mm (4.7 inches),70 mm (2.8 inches),,,,,
Kawasaki W2,1968,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",624.0 ccm (38.08 cubic inches),"In-line four, four-stroke",53.0 HP (38.7  kW)) @ 7000 RPM,185.0 km/h (115.0 mph),9.0:1,Carburettor. Two,Overhead Valves (OHV),Battery,,Air,4-speed,Chain   (final drive),,,,Duplex steel cradle,Telescopic,Swingarm ,3.50-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),Spoked,1060 mm (41.7 inches),2126 mm (83.7 inches),880 mm (34.6 inches),1415 mm (55.7 inches),15.00 litres (3.96 US gallons),,,3.25-19 ,,,,,Dual ,,,,,,,,,3.20 litres (3.38 US quarts),,,,,,,,,,,,
Agrati Capri 50 S,1968,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,10.3:1,Carburettor. DellÓrto,,,,Air,,Chain   (final drive),,,,,,Swingarm ,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,40.0 x 39.0 mm (1.6 x 1.5 inches),,,,,,,,,,,,,,,,,,Garelli,,,,,,,,,
