Model,Year,Category,Rating,Displacement,Engine type,Fuel system,Fuel control,Lubrication system,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Seat,Power,Top speed,Bore x stroke,Cooling system,Gearbox,Front tire,Rear tire,Wheels,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Starter,Frame type,Fuel capacity,Clutch,Diameter,Oil capacity,Compression,Ignition,Engine details,"Weight incl. oil, gas, etc",Driveline,Color options,Electrical,Seat height,Carrying capacity,Valves per cylinder,Comments,Fuel consumption,Greenhouse gases,Light,Exhaust system,Modifications compared to previous model
Harley-Davidson Model UL,1938,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1212.7 ccm (74.00 cubic inches),"V2, four-stroke",Carburettor,Sidevalves,Dry sump,Chain   (final drive),Leading link -coil springs,Rigid-,Expanding brake (drum brake),Expanding brake (drum brake),Spring-mounted seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Higher handlebars and new colour and stipes were available 
on this model."
Indian Arrow Streamliner,1938,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,Overhead Valves (OHV),,Chain   (final drive),,,,,Solo seat with springs,,,,,,,,,,,,,,,,,,,,,,Magneto,,,,,,,,,,,,,,
BMW R66,1938,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,596.0 ccm (36.37 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. 26mm,Overhead Valves (OHV),Wet sump ,Shaft drive (cardan)   (final drive),Cartridge,Twin shock-Swingarm,Expanding brake (drum brake),Expanding brake (drum brake),Single seat,30.1 HP (21.9  kW)) @ 5300 RPM,145.0 km/h (90.1 mph),69.8 x 78.0 mm (2.7 x 3.1 inches),Air,4-speed,3.5-19 ,3.5-19 ,Spoked,,,960 mm (37.8 inches),2130 mm (83.9 inches),815 mm (32.1 inches),1400 mm (55.1 inches),Kick,Doble steel loop ,14.00 litres (3.70 US gallons),Dry-single plate-cable operated,200 mm (7.9 inches),,6.8:1,Forced feed,,187.0 kg (412.3 pounds),,,,,210kg-500kg with sidecar,,,,,,,
Maico F100 Piccolo Derby,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.0 ccm (5.98 cubic inches),"Single cylinder, two-stroke",Carburettor,,,Chain   (final drive),Coil springs-dual,None,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,,48.0 x 54.0 mm (1.9 x 2.1 inches),Air,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocker Crocker-twin,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",Carburettor,Overhead Valves (OHV),,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,,177.0 km/h (110.0 mph),,Oil & air,,,,Spoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp K 600,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,598.0 ccm (36.49 cubic inches),"Four cylinder boxer, four-stroke",Carburettor. Amal,,,Shaft drive (cardan)   (final drive),Telescopic,Rigid,Expanding brake (drum brake),Expanding brake (drum brake),,15.0 HP (10.9  kW)) @ 4300 RPM,100.0 km/h (62.1 mph),53.0 x 66.6 mm (2.1 x 2.6 inches),Air,,3.50-19 ,3.50-19 ,,193.0 kg (425.5 pounds),0.0777 HP/kg,,,,,Kick,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",,Sidevalves,,,Leading link-Springer type,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,24.0 HP (17.5  kW)) @ 4400 RPM,101.0 km/h (62.8 mph),70.0 x 97.0 mm (2.8 x 3.8 inches),,,5.10-16 ,5.10-16 ,Spoked,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),1549 mm (61.0 inches),,,12.87 litres (3.40 US gallons),,,,,,,,,,,,,,,,,,,
Norton 490 CS 1,1938,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",Carburettor,Single Overhead Cams (SOHC),,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Solo seat with springs,,128.8 km/h (80.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Series 441,1938,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,,,,,Pluger rigid,,,Single seat,,152.9 km/h (95.0 mph),,Air,,5.00-18 ,5.00-18 ,,,,,,,,,,,,,,,,,257.6 kg (568.0 pounds),,,,,,,,,,,,
NSU 351 OSL,1938,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",Carburettor. Graetzin KE 25/43,,,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),Single spring-mounted,18.0 HP (13.1  kW)) @ 5020 RPM,110.0 km/h (68.4 mph),75.0 x 79.0 mm (3.0 x 3.1 inches),Air,4-speed,3.25-19 ,3.25-19 ,Spoked,110.0 kg (242.5 pounds),0.1636 HP/kg,940 mm (37.0 inches),2020 mm (79.5 inches),770 mm (30.3 inches),1420 mm (55.9 inches),Kick,Open double steel,,,,,,,,,,,,,,,,,,,,
