Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Starter,Rear brakes,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Frame type,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Comments,Exhaust system,Rear wheel travel,Chain links,Sprockets,Lubrication system,Clutch,Overall height,Overall width,Max RPM,Rake (fork angle),Trail,Engine details,Modifications compared to previous model,Alternate seat height,Electrical,Battery,Oil filter,Belt teeth,Belt width,Pulley teeth,Light
Kawasaki ZX-7R Ninja,1997,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 11500 RPM,81.0 Nm (8.3 kgf-m or 59.7 ft.lbs) @ 9800 RPM,270.0 km/h (167.8 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,203.0 kg (447.5 pounds),0.6010 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1200,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6000 RPM,220.0 km/h (136.7 mph),4,Air,5-speed,Chain   (final drive),Dual disc,233.0 kg (513.7 pounds),0.4206 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100,1997,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 9500 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 7000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,242.0 kg (533.5 pounds),0.5372 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Sportstar 125,1997,Naked bike," 2.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 8500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,118.0 kg (260.1 pounds),0.1017 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 N Bandit,1997,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 4500 RPM,,4,Liquid,5-speed,Chain   (final drive),Dual disc,215.0 kg (474.0 pounds),0.4558 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500,1997,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)),47.0 Nm (4.8 kgf-m or 34.7 ft.lbs),190.0 km/h (118.1 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,172.0 kg (379.2 pounds),0.3372 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Husky 125,1997,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8600 RPM,,,,Air,5-speed,Chain   (final drive),Single disc,147.0 kg (324.1 pounds),0.0748 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Roadster 200,1997,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",,,,,,5-speed,Chain   (final drive),Single disc,130.0 kg (286.6 pounds),,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Ghost,1997,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6500 RPM,190.0 km/h (118.1 mph),4,Air,6-speed,Chain   (final drive),,185.0 kg (407.9 pounds),0.3784 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Saxon Sportstar 125,1997,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 5800 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 5700 RPM,,,Air,5-speed,Chain   (final drive),Single disc,118.0 kg (260.1 pounds),0.0932 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 F,1997,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)),106.0 Nm (10.8 kgf-m or 78.2 ft.lbs),255.0 km/h (158.4 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,235.0 kg (518.1 pounds),0.5745 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Sportstar 300,1997,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",291.0 ccm (17.76 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 5500 RPM,30.0 Nm (3.1 kgf-m or 22.1 ft.lbs) @ 5200 RPM,135.0 km/h (83.9 mph),,Air,5-speed,Chain   (final drive),Single disc,128.5 kg (283.3 pounds),0.1790 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Custom,1997,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,276.0 kg (608.5 pounds),0.1993 HP/kg,"676 mm (26.6 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 SP,1997,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",104.0 HP (75.9  kW)) @ 11000 RPM,,245.0 km/h (152.2 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,200.0 kg (440.9 pounds),0.5200 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KMX 125,1997,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8500 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6600 RPM,,,Liquid,5-speed,Chain   (final drive),Single disc,96.0 kg (211.6 pounds),0.1563 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",Kick,Single disc,7.8:1,"54.0 x 1,093.0 mm (2.1 x 43.0 inches)",Carburettor,,CDI,,,Telescopic forks,Swing arm,2.75-21 ,4.10-18 ,210 mm (8.3 inches),,,,1375 mm (54.1 inches),9.30 litres (2.46 US gallons),,,2.00 litres (2.11 US quarts),Synthetic,DOT 4,1.00 litres (0.26 US gallons),"NGK BR8ES, NGK BR8EIX",1100-1400  RPM,22 PSI (1.5 Bar or 150 kPa),22 PSI (1.5 Bar or 150 kPa),,,,230 mm (9.1 inches),,,,230 mm (9.1 inches),124,14/16 (front/rear),,,,,,,,,,,,,,,,,
Husqvarna TE 410 Enduro,1997,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",39.0 HP (28.5  kW)) @ 7500 RPM,,,,Liquid,6-speed,Chain   (final drive),Single disc,116.0 kg (255.7 pounds),0.3362 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZL 600 Eliminator,1997,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",593.0 ccm (36.18 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 10500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 7800 RPM,190.0 km/h (118.1 mph),4,Liquid,6-speed,Shaft drive (cardan)   (final drive),Single disc,200.0 kg (440.9 pounds),0.3050 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",Electric,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 125,1997,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 8500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,109.0 kg (240.3 pounds),0.1101 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Adventure,1997,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,,,4,Liquid,5-speed,Chain   (final drive),Single disc,146.0 kg (321.9 pounds),0.3425 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 668,1997,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 7000 RPM,210.0 km/h (130.5 mph),4,Air,6-speed,Chain   (final drive),,185.0 kg (407.9 pounds),0.3784 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Super Glide,1997,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,165.0 km/h (102.5 mph),2,Air,5-speed,Belt   (final drive),Single disc,271.0 kg (597.5 pounds),0.2030 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1997,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 6400 RPM,210.0 km/h (130.5 mph),2,Air,6-speed,Chain   (final drive),Dual disc,186.0 kg (410.1 pounds),0.4301 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 750 C2 Shadow,1997,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",88.0 HP (64.2  kW)) @ 9000 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 3000 RPM,,3,Liquid,5-speed,Chain   (final drive),Single disc,229.0 kg (504.9 pounds),0.3843 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Daytona RS,1997,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",102.0 HP (74.5  kW)) @ 8400 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 6600 RPM,240.0 km/h (149.1 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,205.0 kg (451.9 pounds),0.4976 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 75,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 6400 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 5000 RPM,180.0 km/h (111.8 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,251.0 kg (553.4 pounds),0.2988 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This version of the California was made in 750 specimen to celebrate Moto Guzzi's 75 year anniversary.,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 125 SE,1997,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9800 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 8600 RPM,,,Air,6-speed,Chain   (final drive),Single disc,101.0 kg (222.7 pounds),0.1188 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1997,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)),53.0 Nm (5.4 kgf-m or 39.1 ft.lbs),170.0 km/h (105.6 mph),3,Liquid,5-speed,Chain   (final drive),Dual disc,196.0 kg (432.1 pounds),0.2551 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V-Max 1200,1997,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6000 RPM,230.0 km/h (142.9 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,262.0 kg (577.6 pounds),0.3817 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 620 Duke,1997,Super motard," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,,170.0 km/h (105.6 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,149.0 kg (328.5 pounds),0.3356 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 400 LC4 EGS-E,1997,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 8500 RPM,,155.0 km/h (96.3 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,137.0 kg (302.0 pounds),0.2993 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Flame 125,1997,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)),9.0 Nm (0.9 kgf-m or 6.6 ft.lbs),,,,,,,106.0 kg (233.7 pounds),0.0943 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR 250Z,1997,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 7500 RPM,114.3 km/h (71.0 mph),,Liquid,5-speed,Chain   (final drive),Single disc. 2-piston caliper,103.0 kg (227.1 pounds),,"982 mm (38.7 inches) If adjustable, lowest setting.",Kick,Single disc,10.9:1,68.0 x 68.8 mm (2.7 x 2.7 inches),Carburettor. Mikuni VM38SS,Membrane & power valve,,,,Inverted forks,Monocross,80/100-21 ,110/100-18 ,,114.3 kg (252.0 pounds),2000 mm (78.7 inches),379 mm (14.9 inches),1496 mm (58.9 inches),13.00 litres (3.43 US gallons),Blue  and  White,CrMo streel,,,,,,,,,,,,300 mm (11.8 inches),1.80 litres (0.48 US gallons),Last year Yamaha made this WR in a two-stroke,,315 mm (12.4 inches),,,Wet sump,Multi-plate wet clutch,1300 mm (51.2 inches),827 mm (32.6 inches),,,,,,,,,,,,,
Bimota SB7,1997,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",132.0 HP (96.4  kW)),,270.0 km/h (167.8 mph),4,Liquid,6-speed,Chain   (final drive),,178.0 kg (392.4 pounds),0.7416 HP/kg,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CG 125,1997,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",10.2 HP (7.4  kW)) @ 8500 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,101.0 km/h (62.8 mph),1,Air,5-speed,Chain   (final drive),Expanding brake (drum brake),105.0 kg (231.5 pounds),0.0970 HP/kg,,Kick,Expanding brake (drum brake),9.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,,CDI,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,90/90-18 ,90/90-18 ,,,2000 mm (78.7 inches),135 mm (5.3 inches),1300 mm (51.2 inches),12.70 litres (3.36 US gallons),,,1.00 litres (1.06 US quarts),,,,,,,,,,,,2.30 litres (0.61 US gallons),,,,,,,,1040 mm (40.9 inches),730 mm (28.7 inches),9500,27.5°,94 mm (3.7 inches),,,,,,,,,,
Bimota Vdue 500,1997,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"V2, two-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 8000 RPM,,,Liquid,5-speed,Chain   (final drive),Dual disc,,,"805 mm (31.7 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,175.0 kg (385.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota YB9 SRI,1997,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 12500 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 10000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,175.0 kg (385.8 pounds),0.6057 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 125,1997,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),15.0 Nm (1.5 kgf-m or 11.1 ft.lbs),,,Liquid,6-speed,Chain   (final drive),Single disc,117.0 kg (257.9 pounds),0.1282 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan-European ABS,1997,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)),113.0 Nm (11.5 kgf-m or 83.3 ft.lbs),220.0 km/h (136.7 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),,298.0 kg (657.0 pounds),0.3356 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 501 E,1997,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",52.0 HP (38.0  kW)) @ 9000 RPM,,,,Liquid,6-speed,Chain   (final drive),Single disc,109.0 kg (240.3 pounds),0.4771 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 125,1997,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5500 RPM,,,,,4-speed,Chain   (final drive),Single disc,130.0 kg (286.6 pounds),0.0769 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 400,1997,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",,,,,Liquid,6-speed,,Double disc,195.0 kg (429.9 pounds),,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,120/60-R17 ,160/50-R17 ,,,2070 mm (81.5 inches),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,1175 mm (46.3 inches),695 mm (27.4 inches),,,,,,,,,,,,,
KTM LC4 EGS-E,1997,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,,160.0 km/h (99.4 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,139.0 kg (306.4 pounds),0.3597 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 1200,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5200 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 3500 RPM,160.0 km/h (99.4 mph),2,Air,5-speed,Belt   (final drive),Single disc,222.0 kg (489.4 pounds),0.2613 HP/kg,"688 mm (27.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
