Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Carrying capacity,Comments,Top speed,Clutch,Fuel consumption,Greenhouse gases,Instruments,Factory warranty,Engine details,Compression,Bore x stroke,Valves per cylinder,Ignition,Lubrication system,Exhaust system,Front wheel travel,Rear wheel travel,Dry weight,Torque,Power/weight ratio,Oil capacity,"Weight incl. oil, gas, etc",Rake (fork angle),Trail,Light,Reserve fuel capacity,Seat,Emission details,Modifications compared to previous model,Front percentage of weight,Max RPM,Alternate seat height,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Rear percentage of weight,Chain size,Chain links,Sprockets,Coolant,1/4 mile (0.4 km)
Derbi Senda DRD Pro 50 R,2011,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor. 17.5 mm,Single Overhead Cams (SOHC),Liquid,6-speed,Chain   (final drive),,,40 mm Upside down fork.,Progressive linkage monoshock with separate gas tank.,90/90-21 ,110/80-18 ,Single disc,220 mm (8.7 inches),Single disc,,"920 mm (36.2 inches) If adjustable, lowest setting.",1196 mm (47.1 inches),2080 mm (81.9 inches),808 mm (31.8 inches),,1390 mm (54.7 inches),6.50 litres (1.72 US gallons),Red/white,Electric,Battery 12V 4Ah,,Spanish brand. DRD is an abbreviation of Derbi Racing Development.,,Multiplate,,,,,,11.5:1,39.9 x 40.0 mm (1.6 x 1.6 inches),,,Oil pump,,250 mm (9.8 inches),250 mm (9.8 inches),96.0 kg (211.6 pounds),,,1.20 litres (1.27 US quarts),104.0 kg (229.3 pounds),,,,1.60 litres (0.42 US gallons),,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXCWC Softail Rocker C,2011,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1584.0 ccm (96.66 cubic inches),"V2, four-stroke",,Injection. ESPFI,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Belt   (final drive),"Primary Drive: Chain, 34/46 ratio. Final Drive: Belt, 32/66 ratio","Mild steel tubular frame; rectangular section backbone; stamped, cast, and forged junctions; forged fender supports; MIG welded. Swingarm: Mild steel, round tube sections, forged junctions; MIG welded.",49mm telescopic,"Hidden, horizontal-mounted, coil-over",90/90-R19 ,240/40-R18 ,"Single disc. 4-piston. Patented, uniform expansion rotors",292 mm (11.5 inches),"Single disc. 2-piston. Patented, uniform expansion rotors","Polished, 5-spoke Cast Aluminum","696 mm (27.4 inches) If adjustable, lowest setting.",,2415 mm (95.1 inches),,130 mm (5.1 inches),1758 mm (69.2 inches),18.90 litres (4.99 US gallons),"Vivid Black Deluxe, Scarlet Red Deluxe, Cool Blue Pearl Deluxe, Black Denim Deluxe",Electric,,,,,"9-plate, wet",,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed ind",,"Air-cooled, Twin Cam 96B. Pushrod-operated, overhead valves with hydraulic, self-adjusting lifters; two valves per cylinder.",9.2:1,95.3 x 111.1 mm (3.8 x 4.4 inches),,,"Pressurized, dry-sump","Chrome, staggered shorty exhaust with dual mufflers",127 mm (5.0 inches),79 mm (3.1 inches),315.7 kg (696.0 pounds),125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 3000 RPM,,3.30 litres (3.49 US quarts),,36.0°,157 mm (6.2 inches),,,,,,,,,,,,,,,,,,,,,,,,
Izuka T125A,2011,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)),Carburettor,,Air,5-speed,Chain   (final drive),,,Conventional fork,Dual shocks,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,1050 mm (41.3 inches),1910 mm (75.2 inches),740 mm (29.1 inches),,,10.00 litres (2.64 US gallons),"Blue, Red",Electric & kick,12 Volt,,Izuka is a Mexican brand.,90.0 km/h (55.9 mph),,2.13 litres/100 km (46.9 km/l or 110.43 mpg),49.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,138.0 kg (304.2 pounds),,0.0652 HP/kg,,150.0 kg (330.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Road Star Silverado,2011,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1671.6 ccm (102.00 cubic inches),"V2, four-stroke",,Injection,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),,Steel,43mm fork,Single shock,130/90-16 ,150/80-16 ,Double disc,320 mm (12.6 inches),Single disc,Spoke,"709 mm (27.9 inches) If adjustable, lowest setting.",1501 mm (59.1 inches),2499 mm (98.4 inches),980 mm (38.6 inches),145 mm (5.7 inches),1689 mm (66.5 inches),17.94 litres (4.74 US gallons),Pearl White,Electric,,Soft leather saddlebags with quick-release buckles,,,,6.53 litres/100 km (15.3 km/l or 36.02 mpg),151.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1 Year (Limited Factory Warranty),,8.3:1,97.0 x 113.0 mm (3.8 x 4.4 inches),,Transistor Controlled Ignition,Dry sump,,140 mm (5.5 inches),109 mm (4.3 inches),,,,,351.1 kg (774.0 pounds),,,,,Touring rider seat and passenger seat with backrest,,,,,,,,,,,,,,,,,,,,,
Tauris Brio 50 4T,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Air,Automatic,Belt   (final drive),CVT automatic,,,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),,"730 mm (28.7 inches) If adjustable, lowest setting.",1050 mm (41.3 inches),1720 mm (67.7 inches),650 mm (25.6 inches),,,5.00 litres (1.32 US gallons),"Light blue, white, pink",,,,,,,,,,,,,,,,,,,,79.0 kg (174.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT Pro Raga 280,2011,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,272.0 ccm (16.60 cubic inches),"Single cylinder, two-stroke",,Carburettor. Keihin PWK 28 - Intake by reed valve,,Liquid,6-speed,Chain   (final drive),,Chrom-Molybdenum tubular frame,Marzocchi 40 mm Aluminium Right-Sight-Up. Adjustable compression and rebound.,Aluminium swing arm. Progressive system with Sachs shock absorbers. Adjustable rebound and spring preload,2.75-21 ,4.00-18 ,"Single disc. Galfer ´Wave´ floating, 4-piston caliper",150 mm (5.9 inches),"Single disc. Galfer ´Wave´ disc, 2-piston caliper ",Light aluminium spoke rim ,"650 mm (25.6 inches) If adjustable, lowest setting.",,2045 mm (80.5 inches),825 mm (32.5 inches),,1340 mm (52.8 inches),2.50 litres (0.66 US gallons),Beige,Kick,,,,,GG 1/3 hydraulic-diaphragm-system,,,,,,,76.0 x 60.0 mm (3.0 x 2.4 inches),,,Fuel mixed 1:50,,177 mm (7.0 inches),164 mm (6.5 inches),66.5 kg (146.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX1800T,2011,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1795.0 ccm (109.53 cubic inches),"V2, four-stroke",,Injection. PGM-FI with automatic choke,Single Overhead Cams (SOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,45mm inverted fork; 5.1 inches travel,45mm inverted fork,Dual shocks with five-position spring preload adjustability,150/80-R17 ,180/70-R16 ,Double disc,316 mm (12.4 inches),Single disc,,"696 mm (27.4 inches) If adjustable, lowest setting.",,,,,1715 mm (67.5 inches),20.06 litres (5.30 US gallons),"Black, Black/Candy Black Cherry, Black/Metallic Blue",,,,Model ID: VTX1800T1,,,,,,One-year unlimited-mileage limited warranty,52° V-twin,9.0:1,101.0 x 112.0 mm (4.0 x 4.4 inches),3,"Digital, two spark plugs per cylinder",,,130 mm (5.1 inches),99 mm (3.9 inches),,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs),,,362.9 kg (800.0 pounds),32.0°,163 mm (6.4 inches),,,,Meets current California Air Resources Board (CARB) and EPA standards,,,,,,,,,,,,,,,,,,,,
CPI Oliver Sport,2011,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",4.2 HP (3.0  kW)) @ 7500 RPM,Carburettor,Overhead Cams (OHC),Air,Automatic,Belt   (final drive),Automatic CVT,,Hydraulic telescopic fork,"Hydraulic suspension, adjustable",120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1139 mm (44.8 inches),1839 mm (72.4 inches),664 mm (26.1 inches),,1260 mm (49.6 inches),5.20 litres (1.37 US gallons),"Blue/yellow, blue/orange",Electric & kick,,,Chinese brand.,,,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,C.D.I,,Inox,,,85.0 kg (187.4 pounds),4.4 Nm (0.4 kgf-m or 3.2 ft.lbs) @ 5000 RPM,0.0489 HP/kg,1.40 litres (1.48 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB Unicorn Dazzler,2011,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",149.1 ccm (9.10 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 8500 RPM,Carburettor,,Air,5-speed,Chain   (final drive),,Diamond frame,Telescopic fork,"Monoshock, 3 step adjustable",80/100-17 ,110/80-17 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,,1085 mm (42.7 inches),2073 mm (81.6 inches),754 mm (29.7 inches),162 mm (6.4 inches),1340 mm (52.8 inches),12.00 litres (3.17 US gallons),"Black, gray, red, gold",Electric,12V 4Ah maintenance free battery,,Sold in India.,,,1.67 litres/100 km (59.9 km/l or 140.85 mpg),38.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Digital,,,,,,Digital CDI,,,,,138.0 kg (304.2 pounds),,0.1014 HP/kg,,,,,Halogen 35W/35W,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C109RT,2011,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1783.0 ccm (108.80 cubic inches),"V2, four-stroke",,Injection. Suzuki Dual Throttle Valve system (SDTV) with 52mm throttle bodies ,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,High-tensile double cradle steel.,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",150/80-R16 ,240/55-R16 ,Double disc,,Single disc,Cast alloy,"705 mm (27.8 inches) If adjustable, lowest setting.",,2580 mm (101.6 inches),985 mm (38.8 inches),135 mm (5.3 inches),1755 mm (69.1 inches),19.00 litres (5.02 US gallons),"Black/Red, Gold/White",,,,,,,,,,,,10.5:1,112.0 x 90.5 mm (4.4 x 3.6 inches),,Transistorized,Dry sump,2-into1-into2 stainless steel chromed,130 mm (5.1 inches),,,,,,401.0 kg (884.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
PGO PMX50,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.8 HP (3.5  kW)) @ 7000 RPM,,,Air,Automatic,Belt   (final drive),C.V.T,Steel tube,Telescopic,Unit Swing Arm,120/90-10 ,130/90-10 ,Single disc,,Expanding brake (drum brake),,,,1807 mm (71.1 inches),,,,6.70 litres (1.77 US gallons),Light blue,Electric,,,Taiwanese made scooter. ,,,,,,,,,,,CDI,,,,,82.0 kg (180.8 pounds),5.1 Nm (0.5 kgf-m or 3.8 ft.lbs) @ 6500 RPM,0.0589 HP/kg,,88.0 kg (194.0 pounds),,,,,2-person seat,Euro 2,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTF Fat Boy,2011,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1584.0 ccm (96.66 cubic inches),"V2, four-stroke",,Injection. Electronic Sequential Port Fuel Injection (ESPFI),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Belt   (final drive),"Primary Drive: Chain, 34/46 ratio. Final Drive: Belt, 32/66 ratio","Mild steel tubular frame; rectangular section backbone; stamped, cast, and forged junctions; forged fender supports; MIG welded","41.3mm telescopic, “beer can” covers","Hidden, horizontal-mounted, coil-over",140/75-R17 ,200/55-R17 ,Single disc. 4-piston,292 mm (11.5 inches),Single disc. 2-piston,"Silver, Bullet Hole Disc Cast Aluminum","699 mm (27.5 inches) If adjustable, lowest setting.",,2396 mm (94.3 inches),,130 mm (5.1 inches),1638 mm (64.5 inches),19.70 litres (5.20 US gallons),"Vivid Black, Scarlet Red, Brilliant Silver Pearl, Flame Blue Pearl, Black Ice Pearl",Electric,,,,,"9-plate, wet",,,"Electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light","24 months, unlimited mileage (US)",Twin Cam 96B,9.2:1,95.3 x 111.1 mm (3.8 x 4.4 inches),2,,"Pressurized, dry-sump","Chrome, over/under shotgun exhaust with dual mufflers",130 mm (5.1 inches),109 mm (4.3 inches),314.8 kg (694.0 pounds),127.0 Nm (12.9 kgf-m or 93.7 ft.lbs) @ 3000 RPM,,3.30 litres (3.49 US quarts),,31.0°,147 mm (5.8 inches),,,,,,,,,,,,,,,,,,,,,,,,
Ultra Motor Velociti,2011,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Electric,0.7 HP (0.5  kW)),,,,Automatic,,,Steel,Telescopic fork,Twin shocks,,,Single disc. Hydraulic,,Expanding brake (drum brake),,,1090 mm (42.9 inches),1650 mm (65.0 inches),650 mm (25.6 inches),,,,"Black, silver, brown",Electric,"48 Volt, 24 Ah battery.",,Range 40 km. Sold in India.,40.0 km/h (24.9 mph),No clutch,,,,,BLDC motor,,,,,,,,,88.0 kg (194.0 pounds),,0.0076 HP/kg,,,,,,,2-person seat,None,,,,,,,,,,,,,,,,,,,,
Aprilia RSV4 Factory APRC SE,2011,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.6 ccm (61.00 cubic inches),"V4, four-stroke",177.6 HP (129.6  kW)) @ 12500 RPM,Injection. Airbox with front dynamic air intakes. Variable length intake ducts controlled via ECU. 4 Weber-Marelli 48-mm throttle bodies with 8 injectors and latest generation Ride-by-Wire engine management. Choice of three different engine maps selectable by the ri,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Primary: Straight cut gears and integrated flexible coupling, drive ratio: 73/44 (1,659) . Final: Chain: Drive ratio: 40/16 (2,5) .",,"Ohlins Racing upside-down fork, 43-mm stanchions (with Tin surface treatment). Low profile forged aluminium radial caliper mountings. Completely adjustable spring preload and hydraulic compression and rebound damping. ",Twin sided aluminium swingarm,120/70-17 ,190/55-17 ,Double disc,220 mm (8.7 inches),Single disc,"Aprilia forged aluminium alloy rims, completely machined, 5 split spokes. Front:3.5”X17” Rear: 6”X17” ","845 mm (33.3 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2040 mm (80.3 inches),735 mm (28.9 inches),130 mm (5.1 inches),,17.00 litres (4.49 US gallons),Racing black/red/green/silver,Electric,Flywheel mounted 420W alternator with rare earth magnets. ,,"Special edition. APRC means ´Aprilia Performance Ride Control´. Aprilia Traction Control automatically adjusts to different types of tyres, with 8 settings conveniently selectable while racing from a joystick on the left handlebar without turning down the throttle. Optimised gear ratios for the utmost track performance.",,"Multi-disc oil-bath, with mechanical slipper system ",,,Dual display mode for instrument panel display: ROAD and RACE.,,Longitudinal 65° V-4 cylinder,13.0:1,78.0 x 52.3 mm (3.1 x 2.1 inches),4,"Magneti Marelli digital electronic ignition system integrated in engine control system, with one spark plug per cylinder and â€œstick-coilâ€-type coils",Wet sump lubrication system with oil radiator and two oil pumps (lubrication and cooling),"System	4 into 2 into 1 layout, single oxygen sensor, lateral single silencer with engine control unit-controlled butterfly valve and integrated trivalent catalytic converter (Euro 3)",120 mm (4.7 inches),130 mm (5.1 inches),179.0 kg (394.6 pounds),115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 10000 RPM,0.9919 HP/kg,,,24.5°,105 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Sherco SU 0.5 Access,2011,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,Carburettor. 20 mm,,Liquid,6-speed,,"Primary gear drive, chain secondary drive.",Chrome-molybdenum tubing  main frame with a removable sub-frame,Paioli 41mm dia hydraulic  telescopic fork,"Paioli single shock absorber, adjustable spring preload ",2.50-17 ,3.50-17 ,Single disc,180 mm (7.1 inches),Single disc,,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,260 mm (10.2 inches),1360 mm (53.5 inches),7.00 litres (1.85 US gallons),"Blue/silver, silver/yellow",Kick,,,,,Multidisc in oil bath,,,,,Nikasil coated cylinder with automatic oil injection,,40.3 x 39.0 mm (1.6 x 1.5 inches),,Electronic 12v 85 w,,Steel exhaust system  with aluminum silencer,,,83.0 kg (183.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecosse Titanium RR,2011,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",2100.0 ccm (128.14 cubic inches),"V2, four-stroke",200.0 HP (146.0  kW)),Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,"Titanium frame, titanium subframe, titanium swingarm.","Öhlins MotoGP-grade TTX Gas forks, fully adjustable with titanium front axle","Öhlins TTX Racing Shock for ECOSSE, fully adjustable for riding style  and  seat height",120/70-ZR17 ,190/55-ZR17 ,Double disc. ISR custom radial brake system,,Single disc. ISR custom radial brake system,17” clear-coated carbon fiber,"699 mm (27.5 inches) If adjustable, lowest setting.",,,,165 mm (6.5 inches),1537 mm (60.5 inches),,Chassis in brushed titanium. Clear-coated carbon fibe/custom ECOSSE orange pin stripe bodywork.,,,,Each bike engraved with sequential serial number.,,,,,Analog tach and programmable LCD speedometer,,45-degree V-Twin. Supercharged.,10.5:1,111.0 x 106.4 mm (4.4 x 4.2 inches),,,,Handcrafted titanium race exhaust,,,199.6 kg (440.0 pounds),271.2 Nm (27.7 kgf-m or 200.0 ft.lbs),1.0021 HP/kg,3.70 litres (3.91 US quarts),,27.0°,,,,,,,,,"775 mm (30.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,
Aprilia MXV 4.5,2011,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"V2, four-stroke",,Injection. Integrated engine management system controlling ignition and fuel injection.  Throttle body: 38 mm. Hard and soft mappings selectable from the handlebars.,Single Overhead Cams (SOHC),Liquid,4-speed,Chain   (final drive),Primary drive: Spur gears. Transmission ratio: 23/65.  Final drive: Chain. Transmission ratio: 14/49.,Cr-Mo steel perimeter frame with aluminium alloy vertical members. Headstock rake angle 26.2°. Lightweight rear frame section.,50 mm Marzocchi upside down fork with adjustments for compression and rebound.,"Pro-Link with Sachs monoshock, adjustable in compression and rebound.",80/100-21 ,110/90-19 ,Single disc,240 mm (9.4 inches),Single disc,Black anodised aluminium alloy.,"960 mm (37.8 inches) If adjustable, lowest setting.",,2190 mm (86.2 inches),815 mm (32.1 inches),,1499 mm (59.0 inches),7.40 litres (1.96 US gallons),Red,Kick,,,,,"Multi-plate in oil bath, cable operated.",,,,,,13.0:1,76.0 x 49.5 mm (3.0 x 1.9 inches),,Electronic digital (batteryless).,Dry sump. Separate gearbox lubrication.,Conforming to FIM standards for 2009.,,,,,,,,26.2°,,,,,,,,12500,,,,,,,,,,,,,,,,,
TM Racing MX 300,2011,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,294.0 ccm (17.94 cubic inches),"Single cylinder, two-stroke",,Carburettor. Keihin PWM 38,,Liquid,5-speed,Chain   (final drive),,Perimetral aluminium section,Marzocchi USD 50mm,"Sachs Boge, optional Ohlins ",100/90-21 ,110/90-19 ,Single disc. Nissin pump and Brembo caliper,245 mm (9.6 inches),Single disc. Nissin pump and Brembo caliper,Blue rims.,,,,,,,8.70 litres (2.30 US gallons),Light blue,Kick,,,Italian made bike.,,Multiple-disk in oil bath with hydraulic control,,,,,V-Force Reed valve,,72.0 x 72.0 mm (2.8 x 2.8 inches),,Kokusan CDI,3.5% mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Sonar 125 4T,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.6 HP (7.7  kW)) @ 8000 RPM,Carburettor,,Air,Automatic,Belt   (final drive),,,32 mm fork.,Monoshock,90/80-16 ,110/80-14 ,Single disc,140 mm (5.5 inches),Expanding brake (drum brake),,"805 mm (31.7 inches) If adjustable, lowest setting.",,1930 mm (76.0 inches),740 mm (29.1 inches),,1325 mm (52.2 inches),6.00 litres (1.59 US gallons),"White, red, black",Electric,,,Spanish scooter.,,Automatic centrifugal,,,,,,10.6:1,57.0 x 48.6 mm (2.2 x 1.9 inches),,,Mechanical oil pump,,76 mm (3.0 inches),64 mm (2.5 inches),99.0 kg (218.3 pounds),9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 7250 RPM,0.1071 HP/kg,,,,,,,,Compartment underthe seat to hold a jet helmet.,,,,,,,,,,,,,,,,,,,,
Benelli Velvet 150,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,152.0 ccm (9.28 cubic inches),"Single cylinder, four-stroke",,Carburettor. PD26JC,Overhead Cams (OHC),Air,,,"Primary V-bet, final gears","steel, Trellis frame",Hydraulic telescopic fork,Floating engine with double hydraulic rear dumper,120/70-R13 ,140/70-R13 ,Single disc,220 mm (8.7 inches),Single disc,,"818 mm (32.2 inches) If adjustable, lowest setting.",,1910 mm (75.2 inches),,,1400 mm (55.1 inches),11.70 litres (3.09 US gallons),,Electric & kick,12V 10Ah battery,,,,Automatic centrifugal,,,,,Horizontal cylinder,12.0:1,,2,Electronic,,With catalytic converter ,,,122.0 kg (269.0 pounds),,,,129.0 kg (284.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 85 SX 19-16,2011,"Minibike, cross"," 2.0  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",84.9 ccm (5.18 cubic inches),"Single cylinder, two-stroke",,Carburettor. Keihin PWK 28,,Liquid,6-speed,Chain   (final drive),14:49. Primary drive: 19:66.,Double grinded central double-cradle-type frame. Subframe: Aluminium.,WP USD  43 mm ,WP PDS mono shock,70/100-19 ,90/100-16 ,Single disc,210 mm (8.3 inches),Single disc,"1.6 x 19in.,  1.85 x 16in. Alu","875 mm (34.4 inches) If adjustable, lowest setting.",,,,,1290 mm (50.8 inches),5.00 litres (1.32 US gallons),"Orange, black, white",Kick,,,,,"Wet mDouble disk clutch, operated hydraulically",,,,,,,47.0 x 49.0 mm (1.9 x 1.9 inches),,Moric digital 2M1,,Aluminium,185 mm (7.3 inches),185 mm (7.3 inches),68.0 kg (149.9 pounds),,,,,24.0°,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 530 EXC SIXDAYS,2011,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",510.4 ccm (31.14 cubic inches),"Single cylinder, four-stroke",,Carburettor. Keihin FCR MX 39,Overhead Cams (OHC),Liquid,6-speed,Chain   (final drive),13:50. Primary drive: 33:76. X-ring chain 5/8 x 1/4.,Central double-cradle-type 25CrMo4 steel. Subframe: Aluminium.,WP USD  48 mm (1.89 in),WP PDS shock absorber,90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,"1.60 x 21in., 2.15 x 18in. Excel","985 mm (38.8 inches) If adjustable, lowest setting.",,,,380 mm (15.0 inches),1475 mm (58.1 inches),9.50 litres (2.51 US gallons),Orange/white/black,Electric & kick,,,Racing tuned version.,,"Wet mDouble disk clutch, operated hydraulically",,,,,,11.9:1,95.0 x 72.0 mm (3.7 x 2.8 inches),,Kokusan digital,Pressure lubrication with 3 oil pumps,Aluminium,185 mm (7.3 inches),185 mm (7.3 inches),112.8 kg (248.7 pounds),,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,
Polaris Scrambler 500 4X4,2011,ATV," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,Carburettor,,Liquid,Automatic,Chain   (final drive),On-Demand True AWD/2WD. Automatic PVT F/N/R; Shaft (Front)/Concentric Chain (Rear),,MacPherson Strut with 8.2 in. (20.8 cm) Travel,Progressive-Rate Swingarm with 10.5 in. (26.7 cm) Travel,23/8-12 ,22/11-10 ,Single disc,,Single disc,Stamped Steel,"889 mm (35.0 inches) If adjustable, lowest setting.",,1905 mm (75.0 inches),,121 mm (4.8 inches),1232 mm (48.5 inches),15.14 litres (4.00 US gallons),Indy Red,Electric,,,,,,,,"N/R Light, Fuel Gauge, Hi-Temp Light",,,,,4,,,,,,253.6 kg (559.0 pounds),,,,,,,Single 50w Headlight; Single Rear Brakelight/Taillight,,,,,,,,,,,,,,,,,,,,,,,
NCR Leggera,2011,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1078.0 ccm (65.78 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7750 RPM,"Injection. EFI Magneti Marelli, 45mm throttle bodies.",Desmodromic valve control,Oil & air,6-speed,Chain   (final drive),,"Trellis frame made entirely of Grade 9 Titanium. Weight: 4,8 Kg (10.6 lbs)","Ohlins titanium nitride coated 46mm full adjustable with NCR Corse valving, adjustable offset NCR triple clamps made in avionic aluminum. NCR Corse billet fork bottoms","NCR- Ohlins monoshock, fully adjustable including low and high speed circuits and configured by NCR CORSE",120/70-17 ,180/55-17 ,"Double disc. WAVE rotors, radial monoblock Brembo Racing calipers with 4 pistons and 2 pads.",200 mm (7.9 inches),"Single disc. WAVE rotor, Brembo 2 piston caliper","Carbon fiber, front 3,50´x17´ , rear 6´x17´ ",,,,,,,,NCR Grey/silver. Other colors optional.,Electric,,,"Rear ward and adjustable NCR rear set in Al 7075 and titanium, passenger peg support in tiatnium, custom gas cap by NCR in Al7075, billet NCR CORSE fork bottoms and fully adjustable triple clamps in avionic aluminum. Adjustable ride height adjuster and rear single sided flange in aluminum. ",,,,,,,Ducati DS 1100 engine. Optional 125 HP bore.,,,2,,,"Full exhaust 2 into 1 into 2 configuration with catalitic converter and lambda system. Exhaust is in titanium and the mufflers are in carbon. Design by NCR and built by Zard, the silencers are 45% lighter than stock.",,,157.0 kg (346.1 pounds),,0.5732 HP/kg,,,,,,,Biposto leather seat by Schedoni per NCR.,,,,,,,,,,,,,,,,,,,,,
