Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Color options,Starter,Clutch,Dry weight,Comments,Fuel consumption,Greenhouse gases,Power/weight ratio,Lubrication system,Exhaust system,Top speed,Valves per cylinder,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,0-100 km/h (0-62 mph),Alternate seat height,Oil capacity,Engine details,Driveline,Wheels,Seat,Modifications compared to previous model,Max RPM,Front percentage of weight,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Rear percentage of weight,Emission details,Factory warranty,Tire pressure front,Tire pressure rear,Fork tube size
Linhai Prince LH 50,2010,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",3.0 HP (2.2  kW)) @ 8000 RPM,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6000 RPM,10.5:1,39.0 x 41.1 mm (1.5 x 1.6 inches),Carburettor,Single Overhead Cams (SOHC),,Air,Automatic,,,,,90/90-10 ,90/90-10 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1070 mm (42.1 inches),1685 mm (66.3 inches),660 mm (26.0 inches),,1195 mm (47.0 inches),5.90 litres (1.56 US gallons),,"Gray, blue, red, black",Electric & kick,,93.0 kg (205.0 pounds),,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.0317 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda Xtreme 50 SM,2010,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,11.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor. 17.5 mm,Single Overhead Cams (SOHC),,Liquid,6-speed,Chain   (final drive),,40 mms. hydraulic fork.,Monoshock  with progressive link system.,80/90-21 ,110/80-18 ,Single disc,180 mm (7.1 inches),Single disc,105.0 kg (231.5 pounds),"900 mm (35.4 inches) If adjustable, lowest setting.",1222 mm (48.1 inches),2222 mm (87.5 inches),805 mm (31.7 inches),,1355 mm (53.3 inches),7.00 litres (1.85 US gallons),,Red/black/gray,Kick,Multi-plate,97.0 kg (213.8 pounds),Spanish bike.,,,,Mechanical oil  pump,,,,190 mm (7.5 inches),182 mm (7.2 inches),,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF250X,2010,Trial," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,12.9:1,78.0 x 52.2 mm (3.1 x 2.1 inches),Carburettor. Keihin 37mm flat-slide carburetor with Throttle Position Sensor (TPS),Single Overhead Cams (SOHC),CD with electronic advance and lighting coil,Liquid,5-speed,Chain   (final drive),,47mm inverted Showa cartridge fork with 16-position rebound and 16-position compression damping adjustability,"Pro-Link Showa single shock with spring preload, 17-position rebound damping adjustability, and compression damping adjustment separated into low-speed (13 positions) and highspeed (3.5 turns)",80/100-21 ,100/100-18 ,Double disc,240 mm (9.4 inches),Single disc,114.8 kg (253.0 pounds),"958 mm (37.7 inches) If adjustable, lowest setting.",,,,345 mm (13.6 inches),1481 mm (58.3 inches),7.19 litres (1.90 US gallons),,Red,Electric & kick,,,Model ID: CRF250X,,,,,,,4,315 mm (12.4 inches),315 mm (12.4 inches),27.5°,118 mm (4.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN900 Custom,2010,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 3700 RPM,,88.0 x 74.2 mm (3.5 x 2.9 inches),Injection,Single Overhead Cams (SOHC),TCBI with Electronic Advance,Liquid,5-speed,Belt   (final drive),"Double-cradle, steel",41mm hydraulic telescopic fork / 5.9 in.,"Uni-TrackÂ® swingarm, seven-way adjustable spring preload  / 4.1 in.",80/90-21 ,180/70-15 ,Single disc,270 mm (10.6 inches),Single disc,282.0 kg (621.7 pounds),"686 mm (27.0 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2405 mm (94.7 inches),894 mm (35.2 inches),,1646 mm (64.8 inches),20.06 litres (5.30 US gallons),,"Black, blue",,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC Choppers Big Daddy,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1638.8 ccm (100.00 cubic inches),"V2, four-stroke",,,,,,,,,6-speed,Belt   (final drive),BMC wide drive,41 mm wide glide fork,,90/90-21 ,240/40-18 ,"Single disc. Bremo floating rotor, 4-piston chrome caliper",292 mm (11.5 inches),"Single disc. Bremo floating rotor, 2-piston chrome caliper",,,,,,,,15.56 litres (4.11 US gallons),,Custom flame paint scheme,Electric,,,Rev Tech black and chrome finish engine. Chrome inner and outer primary.,,,,,Kerker 2 into 1,,,,,38.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO PMX Naked 50,2010,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.8 HP (3.5  kW)) @ 6250 RPM,5.1 Nm (0.5 kgf-m or 3.8 ft.lbs) @ 5000 RPM,,,Carburettor,,,Air,Automatic,Belt   (final drive),,,,120/70-12 ,130/90-10 ,Single disc,,Expanding brake (drum brake),,,1125 mm (44.3 inches),1667 mm (65.6 inches),780 mm (30.7 inches),,1173 mm (46.2 inches),6.70 litres (1.77 US gallons),,"Gary, red, white, black, ",Electric,,92.0 kg (202.8 pounds),,,,0.0525 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinroad XT110PY-2B,2010,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,CDI electronic ignition,Air,,Chain   (final drive),,,,2.50-14 ,3.00-12 ,Single disc,,Single disc,,"750 mm (29.5 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),1550 mm (61.0 inches),665 mm (26.2 inches),150 mm (5.9 inches),950 mm (37.4 inches),,,"Red, blue, green, silver, black, yellow",Electric & kick,,65.0 kg (143.3 pounds),,,,,,,80.0 km/h (49.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Coast Choppers CFL,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1851.9 ccm (113.00 cubic inches),"V2, four-stroke",,,,,Carburettor,,,,,Belt   (final drive),,,Rigid,90/90-21 ,180/50-18 ,"Single disc. Bremo, 4-piston",,"Single disc. Bremo, 4-piston",,,,,,,,,,Custom colors,Electric,,,"S and S engine. Baker 5 speed left side drive. Rivera Primo 3 and #8243; Brute IV transmission. WCC wheels, about 7 styles to choose from.",,,,,"WCC, about 5 styles to choose from.",,,,,38.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polaris Sportsman 550 X2,2010,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,549.0 ccm (33.50 cubic inches),"Single cylinder, four-stroke",,,,,Injection. Electronic Fuel Injection,Single Overhead Cams (SOHC),,Liquid,Automatic,Shaft drive (cardan)   (final drive),,Dual A-Arm 9 in. (22.9 cm) Travel,"Dual A-Arm, Rolled 10 in. (25.4 cm) Travel","26/8-,12 ","26/10-,12 ",Single disc,,Expanding brake (drum brake),,"908 mm (35.7 inches) If adjustable, lowest setting.",,2369 mm (93.3 inches),,286 mm (11.3 inches),1448 mm (57.0 inches),19.87 litres (5.25 US gallons),,"Indy Red, Sage Green",Electric,,362.4 kg (799.0 pounds),Drive system: On-Demand True AWD/2WD/VersaTrac Turf Mode. Transmission: Automatic PVT H/L/N/R/P. 2 seats.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izuka YY150-21C,2010,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,99.3 ccm (6.06 cubic inches),"Single cylinder, four-stroke",7.5 HP (5.5  kW)) @ 7500 RPM,7.7 Nm (0.8 kgf-m or 5.6 ft.lbs) @ 5500 RPM,,,Carburettor,,CDI,Air,Automatic,Belt   (final drive),"Tubular, double cradle",Telescopic fork,Swing arm,130/70-13 ,130/70-13 ,Single disc,,Expanding brake (drum brake),,,1110 mm (43.7 inches),,,,1330 mm (52.4 inches),,,Red/white,Electric & kick,,112.0 kg (246.9 pounds),Izuka bikes are sold in Mexico.,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.0670 HP/kg,,,85.0 km/h (52.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TRX90X,2010,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,86.0 ccm (5.25 cubic inches),"Single cylinder, four-stroke",,,12.0:1,47.0 x 49.5 mm (1.9 x 1.9 inches),Carburettor. 15mm piston-valve carburetor,Single Overhead Cams (SOHC),CDI,Air,4-speed,,,Independent suspension,Swingarm with single shock,20/7-8 ,19/8-8 ,Single disc,,Expanding brake (drum brake),118.8 kg (262.0 pounds),"660 mm (26.0 inches) If adjustable, lowest setting.",927 mm (36.5 inches),1488 mm (58.6 inches),894 mm (35.2 inches),99 mm (3.9 inches),983 mm (38.7 inches),6.43 litres (1.70 US gallons),,"Red, White",Electric,Automatic,,Model ID: TRX90X.,,,,,,,,66 mm (2.6 inches),66 mm (2.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 650 Exec,2010,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",638.0 ccm (38.93 cubic inches),"Twin, four-stroke",,,11.2:1,75.5 x 71.3 mm (3.0 x 2.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Oil & air,Automatic,,,"Telecsopic, coil spring, oil damped","Swingarm type, coil spring, oil damped",120/70-R15 ,160/60-R14 ,Double disc. ABS,,Single disc. ABS,277.0 kg (610.7 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",,2260 mm (89.0 inches),,130 mm (5.1 inches),,15.00 litres (3.96 US gallons),,"Black, White",,,,,,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF Moto E-Charm 125,2010,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",8.7 HP (6.4  kW)) @ 8500 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 7000 RPM,10.3:1,52.0 x 57.8 mm (2.0 x 2.3 inches),Injection. EFI,Single Overhead Cams (SOHC),CDI,Liquid,Automatic,Belt   (final drive),,"33mm Telescopic Fork, 100mm Travel",Cantilever,100/80-16 ,120/80-16 ,Single disc,220 mm (8.7 inches),Single disc,,"795 mm (31.3 inches) If adjustable, lowest setting.",1200 mm (47.2 inches),2075 mm (81.7 inches),,160 mm (6.3 inches),1320 mm (52.0 inches),8.00 litres (2.11 US gallons),,"Pearl white, silver, dark gray, dark red, black",Electric,,130.0 kg (286.6 pounds),Also called CF125T-21i,,,0.0671 HP/kg,Pressure and splash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Dutch Leftcoast Rigid,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1851.9 ccm (113.00 cubic inches),"V2, four-stroke",124.0 HP (90.5  kW)),,,101.6 x 114.3 mm (4.0 x 4.5 inches),Carburettor. 42mm Polished Mikuni HSR,,,,6-speed,Belt   (final drive),Diamond Chassis,Von Dutch Kustom Conventional Billet chromed,Standard type A Coated,90/90-21 ,240-18 ,Single disc. Brembo Floating Rotor with chrome centers,,Single disc. Brembo Floating Rotor with chrome centers,,"635 mm (25.0 inches) If adjustable, lowest setting.",,,,,,,,,Electric,Primo Rivera,245.9 kg (542.0 pounds),"Primo Rivera, Right Side 6 speed. Chrome transmission.",,,0.5044 HP/kg,,Joker/wrapped with heat tape,,,89 mm (3.5 inches),,38.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler RMC-G 50 Venturi,2010,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 6300 RPM,,,,Carburettor,,,Air,Automatic,Chain   (final drive),,Telescopic fork,Hydraulic shock absorbers (adjustable),110/70-12 ,110/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),99.0 kg (218.3 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),1810 mm (71.3 inches),685 mm (27.0 inches),,1270 mm (50.0 inches),7.50 litres (1.98 US gallons),,"Red/silver, Black/silver, Blue/silver.",Electric & kick,Variomatic,,German brand.,,,,,Euro 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adiva N125,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.3 HP (7.5  kW)) @ 8500 RPM,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 6500 RPM,,52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,Single Overhead Cams (SOHC),,,,,,,,120/70-12 ,130/70-12 ,Single disc,210 mm (8.3 inches),Expanding brake (drum brake),,"800 mm (31.5 inches) If adjustable, lowest setting.",1070 mm (42.1 inches),1860 mm (73.2 inches),710 mm (28.0 inches),,1320 mm (52.0 inches),6.00 litres (1.59 US gallons),,,Electric,,108.0 kg (238.1 pounds),Japanese brand.,,,0.0956 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Halley 450 4T,2010,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,443.0 ccm (27.03 cubic inches),"Single cylinder, four-stroke",,,,97.0 x 60.8 mm (3.8 x 2.4 inches),,,,Liquid,6-speed,Chain   (final drive),"Deltabox*, made with Cromoly tubing. Aluminium swing arm. ",41 mm upside-down fork,One-piece aluminium swing arm,90/90-21 ,130/90-18 ,Single disc. Double-piston caliper.,220 mm (8.7 inches),Single disc,,"890 mm (35.0 inches) If adjustable, lowest setting.",,,,270 mm (10.6 inches),1450 mm (57.1 inches),7.40 litres (1.96 US gallons),,Black,Kick,"Multidisc, hydraulical",,Bike made in Spain.,,,,,,,,230 mm (9.1 inches),220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Pixel 50,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.3 HP (2.4  kW)) @ 5700 RPM,4.3 Nm (0.4 kgf-m or 3.1 ft.lbs) @ 5500 RPM,6.9:1,40.0 x 39.5 mm (1.6 x 1.6 inches),Carburettor,,CDI,Air,Automatic,Belt   (final drive),,,,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),,,,1775 mm (69.9 inches),700 mm (27.6 inches),180 mm (7.1 inches),1170 mm (46.1 inches),6.00 litres (1.59 US gallons),,"Yellow, black, white, blue",Electric & kick,,88.0 kg (194.0 pounds),,2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.0376 HP/kg,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 1700 Voyager,2010,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1700.0 ccm (103.73 cubic inches),"V2, four-stroke",,146.4 Nm (14.9 kgf-m or 108.0 ft.lbs) @ 2750 RPM,9.5:1,102.0 x 104.0 mm (4.0 x 4.1 inches),"Injection. Digital fuel injection, dual 42mm throttle bodies",Single Overhead Cams (SOHC),TCBI with Digital Advance,Liquid,6-speed,,"Steel, double-cradle with box-section single-tube backbone",45mm hydraulic fork / 5.5 in.,"Swingarm with twin air-assisted shocks, with 4-way rebound damping / 3.1 in.",130/90-16 ,170/70-16 ,Double disc,,Single disc,401.9 kg (886.0 pounds),"729 mm (28.7 inches) If adjustable, lowest setting.",,,,,1666 mm (65.6 inches),20.06 litres (5.30 US gallons),,"Metallic Diablo Black/Metallic Imperial Red,   Metallic Midnight Sapphire Blue/Metallic Moondust Gray",Electric,,,"Improved heat management helps deflect engine heat. A shorter coolant pipe simplifies oil screen maintenance.
",,,,,,,,,,30.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azel New Soho 125,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)),,,,Carburettor,,,Air,,Chain   (final drive),,,,,,Single disc,,Expanding brake (drum brake),,,1070 mm (42.1 inches),2010 mm (79.1 inches),670 mm (26.4 inches),,1355 mm (53.3 inches),,,Red/black/gray,Electric,,119.0 kg (262.4 pounds),,,,0.0840 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schwinn Hope 150,2010,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,Air,Automatic,Belt   (final drive),,30mm stanchion/Telescopic,Damping Shock,3.50-10 ,3.50-10 ,Single disc. Dual piston caliper,,Expanding brake (drum brake),,,1130 mm (44.5 inches),1811 mm (71.3 inches),,,,5.41 litres (1.43 US gallons),,Pink,Electric & kick,Automatic,85.7 kg (189.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Commando 961SE,2010,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,961.0 ccm (58.64 cubic inches),"Twin, four-stroke",80.0 HP (58.4  kW)) @ 6500 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 5200 RPM,10.1:1,88.0 x 79.0 mm (3.5 x 3.1 inches),Injection,,Crank fired electronic,Air,5-speed,Chain   (final drive),Steel tubular with integral oil tank,43mm Ohlins RWU,Ohlins reservoir-style twin shocks,120/70-17 ,180/55-17 ,"Double disc. Full Brembo system, twin semi-floating hi  carbon stainless steel discs, Brembo 4 piston “Gold Line” axial callipers",220 mm (8.7 inches),"Single disc. Full Brembo system, 2  piston “Gold Line” calliper",,"813 mm (32.0 inches) If adjustable, lowest setting.",,,,,1420 mm (55.9 inches),17.03 litres (4.50 US gallons),,Black/gold,Electric,Wet multi-plate hydraulic lifter,188.2 kg (415.0 pounds),"New engine developed by Norton and F1 engine builders, MCT of Oxfordshire, England. Parallel twin with push-rod valve actuation, dry sump, 3 bearing crank and balancer shaft. Carbon fiber wheels. ",,,0.4250 HP/kg,Dry sump,1 3/4 inch  header system with merged collector and twin mufflers with catalytic converters. Euro 3.,,2,115 mm (4.5 inches),110 mm (4.3 inches),24.5°,99 mm (3.9 inches),,,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Beta Ark AC Paddock,2010,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,12.0:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto PHVA 12,,,Air,Automatic,Belt   (final drive),Steel,Hydraulic fork with ø32 mm shaft,Monoshock with adjustable spring preload,130/60-13 ,130/60-13 ,Single disc,190 mm (7.5 inches),Single disc,,,1150 mm (45.3 inches),1740 mm (68.5 inches),830 mm (32.7 inches),215 mm (8.5 inches),,7.50 litres (1.98 US gallons),1.30 litres (0.34 US gallons),Blue/white,Electric,Dry automatic centrifugal type,88.0 kg (194.0 pounds),A liquid cooled version called Ark LC Paddock is available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX -6R,2010,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,13.3:1,67.0 x 42.5 mm (2.6 x 1.7 inches),"Injection. DFI  with four 38mm Keihin throttle bodies, oval sub-throttles, two injectors per throttle body",Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,Liquid,6-speed,Chain   (final drive),Aluminum perimeter,"41 mm inverted Showa Big Piston Front fork with top-out springs, stepless compression and rebound damping,  fully-adjustable spring preload / 4.7 in.","Bottom-Link Uni-Trak  with gas-charged shock, top-out spring and pillow ball upper mount, dual-range (high/low-speed) stepless compression damping, 25-way adjustable rebound damping, fully-adjustable spring preload / 5.3 in.",120/70-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,191.1 kg (421.2 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2090 mm (82.3 inches),711 mm (28.0 inches),,1400 mm (55.1 inches),17.03 litres (4.50 US gallons),,"Passion Red,  Metallic Spark Black,  Lime Green/Metallic Spark Black",Electric,,,,,,,,,,4,,,24.0°,104 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Linhai ATV Dragon Fly 400,2010,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,352.0 ccm (21.48 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,,,Automatic,Shaft drive (cardan)   (final drive),,Independent - mac pherson,Independent- double triangles superimposed,25/8-12 ,25/10-12 ,Single disc,,Single disc,,,1221 mm (48.1 inches),2110 mm (83.1 inches),1114 mm (43.9 inches),,1280 mm (50.4 inches),,,"White, red",Electric & kick,,330.0 kg (727.5 pounds),H/L/R 4x4,,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM GP1-R 50,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,9.2:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,Single Overhead Cams (SOHC),CDI,Air,1-speed,Belt   (final drive),,Telescopic Fork,Hydraulic Dual Shock,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),,"760 mm (29.9 inches) If adjustable, lowest setting.",1167 mm (45.9 inches),1827 mm (71.9 inches),659 mm (25.9 inches),,1243 mm (48.9 inches),5.60 litres (1.48 US gallons),,"Black, Blue, Red, Silver",Electric & kick,,91.0 kg (200.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway F-Act 50,2010,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.4 HP (2.5  kW)) @ 7000 RPM,3.9 Nm (0.4 kgf-m or 2.9 ft.lbs),,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor,,,,Automatic,Belt   (final drive),,,,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),,,1100 mm (43.3 inches),1800 mm (70.9 inches),,90 mm (3.5 inches),1270 mm (50.0 inches),4.80 litres (1.27 US gallons),,"Red, white, black",Electric & kick,Dry centrufugal,86.0 kg (189.6 pounds),,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.0400 HP/kg,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linhai ATV Muddy 300,2010,ATV," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",275.0 ccm (16.78 cubic inches),"Single cylinder, four-stroke",,,9.0:1,72.5 x 66.8 mm (2.9 x 2.6 inches),Carburettor,Single Overhead Cams (SOHC),Electronic T.D.I.,Liquid,Automatic,Shaft drive (cardan)   (final drive),,Hydraulic fork,Double hydraulic shock,24/8-12 ,24/11-10 ,Single disc,,Single disc,,,1170 mm (46.1 inches),2096 mm (82.5 inches),1170 mm (46.1 inches),183 mm (7.2 inches),1265 mm (49.8 inches),14.10 litres (3.73 US gallons),,"Orange, black, yellow, red, apple green",Electric & kick,Automatic,300.0 kg (661.4 pounds),"Available with 4x4 or 4x2. Drive, low, neutral, reverse.",,,,Wet sump,Euro 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zest HT150-8,2010,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.6 ccm (9.13 cubic inches),"Single cylinder, four-stroke",9.7 HP (7.1  kW)) @ 8500 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 7500 RPM,,,Carburettor,,,Air,,Chain   (final drive),,,,,,Single disc,,Expanding brake (drum brake),,,1120 mm (44.1 inches),2020 mm (79.5 inches),690 mm (27.2 inches),,1350 mm (53.1 inches),12.50 litres (3.30 US gallons),,Black,Electric & kick,,135.0 kg (297.6 pounds),Zest is a South-African brand.,,,0.0716 HP/kg,,,85.0 km/h (52.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX 140,2010,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",144.0 ccm (8.79 cubic inches),"Single cylinder, four-stroke",,,9.5:1,58.0 x 54.4 mm (2.3 x 2.1 inches),Carburettor. Keihin PB20,Single Overhead Cams (SOHC),CDI,Air,5-speed,Chain   (final drive),"High-Tensile steel, box-section perimeter",33mm telescopic fork / 7.1 in.,UNI-TRAK  linkage system and single shock with 5-way preload adjustability / 7.1 in.,70/100-17 ,90/100-14 ,Single disc,186 mm (7.3 inches),Single disc,93.0 kg (205.0 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,1821 mm (71.7 inches),790 mm (31.1 inches),236 mm (9.3 inches),1260 mm (49.6 inches),5.67 litres (1.50 US gallons),,Lime Green,,,,,,,,,,,2,,,27.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Sixteen 125,2010,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,11.5:1,53.5 x 55.2 mm (2.1 x 2.2 inches),Injection,Single Overhead Cams (SOHC),Transistorised,Liquid,Automatic,,,"Telescopic, coil spring, oil damped","Swingarm type, coil spring, oildamped",100/80-M16 ,100/80-M16 ,Single disc. Hydraulic,,Single disc. Hydraulic,142.0 kg (313.1 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",,2060 mm (81.1 inches),740 mm (29.1 inches),,1385 mm (54.5 inches),8.50 litres (2.25 US gallons),,"Silver, blue",Electric & kick,"Dry shoe, automatic, centrifugal type",135.0 kg (297.6 pounds),"A lockable front box for gloves etc, a bag hook below the instrument panel, underseat storage for a small helmet.",,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
